player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Brees,802,QB,NO,11,78.8,429,456,7.7,2.43,11,17,3.6,67.3,307,0,109,9.2,470,31,164,20,89.2,85.4,84.4,55.6,2,15,492,3,7.3,85.0,1.7,8,6,1,13,18,15,3.0,2997,6.6
Brett Favre,14,QB,GB,11,76.5,408,425,7.4,2.41,4,24,5.4,68.5,291,0,137,6.7,444,21,162,12,56.7,83.7,86.2,31.5,5,8,464,4,10.2,101.5,3.2,14,5,3,5,22,21,4.5,3356,7.9
Carson Palmer,1317,QB,CIN,11,75.5,400,418,9.4,2.4,7,24,5.5,67.5,282,0,104,6.6,436,20,163,7,74.9,78.8,81.2,28.5,3,15,454,2,14.4,90.8,3.4,15,3,2,6,21,20,4.4,3078,7.4
Matt Hasselbeck,408,QB,SEA,11,72.5,378,402,9.1,2.58,5,22,5.4,62.4,251,0,125,8.4,438,23,157,29,71.1,75.9,76.9,46.7,1,9,448,3,18.4,89.6,5.3,23,13,2,16,18,18,4.0,2887,7.2
Tom Brady,698,QB,NE,11,81.0,373,392,8.6,2.43,3,28,6.9,72.4,284,0,110,6.0,414,18,183,19,87.0,96.7,96.2,52.7,2,4,431,2,11.8,127.9,3.1,13,9,0,14,39,6,1.4,3439,8.8
Jon Kitna,217,QB,DET,11,74.8,357,381,9.5,2.87,6,14,3.5,65.4,249,0,160,6.7,434,18,136,11,29.8,70.2,72.6,32.5,2,12,459,2,27.5,87.4,10.1,44,9,1,15,14,22,4.8,2897,7.6
Peyton Manning,327,QB,IND,11,74.9,354,378,10.3,2.64,9,30,7.6,63.2,239,0,133,9.8,394,26,145,14,54.9,93.0,92.8,42.9,3,12,410,2,12.0,89.4,4.1,16,0,0,12,19,18,4.4,2820,7.5
Eli Manning,1722,QB,NYG,11,71.1,346,371,8.8,2.7,8,16,4.1,58.5,217,0,131,11.8,395,29,116,21,89.6,69.7,70.9,56.7,6,15,413,7,13.7,75.0,4.6,18,6,2,9,16,14,3.4,2376,6.4
Derek Anderson,2430,QB,CLV,11,69.4,337,365,9.6,2.56,5,27,7.0,58.1,212,0,99,9.4,385,22,143,8,91.3,73.4,75.2,48.6,2,11,405,5,10.1,89.5,2.6,10,10,7,14,22,21,5.2,2758,7.6
Jason Campbell,2242,QB,WAS,11,72.1,337,364,9.6,2.75,3,18,4.8,60.2,219,0,117,9.9,399,24,141,32,54.3,76.0,75.6,59.4,5,10,413,3,14.5,79.1,4.3,17,18,4,15,12,22,5.3,2384,6.5
Tony Romo,1693,QB,DAL,11,73.3,345,352,9.2,2.83,2,27,7.4,66.2,233,0,135,7.9,381,20,156,9,45.1,88.9,86.6,66.1,0,13,397,0,11.9,105.3,4.2,16,13,1,4,29,24,6.0,3043,8.6
Philip Rivers,1725,QB,SD,11,70.7,300,330,8.5,2.67,6,14,4.1,61.2,202,0,118,4.7,349,10,110,27,34.2,69.2,73.0,29.6,2,12,359,3,11.0,81.3,3.7,13,6,0,22,14,15,4.2,2311,7.0
Donovan McNabb,438,QB,PHI,10,72.3,296,326,8.5,3.04,8,9,2.6,59.8,195,0,138,8.9,378,19,111,24,66.6,59.8,60.1,57.7,6,6,394,3,21.7,87.3,7.9,30,22,0,16,13,16,4.1,2329,7.1
