player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Kyle Arrington,4742,CB,NE,4,0,19,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,76,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Darqueze Dennard,8659,CB,CIN,1,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Winston Guy,7171,S,JAX,4,0,15,0,0,0,0,0,0,,0,0,,0,0,0,0,0.8,1,131,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Rashad Johnson,5018,S,ARZ,3,0,1,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,0,1.6,2,123,2,75.0,0,0,1,0,50.0,1,1,50.0,0,0,0,1,1,0
Adam Jones,2223,CB,CIN,3,0,7,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.8,1,133,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Brandian Ross,6755,S,OAK,1,0,23,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,11.1,1,9,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Morris Claiborne,7012,CB,DAL,4,0,9,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,93,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Chris Owens,5013,CB,KC,4,0,16,0,1,0,0,1,0,66.7,2,2,75.0,1,0,0,0,2.7,3,113,2,50.0,0,0,0,0,33.3,1,0,0.0,0,0,0,1,0,0
Antoine Bethea,3152,S,SF,4,0,28,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.6,1,157,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Andre Hal,8850,CB,HST,4,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.8,1,21,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Charles Tillman,1351,CB,CHI,2,0,6,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,49,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Steven Johnson,7298,LB,DEN,2,0,10,0,1,0,0,0,0,,0,0,,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Saalim Hakim,7334,WR,NYJ,1,0,22,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,50.0,1,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Corey Nelson,8876,LB,DEN,1,0,10,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,50.0,1,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Terrence Brooks,8714,S,BLT,1,0,3,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.7,1,27,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Darius Butler,4964,CB,IND,4,0,14,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,108,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Marqueston Huff,8757,CB,TEN,2,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
John Hughes,7088,DI,CLV,1,0,8,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Sean Smith,4984,CB,KC,4,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.7,1,149,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Prince Amukamara,6171,CB,NYG,4,0,21,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,136,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Jahleel Addae,8117,S,SD,2,0,27,0,0,0,0,0,1,50.0,1,0,0.0,0,0,0,1,4.4,2,45,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Nolan Carroll,5668,CB,PHI,4,0,24,1,1,0,0,0,0,,0,0,,0,0,0,0,5.6,2,36,2,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Bernard Pollard,2999,S,TEN,4,0,31,0,2,0,0,1,0,40.0,2,1,25.0,0,0,0,0,3.7,5,136,3,40.0,0,0,1,0,60.0,3,2,50.0,1,1,0,1,1,0
Sio Moore,7847,LB,OAK,2,0,23,0,3,0,0,1,1,71.4,5,2,30.0,1,1,0,1,14.3,7,49,4,35.7,0,0,2,0,28.6,2,2,50.0,0,0,0,1,1,0
Telvin Smith Sr.,8779,LB,JAX,4,0,15,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,4.5,3,66,1,33.3,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Bacarri Rambo,7972,S,WAS,2,0,32,0,2,0,0,0,0,33.3,1,0,0.0,0,0,0,0,9.1,3,33,2,33.3,0,0,2,0,66.7,2,2,50.0,0,0,0,0,0,0
Nate Allen,5562,S,PHI,4,0,24,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.8,3,165,1,33.3,0,0,0,0,100.0,3,1,33.3,1,1,0,1,1,0
Nigel Bradham,7105,LB,BUF,3,0,4,3,3,0,1,3,0,66.7,6,4,33.3,0,0,0,0,14.9,13,87,7,30.8,0,1,0,0,33.3,3,1,16.7,0,0,0,1,1,0
Bene Benwikere,8783,CB,CAR,4,0,5,1,2,0,1,1,0,80.0,4,2,25.0,0,0,0,0,4.3,5,117,3,30.0,0,0,1,0,20.0,1,1,50.0,0,0,0,0,0,0
Justin Durant,3664,LB,DAL,2,0,9,1,3,0,0,0,0,40.0,2,0,0.0,0,0,0,0,10.0,7,70,4,28.6,0,1,2,0,60.0,3,3,50.0,0,0,0,0,0,0
Harrison Smith,7641,S,MIN,4,0,18,1,3,0,1,0,0,40.0,4,1,12.5,0,0,0,0,8.1,11,136,5,27.3,0,0,3,0,60.0,6,4,41.7,1,1,0,1,1,0
