player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Ryan Clark,1229,S,WAS,3,10,,5.0,32,0,39.6,0,2,0,0,0,0.0
Terrence Brooks,8714,S,BLT,4,10,,5.0,3,0,39.6,0,2,0,0,0,0.0
Shareece Wright,6241,CB,SD,4,17,,17.0,27,0,39.6,0,1,0,0,0,0.0
Bruce Carter,6192,LB,DAL,4,7,,7.0,9,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,4,7,,7.0,13,0,39.6,0,1,0,0,0,0.0
Henoc Muamba,9098,LB,IND,1,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Richard Marshall,3003,CB,SD,4,11,,11.0,27,0,39.6,0,1,0,0,0,0.0
DeShawn Shead,7450,S,SEA,1,1,,1.0,29,0,39.6,0,1,0,0,0,0.0
Courtney Upshaw,7039,ED,BLT,4,8,,8.0,3,0,39.6,0,1,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,5,5,,5.0,19,0,39.6,0,1,0,0,0,0.0
Earl Thomas III,5539,S,SEA,3,4,,4.0,29,0,39.6,0,1,0,0,0,0.0
Ryan Shazier,8650,LB,PIT,3,4,,4.0,25,0,39.6,0,1,0,0,0,0.0
Blidi Wreh-Wilson,7851,CB,TEN,5,8,,8.0,31,0,39.6,0,1,0,0,0,0.0
Josh Thomas,6295,CB,NYJ,2,6,,6.0,22,0,39.6,0,1,0,0,0,0.0
Joe Haden,5532,CB,CLV,5,10,,10.0,8,0,39.6,0,1,0,0,0,0.0
Eric Berry,5530,S,KC,2,9,,9.0,16,0,39.6,0,1,0,0,0,0.0
Michael Griffin,3635,S,TEN,7,24,,24.0,31,0,39.6,0,1,0,0,0,0.0
Phillip Gaines,8722,CB,KC,2,30,,6.0,16,0,39.6,0,5,0,0,0,0.0
Xavier Rhodes,7806,CB,MIN,4,9,,9.0,18,0,39.6,0,1,0,0,0,0.0
Sean Richardson,7456,S,GB,2,2,,2.0,12,0,39.6,0,1,0,0,0,0.0
Andre Hal,8850,CB,HST,1,12,,12.0,13,0,39.6,0,1,0,0,0,0.0
Usama Young,3682,S,OAK,2,8,,4.0,23,0,39.6,0,2,0,0,0,0.0
Christian Kirksey,8706,LB,CLV,5,14,,7.0,8,0,39.6,0,2,0,0,0,0.0
