player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Andrew Luck,7007,QB,IND,6,2.78,2.63,3.48,4.94,285,14,81.9,116,121,4.9,1.78,4,2,1.6,71.9,87,10,8.4,122,42.8,8,49,,,,,86.4,71.6,81.3,,70.4,,,,,,0,1,123,10.0,111.3,0.8,1,0,0,1,10,3,2.4,732,6.0,71.0,131,139,11.8,3.53,1,7,4.6,61.2,85,69,8.6,163,57.2,8,71,,,,,89.0,82.0,82.7,,78.2,,,76.5,,,1,6,175,11.6,89.5,4.9,8,16,0,6,7,7,4.0,1256,9.0
Jay Cutler,2956,QB,CHI,6,2.52,2.4,3.18,4.91,253,6,81.8,121,125,4.4,1.87,2,5,3.8,73.6,92,22,7.1,127,50.2,7,44,,,,,61.9,70.1,81.6,,69.1,,,,,,0,4,132,9.1,105.7,1.6,2,0,0,2,10,4,3.0,870,7.0,68.0,97,104,11.3,3.21,1,5,4.2,61.5,64,50,3.0,125,49.4,2,43,,,,,63.8,71.2,81.8,,67.7,,,77.1,,,2,2,139,24.0,87.3,9.6,12,9,0,4,3,7,5.0,806,7.8
Nick Foles,7089,QB,PHI,6,2.82,2.77,3.83,4.47,251,24,75.7,107,107,6.4,1.88,0,6,5.2,71.0,76,16,6.2,108,43.0,5,38,,,,,86.0,76.8,81.1,,75.2,,,,,,0,1,117,6.3,105.5,0.9,1,0,0,0,6,2,1.7,756,7.1,60.0,115,129,14.0,3.58,0,5,3.6,50.4,65,67,5.8,141,56.2,4,43,,,,,28.4,48.2,82.1,,51.5,,,38.3,,,5,6,152,9.0,63.2,4.3,6,6,0,9,4,13,8.6,872,6.8
Matt Ryan,4317,QB,ATL,6,2.71,2.62,2.82,4.74,250,2,84.9,106,112,4.9,1.89,4,1,0.9,72.3,81,21,10.0,113,45.2,9,37,,,,,85.9,80.0,81.1,,78.3,,,,,,1,0,115,4.8,113.8,0.9,1,0,0,1,6,1,0.9,902,8.1,66.7,111,119,13.1,3.38,1,8,6.1,57.1,68,68,8.1,137,54.8,6,54,,,,,87.8,82.2,82.1,,80.7,,,62.5,,,3,7,150,13.2,75.2,6.6,9,9,0,4,6,3,2.0,948,8.0
Matthew Stafford,4924,QB,DET,6,2.63,2.43,3.72,5.11,243,11,83.1,118,123,4.2,1.87,2,2,1.6,71.5,88,17,10.2,124,51.0,10,43,,,,,86.7,76.0,81.5,,74.5,,,,,,0,1,128,5.9,94.7,0.8,1,0,0,3,3,0,0.0,833,6.8,63.2,76,89,14.8,3.45,1,7,7.0,49.4,44,57,8.3,118,48.6,4,33,,,,,28.1,56.9,81.5,,59.0,,,47.9,,,1,3,129,35.1,79.3,16.9,20,9,0,11,4,6,4.7,749,8.4
Ben Roethlisberger,1732,QB,PIT,6,2.5,2.41,3.32,4.28,237,25,77.7,130,132,5.2,1.81,2,4,2.9,69.7,92,16,8.9,137,57.8,9,46,,,,,48.1,79.2,81.9,,77.5,,,,,,0,2,142,31.3,88.4,3.6,5,0,0,0,3,2,1.4,853,6.5,69.2,78,82,13.6,3.49,0,6,6.6,62.2,51,41,5.6,99,41.8,3,33,,,,,37.1,78.6,80.9,,79.5,,,44.1,,,1,1,109,31.7,107.3,13.1,13,4,0,3,5,3,2.8,751,9.2
Joe Flacco,4332,QB,BLT,6,2.56,2.46,4.26,5.97,225,3,82.0,122,128,7.1,1.93,4,6,4.4,68.8,88,18,12.0,129,57.3,12,48,,,,,63.5,80.4,81.7,,78.5,,,,,,0,0,137,5.6,115.7,0.8,1,0,0,2,10,3,2.2,930,7.3,71.3,80,87,11.0,3.41,1,5,5.4,59.8,52,44,8.8,96,42.7,5,26,,,,,85.1,68.6,80.6,,66.7,,,68.3,,,1,3,102,13.6,77.2,6.3,6,3,0,5,2,6,5.9,669,7.7
Tom Brady,698,QB,NE,6,2.33,2.28,2.89,3.97,224,19,75.8,132,137,6.4,1.84,1,3,2.0,70.8,97,26,3.0,140,62.5,3,48,,,,,87.8,83.7,82.1,,81.6,,,,,,2,0,151,11.5,104.9,2.1,3,0,0,2,7,2,1.3,881,6.4,58.7,63,72,14.3,3.15,0,5,6.1,47.2,34,42,8.1,84,37.5,3,24,,,,,28.4,52.3,80.3,,53.6,,,52.3,,,3,2,94,21.4,76.3,10.7,9,3,0,6,3,5,5.3,562,7.8
Drew Brees,802,QB,NO,5,2.6,2.54,3.23,5.63,224,20,84.7,98,100,4.8,1.82,2,5,4.8,75.0,75,12,9.6,100,44.6,8,31,,,,,85.3,75.0,80.7,,73.6,,,,,,0,2,105,0.0,103.7,0.0,0,0,0,0,6,4,3.8,659,6.6,73.6,106,117,9.7,3.22,3,6,4.8,64.1,75,57,3.8,124,55.4,3,53,,,,,87.0,76.9,81.6,,76.0,,,56.7,,,4,4,133,7.0,82.4,3.2,4,3,0,4,3,11,8.3,915,7.8
Philip Rivers,1725,QB,SD,6,2.76,2.63,3.41,5.03,219,27,85.1,87,87,5.6,2.0,0,5,5.4,78.2,68,11,8.1,87,39.7,6,36,,,,,84.3,82.7,80.2,,80.6,,,,,,0,2,92,0.0,127.5,0.0,0,0,0,0,11,1,1.1,644,7.4,72.0,100,112,12.7,3.29,1,6,5.0,62.5,70,66,2.8,131,59.8,2,51,,,,,87.3,88.6,81.8,,84.0,,,79.3,,,2,0,139,13.6,107.4,6.9,9,10,0,9,4,1,0.7,1112,9.9
