player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Phil Dawson,422,K,SF,1,1,1,4.38,47.0,48.0,1.0,0,0,0,0,28,60.0,0,48,0,0,100.0,1,1,1,4.38,47,0,48
Shane Lechler,673,P,HST,8,47,47,4.53,38.34,46.94,10.8,0,0,4,7,13,70.3,16,60,2,0,63.8,324,30,47,212.77,1802,4,2206
Mike Scifres,1458,P,SD,9,37,37,4.19,35.38,44.0,11.5,0,0,4,3,27,45.4,6,68,3,0,70.3,299,26,37,154.85,1309,1,1628
Andy Lee,1906,P,CLV,9,45,45,4.47,42.51,48.47,7.5,0,0,3,10,8,69.9,18,67,3,0,55.6,188,25,45,201.26,1913,4,2181
Donnie Jones,1939,P,PHI,8,41,41,4.49,43.85,47.8,5.1,0,1,4,13,24,65.2,15,60,1,1,48.8,102,20,43,184.0,1798,3,1960
Dustin Colquitt,2316,P,KC,8,38,38,4.49,43.16,47.08,5.6,0,0,4,9,16,80.6,17,62,6,0,42.1,89,16,38,170.63,1640,3,1789
Nick Novak,2726,K,HST,1,1,1,4.27,16.0,36.0,,0,0,0,0,13,60.0,0,36,0,0,0.0,0,0,1,4.27,16,1,36
Sam Koch,3148,P,BLT,8,33,33,4.31,45.09,48.85,6.9,0,0,5,5,3,84.3,11,62,3,0,54.5,124,18,33,142.18,1488,0,1612
Jon Ryan,3493,P,SEA,8,40,40,4.47,38.5,46.95,15.9,0,0,3,14,29,74.2,15,69,3,0,37.5,238,15,40,178.62,1540,5,1878
Steve Weatherford,3552,P,NYJ,1,4,4,4.1,30.75,40.25,12.7,0,0,1,0,22,53.0,0,50,0,0,75.0,38,3,4,16.38,123,0,161
Brandon Fields,3841,P,NO,2,10,10,3.99,35.1,41.2,10.5,0,0,2,1,20,54.4,4,57,3,0,20.0,21,2,10,39.87,351,2,412
Brett Kern,4580,P,TEN,8,43,43,4.47,39.16,46.09,14.6,0,0,5,13,31,80.4,20,61,4,0,44.2,278,19,43,192.03,1684,1,1982
Kevin Huber,5066,P,CIN,8,29,29,4.49,41.21,45.0,8.8,0,0,8,8,7,66.4,16,67,2,0,27.6,70,8,30,130.26,1195,2,1305
Thomas Morstead,5088,P,NO,7,29,29,4.36,41.17,45.72,8.6,0,0,2,7,20,66.6,13,58,6,0,44.8,112,13,29,126.34,1194,1,1326
