player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,GB,2,0,,,6.7,,,0,0,0,,12,56.5,64.7,79.9,75.6,38.3,71.7,0,,,0,0,0,0.0,0,3,45,1,0,0,0,0,0,0.0,
Dwight Freeney,1019,ED,ATL,2,0,,,2.2,,,0,0,0,,2,60.0,44.4,81.8,50.1,42.3,24.2,0,,100.0,1,0,0,0.0,0,1,46,0,0,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,2,0,5.0,100.0,35.2,9.5,9.5,0,0,0,0.0,25,77.4,75.6,79.3,59.6,74.6,75.7,1,9,0.0,0,0,0,58.3,2,19,54,1,2,2,0,15,5,0.8,7.5
Terence Newman,1321,CB,MIN,2,0,10.9,50.0,100.0,12.0,6.0,0,1,2,14.3,18,59.5,59.3,79.9,,55.8,67.9,0,12,0.0,0,2,2,61.0,7,92,92,0,8,14,0,58,6,0.7,8.3
Terrell Suggs,1326,ED,BLT,2,1,,,4.4,,,0,0,0,,3,62.8,63.0,79.9,52.7,70.4,75.7,0,,0.0,0,0,0,0.0,0,2,45,1,0,0,0,0,0,0.0,
Robert Mathis,1447,ED,IND,2,0,,,5.2,,,0,0,0,,14,60.9,59.9,82.2,56.9,60.3,75.5,0,,,0,0,0,0.0,0,3,58,0,0,0,0,0,0,0.0,
Cullen Jenkins,1637,DI,WAS,1,0,,,5.9,,,0,0,0,,32,60.0,64.0,76.8,58.2,69.1,26.1,0,,,0,0,0,0.0,0,1,17,0,0,0,0,0,0,0.0,
DeAngelo Hall,1729,S,WAS,2,0,5.8,83.3,96.1,13.8,11.5,0,0,1,16.7,32,52.2,55.7,78.2,54.9,68.4,81.8,0,29,0.0,0,1,0,117.4,5,73,76,1,4,6,0,73,45,1.1,14.6
Karlos Dansby,1754,LB,CIN,2,0,3.4,100.0,87.0,5.7,5.7,0,0,0,0.0,7,41.2,48.0,79.4,51.1,65.4,60.8,0,24,10.0,1,0,0,117.0,11,67,77,2,9,11,0,133,96,2.1,12.1
Daryl Smith,1760,LB,TB,2,0,-1.0,100.0,75.0,9.0,9.0,0,0,0,0.0,30,30.2,46.8,76.8,52.7,67.6,75.6,0,21,,0,0,0,118.8,2,18,24,0,0,2,0,37,39,2.1,18.5
