player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,GB,13,2,2,50.0,0,1,12,58.8,71.9,60.1,73.3,62.4,53.3,4,21,0,5,23.1,3,1,2,56.3,1,7,9,0,16,455,444,2,52,325,65,0,11,304,135,2,13,8,2,32,0,5,9,5.0
Dwight Freeney,1019,ED,ATL,12,1,0,,0,0,2,60.0,65.3,89.4,65.0,50.7,42.4,5,30,0,,33.3,2,0,1,0.0,0,4,0,0,1,335,335,0,4,321,10,0,0,282,52,0,5,3,0,39,0,0,0,
James Harrison,1251,ED,PIT,13,5,0,77.8,0,2,25,72.7,87.3,86.2,85.1,72.8,75.0,5,23,1,18,10.7,3,0,0,52.5,7,5,78,0,112,454,362,0,0,362,0,0,92,198,144,14,16,20,9,33,0,55,15,7.9
Terence Newman,1321,CB,MIN,12,2,0,50.0,0,0,18,83.5,82.1,85.8,53.9,67.2,66.9,0,0,1,24,8.3,3,6,3,60.2,25,0,46,486,384,615,9,0,0,9,0,0,606,4,227,74,11,31,50,0,1,217,26,8.7
Terrell Suggs,1326,ED,BLT,12,5,3,100.0,1,3,3,50.2,76.1,32.9,72.0,81.1,76.8,10,24,0,1,4.5,1,0,4,79.2,1,8,8,0,10,548,540,0,0,536,4,0,8,371,167,0,20,16,1,42,0,1,1,1.0
Robert Mathis,1447,ED,IND,11,2,0,100.0,0,1,14,49.5,49.8,88.5,55.5,43.3,44.3,1,16,0,14,16.7,3,0,0,105.6,3,3,3,0,27,439,430,0,1,429,0,0,9,282,130,6,11,13,3,20,0,28,7,9.3
Cullen Jenkins,1637,DI,WAS,12,1,0,,0,0,32,57.2,57.4,59.5,61.5,55.7,57.7,1,6,0,,7.1,1,0,1,0.0,0,0,0,0,2,241,239,51,137,20,31,0,2,148,91,0,9,12,0,7,0,0,0,
DeAngelo Hall,1729,S,WAS,3,0,0,85.7,0,0,32,53.2,55.4,79.3,54.9,64.9,57.1,0,0,0,29,14.3,2,1,0,113.7,6,0,40,0,90,166,3,0,0,3,0,109,163,3,73,14,3,12,7,0,0,79,48,13.2
Vince Wilfork,1742,DI,HST,12,5,0,,0,0,13,59.5,56.7,55.7,59.4,56.9,76.5,3,9,0,,4.5,1,0,2,0.0,0,0,0,0,1,428,428,197,222,0,9,0,0,212,215,0,14,16,0,12,0,0,0,
Karlos Dansby,1754,LB,CIN,13,9,1,81.3,1,0,7,54.0,60.3,57.8,57.0,70.1,66.8,2,3,0,44,10.0,9,1,2,117.3,39,0,458,4,328,604,80,0,0,80,0,5,524,49,227,57,37,72,48,5,2,423,250,10.8
Daryl Smith,1760,LB,TB,13,2,0,88.9,0,0,30,57.2,56.4,83.9,53.8,56.6,57.8,0,5,1,33,14.3,3,0,0,79.2,8,0,176,3,139,378,155,0,1,154,0,0,223,53,186,44,10,16,9,5,0,127,88,15.9
Antonio Smith,1856,DI,HST,10,1,0,,0,0,13,,50.9,23.2,59.0,50.4,71.1,3,9,0,,0.0,0,0,2,0.0,0,1,0,0,0,183,183,80,84,1,18,0,0,148,35,0,2,2,0,13,0,0,0,
Mike Adams,1972,S,IND,12,5,0,76.2,0,1,14,68.5,73.7,88.3,61.0,80.8,90.0,2,0,1,34,3.5,2,0,0,112.0,16,0,194,16,466,790,24,0,0,24,0,473,766,20,304,81,9,50,21,2,2,174,64,10.9
Adam Jones,2223,CB,CIN,13,3,0,66.1,1,1,7,69.0,69.6,65.5,57.7,69.7,54.3,0,0,1,41,16.4,10,3,4,94.2,41,0,32,788,539,858,16,0,0,16,0,0,842,1,318,22,8,48,62,0,3,410,143,10.0
DeMarcus Ware,2228,ED,DEN,8,3,0,,2,0,10,63.5,63.4,4.6,68.5,62.5,57.6,3,13,0,,18.2,2,0,4,0.0,0,5,0,0,5,260,260,0,0,260,0,0,0,184,71,0,6,6,0,21,0,0,0,
Thomas Davis Sr.,2231,LB,CAR,13,13,1,77.6,0,2,5,57.2,68.6,64.6,90.5,67.8,71.7,2,13,3,42,9.4,8,0,1,104.0,52,3,670,5,466,818,84,0,0,84,0,7,734,84,268,52,28,64,67,18,5,501,352,9.6
Derrick Johnson,2232,LB,KC,13,20,0,78.4,0,0,16,82.8,70.5,88.7,50.5,51.4,47.5,1,2,1,30,17.9,20,3,0,92.0,29,1,747,21,487,841,34,0,0,34,0,6,807,37,317,33,41,72,37,4,1,245,197,8.4
Jonathan Babineaux,2276,DI,ATL,13,2,1,100.0,0,0,2,52.1,52.6,85.4,55.4,55.3,28.8,1,9,0,10,20.0,4,0,0,108.3,1,0,0,0,11,349,349,28,271,10,40,0,0,216,122,0,10,14,1,10,0,10,4,10.0
Darren Sproles,2347,HB,PHI,2,0,0,,0,0,24,,63.6,62.9,,61.7,71.4,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,
Trent Cole,2363,ED,IND,4,2,1,100.0,0,0,14,42.9,62.1,82.7,62.1,62.6,29.9,1,7,0,8,22.2,2,0,0,100.0,1,1,0,0,3,138,138,0,1,136,1,0,0,79,56,0,4,5,1,9,0,8,8,8.0
Lorenzo Alexander,2476,ED,BUF,13,9,4,87.5,0,3,4,67.1,81.2,72.5,79.3,70.6,67.9,11,21,1,19,11.4,5,0,2,55.2,7,11,118,2,70,611,465,0,0,465,0,0,146,299,242,24,34,30,8,43,0,54,52,7.7
Ahmad Brooks,2945,ED,SF,13,10,1,87.5,3,0,28,63.9,56.1,21.8,58.6,59.2,43.0,2,30,0,31,20.9,9,1,7,118.2,7,4,23,2,88,753,693,2,0,691,0,0,60,319,346,35,20,24,8,36,0,99,62,14.1
Mario Williams,2946,ED,MIA,11,1,1,100.0,0,0,17,64.3,68.7,89.5,58.3,70.4,44.4,3,17,0,0,20.0,3,0,0,79.2,1,2,0,0,9,401,401,0,21,368,12,0,0,223,169,0,11,11,1,22,0,0,0,0.0
Donte Whitner,2953,S,WAS,9,10,0,82.8,0,0,32,53.9,56.8,44.9,51.2,67.9,82.1,0,1,0,47,7.3,4,0,1,121.4,24,0,177,10,312,487,20,0,0,20,0,227,467,8,167,53,7,41,29,1,1,301,213,12.5
Haloti Ngata,2957,DI,DET,10,3,3,100.0,0,0,11,54.8,59.4,69.8,54.3,69.1,48.3,2,11,0,8,13.3,2,0,1,139.6,1,1,3,0,6,400,397,20,314,6,57,0,3,267,127,0,11,10,1,14,1,8,0,8.0
Chad Greenway,2962,LB,MIN,13,8,0,66.7,0,0,18,37.9,55.3,81.7,57.4,71.6,47.0,0,1,1,27,16.2,6,0,0,77.7,14,0,268,0,132,326,36,0,0,36,0,1,290,17,177,21,16,23,21,1,1,121,105,8.6
Antonio Cromartie,2964,CB,IND,4,0,0,66.7,1,0,14,52.0,52.7,82.7,,55.6,68.0,0,0,0,44,7.1,1,1,5,107.8,14,0,9,176,138,204,3,0,0,3,0,1,201,0,66,15,1,13,21,0,1,173,78,12.4
Tamba Hali,2965,ED,KC,13,6,0,,2,0,16,78.0,79.3,42.9,73.5,75.6,84.5,4,29,0,,11.1,3,0,3,0.0,0,4,5,0,26,493,479,0,1,477,1,0,14,319,148,9,14,18,0,37,0,0,0,
Johnathan Joseph,2969,CB,HST,12,4,0,59.4,0,1,13,64.6,66.8,52.3,59.1,78.6,65.6,0,0,0,36,10.9,5,6,4,85.3,38,0,37,508,365,575,0,0,0,0,0,0,575,1,209,30,7,37,64,0,1,438,144,11.5
D'Qwell Jackson,2979,LB,IND,12,13,1,70.0,1,0,14,49.0,49.4,59.2,46.9,57.7,52.8,1,1,0,40,15.9,13,2,2,110.4,21,1,640,2,376,708,9,0,1,8,0,2,699,57,275,54,23,56,30,3,1,280,196,13.3
Roman Harper,2988,S,NO,9,1,0,90.0,0,0,20,53.7,45.3,0.0,42.0,55.7,30.0,0,3,0,17,25.0,4,0,2,106.7,9,0,76,6,92,174,36,0,0,36,0,31,138,21,61,25,4,11,10,3,0,96,49,10.7
