player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,6,0,5,5,100.0,6,6,100.0,14,88.5,0,0,,14,14,100.0,0,4,4,100.0,16,16,100.0,1,1,100.0
Phil Dawson,422,K,SF,6,0,1,0,0.0,2,2,100.0,28,73.1,0,0,,14,14,100.0,0,3,3,100.0,8,7,87.5,2,2,100.0
Sebastian Janikowski,595,K,OAK,6,0,5,2,40.0,3,3,100.0,23,65.8,0,0,,14,14,100.0,0,1,1,100.0,11,8,72.7,2,2,100.0
Matt Bryant,1223,K,ATL,6,0,1,1,100.0,1,1,100.0,2,76.2,0,0,,21,21,100.0,0,4,4,100.0,12,12,100.0,6,6,100.0
Josh Brown,1520,K,NYG,5,0,1,0,0.0,4,4,100.0,21,63.8,1,1,100.0,9,9,100.0,0,3,3,100.0,12,11,91.7,3,3,100.0
Mike Nugent,2264,K,CIN,6,0,2,0,0.0,4,4,100.0,7,59.5,0,0,,10,10,100.0,0,3,3,100.0,15,13,86.7,6,6,100.0
Nick Novak,2726,K,HST,5,0,3,1,33.3,3,2,66.7,13,54.4,0,0,,10,9,90.0,0,6,6,100.0,16,13,81.3,4,4,100.0
Stephen Gostkowski,3063,K,NE,6,0,2,1,50.0,3,2,66.7,19,51.7,0,0,,17,16,94.1,0,5,4,80.0,12,9,75.0,2,2,100.0
Matt Prater,3471,K,DET,6,0,2,2,100.0,4,3,75.0,11,75.4,0,0,,16,15,93.8,0,1,1,100.0,10,9,90.0,3,3,100.0
Nick Folk,3794,K,NYJ,6,0,0,0,,2,2,100.0,22,64.7,0,0,,9,8,88.9,0,4,4,100.0,12,11,91.7,6,5,83.3
Mason Crosby,3809,K,GB,5,0,0,0,,3,3,100.0,12,74.5,0,0,,12,12,100.0,0,4,4,100.0,10,10,100.0,3,3,100.0
Stephen Hauschka,4655,K,SEA,5,0,1,1,100.0,2,2,100.0,29,58.2,0,0,,11,9,81.8,0,5,5,100.0,11,10,90.9,3,2,66.7
Dan Carpenter,4697,K,BUF,6,0,0,0,,6,4,66.7,4,57.2,1,1,100.0,20,18,90.0,0,2,2,100.0,10,8,80.0,1,1,100.0
Connor Barth,4777,K,CHI,6,0,1,0,0.0,2,1,50.0,6,46.4,0,0,,11,11,100.0,0,5,4,80.0,11,8,72.7,3,3,100.0
Ryan Succop,5180,K,TEN,6,0,2,0,0.0,3,3,100.0,31,62.2,0,0,,13,12,92.3,0,1,1,100.0,8,6,75.0,2,2,100.0
Graham Gano,5443,K,CAR,6,0,3,1,33.3,6,5,83.3,5,51.4,0,0,,16,14,87.5,0,3,3,100.0,12,9,75.0,0,0,
Dan Bailey,6796,K,DAL,6,0,2,2,100.0,4,2,50.0,9,70.6,0,0,,18,18,100.0,0,2,2,100.0,13,11,84.6,5,5,100.0
Randy Bullock,7154,K,NYG,1,0,0,0,,0,0,,21,45.4,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Greg Zuerlein,7163,K,LA,5,0,2,2,100.0,1,1,100.0,26,77.3,0,0,,11,11,100.0,0,3,3,100.0,9,9,100.0,3,3,100.0
Blair Walsh,7167,K,MIN,5,0,2,1,50.0,4,3,75.0,18,39.0,1,1,100.0,12,10,83.3,0,4,3,75.0,12,9,75.0,1,1,100.0
Justin Tucker,7604,K,BLT,6,0,3,3,100.0,5,5,100.0,3,86.0,0,0,,8,8,100.0,0,5,5,100.0,15,15,100.0,2,2,100.0
Caleb Sturgis,7948,K,PHI,5,0,2,2,100.0,2,1,50.0,24,64.3,0,0,,14,13,92.9,0,4,4,100.0,13,12,92.3,5,5,100.0
Dustin Hopkins,7958,K,WAS,6,0,2,1,50.0,4,4,100.0,32,65.6,0,0,,14,13,92.9,0,6,6,100.0,16,15,93.8,4,4,100.0
Brandon McManus,8437,K,DEN,6,0,2,0,0.0,4,4,100.0,10,63.7,0,0,,13,12,92.3,0,4,4,100.0,14,12,85.7,4,4,100.0
Cairo Santos,8932,K,KC,5,0,1,1,100.0,4,3,75.0,16,57.9,0,0,,11,10,90.9,0,4,3,75.0,11,9,81.8,2,2,100.0
Chris Boswell,8990,K,PIT,6,0,0,0,,4,4,100.0,25,76.8,0,0,,18,18,100.0,0,1,0,0.0,5,4,80.0,0,0,
Cody Parkey,9030,K,CLV,4,0,1,1,100.0,7,4,57.1,8,47.8,0,0,,6,6,100.0,0,2,2,100.0,10,7,70.0,0,0,
Chandler Catanzaro,9140,K,ARZ,6,0,1,1,100.0,2,1,50.0,1,66.8,0,0,,18,17,94.4,0,1,1,100.0,7,6,85.7,3,3,100.0
Patrick Murray,9389,K,CLV,2,0,1,0,0.0,0,0,,8,53.5,0,0,,4,3,75.0,0,1,1,100.0,2,1,50.0,0,0,
Andrew Franks,9814,K,MIA,6,0,1,0,0.0,1,1,100.0,17,56.8,0,0,,13,13,100.0,0,3,3,100.0,10,7,70.0,5,3,60.0
Josh Lambo,10133,K,SD,6,0,1,0,0.0,2,2,100.0,27,70.3,0,0,,19,18,94.7,0,6,6,100.0,14,13,92.9,5,5,100.0
Jason Myers,10207,K,JAX,5,0,3,1,33.3,3,3,100.0,15,76.0,0,0,,11,11,100.0,0,2,2,100.0,10,8,80.0,2,2,100.0
Roberto Aguayo,10693,K,TB,5,0,0,0,,4,1,25.0,30,29.5,0,0,,9,8,88.9,0,4,3,75.0,8,4,50.0,0,0,
Wil Lutz,11096,K,NO,5,0,5,2,40.0,2,2,100.0,20,73.0,0,0,,18,18,100.0,0,3,2,66.7,11,7,63.6,1,1,100.0
