player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,9,13.3,2,56.3,25.8,8,31,0,4.9,3,43,13,0,76.4,80.3,84.1,,83.9,0.0,0,4,72,0.0,0,384,4,58,90.1,346,17.2,66,91.2,103,8,82.3,316,803,197,3.4,13.8,2.32
Antonio Brown,5718,WR,PIT,9,14.6,8,63.2,45.8,11,24,0,3.2,2,37,25,1,77.7,52.0,88.3,,88.4,0.0,0,6,51,0.0,0,338,4,60,92.6,313,13.3,45,77.6,95,3,86.7,293,882,312,5.2,14.7,2.82
Jarvis Landry,8698,WR,MIA,9,6.6,11,66.3,35.3,6,17,1,7.6,5,32,17,0,66.1,83.0,75.1,,75.6,0.6,2,3,29,0.0,0,350,2,61,94.9,332,61.1,214,83.2,92,5,38.3,134,472,228,3.7,7.7,1.42
Larry Fitzgerald,1724,WR,ARZ,9,9.1,6,71.4,43.5,10,23,0,3.2,2,38,1,1,89.5,43.1,78.0,72.4,76.5,0.7,3,0,37,0.2,1,409,0,60,92.2,377,64.3,263,107.1,84,3,34.5,141,677,260,4.3,11.3,1.8
Adam Thielen,8288,WR,MIN,9,10.9,4,67.5,61.9,13,21,0,3.4,2,36,18,3,82.9,22.8,84.9,65.3,83.0,0.9,3,0,49,0.3,1,341,2,56,92.1,314,55.4,189,106.1,83,2,43.4,148,793,223,4.0,14.2,2.53
Michael Thomas,10681,WR,NO,9,9.4,5,75.6,66.7,12,18,1,3.3,2,38,20,0,82.8,80.3,83.0,,83.1,0.0,0,2,33,0.0,0,307,1,59,95.1,292,20.8,64,98.3,78,2,79.2,243,662,229,3.9,11.2,2.27
Dez Bryant,5549,WR,DAL,9,12.3,10,54.5,29.2,7,24,0,12.5,6,29,9,0,38.3,78.4,76.2,,75.4,0.0,0,2,36,0.0,0,331,1,42,91.2,302,26.0,86,79.9,77,4,74.0,245,478,153,3.6,11.4,1.58
Doug Baldwin,6615,WR,SEA,9,11.0,8,70.1,21.4,3,14,0,0.0,0,29,29,0,90.6,80.0,86.7,75.3,85.5,4.6,16,2,54,0.6,2,347,1,54,90.2,313,70.0,243,96.9,77,3,24.8,86,633,208,3.9,11.7,2.02
Demaryius Thomas,5547,WR,DEN,9,10.5,3,64.0,60.0,9,15,0,9.4,5,31,10,1,51.5,36.7,73.2,,72.4,0.3,1,6,40,0.0,0,330,2,48,93.0,307,15.2,50,62.6,75,2,84.2,278,569,171,3.6,11.9,1.85
Christian McCaffrey,11763,HB,CAR,10,1.9,11,76.0,75.0,3,4,1,1.7,1,24,5,0,89.0,72.9,74.4,42.9,90.2,0.0,0,2,37,7.6,25,330,1,57,87.6,289,18.5,61,91.7,75,3,9.7,32,433,402,7.1,7.6,1.5
