player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Donovan Smith,9467,T,TB,13,1,30,67.5,6,25,608,100.0,100.0,96.3,3,38,7,645,645,62.4,4,20,318,100.0,100.0,94.3,30,6,340,340
Ryan Jensen,7985,C,TB,13,0,30,71.0,9,11,608,100.0,100.0,98.2,4,21,1,645,645,61.2,6,8,318,100.0,100.0,97.5,15,1,340,340
Ali Marpet,9494,G,TB,13,0,30,82.2,8,12,608,100.0,100.0,98.0,0,22,2,645,645,82.7,5,10,318,100.0,100.0,97.3,16,1,340,340
Ramon Foster,5229,G,PIT,13,0,25,85.2,1,17,590,100.0,100.0,98.3,0,19,1,632,632,80.1,1,11,256,100.0,100.0,97.3,13,1,278,278
Alejandro Villanueva,9091,T,PIT,13,1,25,82.9,2,7,589,99.8,99.8,98.4,4,14,5,631,632,73.6,2,6,256,100.0,100.0,96.9,12,4,278,278
Maurkice Pouncey,5543,C,PIT,13,0,25,77.3,3,11,585,100.0,100.0,98.6,0,15,1,627,627,81.1,2,7,255,100.0,100.0,97.8,10,1,277,277
Corey Linsley,8796,C,GB,13,1,12,86.3,2,6,570,100.0,100.0,98.8,1,11,3,604,604,80.4,1,4,260,100.0,100.0,98.3,7,2,284,284
Mike Remmers,7431,G,MIN,13,1,18,60.2,4,26,573,100.0,100.0,96.3,3,36,6,601,601,52.5,4,18,259,100.0,100.0,93.4,28,6,274,274
Quenton Nelson,12954,G,IND,13,0,14,81.4,4,13,565,100.0,100.0,98.1,3,19,2,600,600,75.0,2,8,251,100.0,100.0,97.2,12,2,268,268
Alex Mack,4944,C,ATL,13,0,2,75.4,4,7,563,100.0,100.0,98.5,0,14,3,600,600,68.1,4,4,222,100.0,100.0,97.3,10,2,241,241
