player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jason Kelce,6343,C,PHI,15,100.0,0,24,80.8,71.1,81.9,4,27,635,100.0,100.0,97.4,3,32,1,1089,1088,0,0,1089,678,678,0,0,411,0
Ali Marpet,9494,G,TB,15,100.0,1,30,73.1,82.1,65.6,8,12,680,100.0,100.0,98.2,5,22,2,1088,0,1088,0,1088,720,720,0,0,368,0
Isaac Seumalo,10713,G,PHI,15,100.0,0,24,69.0,67.2,67.5,5,31,635,100.0,100.0,96.4,5,41,5,1088,1,1086,0,1088,678,678,0,0,410,0
Ryan Jensen,7985,C,TB,15,100.0,0,30,77.4,85.2,70.8,3,10,680,100.0,100.0,98.9,2,14,1,1088,1088,0,0,1088,720,720,0,0,368,0
Joe Thuney,10712,G,NE,15,100.0,0,19,78.5,86.4,68.6,4,11,618,100.0,100.0,98.6,0,16,1,1079,0,1071,0,1079,659,659,0,8,420,0
Jake Matthews,8641,T,ATL,15,100.0,0,2,77.3,84.2,60.5,3,16,695,100.0,100.0,97.5,7,27,8,1074,0,1,1073,1074,748,748,0,0,326,0
Alex Mack,4944,C,ATL,15,100.0,0,2,70.3,77.0,69.2,8,17,690,100.0,100.0,98.0,9,26,1,1067,1067,0,0,1067,743,743,0,0,324,0
Travis Frederick,7812,C,DAL,15,100.0,0,9,69.6,61.4,70.3,8,12,602,100.0,100.0,98.2,1,21,1,1041,1041,0,0,1041,641,641,0,0,400,0
Zack Martin,8651,G,DAL,15,100.0,0,9,90.4,92.1,83.3,3,13,602,100.0,100.0,98.7,2,16,0,1039,0,0,0,1039,641,641,1039,0,398,0
Orlando Brown Jr.,46227,T,BLT,15,100.0,2,3,71.6,81.6,59.5,2,15,484,100.0,100.0,97.6,3,20,3,1037,0,0,8,1037,511,511,0,1028,526,0
Bradley Bozeman,27934,G,BLT,15,100.0,2,3,62.5,53.8,65.6,3,16,484,100.0,100.0,97.2,6,23,4,1037,0,1036,0,1037,511,511,0,0,526,0
Taylor Moton,11819,T,CAR,15,100.0,2,5,75.5,79.8,65.7,3,18,652,100.0,100.0,97.6,6,26,5,1035,0,0,36,1035,679,679,0,986,356,13
Germain Ifedi,10665,T,SEA,15,100.0,1,29,56.0,58.9,56.2,4,37,561,100.0,100.0,95.5,12,46,5,1032,0,0,0,1032,608,608,0,1031,424,1
Trey Hopkins,9276,C,CIN,15,100.0,0,7,62.7,70.1,58.3,3,20,642,100.0,100.0,97.6,2,27,4,1028,1028,0,0,1028,688,688,0,0,340,0
Matt Paradis,8841,C,CAR,15,100.0,1,5,63.7,43.3,72.2,4,38,648,100.0,100.0,96.3,2,45,3,1023,1023,0,0,1023,674,674,0,0,349,0
Mark Glowinski,9567,G,IND,15,100.0,0,14,60.4,56.9,65.0,12,23,546,100.0,100.0,96.2,10,38,3,1020,0,0,0,1020,591,591,1020,0,429,0
Anthony Castonzo,6174,T,IND,15,100.0,0,14,81.6,84.7,70.6,5,23,546,100.0,100.0,96.9,2,31,3,1020,0,0,1017,1020,591,591,0,0,429,3
Andrew Norwell,9126,G,JAX,15,100.0,2,15,63.0,73.2,59.6,5,19,640,100.0,100.0,97.7,8,27,3,1019,0,1018,0,1019,689,689,0,0,330,0
Braden Smith,46794,T,IND,15,100.0,3,14,78.7,68.7,84.1,8,28,545,100.0,100.0,95.6,5,42,6,1019,0,0,0,1019,590,590,0,1019,429,0
Jawaan Taylor,41665,T,JAX,15,100.0,1,15,64.1,68.9,58.4,3,26,639,100.0,100.0,96.5,13,37,8,1018,0,0,0,1018,688,688,0,1018,330,0
Brandon Linder,8728,C,JAX,15,100.0,2,15,74.0,79.5,71.2,0,12,639,100.0,100.0,99.1,13,12,0,1017,1017,0,0,1017,688,688,0,0,329,0
Bobby Hart,9659,T,CIN,15,100.0,1,7,56.7,67.7,45.8,3,29,638,100.0,100.0,96.7,7,37,5,1017,0,0,0,1017,683,683,0,1017,334,0
Andrew Whitworth,3000,T,LA,15,100.0,1,26,74.3,83.8,59.8,3,24,615,100.0,100.0,97.6,12,28,1,1015,0,0,1015,1015,661,661,0,0,354,0
Kaleb McGary,46912,T,ATL,15,99.9,0,2,55.0,55.8,54.7,11,21,653,99.8,99.9,95.9,5,43,11,1015,0,0,0,1016,704,705,0,1012,311,4
Laken Tomlinson,9461,G,SF,15,100.0,1,28,65.3,70.5,61.6,4,18,502,100.0,100.0,97.4,5,24,2,1011,0,1010,0,1011,541,541,0,0,470,0
Brandon Brooks,7078,G,PHI,15,100.0,0,24,92.8,85.7,91.4,5,13,581,100.0,100.0,98.1,2,20,2,1007,0,0,0,1007,623,623,1006,0,384,0
Shaq Mason,9564,G,NE,14,100.0,0,19,72.3,70.7,69.8,3,26,581,100.0,100.0,97.2,4,31,2,1006,0,0,0,1006,620,620,1006,0,386,0
Donovan Smith,9467,T,TB,14,100.0,3,30,68.5,75.3,55.5,7,22,631,100.0,100.0,96.8,8,35,6,1004,0,0,1004,1004,671,671,0,0,333,0
Nick Martin,10684,C,HST,15,100.0,1,13,64.9,79.5,57.4,2,9,593,100.0,100.0,98.7,4,13,2,1001,1001,0,0,1001,632,632,0,0,369,0
Dion Dawkins,11818,T,BUF,15,99.9,4,4,72.7,75.9,63.4,3,21,554,99.8,99.8,97.1,11,28,4,1001,0,0,1001,1002,589,590,0,0,412,1
Quinton Spain,10110,G,BUF,15,100.0,2,4,54.3,69.3,45.1,5,23,556,100.0,100.0,97.5,4,28,0,999,0,999,0,999,591,591,0,0,408,0
Mitchell Schwartz,7041,T,KC,15,100.0,1,16,82.8,80.8,75.1,5,15,593,100.0,100.0,98.3,5,20,0,995,0,0,0,995,660,660,0,992,335,1
Cody Whitehair,10690,G,CHI,15,100.0,1,6,64.1,63.1,62.6,3,13,607,100.0,100.0,98.4,4,18,2,994,486,508,0,994,649,649,0,0,345,0
Austin Reiter,9655,C,KC,15,100.0,2,16,62.7,81.0,51.4,1,3,594,100.0,100.0,99.3,8,6,2,994,992,0,0,994,661,661,0,0,333,0
James Daniels,45576,C,CHI,15,100.0,2,6,69.0,71.2,64.7,4,14,607,100.0,100.0,98.4,4,19,1,994,508,486,0,994,649,649,0,0,345,0
Demar Dotson,5410,T,TB,14,100.0,0,30,70.9,71.6,68.6,3,27,611,100.0,100.0,96.7,10,35,5,994,0,0,0,994,645,645,0,994,349,0
Will Hernandez,46180,G,NYG,15,100.0,0,21,59.0,74.0,45.9,5,21,628,100.0,100.0,97.9,4,26,0,994,0,993,0,994,673,673,0,0,321,0
Charles Leno Jr.,8880,T,CHI,15,100.0,1,6,59.1,73.5,46.7,6,26,606,100.0,100.0,96.7,13,36,4,991,0,0,982,991,648,648,0,0,343,9
