player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Terrell Suggs,1326,ED,ARZ,10,0,0,1,69.7,3,17,295,93.4,9.2,27,5,5.8,7,332,310,27,0,72.0,3,11,133,96.0,12.0,16,8.3,4,149,143,18
Thomas Davis Sr.,2231,LB,LAC,10,0,0,27,74.6,0,1,15,5.5,33.3,5,3,16.7,2,290,16,3,0,72.4,0,0,6,6.0,33.3,2,16.7,1,117,7,1
Lorenzo Alexander,2476,ED,BUF,9,4,0,4,72.3,3,14,136,73.1,14.0,19,1,8.5,3,193,141,20,3,72.7,2,12,81,88.5,19.8,16,11.1,2,96,85,16
Johnathan Joseph,2969,CB,HST,7,0,1,13,75.9,0,0,2,0.7,50.0,1,2,0.0,0,274,2,0,0,60.0,0,0,1,0.7,100.0,1,0.0,0,143,1,0
Antoine Bethea,3152,S,NYG,10,0,0,21,65.3,0,0,5,1.3,20.0,1,0,0.0,0,371,5,0,0,58.5,0,0,1,0.7,0.0,0,0.0,0,149,1,0
Tramon Williams,3558,CB,GB,10,0,0,12,55.7,1,1,8,2.7,0.0,0,3,12.5,0,333,9,2,0,53.2,0,1,2,1.2,0.0,0,25.0,0,169,2,1
Eric Weddle,3653,S,LA,9,0,1,26,68.2,0,1,3,0.9,0.0,0,1,16.7,0,352,3,1,0,,0,0,0,0.0,,0,,0,157,0,0
Brandon Mebane,3701,DI,LAC,7,0,0,27,54.3,1,3,89,100.0,5.6,5,0,3.4,1,98,98,5,0,61.0,1,2,28,100.0,14.3,4,8.9,1,34,34,4
Calais Campbell,4364,DI,JAX,9,0,0,15,85.7,11,29,288,99.4,19.8,57,4,9.0,6,314,312,46,0,82.4,7,18,138,100.0,26.1,36,12.0,4,152,152,29
Brandon Carr,4454,CB,BLT,9,0,1,3,70.7,3,2,18,5.4,16.7,3,3,19.4,1,335,18,6,0,66.7,2,2,9,6.2,33.3,3,22.2,0,145,9,4
Orlando Scandrick,4457,CB,PHI,3,0,0,24,99.9,0,1,5,8.2,40.0,2,0,50.0,2,61,5,3,0,99.9,0,0,2,6.5,100.0,2,100.0,2,31,2,2
Wesley Woodyard,4583,LB,TEN,9,0,0,31,63.8,1,2,19,11.4,5.3,1,0,13.2,1,176,20,4,0,63.7,0,1,11,16.4,0.0,0,13.6,1,73,12,2
Cameron Wake,4907,ED,TEN,8,1,0,31,76.1,7,17,140,98.7,21.4,30,0,10.7,3,149,147,27,0,80.6,7,11,84,98.9,27.4,23,13.1,2,90,89,20
Malcolm Jenkins,4937,S,PHI,9,0,1,24,51.4,2,5,38,10.4,10.5,4,4,11.8,1,367,38,8,0,62.8,2,0,10,6.6,0.0,0,20.0,1,152,10,3
Clay Matthews,4949,ED,LA,6,1,0,26,71.6,4,11,123,79.4,16.3,20,1,11.8,7,160,127,22,0,70.9,2,7,65,91.9,23.1,15,16.2,6,74,68,15
Patrick Chung,4957,S,NE,7,0,1,19,52.7,0,2,21,10.8,4.8,1,1,4.8,0,203,22,2,0,60.1,0,2,5,6.3,20.0,1,20.0,0,96,6,2
Jason McCourty,5127,CB,NE,9,0,0,19,53.4,0,0,3,1.0,0.0,0,3,0.0,0,288,3,0,0,53.4,0,0,3,2.1,0.0,0,0.0,0,144,3,0
Clinton McDonald,5173,DI,ARZ,9,0,1,1,56.3,0,4,76,97.6,6.6,5,1,2.6,0,82,80,4,0,64.8,0,4,34,100.0,14.7,5,5.9,0,36,36,4
Steve McLendon,5232,DI,NYJ,9,0,0,22,64.2,3,8,132,99.3,9.8,13,2,5.7,2,148,147,13,0,63.9,2,6,62,100.0,14.5,9,8.1,1,66,66,9
Michael Bennett,5273,DI,DAL,8,0,1,9,69.4,6,10,148,97.0,16.2,24,3,8.1,4,167,162,20,0,67.3,2,8,84,98.9,19.0,16,9.5,3,91,90,13
Ndamukong Suh,5527,DI,TB,9,0,0,30,56.2,4,12,321,100.0,8.7,28,2,3.1,2,347,347,18,0,60.4,3,8,156,100.0,12.2,19,4.8,2,167,167,13
Gerald McCoy,5528,DI,CAR,9,1,0,5,69.9,4,17,230,100.0,15.2,35,5,6.7,5,254,254,26,1,77.1,3,16,116,100.0,23.3,27,12.5,5,132,132,24
Tyson Alualu,5535,DI,PIT,9,1,1,25,69.0,1,8,112,100.0,12.5,14,1,4.9,1,120,120,10,0,76.8,1,6,43,100.0,20.9,9,10.5,1,47,47,8
Brandon Graham,5538,ED,PHI,9,0,0,24,76.7,8,31,261,98.2,19.5,51,2,9.8,6,280,275,45,0,81.8,5,18,112,98.4,29.5,33,15.6,6,124,122,29
Earl Thomas III,5539,S,BLT,9,0,0,3,61.1,3,3,24,6.8,8.3,2,1,12.5,0,369,25,6,0,58.1,3,1,7,5.3,14.3,1,28.6,0,150,8,4
Jason Pierre-Paul,5540,ED,TB,3,1,0,30,56.5,3,8,111,98.4,11.7,13,0,6.8,2,123,121,13,1,64.4,3,8,56,100.0,21.4,12,11.6,1,62,62,12
Kareem Jackson,5545,S,DEN,8,0,0,10,71.8,0,1,3,1.0,33.3,1,0,16.7,0,304,3,1,0,,0,0,0,0.0,,0,,0,122,0,0
Devin McCourty,5552,S,NE,9,0,0,19,55.3,0,2,12,3.8,8.3,1,1,8.3,0,339,13,2,0,51.8,0,1,5,3.6,20.0,1,10.0,0,169,6,1
Jerry Hughes,5556,ED,BUF,9,1,0,4,75.9,3,24,231,96.4,16.9,39,3,6.7,2,252,243,29,0,80.0,1,22,101,95.5,27.7,28,12.4,1,110,105,24
Linval Joseph,5571,DI,MIN,9,0,0,18,63.9,2,7,212,98.7,8.0,17,0,3.5,3,231,228,12,0,69.6,2,4,68,100.0,14.7,10,5.9,1,78,78,7
Carlos Dunlap,5579,ED,CIN,7,1,0,7,65.8,4,9,153,87.8,13.1,20,1,4.9,1,180,158,14,0,72.1,2,6,54,93.2,24.1,13,7.4,0,59,55,8
Sean Lee,5580,LB,DAL,9,0,0,9,67.4,0,3,14,9.9,21.4,3,0,10.7,0,161,16,3,0,64.0,0,1,4,10.6,25.0,1,12.5,0,47,5,1
Morgan Burnett,5596,S,CLV,7,0,0,8,77.7,0,5,11,6.3,9.1,1,1,40.9,2,190,12,7,0,,0,0,0,0.0,,0,,0,68,0,0
Corey Peters,5607,DI,ARZ,10,0,0,1,63.0,2,12,283,98.7,8.5,24,3,3.5,3,304,300,17,0,69.7,2,9,109,100.0,14.7,16,7.8,3,119,119,14
Everson Griffen,5624,ED,MIN,10,0,0,18,82.5,12,37,354,97.2,18.6,66,5,8.9,7,387,376,56,0,90.7,6,27,149,98.8,30.9,46,14.4,5,164,162,38
Geno Atkins,5643,DI,CIN,9,0,0,7,75.8,4,24,231,99.2,15.2,35,1,7.4,3,242,240,31,0,75.9,3,10,82,100.0,22.0,18,11.6,3,84,84,16
Al Woods,5646,DI,SEA,10,0,0,29,56.3,0,7,184,100.0,5.4,10,1,2.4,1,198,198,8,0,64.4,0,4,59,100.0,8.5,5,3.4,0,63,63,4
Sherrick McManis,5667,CB,CHI,6,0,0,6,59.4,0,0,1,5.0,0.0,0,0,0.0,0,20,1,0,0,59.4,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Reshad Jones,5686,S,MIA,3,0,1,17,54.8,0,1,6,9.8,16.7,1,1,8.3,0,61,6,1,0,56.3,0,0,2,9.5,0.0,0,0.0,0,21,2,0
Kyle Love,5806,DI,CAR,9,1,1,5,64.4,2,12,136,100.0,11.8,16,1,5.1,0,146,146,14,0,69.9,2,10,58,100.0,20.7,12,10.3,0,63,63,12
Darian Stewart,5820,S,TB,3,0,0,30,56.3,0,0,1,2.7,0.0,0,1,0.0,0,37,1,0,0,56.3,0,0,1,9.1,0.0,0,0.0,0,11,1,0
