player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Hopkins,7808,WR,HST,9,90,0,13,0,-3.7,1,100.0,,0,0,0.0,0,2,0,90.2,81.9,0,13,0.0,0,22,3,95.5,21,97.2,3,3.3,0,22,33,11.0,7.3,1.05,7.3,4,86.5,60.0,3,5,5.9,2,18,0,75.8,90.3,0,34,0.0,0,136,32,91.9,125,110.5,37,41.1,1,309,131,4.1,9.7,2.47
Julian Edelman,5156,WR,NE,9,88,0,19,0,-2.0,1,75.0,,0,0,25.0,2,2,0,33.2,55.1,0,14,0.0,0,38,6,97.4,37,77.1,8,9.1,0,21,33,5.5,3.5,0.57,7.5,5,73.2,66.7,4,6,12.8,6,17,1,47.8,68.7,0,29,0.0,0,252,41,95.2,240,111.2,56,63.6,3,406,159,3.9,9.9,1.69
Michael Thomas,10681,WR,NO,8,87,0,20,0,-1.8,0,100.0,,0,0,0.0,0,2,0,90.9,61.4,0,9,0.0,0,37,6,94.6,35,126.4,6,6.9,1,29,40,6.7,4.8,0.83,7.2,4,89.7,75.0,3,4,0.0,0,18,0,83.0,90.6,0,26,0.0,0,98,26,89.8,88,121.1,29,33.3,1,299,115,4.4,11.5,3.4
Cooper Kupp,11824,WR,LA,8,84,0,26,0,-2.6,0,100.0,,0,0,0.0,0,2,0,91.1,72.7,0,12,0.0,0,33,7,87.9,29,86.3,7,8.3,0,33,51,7.3,4.7,1.14,7.4,4,68.2,28.6,2,7,2.2,1,22,0,90.6,90.0,1,66,3.3,8,240,45,90.8,218,110.7,66,78.6,4,600,321,7.1,13.3,2.75
Keenan Allen,7857,WR,LAC,9,82,0,27,0,-3.0,0,100.0,,0,0,0.0,0,0,0,90.6,57.4,0,5,0.0,0,26,4,92.3,24,81.3,4,4.9,0,14,26,6.5,3.5,0.58,10.5,2,65.8,20.0,1,5,10.7,3,15,0,61.0,77.1,2,27,0.0,0,196,25,93.4,183,75.7,38,46.3,1,291,75,3.0,11.6,1.59
Mike Evans,8642,WR,TB,8,80,0,30,0,-0.8,0,75.0,0.0,0,1,0.0,0,1,0,88.7,55.5,0,5,0.0,0,29,3,100.0,29,116.7,4,5.0,1,8,10,3.3,2.7,0.28,13.4,0,93.3,80.0,4,5,0.0,0,9,0,57.4,82.5,0,43,0.0,0,89,14,94.4,84,158.3,15,18.8,3,203,24,1.7,14.5,2.42
Tyler Boyd,10689,WR,CIN,8,79,0,7,0,-3.8,1,100.0,,0,0,0.0,0,1,1,90.2,46.7,0,15,0.0,0,34,4,97.1,33,85.4,4,5.1,0,18,33,8.3,4.5,0.55,9.9,2,65.2,44.4,4,9,11.8,4,19,0,46.8,62.9,2,47,0.4,1,248,30,93.5,232,79.3,46,58.2,1,373,129,4.3,12.4,1.61
Julio Jones,6158,WR,ATL,8,72,0,2,0,0.5,0,83.3,0.0,0,1,0.0,0,2,0,90.6,69.3,0,54,0.0,0,23,5,91.3,21,150.7,6,8.3,1,64,66,13.2,12.8,3.05,11.2,0,72.2,33.3,1,3,7.1,1,6,0,91.1,86.2,1,22,0.0,0,68,13,91.2,62,72.2,18,25.0,0,143,39,3.0,11.0,2.31
Zach Ertz,7816,TE,PHI,9,71,0,24,0,,0,,,0,0,,0,0,0,,32.3,0,0,7.1,2,28,0,92.9,26,0.0,0,0.0,0,0,0,,,0.0,9.0,0,60.7,42.9,3,7,0.0,0,11,0,78.1,72.4,0,24,1.4,2,145,17,89.0,129,78.3,28,39.4,0,172,36,2.1,10.1,1.33
Tyler Lockett,9502,WR,SEA,9,71,0,29,0,-4.0,0,100.0,,0,0,0.0,0,1,0,90.2,65.3,0,15,0.0,0,18,3,88.9,16,95.8,3,4.2,0,21,33,11.0,7.0,1.31,13.1,2,84.3,71.4,5,7,2.3,1,29,0,79.5,85.5,0,44,0.0,0,259,43,90.3,234,148.7,51,71.8,5,604,142,3.3,14.0,2.58
