player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Michael Thomas,10681,WR,NO,12,130,0,20,7.3,5,85.7,90.0,9,10,5.9,3,32,0,71.0,91.1,0,34,0.0,0,147,48,94.6,139,130.1,56,43.1,4,532,191,4.0,11.1,3.83,0,8.1,4,85.3,71.4,5,7,3.3,2,32,0,82.1,80.2,0,42,0.0,0,306,58,94.8,290,110.6,68,52.3,0,717,258,4.4,12.4,2.47
Julian Edelman,5156,WR,NE,12,119,0,19,10.8,3,63.5,62.5,5,8,13.2,5,24,0,44.3,75.7,1,31,0.0,0,241,33,90.0,217,85.5,52,43.7,1,401,118,3.6,12.2,1.85,0,9.2,3,75.9,66.7,4,6,8.3,4,18,2,68.9,69.2,1,44,0.0,0,245,44,96.7,237,104.5,58,48.7,2,486,153,3.5,11.0,2.05
DeAndre Hopkins,7808,WR,HST,12,118,0,13,9.1,1,70.2,40.0,4,10,5.7,2,22,0,70.8,86.1,0,34,0.0,0,166,33,91.6,152,95.2,47,39.8,1,310,127,3.8,9.4,2.04,0,11.5,6,72.6,40.0,4,10,6.3,3,29,0,69.5,81.5,0,38,0.0,0,283,45,93.6,265,115.2,62,52.5,3,543,148,3.3,12.1,2.05
Mike Evans,8642,WR,TB,12,112,0,30,14.3,0,69.4,72.7,8,11,3.8,1,25,0,75.5,89.6,1,67,0.6,1,163,25,89.6,146,138.1,36,32.1,5,433,97,3.9,17.3,2.97,0,16.4,2,56.5,40.0,6,15,11.4,5,26,0,51.8,77.4,3,55,0.0,0,321,39,95.6,307,70.7,69,61.6,0,656,146,3.7,16.8,2.14
Keenan Allen,7857,WR,LAC,12,111,0,27,11.7,4,63.6,54.5,6,11,5.4,2,23,0,72.6,85.8,3,34,0.0,0,191,35,92.1,176,76.1,55,49.5,2,417,145,4.1,11.9,2.37,0,10.7,2,74.0,28.6,2,7,7.5,3,17,0,63.4,68.0,3,36,0.4,1,260,37,92.3,240,86.8,50,45.0,2,417,88,2.4,11.3,1.74
D.J. Moore,48267,WR,CAR,12,110,0,5,11.8,2,67.4,33.3,4,12,3.3,1,22,0,76.7,83.8,1,52,0.6,1,168,29,94.6,159,111.1,43,39.1,3,405,141,4.9,14.0,2.55,0,11.5,8,66.7,61.5,8,13,8.7,4,28,1,60.7,73.3,3,52,0.0,0,311,42,96.5,300,74.2,63,57.3,0,551,179,4.3,13.1,1.84
Tyler Boyd,10689,WR,CIN,12,109,0,7,11.5,3,56.8,54.5,6,11,13.8,4,16,1,44.2,70.4,0,47,0.5,1,207,25,92.8,192,97.4,44,40.4,2,347,84,3.4,13.9,1.81,0,9.0,1,66.7,33.3,4,12,2.3,1,18,1,83.2,67.4,4,47,0.0,0,278,42,94.6,263,63.7,63,57.8,1,411,155,3.7,9.8,1.56
Cooper Kupp,11824,WR,LA,12,108,0,26,9.2,4,63.2,40.0,2,5,0.0,0,15,1,85.3,85.3,1,66,3.8,5,130,24,88.5,115,118.2,38,35.2,3,439,253,10.5,18.3,3.82,0,6.8,2,72.1,50.0,2,4,4.3,2,20,1,76.8,67.2,1,31,2.2,7,312,44,89.7,280,93.2,61,56.5,1,474,199,4.5,10.8,1.69
Allen Robinson II,8696,WR,CHI,12,107,0,6,10.4,1,57.6,63.6,7,11,0.0,0,13,0,83.6,70.8,2,33,1.2,2,164,19,87.2,143,69.8,33,30.8,2,196,52,2.7,10.3,1.37,0,12.4,5,72.9,55.0,11,20,5.6,3,30,0,72.9,80.2,3,49,0.0,0,290,51,96.6,280,93.0,70,65.4,2,647,152,3.0,12.7,2.31
Jarvis Landry,8698,WR,CLV,12,103,0,8,11.0,4,55.9,38.5,5,13,17.4,4,17,0,37.3,73.3,1,34,0.0,0,146,19,89.7,131,89.6,34,33.0,2,274,106,5.6,14.4,2.09,0,10.4,6,69.6,50.0,5,10,2.5,1,26,0,82.2,79.7,4,65,0.0,0,284,39,92.3,262,81.3,56,54.4,1,605,208,5.3,15.5,2.31
Zach Ertz,7816,TE,PHI,12,101,0,24,9.5,1,66.7,57.1,4,7,9.7,3,20,0,57.0,75.1,1,25,3.5,7,201,28,91.0,183,95.0,42,41.6,2,317,81,2.9,11.3,1.73,0,8.2,3,72.7,72.7,8,11,0.0,0,18,1,90.1,74.2,0,26,4.4,10,227,40,91.2,207,92.7,55,54.5,0,396,134,3.4,9.9,1.91
Odell Beckham Jr.,8647,WR,CLV,12,100,0,8,10.9,1,50.0,58.3,7,12,14.3,3,10,0,46.4,63.6,2,39,0.0,0,147,18,88.4,130,47.1,36,36.0,0,229,95,5.3,12.7,1.76,0,14.3,2,65.5,54.5,6,11,7.3,3,22,0,66.5,74.7,2,89,0.0,0,287,38,92.0,264,94.8,58,58.0,2,571,185,4.9,15.0,2.16
Chris Godwin,11839,WR,TB,12,99,0,30,9.5,3,72.7,57.1,4,7,0.0,0,14,0,81.7,72.3,2,33,0.0,0,168,16,90.5,152,79.9,22,22.2,1,211,58,3.6,13.2,1.39,0,12.0,12,76.5,76.9,10,13,1.9,1,37,0,86.9,91.1,3,71,0.9,3,337,52,95.3,321,124.0,68,68.7,5,875,388,7.5,16.8,2.73
Julio Jones,6158,WR,ATL,11,97,0,2,13.4,0,60.7,60.0,6,10,5.6,1,13,1,82.7,83.6,1,54,0.0,0,113,17,90.3,102,112.6,28,28.9,2,343,131,7.7,20.2,3.36,0,12.9,2,68.3,31.3,5,16,2.3,1,34,0,90.3,80.9,2,48,0.0,0,279,43,93.5,261,84.3,63,64.9,0,583,104,2.4,13.6,2.23
Travis Kelce,7844,TE,KC,12,95,0,16,10.3,8,73.9,55.6,5,9,2.9,1,26,0,80.8,89.2,0,41,10.5,25,238,34,78.2,186,120.7,46,48.4,2,469,164,4.8,13.8,2.52,0,10.3,4,73.3,50.0,4,8,8.3,3,21,0,61.2,78.0,0,47,8.8,21,240,33,84.6,203,112.4,45,47.4,1,451,131,4.0,13.7,2.22
John Brown,8726,WR,BUF,12,93,0,4,13.4,5,56.6,54.5,6,11,3.2,1,22,0,77.5,76.5,2,38,0.0,0,230,30,93.0,214,78.7,53,57.0,2,414,114,3.8,13.8,1.93,0,15.6,4,76.3,25.0,1,4,6.5,2,24,0,57.0,74.6,1,40,0.0,0,201,29,95.0,191,121.5,38,40.9,2,449,66,2.3,15.5,2.35
D.J. Chark Jr.,47702,WR,JAX,12,92,0,15,13.2,1,53.3,25.0,3,12,0.0,0,12,0,82.7,72.6,1,37,0.0,0,143,16,93.7,134,98.7,30,32.6,3,236,80,5.0,14.8,1.76,0,14.8,6,67.3,42.9,6,14,2.8,1,20,0,82.2,76.5,1,69,0.0,0,333,35,94.0,313,101.4,52,56.5,1,559,162,4.6,16.0,1.79
Robert Woods,7822,WR,LA,11,91,0,26,7.6,2,70.8,50.0,2,4,0.0,0,13,0,82.2,74.3,0,25,3.2,4,126,17,90.5,114,100.5,24,26.4,0,227,128,7.5,13.4,1.99,0,8.7,4,69.7,42.9,3,7,4.2,2,24,0,78.5,76.9,4,48,2.3,7,307,46,90.9,279,73.2,66,72.5,0,607,328,7.1,13.2,2.18
Christian McCaffrey,11763,HB,CAR,12,90,0,5,0.9,9,80.0,33.3,1,3,0.0,0,17,0,84.1,95.1,1,24,28.3,49,173,20,68.2,118,114.7,25,27.8,2,228,225,11.3,11.4,1.93,0,0.9,6,86.2,50.0,2,4,5.7,3,20,0,73.0,78.3,0,25,12.3,38,308,50,84.4,260,100.1,58,64.4,1,386,352,7.0,7.7,1.48
Amari Cooper,9437,WR,DAL,12,89,0,9,13.8,2,65.9,33.3,5,15,10.0,3,21,0,58.0,90.4,2,53,0.0,0,160,27,90.0,144,106.9,41,46.1,3,451,104,3.9,16.7,3.13,0,12.7,2,78.3,25.0,1,4,5.3,2,23,0,71.4,78.9,0,45,0.0,0,226,36,96.0,217,134.6,46,51.7,3,510,95,2.6,14.2,2.35
DeVante Parker,9447,WR,MIA,12,86,0,17,13.8,3,50.0,46.2,6,13,5.9,1,15,0,67.7,78.0,3,43,0.0,0,185,16,88.6,164,77.5,32,37.2,5,255,75,4.7,15.9,1.55,0,15.4,4,72.0,69.2,9,13,2.7,1,26,0,72.0,75.3,0,50,0.0,0,287,36,95.8,275,118.0,50,58.1,1,591,144,4.0,16.4,2.15
Darren Waller,9637,TE,OAK,12,86,0,23,7.2,3,70.8,25.0,1,4,5.6,1,12,0,69.6,85.7,0,32,9.1,10,110,17,89.1,98,106.1,24,27.9,0,259,158,9.3,15.2,2.64,0,7.6,7,79.3,40.0,4,10,4.2,2,22,0,77.3,82.3,2,48,14.3,36,252,46,83.3,210,95.8,58,67.4,1,525,239,5.2,11.4,2.5
Calvin Ridley,48262,WR,ATL,12,86,0,2,10.8,0,63.6,20.0,1,5,0.0,0,11,0,80.6,68.9,0,36,0.0,0,138,14,89.1,123,108.0,22,25.6,1,199,38,2.7,14.2,1.62,0,15.7,4,67.8,60.0,9,15,7.0,3,29,0,66.3,74.6,2,34,0.0,0,342,40,93.6,320,95.0,59,68.6,2,556,79,2.0,13.9,1.74
Jamison Crowder,9538,WR,NYJ,12,84,0,22,8.6,0,54.8,50.0,3,6,5.6,1,8,0,69.9,67.4,3,29,0.0,0,164,17,92.1,151,55.8,31,36.9,2,194,69,4.1,11.4,1.28,0,6.7,4,73.5,66.7,2,3,7.7,3,16,0,63.6,65.4,1,30,0.0,0,243,36,94.2,229,90.5,49,58.3,1,340,176,4.9,9.4,1.48
Kenny Golladay,11851,WR,DET,12,84,0,11,16.9,1,43.3,50.0,8,16,13.3,2,12,0,48.0,74.0,2,75,0.0,0,139,13,93.5,130,90.3,30,35.7,4,290,85,6.5,22.3,2.23,0,17.9,2,64.6,64.3,9,14,6.1,2,24,1,69.6,74.7,2,66,0.7,2,305,31,92.5,282,118.4,48,57.1,4,629,170,5.5,20.3,2.23
Marvin Jones Jr.,7158,WR,DET,12,84,0,11,11.8,1,70.0,60.0,6,10,4.5,1,16,0,71.5,79.5,0,27,0.0,0,141,21,92.9,131,135.6,30,35.7,4,256,45,2.1,12.2,1.95,0,15.4,5,73.9,72.2,13,18,2.9,1,20,0,80.1,72.7,3,47,0.0,0,312,34,93.3,291,92.7,46,54.8,2,460,60,1.8,13.5,1.58
Curtis Samuel,11795,WR,CAR,12,83,0,5,14.3,1,50.0,50.0,3,6,9.5,2,13,0,58.1,72.6,0,33,0.0,0,175,19,95.4,167,96.2,38,45.8,3,238,69,3.6,12.5,1.43,0,16.3,1,52.4,27.3,3,11,18.5,5,14,0,29.8,55.6,1,44,0.0,0,302,22,97.0,293,65.0,42,50.6,0,294,40,1.8,13.4,1.0
Michael Gallup,26075,WR,DAL,10,82,0,9,12.3,3,56.8,41.7,5,12,16.0,4,14,0,37.6,68.3,1,41,0.0,0,160,21,90.0,144,81.7,37,45.1,1,307,80,3.8,14.6,2.13,0,14.5,4,62.8,50.0,5,10,15.6,5,21,0,36.4,75.4,1,62,0.0,0,208,27,96.6,201,105.5,43,52.4,2,467,137,5.1,17.3,2.32
Courtland Sutton,48164,WR,DEN,12,81,0,10,13.7,4,57.7,66.7,4,6,6.3,1,14,0,66.7,80.2,1,70,0.0,0,137,15,89.8,123,111.5,26,32.1,2,323,145,9.7,21.5,2.63,0,13.6,6,70.8,66.7,6,9,0.0,0,22,1,89.7,79.9,0,48,0.0,0,266,34,94.4,251,133.3,48,59.3,4,512,96,2.8,15.1,2.04
Tyler Lockett,9502,WR,SEA,12,80,0,29,12.8,1,75.8,60.0,3,5,7.4,2,16,0,65.0,73.9,0,38,0.0,0,190,25,90.0,171,122.0,33,41.3,2,290,91,3.6,11.6,1.7,0,12.7,1,79.5,60.0,3,5,2.8,1,24,0,80.4,78.8,0,44,0.0,0,248,35,92.7,230,130.7,44,55.0,2,516,129,3.7,14.7,2.24
Leonard Fournette,11759,HB,JAX,12,79,0,15,1.4,6,81.3,100.0,1,1,7.1,1,7,1,64.4,55.9,0,27,20.3,30,148,13,74.3,110,97.1,16,20.3,0,117,116,8.9,9.0,1.06,0,-0.2,14,84.7,0.0,0,1,3.8,2,13,0,71.9,72.4,1,20,11.7,36,308,50,82.5,254,82.1,59,74.7,0,318,340,6.8,6.4,1.25
Larry Fitzgerald,1724,WR,ARZ,12,79,0,1,11.6,0,57.7,50.0,6,12,0.0,0,9,0,81.1,67.1,0,45,0.8,1,122,15,91.8,112,90.1,26,32.9,1,169,39,2.6,11.3,1.51,0,6.3,6,89.1,80.0,4,5,0.0,0,20,0,90.2,74.6,2,54,0.6,2,318,41,93.4,297,90.0,46,58.2,0,458,207,5.0,11.2,1.54
Mark Andrews,47436,TE,BLT,12,78,0,3,9.8,2,75.0,66.7,4,6,0.0,0,12,0,81.1,81.6,0,51,3.3,3,91,15,91.2,83,115.2,20,25.6,1,163,66,4.4,10.9,1.96,0,11.3,5,64.7,16.7,2,12,10.8,4,20,2,53.6,84.0,3,39,1.3,2,154,33,96.8,149,90.3,51,65.4,3,480,156,4.7,14.5,3.22
Davante Adams,8688,WR,GB,8,77,0,12,8.0,0,76.0,66.7,2,3,5.0,1,14,0,70.5,86.8,0,58,0.0,0,83,19,90.4,75,116.3,25,32.5,1,225,99,5.2,11.8,3.0,0,11.8,1,63.5,20.0,1,5,2.9,1,23,1,78.9,83.0,0,40,0.0,0,198,33,92.4,183,101.4,52,67.5,2,419,157,4.8,12.7,2.29
Cole Beasley,7330,WR,BUF,12,76,0,4,7.9,1,64.1,25.0,1,4,3.8,1,16,0,74.2,72.5,1,29,0.5,1,208,25,93.3,194,100.8,39,51.3,3,284,135,5.4,11.4,1.46,0,7.2,0,81.8,100.0,1,1,6.9,2,13,0,65.2,72.1,2,51,1.3,2,160,27,96.3,154,103.0,33,43.4,2,328,143,5.3,12.1,2.13
D.K. Metcalf,47864,WR,SEA,12,75,0,29,12.4,5,53.8,42.9,6,14,19.2,5,13,2,30.4,65.9,0,53,0.0,0,179,21,89.4,160,98.9,39,52.0,2,326,153,7.3,15.5,2.04,0,16.1,1,66.7,57.1,4,7,0.0,0,13,1,83.6,67.2,0,54,0.0,0,225,20,92.9,209,118.5,30,40.0,1,358,82,4.1,17.9,1.71
Austin Ekeler,12164,HB,LAC,12,75,0,27,4.0,2,85.0,100.0,1,1,0.0,0,11,0,82.2,92.0,1,41,16.9,22,130,17,76.2,99,129.8,20,26.7,2,243,176,10.4,14.3,2.45,0,-0.3,14,97.9,100.0,1,1,0.0,0,19,0,90.4,93.3,0,55,4.1,7,169,47,88.2,149,120.1,48,64.0,2,455,472,10.0,9.7,3.05
Dede Westbrook,11865,WR,JAX,11,74,0,15,10.3,2,45.8,18.2,2,11,8.3,1,7,0,63.2,62.4,1,39,0.0,0,121,11,93.4,113,64.6,24,32.4,1,160,46,4.2,14.5,1.42,0,6.0,6,78.7,50.0,2,4,5.1,2,17,0,73.3,68.4,1,33,0.0,0,296,37,93.9,278,99.0,47,63.5,1,385,209,5.6,10.4,1.38
Auden Tate,48192,WR,CIN,11,74,0,7,13.3,2,44.4,38.9,7,18,5.9,1,15,0,68.0,72.4,0,33,2.2,4,181,16,92.3,167,76.2,36,48.6,1,240,59,3.7,15.0,1.44,0,11.5,2,65.6,75.0,6,8,8.7,2,13,0,59.5,70.6,1,27,1.4,3,209,21,93.8,196,80.3,32,43.2,0,281,57,2.7,13.4,1.43
Emmanuel Sanders,5606,WR,SF,13,73,0,28,12.1,1,57.7,20.0,1,5,6.3,1,12,0,68.7,79.6,2,32,0.0,0,133,15,88.7,118,76.9,26,35.6,2,207,65,4.3,13.8,1.75,0,10.2,3,77.3,42.9,3,7,0.0,0,19,0,89.0,76.9,1,53,0.0,0,230,34,96.1,221,95.1,44,60.3,0,402,111,3.3,11.8,1.82
Alvin Kamara,11822,HB,NO,10,73,0,20,3.4,3,61.5,0.0,0,1,20.0,2,5,0,35.7,50.8,1,41,8.2,7,85,8,85.9,73,80.0,13,17.8,1,103,107,13.4,12.9,1.41,0,-0.2,10,92.9,0.0,0,1,0.0,0,16,1,90.6,81.4,0,18,3.7,7,187,52,91.4,171,90.3,56,76.7,0,318,331,6.4,6.1,1.86
James White,8765,HB,NE,11,72,0,19,5.3,1,75.0,60.0,3,5,0.0,0,13,0,84.1,80.5,1,59,11.2,16,143,21,82.5,118,115.2,28,38.9,2,280,199,9.5,13.3,2.37,0,0.7,5,82.9,0.0,0,1,0.0,0,11,0,87.6,81.9,0,22,10.9,15,138,29,85.5,118,86.8,35,48.6,0,169,146,5.0,5.8,1.43
Christian Kirk,47546,WR,ARZ,9,72,0,1,10.3,1,50.0,25.0,1,4,0.0,0,5,0,76.5,59.7,0,24,0.0,0,90,7,92.2,83,65.5,14,19.4,0,73,46,6.6,10.4,0.88,0,9.9,2,71.4,44.4,4,9,2.4,1,18,0,82.6,65.1,0,69,0.0,0,274,40,94.2,258,112.9,56,77.8,3,450,158,4.0,11.3,1.74
Stefon Diggs,9579,WR,MIN,12,72,0,18,12.5,0,84.0,50.0,1,2,8.7,2,16,3,60.5,77.2,0,54,0.0,0,114,21,91.2,104,132.1,25,34.7,1,396,148,7.0,18.9,3.81,0,16.3,5,65.9,50.0,3,6,12.9,4,13,0,56.8,67.6,3,62,0.0,0,224,27,92.9,208,94.3,41,56.9,3,427,98,3.6,15.8,2.05
