player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Terrell Suggs,1326,ED,ARZ,11,5,1.3,0,0,1,34.1,67.2,23.5,68.6,75.9,36.2,21.2,7,5,174,183,9.8,17,21
Mike Adams,1972,S,HST,2,0,,0,0,13,67.5,70.0,82.2,,61.4,79.9,,0,0,11,12,0.0,0,0
Thomas Davis Sr.,2231,LB,LAC,11,14,3.1,0,0,27,53.8,61.1,19.5,73.4,69.6,51.9,7.5,4,3,254,266,7.5,19,35
Lorenzo Alexander,2476,ED,BUF,10,6,3.6,0,0,4,61.2,70.9,58.0,74.0,62.1,68.6,9.1,2,1,117,123,6.0,7,14
Johnathan Joseph,2969,CB,HST,8,0,14.3,1,0,13,60.1,61.5,84.3,75.9,60.0,40.7,20.0,1,2,112,116,0.0,0,4
Domata Peko Sr.,3068,DI,BLT,1,0,3.5,0,0,3,,69.6,75.2,52.6,73.6,68.7,0.0,0,0,10,10,10.0,1,2
Antoine Bethea,3152,S,NYG,10,8,10.1,0,0,21,62.5,69.5,84.9,65.3,78.6,73.3,8.3,3,0,287,296,2.8,8,25
Tramon Williams,3558,CB,GB,10,2,8.5,0,0,12,80.3,75.2,11.9,55.7,56.2,74.5,20.0,1,3,152,156,0.0,0,2
Eric Weddle,3653,S,LA,10,8,5.5,1,0,26,73.7,76.5,86.8,68.2,76.4,80.0,4.0,1,1,243,250,2.9,7,16
Brandon Mebane,3701,DI,LAC,8,2,3.2,0,0,27,59.3,53.3,86.6,52.7,55.0,61.2,6.7,1,0,122,132,6.6,8,12
Dominique Rodgers-Cromartie,4330,CB,WAS,2,0,13.5,0,0,32,41.5,42.6,77.7,,51.3,32.2,33.3,1,0,27,29,0.0,0,2
Aqib Talib,4334,CB,LA,5,1,13.0,2,0,26,55.8,55.4,82.7,,52.4,33.2,60.0,3,2,126,129,0.0,0,1
