team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,9,334,5,37,334,92.2,47,5
LA,26,9,343,13,36,343,91.4,54,5
ARZ,1,9,349,5,50,349,91.3,58,3
CLV,8,9,277,10,24,277,91.3,41,7
KC,16,9,376,13,54,376,89.8,72,5
CAR,5,10,384,8,54,384,89.1,73,11
PIT,25,9,353,19,48,353,88.8,73,6
IND,14,9,326,10,56,326,88.7,70,4
SEA,29,9,395,14,61,395,88.5,83,8
NE,19,9,288,8,41,288,88.4,58,9
DET,11,9,350,14,47,350,88.1,72,11
NO,20,9,332,16,48,332,88.0,72,8
MIA,17,9,308,15,51,308,87.7,71,5
TEN,31,9,307,29,36,307,87.5,71,6
LV,23,9,312,14,54,312,87.2,74,6
HST,13,9,360,6,69,360,87.1,84,9
BLT,3,9,299,9,48,299,87.1,67,10
LAC,27,9,368,21,60,368,87.1,88,7
ATL,2,9,383,22,55,383,87.1,88,11
TB,30,10,403,36,54,403,86.8,98,8
SF,28,10,379,29,45,379,86.5,88,14
BUF,4,10,411,15,84,411,86.0,107,8
DEN,10,9,377,19,74,377,85.8,100,7
WAS,32,9,378,26,50,378,85.7,92,16
DAL,9,9,431,15,78,431,85.7,108,15
JAX,15,9,389,12,74,389,85.3,100,14
CIN,7,9,416,25,77,416,85.1,113,11
MIN,18,9,267,18,45,267,84.1,74,11
CHI,6,10,435,24,92,435,83.4,130,14
PHI,24,9,398,22,68,398,82.9,113,23
NYJ,22,9,338,23,88,338,79.4,125,14
NYG,21,10,381,18,111,381,79.4,143,14
