"team_name","franchise_id","player_game_count","attempts","hits_allowed","hurries_allowed","pass_snaps","pbe","pressures_allowed","sacks_allowed","year","week"
"DEN",10,1,37,1,0,37,98.6,1,0,"2014",1
"NYJ",22,1,35,0,3,35,95.7,3,0,"2014",1
"CAR",5,1,35,2,1,35,95.7,3,0,"2014",1
"CIN",7,1,39,1,3,39,94.9,4,0,"2014",1
"BLT",3,1,67,1,3,67,94,6,2,"2014",1
"SEA",29,1,32,1,4,32,92.2,5,0,"2014",1
"CHI",6,1,51,1,6,51,91.2,8,1,"2014",1
"CLV",8,1,34,0,4,34,91.2,5,1,"2014",1
"HST",13,1,24,1,2,24,89.6,4,1,"2014",1
"PHI",24,1,51,0,5,51,89.2,8,3,"2014",1
"MIN",18,1,26,3,3,26,88.5,6,0,"2014",1
"OAK",23,1,34,1,5,34,88.2,7,1,"2014",1
"JAX",15,1,46,4,3,46,88,9,2,"2014",1
"MIA",17,1,33,3,5,33,87.9,8,0,"2014",1
"IND",14,1,60,2,11,60,87.5,14,1,"2014",1
"NYG",21,1,35,3,6,35,87.1,9,0,"2014",1
"SD",27,1,37,2,8,37,86.5,10,0,"2014",1
"TEN",31,1,41,0,6,41,85.4,9,3,"2014",1
"DET",11,1,34,0,10,34,85.3,10,0,"2014",1
"PIT",25,1,37,0,5,37,85.1,8,3,"2014",1
"DAL",9,1,40,0,8,40,85,10,2,"2014",1
"TB",30,1,40,2,8,40,85,11,1,"2014",1
"ARZ",1,1,43,3,8,43,84.9,12,1,"2014",1
"ATL",2,1,46,0,12,46,84.8,13,1,"2014",1
"GB",12,1,36,0,7,36,84.7,9,2,"2014",1
"BUF",4,1,26,1,6,26,82.7,8,1,"2014",1
"NO",20,1,43,0,15,43,82.6,15,0,"2014",1
"WAS",32,1,41,5,6,41,81.7,13,2,"2014",1
"SF",28,1,24,4,4,24,79.2,9,1,"2014",1
"KC",16,1,45,4,11,45,78.9,17,2,"2014",1
"NE",19,1,60,6,16,60,76.7,25,3,"2014",1
"SL",26,1,41,5,9,41,75.6,17,3,"2014",1
"DEN",10,2,64,1,3,64,95.3,5,1,"2014",2
"CIN",7,2,64,2,7,64,93,9,0,"2014",2
"BLT",3,2,96,1,9,96,92.7,12,2,"2014",2
"CLV",8,2,76,0,8,76,92.1,10,2,"2014",2
"CHI",6,2,88,2,11,88,90.3,15,2,"2014",2
"IND",14,2,97,4,13,97,90.2,18,1,"2014",2
"SEA",29,2,61,2,10,61,90.2,12,0,"2014",2
"NYJ",22,2,73,2,11,73,89.7,14,1,"2014",2
"HST",13,2,43,2,5,43,89.5,8,1,"2014",2
"CAR",5,2,75,3,7,75,89.3,13,3,"2014",2
"PHI",24,2,90,2,12,90,88.9,17,3,"2014",2
"ARZ",1,2,76,4,10,76,88.2,16,2,"2014",2
"MIA",17,2,88,3,12,88,88.1,18,3,"2014",2
"OAK",23,2,78,5,12,78,87.8,18,1,"2014",2
"NYG",21,2,77,3,14,77,87.7,18,1,"2014",2
"BUF",4,2,53,3,9,53,86.8,13,1,"2014",2
"TEN",31,2,79,1,14,79,86.7,18,3,"2014",2
"GB",12,2,85,2,13,85,86.5,19,4,"2014",2
"DET",11,2,88,3,15,88,86.4,21,3,"2014",2
"WAS",32,2,80,5,9,80,86.2,18,4,"2014",2
"NO",20,2,85,2,22,85,85.9,24,0,"2014",2
"ATL",2,2,95,4,21,95,85.8,26,1,"2014",2
"PIT",25,2,76,0,12,76,85.5,17,5,"2014",2
"MIN",18,2,70,4,13,70,85,19,2,"2014",2
"DAL",9,2,73,1,11,73,84.9,17,5,"2014",2
"SF",28,2,66,5,10,66,84.1,18,3,"2014",2
"TB",30,2,62,4,12,62,83.9,18,2,"2014",2
"KC",16,2,93,7,21,93,81.7,31,3,"2014",2
"SD",27,2,81,5,24,81,80.9,30,1,"2014",2
