player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.102,25,0.022,0.084,-0.059,-0.031,-0.040,-0.105,-0.003,0.037,-0.071,2.008,2.789,"RBC Canadian Open","St. George's G&CC"
"Thomas, Justin",150,2.022,29,0.012,0.076,-0.011,-0.086,-0.040,-0.109,0.025,0.037,-0.047,1.926,2.762,"RBC Canadian Open","St. George's G&CC"
"McIlroy, Rory",150,1.960,33,-0.001,0.047,0.002,0.108,-0.040,-0.189,0.005,0.028,-0.156,1.920,2.801,"RBC Canadian Open","St. George's G&CC"
"Smith, Cameron",150,1.985,28,0.013,-0.040,0.039,-0.251,-0.040,-0.028,0.024,0.043,0.040,1.746,2.778,"RBC Canadian Open","St. George's G&CC"
"Fitzpatrick, Matthew",150,1.535,27,0.016,0.054,0.023,0.002,-0.040,-0.035,-0.034,0.029,-0.041,1.550,2.737,"RBC Canadian Open","St. George's G&CC"
"Lowry, Shane",150,1.741,35,-0.008,0.019,-0.016,-0.130,-0.040,-0.041,-0.012,0.029,-0.025,1.541,2.768,"RBC Canadian Open","St. George's G&CC"
"Burns, Sam",150,1.621,25,0.022,-0.000,-0.017,-0.182,-0.040,-0.092,0.007,0.029,-0.056,1.348,2.830,"RBC Canadian Open","St. George's G&CC"
"Conners, Corey",150,1.372,30,0.007,-0.003,-0.018,-0.026,-0.040,-0.019,-0.053,0.011,-0.061,1.231,2.741,"RBC Canadian Open","St. George's G&CC"
"Finau, Tony",150,1.187,32,-0.000,-0.029,-0.037,0.084,-0.040,-0.065,0.021,0.015,-0.030,1.136,2.738,"RBC Canadian Open","St. George's G&CC"
"Hatton, Tyrrell",150,1.224,30,0.007,0.015,0.003,-0.167,-0.040,-0.032,0.027,0.028,0.023,1.064,2.812,"RBC Canadian Open","St. George's G&CC"
"Varner III, Harold",150,1.093,31,0.003,0.028,0.018,-0.065,-0.040,-0.042,0.014,0.025,-0.003,1.035,2.783,"RBC Canadian Open","St. George's G&CC"
"Kirk, Chris",150,0.892,37,-0.014,-0.093,0.028,0.068,-0.040,0.016,-0.033,0.014,-0.004,0.836,2.769,"RBC Canadian Open","St. George's G&CC"
"Mitchell, Keith",150,0.759,30,0.007,0.059,-0.004,0.058,-0.040,-0.089,-0.002,0.007,-0.084,0.755,2.790,"RBC Canadian Open","St. George's G&CC"
"Munoz, Sebastian",150,0.825,29,0.011,-0.026,-0.003,0.017,-0.040,-0.023,-0.022,0.010,-0.035,0.749,2.813,"RBC Canadian Open","St. George's G&CC"
"Hadwin, Adam",150,0.709,34,-0.006,0.008,-0.002,-0.105,-0.008,0.023,-0.034,0.019,0.009,0.603,2.772,"RBC Canadian Open","St. George's G&CC"
"Vegas, Jhonattan",150,0.686,37,-0.017,0.063,0.006,0.001,-0.040,-0.143,0.030,0.001,-0.111,0.588,2.745,"RBC Canadian Open","St. George's G&CC"
"Reed, Patrick",150,0.567,31,0.003,-0.064,0.012,-0.075,-0.040,0.038,-0.001,0.023,0.061,0.464,2.767,"RBC Canadian Open","St. George's G&CC"
"Rose, Justin",150,0.644,41,-0.030,-0.042,-0.014,-0.120,-0.040,-0.009,-0.013,0.010,-0.012,0.387,2.801,"RBC Canadian Open","St. George's G&CC"
"Pan, C.T.",150,0.451,30,0.007,-0.014,-0.000,-0.034,-0.040,0.020,-0.026,0.009,0.003,0.374,2.757,"RBC Canadian Open","St. George's G&CC"
"Theegala, Sahith",150,0.254,24,0.027,0.060,-0.006,0.093,-0.040,-0.048,0.023,0.006,-0.019,0.370,2.792,"RBC Canadian Open","St. George's G&CC"
"Long, Adam",150,0.411,34,-0.007,-0.009,-0.008,-0.003,-0.040,0.057,-0.049,0.008,0.015,0.360,2.812,"RBC Canadian Open","St. George's G&CC"
"Spaun, J.J.",150,0.306,31,0.003,0.055,-0.014,0.060,-0.040,0.031,-0.042,-0.000,-0.011,0.359,2.770,"RBC Canadian Open","St. George's G&CC"
"Frittelli, Dylan",150,0.238,32,0.002,0.084,-0.005,0.085,-0.040,-0.057,0.046,0.007,-0.005,0.359,2.782,"RBC Canadian Open","St. George's G&CC"
"Ghim, Doug",150,0.093,26,0.022,0.021,-0.013,0.283,-0.040,0.019,-0.056,-0.006,-0.042,0.323,2.747,"RBC Canadian Open","St. George's G&CC"
"Hubbard, Mark",150,0.304,33,-0.001,0.003,0.014,-0.107,-0.040,0.102,-0.024,0.014,0.093,0.265,2.734,"RBC Canadian Open","St. George's G&CC"
"Rai, Aaron",150,0.362,27,0.018,0.016,-0.017,-0.059,-0.040,0.023,-0.049,0.006,-0.020,0.260,2.752,"RBC Canadian Open","St. George's G&CC"
"Todd, Brendon",150,0.543,36,-0.014,-0.125,0.014,-0.220,-0.040,0.166,-0.097,0.021,0.089,0.248,2.724,"RBC Canadian Open","St. George's G&CC"
"Hughes, Mackenzie",150,0.342,31,0.004,0.011,-0.031,-0.103,-0.040,0.003,0.031,0.020,0.055,0.237,2.762,"RBC Canadian Open","St. George's G&CC"
"Lipsky, David",150,0.310,33,-0.004,0.023,0.011,-0.082,-0.040,0.035,-0.034,0.007,0.008,0.226,2.792,"RBC Canadian Open","St. George's G&CC"
"Rodgers, Patrick",150,0.284,29,0.009,-0.080,-0.012,0.092,-0.040,-0.084,0.044,0.004,-0.037,0.216,2.749,"RBC Canadian Open","St. George's G&CC"
"Perez, Pat",150,0.639,46,-0.045,-0.146,0.018,-0.292,-0.049,0.091,-0.021,0.018,0.087,0.213,2.721,"RBC Canadian Open","St. George's G&CC"
"Poston, J.T.",150,0.227,29,0.012,-0.022,0.029,-0.013,-0.040,0.002,-0.004,0.008,0.005,0.198,2.798,"RBC Canadian Open","St. George's G&CC"
"Smalley, Alex",150,0.151,25,0.023,0.007,0.016,0.112,-0.040,-0.060,-0.013,-0.004,-0.077,0.193,2.792,"RBC Canadian Open","St. George's G&CC"
"Champ, Cameron",150,0.039,26,0.019,0.025,0.019,0.228,-0.040,-0.180,0.020,-0.015,-0.175,0.114,2.811,"RBC Canadian Open","St. George's G&CC"
"Taylor, Nick",150,0.094,34,-0.005,0.019,0.024,-0.015,-0.038,0.017,-0.002,0.001,0.016,0.094,2.754,"RBC Canadian Open","St. George's G&CC"
"Hojgaard, Rasmus",150,0.015,21,0.037,0.031,0.028,0.074,-0.040,-0.113,0.046,0.000,-0.067,0.077,2.792,"RBC Canadian Open","St. George's G&CC"
"Lashley, Nate",150,0.073,39,-0.022,-0.020,0.010,0.035,-0.040,0.044,-0.022,0.002,0.025,0.060,2.789,"RBC Canadian Open","St. George's G&CC"
"Schwab, Matthias",150,0.106,27,0.017,0.063,-0.007,-0.132,-0.040,0.027,0.006,0.012,0.045,0.053,2.746,"RBC Canadian Open","St. George's G&CC"
"Burmester, Dean",150,0.043,33,-0.001,-0.055,-0.010,0.181,-0.040,-0.157,0.064,-0.004,-0.097,0.021,2.777,"RBC Canadian Open","St. George's G&CC"
"Jaeger, Stephan",150,0.022,33,-0.001,0.028,-0.019,-0.069,-0.040,0.047,0.025,0.015,0.086,0.008,2.796,"RBC Canadian Open","St. George's G&CC"
"Grillo, Emiliano",150,-0.017,29,0.010,0.041,-0.001,0.053,-0.040,-0.025,-0.039,-0.010,-0.074,-0.028,2.809,"RBC Canadian Open","St. George's G&CC"
"Clark, Wyndham",150,-0.151,28,0.014,0.029,0.014,0.169,-0.040,-0.145,0.064,0.006,-0.074,-0.040,2.774,"RBC Canadian Open","St. George's G&CC"
"Whaley, Vincent",150,-0.073,27,0.018,-0.020,0.002,0.035,-0.040,-0.030,0.058,0.003,0.031,-0.047,2.748,"RBC Canadian Open","St. George's G&CC"
"Svensson, Adam",150,-0.054,28,0.014,-0.023,0.015,0.028,-0.040,0.037,-0.030,-0.006,0.002,-0.059,2.810,"RBC Canadian Open","St. George's G&CC"
"Malnati, Peter",150,0.097,34,-0.007,-0.043,-0.008,-0.143,-0.040,0.026,0.031,0.011,0.069,-0.076,2.790,"RBC Canadian Open","St. George's G&CC"
"Laird, Martin",150,0.084,39,-0.022,-0.117,-0.006,0.086,-0.040,0.008,-0.070,-0.009,-0.071,-0.087,2.734,"RBC Canadian Open","St. George's G&CC"
"Duncan, Tyler",150,-0.025,32,-0.001,-0.000,0.017,-0.021,-0.040,0.046,-0.055,-0.007,-0.017,-0.087,2.806,"RBC Canadian Open","St. George's G&CC"
"Hardy, Nick",150,-0.213,26,0.021,0.048,0.025,0.102,-0.040,-0.065,0.027,-0.010,-0.047,-0.104,2.792,"RBC Canadian Open","St. George's G&CC"
"Sigg, Greyson",150,-0.219,27,0.018,0.058,0.021,0.032,-0.040,0.035,-0.009,-0.003,0.022,-0.108,2.792,"RBC Canadian Open","St. George's G&CC"
"Ryder, Sam",150,-0.037,32,0.001,0.032,0.014,-0.106,-0.040,0.033,-0.010,0.001,0.023,-0.112,2.783,"RBC Canadian Open","St. George's G&CC"
"Willett, Danny",150,-0.089,34,-0.007,0.011,0.004,-0.008,-0.040,-0.007,0.016,0.005,0.015,-0.114,2.782,"RBC Canadian Open","St. George's G&CC"
"Huh, John",150,-0.039,32,0.002,-0.065,-0.015,0.008,-0.040,0.071,-0.046,-0.001,0.024,-0.126,2.747,"RBC Canadian Open","St. George's G&CC"
"Sabbatini, Rory",150,0.113,46,-0.044,-0.106,0.032,-0.157,-0.040,0.092,-0.024,0.007,0.074,-0.129,2.801,"RBC Canadian Open","St. George's G&CC"
"Bramlett, Joseph",150,-0.368,34,-0.005,0.129,0.025,0.238,-0.040,-0.134,0.037,-0.015,-0.112,-0.132,2.807,"RBC Canadian Open","St. George's G&CC"
"Hickok, Kramer",150,-0.198,30,0.008,-0.037,0.007,0.132,-0.040,0.030,-0.043,-0.006,-0.020,-0.148,2.773,"RBC Canadian Open","St. George's G&CC"
"Hodges, Lee",150,-0.237,26,0.019,0.004,0.023,0.083,-0.040,0.003,-0.012,-0.007,-0.016,-0.164,2.784,"RBC Canadian Open","St. George's G&CC"
"Piercy, Scott",150,-0.145,43,-0.036,-0.031,0.004,0.063,-0.040,0.011,0.011,-0.004,0.018,-0.168,2.777,"RBC Canadian Open","St. George's G&CC"
"Armour, Ryan",150,-0.109,46,-0.045,-0.010,0.030,-0.011,-0.040,0.091,-0.094,-0.006,-0.008,-0.193,2.796,"RBC Canadian Open","St. George's G&CC"
"Smotherman, Austin",150,-0.167,28,0.015,0.047,0.015,0.026,-0.040,-0.052,-0.025,-0.014,-0.091,-0.193,2.833,"RBC Canadian Open","St. George's G&CC"
"Lee, Danny",150,-0.092,31,0.003,-0.101,-0.017,0.060,-0.047,-0.016,0.008,-0.012,-0.019,-0.213,2.793,"RBC Canadian Open","St. George's G&CC"
"Ortiz, Carlos",150,-0.133,31,0.005,0.017,-0.038,-0.025,-0.040,-0.023,0.023,-0.002,-0.002,-0.215,2.798,"RBC Canadian Open","St. George's G&CC"
"Novak, Andrew",150,-0.231,27,0.018,0.012,0.016,-0.036,-0.040,0.005,0.028,-0.001,0.032,-0.228,2.805,"RBC Canadian Open","St. George's G&CC"
"Garnett, Brice",150,-0.089,38,-0.020,-0.053,-0.006,-0.055,-0.040,0.051,-0.044,0.000,0.008,-0.254,2.745,"RBC Canadian Open","St. George's G&CC"
"Streb, Robert",150,-0.341,35,-0.008,0.026,-0.010,0.088,-0.040,0.013,0.010,-0.003,0.021,-0.264,2.800,"RBC Canadian Open","St. George's G&CC"
"Wu, Brandon",150,-0.393,25,0.024,0.036,0.027,0.057,-0.040,0.027,-0.003,-0.010,0.015,-0.275,2.792,"RBC Canadian Open","St. George's G&CC"
"Higgs, Harry",150,-0.324,30,0.007,0.074,-0.004,-0.027,-0.040,-0.008,0.035,0.006,0.034,-0.282,2.822,"RBC Canadian Open","St. George's G&CC"
"Gotterup, Chris",150,-0.584,-1,0.000,-0.001,0.289,-0.001,-0.040,0.011,0.006,-0.004,0.013,-0.324,2.792,"RBC Canadian Open","St. George's G&CC"
