datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,22969164,11100,34.786,12:53 pm,0,83.9,9.2,0,93.1,0.67,100,24.332922080915,
"Thomas, Justin","Justin Thomas",150,22969165,10900,34.376,7:13 am,1,82.8,8.9,0,91.7,0.68,100,25.5284738413149,
"McIlroy, Rory","Rory McIlroy",150,22969166,10500,34.746,7:13 am,1,83.5,9,0,92.5,1,100,25.9322353863551,
"Smith, Cameron","Cameron Smith",150,22969167,10300,34.389,12:53 pm,0,80.6,8.1,0,88.7,0.84,100,22.9662269597797,
"Lowry, Shane","Shane Lowry",150,22969168,10100,34.213,7:24 am,1,76.7,6.9,0,83.6,0.57,100,19.8392593544348,
"Burns, Sam","Sam Burns",150,22969169,10000,34.672,12:53 pm,0,75.4,6.3,0,81.7,0.49,100,18.3013728708357,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,22969170,9900,34.138,7:24 am,1,76.7,7,0,83.7,0.7,100,22.0740183381365,
"Varner III, Harold","Harold Varner III",150,22969171,9700,33.746,1:04 pm,0,70.8,5.2,0,76,0.24,100,14.6391978918099,
"Conners, Corey","Corey Conners",150,22969172,9600,33.722,7:13 am,1,72,5.7,0,77.7,0.43,100,20.3553672166988,
"Hatton, Tyrrell","Tyrrell Hatton",150,22969173,9500,34.297,1:04 pm,0,71.1,5.2,0,76.3,0.39,100,14.8163025052683,
"Finau, Tony","Tony Finau",150,22969174,9400,33.496,7:35 am,1,71.4,5.5,0,76.9,0.5,100,17.4437826383155,
"Hadwin, Adam","Adam Hadwin",150,22969175,9300,32.614,7:02 am,1,63.9,3.7,0,67.6,-0.07,100,15.7478386301806,
"Munoz, Sebastian","Sebastian Munoz",150,22969176,9200,33.495,1:15 pm,0,66.7,4.2,0,70.9,0.17,100,11.9285993037528,
"Kirk, Chris","Chris Kirk",150,22969177,9100,33.395,8:17 am,1,67.4,4.5,0,71.8,0.3,100,13.1665346395397,
"Mitchell, Keith","Keith Mitchell",150,22969178,9000,33.163,12:55 pm,0,66.4,4.2,0,70.5,0.26,100,11.8792773807087,
"Rose, Justin","Justin Rose",150,22969180,8800,32.226,1:04 pm,0,61.5,3.1,0,64.6,-0.03,100,7.77727616330758,
"Theegala, Sahith","Sahith Theegala",150,22969181,8700,32.018,12:20 pm,0,60.8,3,0,63.9,-0.02,100,8.26775993683985,
"Vegas, Jhonattan","Jhonattan Vegas",150,22969182,8500,32.238,7:46 am,1,63.9,3.7,0,67.5,0.35,100,9.6098072070151,
"Hughes, Mackenzie","Mackenzie Hughes",150,22969183,8400,31.471,7:02 am,1,58.6,2.7,0,61.3,-0.03,100,9.53081878906193,
"Hojgaard, Rasmus","Rasmus Hojgaard",150,22969184,8300,31.173,1:39 pm,0,57.5,2.5,0,60,-0.04,100,5.08607098923611,
"Todd, Brendon","Brendon Todd",150,22969185,8200,30.982,12:44 pm,0,59.1,2.8,0,61.8,0.1,100,10.7034851741646,
"Hubbard, Mark","Mark Hubbard",150,22969188,7900,30.746,12:11 pm,0,59,2.7,0,61.7,0.29,100,5.57618912390475,
"Rai, Aaron","Aaron Rai",150,22969187,7900,31.281,12:11 pm,0,59.3,2.7,0,62,0.31,100,6.3696952863241,
"Champ, Cameron","Cameron Champ",150,22969189,7800,31.481,1:15 pm,0,58.4,2.6,0,61,0.29,100,5.90824756167101,
"Long, Adam","Adam Long",150,22969190,7800,32.091,7:55 am,1,61.4,3,0,64.4,0.55,100,5.42887568771582,
"Rodgers, Patrick","Patrick Rodgers",150,22969191,7700,30.863,1:17 pm,0,58.6,2.6,0,61.3,0.38,100,4.39825636388197,
"Spaun, J.J.","J.J. Spaun",150,22969192,7700,31.505,7:35 am,1,60.6,2.9,0,63.5,0.55,100,6.62234114667446,
"Taylor, Nick","Nick Taylor",150,22969193,7700,30.438,7:35 am,1,57.1,2.4,0,59.5,0.24,100,7.26353960173928,
"Frittelli, Dylan","Dylan Frittelli",150,22969196,7600,31.654,7:44 am,1,60.8,3,0,63.8,0.64,100,6.58205225760026,
"Burmester, Dean","Dean Burmester",150,22969194,7600,30.581,2:21 pm,0,56.4,2.3,0,58.7,0.24,100,3.38522644328409,
"Laird, Martin","Martin Laird",150,22969199,7500,30.144,12:55 pm,0,54.4,2.1,0,56.5,0.14,100,3.29354303368294,
"Smotherman, Austin","Austin Smotherman",150,22969197,7500,30.333,2:21 pm,0,54.7,2,0,56.7,0.15,100,5.39115453968878,
"Smalley, Alex","Alex Smalley",150,22969200,7500,31.393,12:20 pm,0,58.8,2.7,0,61.5,0.52,100,4.93694294613535,
"Duncan, Tyler","Tyler Duncan",150,22969198,7500,30.534,7:44 am,1,55.4,2.2,0,57.6,0.22,100,5.60903495193633,
"Wallace, Matt","Matt Wallace",150,22969201,7400,27.889,12:00 pm,0,48.8,1.3,0,50.1,-0.12,100,3.92881402821484,
"Huh, John","John Huh",150,22969204,7400,29.626,12:22 pm,0,54.2,2,0,56.2,0.18,100,3.6278710816253,
"Willett, Danny","Danny Willett",150,22969202,7400,30.248,12:33 pm,0,55,2.1,0,57.1,0.25,100,3.26905732304033,
"Grillo, Emiliano","Emiliano Grillo",150,22969203,7400,30.842,12:55 pm,0,56,2.2,0,58.3,0.34,100,4.41483014692225,
"Jaeger, Stephan","Stephan Jaeger",150,22969206,7300,30.535,1:28 pm,0,56.6,2.2,0,58.8,0.44,100,4.49026142761991,
"Lipsky, David","David Lipsky",150,22969205,7300,31.757,8:39 am,1,59.1,2.8,0,61.9,0.68,100,6.53076965802348,
"Schwab, Matthias","Matthias Schwab",150,22969207,7300,30.425,6:40 am,1,56.3,2.3,0,58.6,0.43,100,4.65909596086751,
"Armour, Ryan","Ryan Armour",150,22969209,7300,30.107,1:28 pm,0,54.3,2,0,56.3,0.25,100,3.04868440589024,
"Sigg, Greyson","Greyson Sigg",150,22969208,7300,30.346,2:01 pm,0,54.8,2.1,0,56.9,0.29,100,3.02845968643322,
"Bramlett, Joseph","Joseph Bramlett",150,22969210,7200,30.231,8:19 am,1,54.2,2,0,56.2,0.3,100,2.67853480890219,
"Hardy, Nick","Nick Hardy",150,22969211,7200,30.357,8:50 am,1,54.9,2.1,0,57,0.37,100,3.56721853374958,
"Sabbatini, Rory","Rory Sabbatini",150,22969213,7200,30.384,12:31 pm,0,54.5,2.1,0,56.6,0.33,100,4.02257066576812,
"Poston, J.T.","J.T. Poston",150,22969212,7200,31.574,7:33 am,1,59.5,2.7,0,62.2,0.76,100,5.95119257157068,
"Stuard, Brian","Brian Stuard",150,22969218,7100,28.777,6:51 am,1,50.9,1.6,0,52.5,0.08,100,1.97653100517979,
"Svensson, Adam","Adam Svensson",150,22969219,7100,30.952,1:59 pm,0,56,2.2,0,58.3,0.53,100,8.00841459361342,
"Mullinax, Trey","Trey Mullinax",150,22969215,7100,29.446,12:42 pm,0,52,1.7,0,53.6,0.17,100,1.7070592236397,
"Snedeker, Brandt","Brandt Snedeker",150,22969217,7100,28.203,7:24 am,1,49.4,1.4,0,50.8,-0.02,100,2.39940188269386,
"Seiffert, Chase","Chase Seiffert",150,22969216,7100,29.661,2:10 pm,0,51.9,1.7,0,53.6,0.16,100,1.86278379486231,
"Whaley, Vincent","Vince Whaley",150,22969220,7100,30.333,6:40 am,1,55.2,2.2,0,57.3,0.45,100,2.77795697978497,
"Hodges, Lee","Lee Hodges",150,22969222,7000,30.050,7:22 am,1,54,2,0,56,0.41,100,2.80399637615839,
"Malnati, Peter","Peter Malnati",150,22969223,7000,30.311,7:57 am,1,55.2,2.1,0,57.3,0.52,100,3.54179437680241,
"Novak, Andrew","Andrew Novak",150,22969224,7000,29.996,1:59 pm,0,53.5,1.9,0,55.4,0.37,100,2.82517972051296,
"Lebioda, Hank","Hank Lebioda",150,22969225,7000,29.126,6:40 am,1,51.4,1.7,0,53.1,0.19,100,2.34970408416404,
"Ghim, Doug","Doug Ghim",150,22969221,7000,31.313,8:06 am,1,60.1,2.9,0,63,0.95,100,6.23021800608195,
"Piercy, Scott","Scott Piercy",150,22969226,7000,29.880,7:00 am,1,54.1,2,0,56.1,0.42,100,2.85102627425192,
"Donald, Luke","Luke Donald",150,22969230,6900,28.796,7:55 am,1,50.5,1.5,0,52,0.17,100,2.95989715929262,
"Clark, Wyndham","Wyndham Clark",150,22969229,6900,30.356,8:08 am,1,55.5,2.2,0,57.6,0.6,100,4.06870026652946,
"Wu, Brandon","Brandon Wu",150,22969227,6900,29.484,1:39 pm,0,52.5,1.8,0,54.2,0.34,100,3.15477620067694,
"Buckley, Hayden","Hayden Buckley",150,22969228,6900,28.547,6:51 am,1,49.5,1.4,0,51,0.09,100,1.27891674930848,
"Bae, Sangmoon","Sang-Moon Bae",150,22969233,6900,24.622,12:00 pm,0,41.2,0.7,0,41.8,-0.26,100,0.154822573222078,
"Hickok, Kramer","Kramer Hickok",150,22969231,6900,29.969,1:26 pm,0,53.8,2,0,55.8,0.46,100,2.66137012014123,
"Haas, Bill","Bill Haas",150,22969236,6800,28.235,1:37 pm,0,50.3,1.4,0,51.7,0.21,100,1.31103855327715,
"Lower, Justin","Justin Lower",150,22969237,6800,28.936,8:41 am,1,50.9,1.6,0,52.5,0.27,100,2.22713673679884,
"Higgs, Harry","Harry Higgs",150,22969240,6800,29.663,7:00 am,1,52.3,1.7,0,54,0.39,100,2.7277562972036,
"O'Hair, Sean","Sean O'Hair",150,22969234,6800,27.403,1:06 pm,0,47.3,1.2,0,48.4,-0.02,100,1.72308330205654,
"Moore, Ryan","Ryan Moore",150,22969238,6800,27.106,1:37 pm,0,46.7,1.1,0,47.8,-0.04,100,1.17408873505336,
"Taylor, Vaughn","Vaughn Taylor",150,22969239,6800,28.151,7:11 am,1,48.9,1.4,0,50.3,0.1,100,2.21139252445189,
"Bryan, Wesley","Wesley Bryan",150,22969235,6800,28.219,1:48 pm,0,48,1.2,0,49.3,0.03,100,1.31101346432494,
"Garnett, Brice","Brice Garnett",150,22969243,6700,29.492,12:11 pm,0,52.7,1.8,0,54.5,0.49,100,2.90827814553359,
"Kodaira, Satoshi","Satoshi Kodaira",150,22969241,6700,27.118,1:06 pm,0,46.1,1,0,47.1,-0.03,100,1.54870068468165,
"Hoffman, Charley","Charley Hoffman",150,22969247,6700,28.802,7:33 am,1,50,1.4,0,51.4,0.25,100,3.08865580383966,
"Ortiz, Carlos","Carlos Ortiz",150,22969242,6700,30.063,7:33 am,1,53.5,1.9,0,55.4,0.56,100,3.24030937013257,
"Tarren, Callum","Callum Tarren",150,22969246,6700,29.162,1:39 pm,0,51.9,1.7,0,53.5,0.42,100,2.17187939897905,
"Kohles, Ben","Ben Kohles",150,22969245,6700,28.040,8:30 am,1,49.8,1.4,0,51.2,0.24,100,1.78989576627326,
"Barjon, Paul","Paul Barjon",150,22969244,6700,27.532,2:10 pm,0,47.4,1.2,0,48.6,0.04,100,1.44015765940064,
"Villegas, Camilo","Camilo Villegas",150,22969248,6600,28.188,12:31 pm,0,48.7,1.3,0,49.9,0.2,100,1.08483787212275,
"Byrd, Jonathan","Jonathan Byrd",150,22969249,6600,28.808,1:37 pm,0,50,1.5,0,51.4,0.32,100,2.04691407260701,
"Hagy, Brandon","Brandon Hagy",150,22969253,6600,27.739,1:06 pm,0,47.8,1.2,0,49,0.13,100,0.851616147202102,
"Cabrera Bello, Rafa","Rafa Cabrera Bello",150,22969250,6600,26.896,7:11 am,1,45.6,1,0,46.7,-0.02,100,0.96272708583886,
"Gligic, Michael","Michael Gligic",150,22969251,6600,28.048,8:19 am,1,47.9,1.3,0,49.1,0.14,100,1.14556446565975,
"Kraft, Kelly","Kelly Kraft",150,22969254,6600,26.501,12:42 pm,0,45.1,1,0,46.1,-0.04,100,0.801533324990046,
"Lee, Danny","Danny Lee",150,22969255,6600,29.895,8:17 am,1,54,1.9,0,56,0.67,100,3.40889793184891,
"Ryder, Sam","Sam Ryder",150,22969252,6600,30.041,1:26 pm,0,54.3,2,0,56.3,0.69,100,3.48295952255667,
"Werbylo, Trevor","Trevor Werbylo",150,22969258,6500,25.234,8:19 am,1,42.2,0.7,0,42.9,-0.11,100,0.169866991125806,
"Streb, Robert","Robert Streb",150,22969262,6500,29.854,7:44 am,1,52.6,1.8,0,54.4,0.61,100,2.84552761744833,
"Percy, Cameron","Cameron Percy",150,22969257,6500,27.450,7:46 am,1,47,1.2,0,48.2,0.13,100,1.69778705888875,
"Gutschewski, Scott","Scott Gutschewski",150,22969263,6500,28.389,12:00 pm,0,50.3,1.6,0,51.9,0.42,100,2.20318116136763,
"Martin, Ben","Ben Martin",150,22969261,6500,28.079,8:08 am,1,49.1,1.4,0,50.4,0.31,100,1.74571436564658,
"Thompson, Curtis","Curtis Thompson",150,22969260,6500,26.730,8:41 am,1,46.2,1.1,0,47.2,0.06,100,0.933749287901769,
"Lingmerth, David","David Lingmerth",150,22969256,6500,27.622,12:20 pm,0,47.7,1.2,0,48.9,0.18,100,0.870630955581024,
"Wu, Dylan","Dylan Wu",150,22969259,6500,28.234,9:01 am,1,49.1,1.3,0,50.5,0.31,100,1.54871955861835,
"Norlander, Henrik","Henrik Norlander",150,22969267,6400,28.248,8:06 am,1,48.6,1.4,0,50,0.33,100,1.96895574433102,
"Cockerill, Aaron","Aaron Cockerill",150,22969265,6400,24.741,1:50 pm,0,41.5,0.7,0,42.1,-0.11,100,0.988830966045558,
"Skinns, David","David Skinns",150,22969269,6400,27.129,8:39 am,1,46.6,1,0,47.6,0.15,100,0.865797518762056,
"Garrigus, Robert","Robert Garrigus",150,22969271,6400,25.219,1:48 pm,0,41.4,0.7,0,42.1,-0.12,100,0.61353571448105,
"Dufner, Jason","Jason Dufner",150,22969270,6400,25.262,7:11 am,1,42.1,0.8,0,42.9,-0.09,100,0.287866852753397,
