"","X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1",1,"Scottie Scheffler",22969164,11100,90.59,0.0904,0.0942,2,0.00380000000000001,0.042,87.45,18,106.5,68,0.8814,0.6552,0.4785,0.3268,0.104,8.49,1,-1.01,7.45,25,102.68
"2",2,"Justin Thomas",22969165,10900,96,0.0795,0.0855,3,0.00600000000000001,0.0755,91.54,17.2,118.35,71.65,0.8748,0.6337,0.4587,0.303,0.0907,7.84,1,-0.73,9.31,27,102.68
"3",3,"Rory McIlroy",22969166,10500,86.12,0.0808,0.0957,1,0.0149,0.1844,89.91,21.1,110,70.5,0.8728,0.631,0.4545,0.3049,0.0927,9.11,1,2.25,9.65,31,97.43
"4",4,"Cameron Smith",22969167,10300,87.88,0.0651,0.0749,4,0.00979999999999999,0.1505,83.71,14.1,102.5,65.5,0.8594,0.5868,0.4115,0.2653,0.0723,7.27,1,1.19,8.23,22,69.89
"5",5,"Shane Lowry",22969168,10100,71.54,0.0432,0.0521,6,0.0089,0.206,80.96,12.8,99.5,63,0.8325,0.5349,0.3534,0.2137,0.0549,5.16,1,-0.2,6.15,19,67.67
"6",6,"Sam Burns",22969169,10000,79.34,0.0549,0.0531,5,-0.0018,-0.0328,76.76,11.3,97,40.15,0.8073,0.4854,0.3145,0.1883,0.0466,5.31,1,0.29,6.44,18,72.31
"7",7,"Harold Varner III",22969171,9700,66.64,0.0263,0.0262,10,-9.99999999999994e-05,-0.0038,72.33,9.3,93,31,0.7727,0.4115,0.2398,0.1316,0.0266,2.7,1,-1.37,4.27,14,77.56
"8",8,"Corey Conners",22969172,9600,68.38,0.037,0.0394,7,0.0024,0.0649,77.7,19.3,97,57.5,0.7976,0.4525,0.2762,0.1548,0.0339,4.1,1,0.32,5.89,25,66.37
"9",9,"Tyrrell Hatton",22969173,9500,75.92,0.0298,0.037,8,0.0072,0.2416,76.44,14.3,97.5,33.5,0.7738,0.4149,0.2469,0.1383,0.03,3.89,1,0.38,6.54,21,66.37
"10",10,"Tony Finau",22969174,9400,65.41,0.0303,0.0331,9,0.0028,0.0924,75.25,17.1,95.5,35.5,0.7812,0.4255,0.2519,0.1368,0.029,3.52,1,0.27,5.54,23,66.37
"11",11,"Adam Hadwin",22969175,9300,66.36,0.0192,0.0237,11,0.0045,0.2344,66.01,15.8,88.5,28.5,0.6979,0.2933,0.1529,0.076,0.0126,2.55,1,-0.45,4.46,20,75.82
"12",12,"Sebastian Munoz",22969176,9200,67.92,0.0191,0.0181,13,-0.000999999999999997,-0.0524,67.26,9.5,90,28.5,0.7245,0.3322,0.1842,0.0976,0.0184,1.97,1,-0.8,4.31,14,69.47
"13",13,"Chris Kirk",22969177,9100,63.92,0.0184,0.0199,12,0.0015,0.0815,73.72,14.1,93.5,33,0.7375,0.3472,0.1961,0.0996,0.0189,2.19,1,-0.36,4.84,19,71.62
"14",14,"Keith Mitchell",22969178,9000,68.06,0.0179,0.0176,14,-0.000299999999999998,-0.0168,65.17,10.9,87.85,28,0.7283,0.3344,0.1828,0.0933,0.0166,1.96,1,-0.39,4.34,15,72.62
"15",15,"Justin Rose",22969180,8800,62.79,0.014,0.0126,18,-0.0014,-0.1,61.91,8.2,85.5,27,0.6667,0.2538,0.1266,0.0614,0.0101,1.43,1,-0.55,3.61,12,64.05
"16",16,"Sahith Theegala",22969181,8700,65.77,0.0128,0.0126,18,-0.000200000000000001,-0.0156,59.44,9.4,83.5,26.5,0.6622,0.2427,0.1202,0.0556,0.009,1.45,1,-0.37,3.72,13,60.16
"17",17,"Jhonattan Vegas",22969182,8500,66.28,0.0134,0.0132,16,-0.000200000000000001,-0.0149,66.99,11.2,90,28.5,0.7006,0.2882,0.1479,0.0694,0.0117,1.55,1,0.01,4.72,16,71.87
"18",18,"Mackenzie Hughes",22969183,8400,56.17,0.011,0.0121,19,0.0011,0.1,53.49,8.9,80,25,0.6377,0.2141,0.1003,0.046,0.0072,1.44,1,0.02,3.08,12,52.39
"19",19,"Rasmus Hojgaard",22969184,8300,70.71,0.008,0.0072,30,-8e-04,-0.1,59.93,3.6,84.5,26,0.6078,0.188,0.0864,0.0369,0.0052,0.87,1,-0.45,4.01,8,59.18
"20",20,"Brendon Todd",22969185,8200,58.06,0.0098,0.0134,15,0.0036,0.3673,59.65,14.6,83.5,26.5,0.6403,0.2114,0.0989,0.0448,0.0064,1.63,1,0.39,4,19,54.91
"21",21,"Aaron Rai",22969187,7900,57.74,0.009,0.0086,24,-0.000399999999999999,-0.0444,62.48,8.5,85.5,27.5,0.6441,0.2188,0.1026,0.045,0.0066,1.09,1,0.03,3.71,12,63.26
"22",22,"Mark Hubbard",22969188,7900,69.72,0.0083,0.0076,28,-7e-04,-0.0843,60.61,4,84,27,0.6479,0.2174,0.1008,0.0456,0.0059,0.96,1,-0.1,4.12,8,58.39
"23",23,"Cameron Champ",22969189,7800,51.77,0.0089,0.008,26,-9e-04,-0.1011,50.25,8.2,77,24.5,0.6139,0.1965,0.0927,0.0431,0.0069,1.03,1,0.01,2.34,11,52.39
"24",24,"Adam Long",22969190,7800,56.19,0.0098,0.0084,25,-0.0014,-0.1429,53.79,7.4,79,25,0.6564,0.2404,0.1221,0.0576,0.0096,1.08,1,0.06,2.82,10,52.39
"25",25,"Patrick Rodgers",22969191,7700,55.29,0.0081,0.0071,31,-0.000999999999999999,-0.1235,58.44,6.4,83,26,0.6364,0.2066,0.0962,0.0418,0.0054,0.92,1,-0.06,3.17,10,57.49
"26",26,"J.J. Spaun",22969192,7700,60.34,0.0117,0.0101,20,-0.0016,-0.1368,56.37,9.2,82.5,25.5,0.6575,0.237,0.117,0.0546,0.0076,1.31,1,0.33,3.63,13,54.91
"27",27,"Nick Taylor",22969193,7700,54.42,0.0066,0.0073,29,7e-04,0.1061,57.95,10.5,82.5,26,0.6078,0.1835,0.0827,0.0368,0.0052,0.95,1,-0.03,3.24,14,57.49
"28",28,"Dean Burmester",22969194,7600,61.85,0.0061,0.0053,44,-8e-04,-0.1311,58.14,1.5,83,26,0.6016,0.1739,0.0776,0.0342,0.0046,0.7,1,-0.24,3.43,5,56.22
"29",29,"Dylan Frittelli",22969196,7600,55.05,0.0116,0.0099,21,-0.0017,-0.1466,53.12,8.9,79,24.5,0.654,0.237,0.1152,0.0522,0.0084,1.3,1,0.36,2.93,12,51.08
"30",30,"Austin Smotherman",22969197,7500,57.75,0.0043,0.0045,56,2e-04,0.0465,55.26,9.9,81,25.5,0.5595,0.1464,0.0629,0.0268,0.0036,0.6,1,-0.3,3.06,13,52.76
"31",31,"Tyler Duncan",22969198,7500,55.47,0.0056,0.0053,44,-3e-04,-0.0536,53.51,6.6,80,25,0.5726,0.1587,0.0695,0.0294,0.0045,0.71,1,-0.19,2.81,9,50.09
"32",32,"Martin Laird",22969199,7500,53.86,0.0072,0.0062,37,-0.001,-0.1389,56.11,4.5,80.5,25.5,0.5798,0.1565,0.066,0.0273,0.0032,0.83,1,-0.07,2.78,7,50.09
"33",33,"Alex Smalley",22969200,7500,55.52,0.0101,0.0093,22,-8e-04,-0.0792,59.91,6.2,84.5,27,0.6283,0.2066,0.0954,0.0439,0.007,1.24,1,0.34,3.63,10,56.06
"34",34,"Matt Wallace",22969201,7400,46.21,0.0047,0.0053,44,6e-04,0.1277,49.76,6.7,76.5,24.5,0.4831,0.0886,0.0347,0.0131,0.0015,0.72,1,-0.13,2.03,9,50.09
"35",35,"Danny Willett",22969202,7400,49.12,0.007,0.0061,38,-9e-04,-0.1286,53.35,2.3,79.5,25.5,0.5708,0.1511,0.0641,0.0261,0.0035,0.82,1,-0.03,2.43,5,50.09
