player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,49.59,4.8,49.77,76,24,0,0,7000,,34908,1210
1496,,,G,Scottie Scheffler,87.45,18.3,96.14,106.5,68,0,0,11100,,35127,1496
765424,,,G,Brendan Leonard,25.56,0.01,9.2,53.68,14.06,0,0,6100,,3549707,765424
2046,,,G,Jason Dufner,46.21,0.82,29.2,73.5,23.5,0,0,6400,,34756,2046
2167,,,G,J.J. Spaun,56.37,8.9,66.59,82.5,25.5,0,0,7700,,36093,2167
2178,,,G,Pat Perez,,0,,,,0,0,7600,,36099,2178
1562,,,G,Curtis Thompson,47.34,0.22,33.73,75,23.5,0,0,6500,,2959180,1562
1112,,,G,Robert Streb,47.59,1.5,46.04,74,23.5,0,0,6500,,34814,1112
2135,,,G,John Merrick,33.43,0.01,20.72,58.5,19.5,0,0,6000,,34987,2135
692781,,,G,Aaron Cockerill,41.22,2.2,9.2,69,22,0,0,6400,,3549708,692781
1860,,,G,Corey Conners,77.7,19,90.03,97,57.5,0,0,9600,,37123,1860
2125,,,G,Tony Finau,75.25,16.4,86.51,95.5,35.5,0,0,9400,,34873,2125
1179,,,G,Brandon Hagy,41.97,0.79,30.93,69.5,22.5,0,0,6600,,36079,1179
2026,,,G,Bo Van Pelt,34.43,0.16,23.3,61,20,0,0,6200,,1303898,2026
696566,,,G,Brandon Wu,49.26,3.5,51.84,76.35,24.5,0,0,6900,,1074861,696566
1883,,,G,Danny Lee,49.54,7.3,51.84,77.5,24,0,0,6600,,34784,1883
1455,,,G,Ryan Armour,56.92,5.2,63.04,82.5,25.5,0,0,7300,,36068,1455
1356,,,G,Tyrrell Hatton,76.44,14.2,86.18,97.5,33.5,0,0,9500,,35279,1356
1477,,,G,Sung Kang,36.07,2.6,29.73,63.5,20.5,0,0,6400,,34893,1477
700813,,,G,Patrick Flavin,,0,,,,0,0,6100,,1623417,700813
404847,,,G,Sahith Theegala,59.44,10.9,64.39,83.5,26.5,0,0,8700,,37149,404847
2016,,,G,Scott Brown,46.35,1.7,43.79,75,23.5,0,0,6300,,34856,2016
670398,,,G,Greyson Sigg,53.76,1.4,54.36,79,25.5,0,0,7300,,37979,670398
1950,,,G,D.A. Points,31.55,0.07,20.28,55,19,0,0,6200,,34991,1950
1741,,,G,Dawie Van der Walt,44.25,0.04,30.49,72.85,22.5,0,0,6300,,34946,1741
1631,,,G,Charley Hoffman,52.84,5.1,52.46,79,25,0,0,6700,,34766,1631
1400,,,G,Johnson Wagner,31.65,0.09,22.6,55.5,19,0,0,6000,,34949,1400
1763,,,G,Andres Romero,,0,,,,0,0,6100,,34998,1763
