player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Scheffler, Scottie",150,+862,+850,-0.013,+900,0.039,+850,-0.013,+700,-0.169,+962,0.104,+800,-0.065,+800,-0.065,+900,0.039,+800,-0.065,+900,0.039,+800,-0.065,+800,-0.065,+850,-0.013,+800,-0.065,+850,-0.013
"McIlroy, Rory",150,+979,+900,-0.073,+900,-0.073,+950,-0.027,+800,-0.166,+945,-0.031,+845,-0.124,+900,-0.073,+1000,0.020,+1000,0.020,+900,-0.073,+900,-0.073,+950,-0.027,+1000,0.020,+900,-0.073,+900,-0.073
"Thomas, Justin",150,+1003,+900,-0.094,+1000,-0.003,+950,-0.048,+700,-0.275,+1069,0.059,+1100,0.087,+900,-0.094,+1000,-0.003,+900,-0.094,+900,-0.094,+1000,-0.003,+950,-0.048,+1000,-0.003,+900,-0.094,+900,-0.094
"Smith, Cameron",150,+1283,+1200,-0.060,+1200,-0.060,+1100,-0.132,+1000,-0.205,+1235,-0.035,+1075,-0.150,+1100,-0.132,+1200,-0.060,+1200,-0.060,+1200,-0.060,+1200,-0.060,+1050,-0.169,+1100,-0.132,+1200,-0.060,+1100,-0.132
"Fitzpatrick, Matthew",150,+1651,+1600,-0.029,+1800,0.085,+1600,-0.029,+1600,-0.029,+1726,0.043,+1651,-0.000,+1600,-0.029,+1600,-0.029,+1800,0.085,+1600,-0.029,+1600,-0.029,+1800,0.085,+1600,-0.029,+1600,-0.029,+1600,-0.029
"Lowry, Shane",150,+1722,+1800,0.043,+1800,0.043,+1800,0.043,+1600,-0.067,+1819,0.053,+1852,0.071,+1800,0.043,+1800,0.043,+1800,0.043,+1800,0.043,+1600,-0.067,+1850,0.070,+1800,0.043,+1800,0.043,+1600,-0.067
"Burns, Sam",150,+2047,+1600,-0.208,+1600,-0.208,+1400,-0.301,+1600,-0.208,+1783,-0.123,+1350,-0.325,+1400,-0.301,+1600,-0.208,+1600,-0.208,+1400,-0.301,+1400,-0.301,+1600,-0.208,+1400,-0.301,+1400,-0.301,+1400,-0.301
"Conners, Corey",150,+2850,+2000,-0.288,+2200,-0.220,+2000,-0.288,+2200,-0.220,+2441,-0.139,+2313,-0.182,+2000,-0.288,+2000,-0.288,+2000,-0.288,+2000,-0.288,+2000,-0.288,+2400,-0.152,+2200,-0.220,+2000,-0.288,+2000,-0.288
"Hatton, Tyrrell",150,+3228,+2800,-0.129,+2800,-0.129,+2700,-0.159,+2000,-0.369,+2600,-0.189,+2515,-0.214,+2500,-0.219,+2200,-0.309,+2800,-0.129,+2500,-0.219,+2500,-0.219,+1900,-0.399,+2700,-0.159,+2200,-0.309,+2500,-0.219
"Finau, Tony",150,+3354,+2500,-0.247,+2800,-0.160,+2700,-0.189,+3000,-0.103,+2925,-0.124,+2250,-0.320,+2500,-0.247,+2200,-0.334,+2500,-0.247,+2500,-0.247,+2500,-0.247,+2100,-0.363,+2700,-0.189,+2000,-0.392,+2500,-0.247
"Varner III, Harold",150,+3659,+3300,-0.096,+3300,-0.096,+3300,-0.096,+2200,-0.388,+3722,0.017,+2754,-0.241,+3300,-0.096,+3000,-0.175,+3300,-0.096,+3300,-0.096,+3300,-0.096,+2800,-0.229,+3300,-0.096,+3300,-0.096,+3300,-0.096
"Kirk, Chris",150,+5184,+4500,-0.129,+4000,-0.224,+4500,-0.129,+5000,-0.035,+4920,-0.050,+4550,-0.120,+4000,-0.224,+4000,-0.224,+4000,-0.224,+4000,-0.224,+4000,-0.224,+4200,-0.186,+4500,-0.129,+4000,-0.224,+4000,-0.224
"Munoz, Sebastian",150,+5335,+4000,-0.246,+4000,-0.246,+4100,-0.227,+4500,-0.154,+5429,0.017,+4550,-0.144,+4000,-0.246,+4500,-0.154,+5000,-0.062,+4000,-0.246,+4000,-0.246,+4800,-0.098,+4500,-0.154,+4000,-0.246,+4500,-0.154
"Mitchell, Keith",150,+5942,+5000,-0.156,+4000,-0.321,+4200,-0.288,+5000,-0.156,+5597,-0.057,+5550,-0.065,+4000,-0.321,+5000,-0.156,+5000,-0.156,+4000,-0.321,+5000,-0.156,+5200,-0.123,+5000,-0.156,+4500,-0.239,+5000,-0.156
"Hadwin, Adam",150,+7852,+3500,-0.547,+3300,-0.572,+3300,-0.572,+4500,-0.422,+4119,-0.469,+4050,-0.478,+3300,-0.572,+3500,-0.547,+4000,-0.484,+3300,-0.572,+4000,-0.484,+4100,-0.472,+4000,-0.484,+3300,-0.572,+3500,-0.547
"Vegas, Jhonattan",150,+8411,+6000,-0.283,+5500,-0.342,+5000,-0.401,+7000,-0.166,+7466,-0.111,+7050,-0.160,+5000,-0.401,+6000,-0.283,+5000,-0.401,+5000,-0.401,+5000,-0.401,+6000,-0.283,+6000,-0.283,+5000,-0.401,+6600,-0.213
"Rose, Justin",150,+9801,+6000,-0.384,+5000,-0.485,+5000,-0.485,+7000,-0.283,+7816,-0.200,+6650,-0.318,+5000,-0.485,+7000,-0.283,+5000,-0.485,+5000,-0.485,+6600,-0.323,+6500,-0.333,+6000,-0.384,+5000,-0.485,+6600,-0.323
"Long, Adam",150,+10263,+11000,0.071,+10000,-0.025,+12000,0.168,+14000,0.361,+11832,0.151,+14550,0.414,+10000,-0.025,+11000,0.071,+8000,-0.218,+10000,-0.025,+10000,-0.025,+11000,0.071,+10000,-0.025,+10000,-0.025,+10000,-0.025
"Theegala, Sahith",150,+10980,+6000,-0.449,+5000,-0.540,+5000,-0.540,+6500,-0.404,+7861,-0.282,+5550,-0.490,+5000,-0.540,+6000,-0.449,+7000,-0.359,+5000,-0.540,+6600,-0.395,+7000,-0.359,+6600,-0.395,+5000,-0.540,+6600,-0.395
"Frittelli, Dylan",150,+11840,+10000,-0.154,+8000,-0.322,+8000,-0.322,+13000,0.097,+9986,-0.155,+11050,-0.066,+8000,-0.322,+11000,-0.070,+10000,-0.154,+10000,-0.154,+10000,-0.154,+11000,-0.070,+10000,-0.154,+10000,-0.154,+12500,0.055
"Spaun, J.J.",150,+13058,+9000,-0.308,+10000,-0.232,+11000,-0.156,+8000,-0.384,+9793,-0.248,+13050,-0.001,+10000,-0.232,+11000,-0.156,+10000,-0.232,+10000,-0.232,+12500,-0.042,+11000,-0.156,+10000,-0.232,+10000,-0.232,+12500,-0.042
