player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,906,1006,0.099
"Thomas, Justin",150,974,1158,0.172
"McIlroy, Rory",150,1003,1138,0.122
"Smith, Cameron",150,1262,1437,0.129
"Lowry, Shane",150,1730,2216,0.266
"Fitzpatrick, Matthew",150,1854,1966,0.057
"Burns, Sam",150,2174,1723,-0.198
"Conners, Corey",150,2778,2601,-0.061
"Hatton, Tyrrell",150,3348,3259,-0.026
"Finau, Tony",150,3513,3195,-0.088
"Varner III, Harold",150,3710,3702,-0.002
"Kirk, Chris",150,5284,5335,0.01
"Mitchell, Keith",150,5826,5488,-0.057
"Munoz, Sebastian",150,5835,5146,-0.116
"Vegas, Jhonattan",150,8447,7366,-0.126
"Hadwin, Adam",150,8970,5098,-0.427
"Reed, Patrick",150,10001,6981,-0.299
"Rose, Justin",150,10482,7057,-0.324
"Long, Adam",150,11361,10153,-0.105
"Pan, C.T.",150,12058,7413,-0.382
"Frittelli, Dylan",150,12598,8547,-0.319
"Spaun, J.J.",150,12762,8415,-0.338
"Ghim, Doug",150,12762,9604,-0.246
"Theegala, Sahith",150,12887,7686,-0.4
"Hughes, Mackenzie",150,15226,8955,-0.409
"Smalley, Alex",150,15710,9776,-0.375
"Rai, Aaron",150,15964,10952,-0.312
"Poston, J.T.",150,16361,12772,-0.218
"Lipsky, David",150,16567,12149,-0.265
"Rodgers, Patrick",150,16994,12227,-0.279
"Hubbard, Mark",150,17141,11885,-0.305
"Champ, Cameron",150,18082,11153,-0.381
"Todd, Brendon",150,18249,10115,-0.443
"Lashley, Nate",150,19800,12772,-0.353
"Taylor, Nick",150,19900,15096,-0.24
"Perez, Pat",150,19900,10952,-0.447
"Schenk, Adam",150,20308,16733,-0.175
"Hojgaard, Rasmus",150,20625,12439,-0.395
"Burmester, Dean",150,23569,16182,-0.312
"Grillo, Emiliano",150,24591,16182,-0.341
"Schwab, Matthias",150,25216,12439,-0.505
"Duncan, Tyler",150,25378,17718,-0.301
"Clark, Wyndham",150,26746,13429,-0.496
"Malnati, Peter",150,27111,18930,-0.301
"Svensson, Adam",150,27486,12772,-0.533
"Ortiz, Carlos",150,29097,16733,-0.423
"Jaeger, Stephan",150,29975,14092,-0.528
"Smotherman, Austin",150,30203,23234,-0.23
"Laird, Martin",150,30669,13760,-0.55
"Hardy, Nick",150,30908,16182,-0.475
"Ryder, Sam",150,30908,22015,-0.287
"Bramlett, Joseph",150,31396,23010,-0.266
"Armour, Ryan",150,31646,20473,-0.352
"Willett, Danny",150,31900,14092,-0.556
"Piercy, Scott",150,32420,21238,-0.344
"Huh, John",150,32687,16182,-0.503
"Novak, Andrew",150,32958,17167,-0.478
"Lee, Danny",150,33233,30701,-0.076
"Hodges, Lee",150,33798,16182,-0.52
"Sigg, Greyson",150,33798,16733,-0.503
"Hickok, Kramer",150,34383,15466,-0.549
"Whaley, Vincent",150,34383,16733,-0.512
"Higgs, Harry",150,35614,17167,-0.517
