player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"McIlroy, Rory",150,pga,1,4,3,5,2.21367870091697
"Thomas, Justin",150,pga,2,0,5,1,2.2113981921719
"Scheffler, Scottie",150,pga,3,-2,1,0,2.09213984996232
"Rahm, Jon",150,pga,4,0,2,0,1.97977937925785
"Cantlay, Patrick",150,pga,5,1,4,-1,1.9125034312124198
"Burns, Sam",150,pga,6,3,9,0,1.81125507635708
"Smith, Cameron",150,pga,7,-4,6,-2,1.80436968143229
"Lowry, Shane",150,pga,8,-1,24,1,1.7830002299670902
"Schauffele, Xander",150,pga,9,-1,12,0,1.67868426260075
"Fitzpatrick, Matthew",150,pga,10,1,18,-1,1.60267783487838
"Im, Sungjae",150,pga,11,-1,21,1,1.57914202707582
"Conners, Corey",150,pga,12,5,30,1,1.5393222358341598
"Finau, Tony",150,pga,13,13,15,3,1.4905780839734097
"Zalatoris, Will",150,pga,14,-2,14,0,1.4817408531612501
"Niemann, Joaquin",150,pga,15,-2,17,-1,1.45174443735517
"Hovland, Viktor",150,pga,16,-2,8,-1,1.44267180732289
"Matsuyama, Hideki",150,pga,17,-2,13,0,1.40602412747972
"Homa, Max",150,pga,18,-2,23,0,1.39729893313317
"Horschel, Billy",150,pga,19,-1,11,0,1.3664526969023898
"Spieth, Jordan",150,pga,20,-1,10,0,1.31395770942978
"Berger, Daniel",150,pga,21,-1,25,1,1.28296846685507
"Pereira, Mito",150,pga,22,-1,45,0,1.2514400688092
"Johnson, Dustin",150,pga,23,5,16,-1,1.22453182402847
"Wise, Aaron",150,pga,24,-1,44,0,1.2220889586411001
"Fleetwood, Tommy",150,pga,25,-1,40,0,1.21853270198728
"Morikawa, Collin",150,pga,26,-1,7,-2,1.20855804524357
"Varner III, Harold",150,pga,27,4,35,3,1.19508993051007
"Bradley, Keegan",150,pga,28,-1,47,0,1.1802122398427901
"Gooch, Talor",150,pga,29,1,36,-1,1.1576687328451798
"Henley, Russell",150,pga,30,-1,49,-1,1.1138469874727701
"Oosthuizen, Louis",150,pga,31,1,22,-1,1.1071295426185401
"Hatton, Tyrrell",150,pga,32,-10,26,-2,1.06114719769732
"Kirk, Chris",150,pga,33,9,59,7,1.05039517365694
"Power, Seamus",150,pga,34,-1,41,0,1.0414128146999
"Young, Cameron",150,kft,35,-1,31,-1,1.02878920290822
"Rose, Justin",150,pga,36,24,48,10,0.942608504730152
"Garcia, Sergio",150,pga,37,-2,55,2,0.9421120732462449
"Harman, Brian",150,pga,38,-1,50,-1,0.9404114569194871
"Mitchell, Keith",150,pga,39,11,62,11,0.923878787179146
"Casey, Paul",150,pga,40,-1,27,0,0.9214185555895841
"Kuchar, Matt",150,pga,41,-1,80,3,0.9186073012518091
"McCarthy, Denny",150,pga,42,-1,121,0,0.9056594379255821
"Munoz, Sebastian",150,pga,43,2,54,2,0.886643764336168
"Noren, Alex",150,pga,44,-6,60,0,0.879250905107473
"Riley, Davis",150,kft,45,-2,85,1,0.862854506479228
"Ancer, Abraham",150,pga,46,-2,20,-1,0.8484861375928331
"Simpson, Webb",150,pga,47,-1,56,-1,0.8171644005626221
"Na, Kevin",150,pga,48,-12,33,1,0.816236176470976
"Hoge, Tom",150,pga,49,-2,39,0,0.801691758492914
"Kim, Si Woo",150,pga,50,-2,57,-4,0.7874889465026941
"Watson, Bubba",150,pga,51,-2,67,4,0.78026241505354
"Koepka, Brooks",150,pga,52,-1,19,1,0.7589120392676891
"Kokrak, Jason",150,pga,53,-1,34,-1,0.7235989689265451
"Hadwin, Adam",150,pga,54,-1,105,3,0.7231650799240541
"Day, Jason",150,pga,55,-1,132,0,0.7087523518860529
"Todd, Brendon",150,pga,56,14,110,5,0.7038444916035379
"McNealy, Maverick",150,pga,57,-2,83,2,0.7008253036300028
"Leishman, Marc",150,pga,58,-1,52,0,0.685049750787919
"Scott, Adam",150,pga,59,-1,43,0,0.670691397010144
"Tringale, Cameron",150,pga,60,-1,58,-4,0.667868897665582
"Perez, Pat",150,pga,61,0,170,-2,0.65104102535319
"Merritt, Troy",150,pga,62,0,98,0,0.644231870483956
"Steele, Brendan",150,pga,63,0,108,2,0.622005321379398
"Vegas, Jhonattan",150,pga,64,-8,101,-1,0.610346470181473
"Bezuidenhout, Christiaan",150,pga,65,-1,68,-3,0.579567120727849
"Reed, Patrick",150,pga,66,-1,38,-2,0.5756494961009799
"DeChambeau, Bryson",150,pga,67,-1,29,-1,0.570738950123514
"Griffin, Lanto",150,pga,68,-1,106,-2,0.563637387877561
"Woodland, Gary",150,pga,69,-1,113,1,0.5601669309725671
"English, Harris",150,pga,70,-1,28,1,0.5582586873469761
"Howell III, Charles",150,pga,71,0,190,3,0.5549377591205329
"Davis, Cameron",150,pga,72,0,79,2,0.551001989350873
"List, Luke",150,pga,73,0,61,-2,0.5467428857068629
"Lee, Kyounghoon",150,pga,74,1,42,0,0.532408978947147
"Fox, Ryan",150,euro,75,-1,63,-1,0.532290660225646
"Long, Adam",150,pga,76,5,197,5,0.527468642850293
"Rai, Aaron",150,euro,77,10,128,10,0.523667357004705
"Pan, C.T.",150,pga,78,-1,131,-2,0.46487437752486105
"Horsfield, Sam",150,euro,79,21,75,-1,0.459648429873003
"Herbert, Lucas",150,pga,80,-2,46,0,0.456470235998932
"Straka, Sepp",150,pga,81,-2,51,-1,0.45146734373802294
"Poulter, Ian",150,pga,82,-6,93,-1,0.450302970366387
"Pieters, Thomas",150,euro,83,-3,37,0,0.44090808086749705
"Rodgers, Patrick",150,pga,84,14,216,7,0.432600252797436
"Dahmen, Joel",150,pga,85,-3,130,-2,0.42164514491691707
"NeSmith, Matthew",150,pga,86,-3,166,-3,0.414357094705512
"Hughes, Mackenzie",150,pga,87,1,73,4,0.409469550255224
"Van Rooyen, Erik",150,pga,88,-4,76,0,0.40788365975198104
"Stallings, Scott",150,pga,89,-4,149,-2,0.3959369887667801
"Pendrith, Taylor",150,kft,90,-1,246,-10,0.32626411362791197
"Lahiri, Anirban",150,pga,91,0,84,-2,0.321741486572824
"Hubbard, Mark",150,pga,92,5,274,4,0.321414524128494
"Glover, Lucas",150,pga,93,0,115,-2,0.31875473987398
"Smith, Jordan",150,euro,94,0,124,1,0.310865106955918
"Meronk, Adrian",150,euro,95,0,104,-1,0.310247718466672
"Arnaus, Adri",150,euro,96,0,53,-2,0.309008870106795
"Lipsky, David",150,kft,97,-5,191,-4,0.30589728094129
"Smalley, Alex",150,pga,98,13,155,21,0.27816308514616495
"Spaun, J.J.",150,pga,99,-9,102,0,0.273401723402244
"Kisner, Kevin",150,pga,100,1,32,0,0.271325295504598
"Molinari, Francesco",150,pga,101,2,175,-1,0.25810697670696
"Ghim, Doug",150,pga,102,17,199,9,0.25028247533120895
"Schwartzel, Charl",150,pga,103,48,125,1,0.231105464130345
"Jones, Matt",150,pga,104,-5,72,-3,0.221135297985017
"Theegala, Sahith",150,pga,105,-3,119,-3,0.219786475830286
"Fowler, Rickie",150,pga,106,1,146,-1,0.217670856629189
"Knox, Russell",150,pga,107,1,180,-2,0.21696919801801398
"Grace, Branden",150,pga,108,40,123,0,0.203025948903601
"Taylor, Nick",150,pga,109,11,234,3,0.19391138926056894
"Poston, J.T.",150,pga,110,-4,158,-3,0.181910330323903
