player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"McIlroy, Rory",PGA,"Jun 12, 2022",pga,2 - 5 - 8 - T18 - 1,3.3386604999999996,1.3575528863636366
"Riley, Davis",PGA,"Jun 5, 2022",pga,5 - T9 - T13 - T4 - T13,2.526369500000001,2.1598747000000005
"Scheffler, Scottie",PGA,"Jun 12, 2022",pga,T18 - T15 - CUT - 2 - T18,2.508529,0.4567111904761907
"Spieth, Jordan",PGA,"Jun 5, 2022",pga,1 - 2 - T34 - T7 - T18,2.4729924999999997,1.4060960802469133
"Thomas, Justin",PGA,"Jun 12, 2022",pga,T35 - T5 - 1 - CUT - 3,2.4354030000000018,0.25044472043010835
"Finau, Tony",PGA,"Jun 12, 2022",pga,T2 - T41 - T30 - T4 - 2,2.4182894999999993,1.2629113947368418
"Lowry, Shane",PGA,"Jun 12, 2022",pga,T3 - 13 - T23 - T32 - T10,2.303073,0.7195462989690726
"Im, Sungjae",PGA,"Jun 5, 2022",pga,T8 - T21 - T14 - T15 - T10,2.2290335000000003,0.7049201666666669
"Burns, Sam",PGA,"Jun 12, 2022",pga,2 - CUT - T20 - 1 - T4,2.212782000000002,0.429106555555558
"Rahm, Jon",PGA,"Jun 5, 2022",pga,T9 - T27 - 1 - T48 - T10,2.166438500000001,-0.056366374999999636
"Wise, Aaron",PGA,"Jun 5, 2022",pga,T21 - T6 - T51 - T23 - 2,2.037190000000001,1.0168289024390256
"Fitzpatrick, Matthew",PGA,"Jun 12, 2022",pga,CUT - T2 - T5 - CUT - T10,2.007118000000001,0.6204453033707877
"Pereira, Mito",PGA,"Jun 5, 2022",pga,WD - T17 - T3 - T7 - T13,1.9998405000000017,0.8692464803921587
"Schauffele, Xander",PGA,"Jun 5, 2022",pga,CUT - 1 - T5 - T13 - T18,1.9975980000000013,0.35981979775281037
"Zalatoris, Will",PGA,"Jun 5, 2022",pga,T4 - CUT - 2 - CUT - T5,1.9736060000000013,0.7442174634146355
"Conners, Corey",PGA,"Jun 12, 2022",pga,T12 - T21 - CUT - T13 - 6,1.9114215,0.509821815789474
"Bradley, Keegan",PGA,"Jun 5, 2022",pga,T8 - T4 - T2 - T48 - T37,1.8629435000000014,0.9101006084337365
"Homa, Max",PGA,"Jun 5, 2022",pga,T21 - 1 - T13 - T23 - T5,1.8539285000000014,0.7709449705882367
"Smith, Cameron",PGA,"Jun 12, 2022",pga,CUT - T21 - T13 - T13 - T48,1.8043715000000007,-0.19709699999999897
"Fleetwood, Tommy",PGA,"Jun 5, 2022",pga,CUT - T59 - T5 - T35 - T10,1.6128105000000001,0.570016464912281
"Niemann, Joaquin",PGA,"Jun 5, 2022",pga,T12 - WD - T25 - T23 - T3,1.5769075000000006,0.30505566326530653
"Matsuyama, Hideki",PGA,"May 22, 2022",pga,T20 - WD - T14 - T3 - T60,1.5181154999999993,0.01603949999999954
"Young, Cameron",PGA,"Jun 5, 2022",pga,CUT - T3 - T2 - T3 - T60,1.5119450000000012,0.7823376966292144
"Cantlay, Patrick",PGA,"Jun 5, 2022",pga,T39 - 2 - 1 - CUT - T3,1.5112230000000004,-0.5895367014925361
"Horschel, Billy",PGA,"Jun 5, 2022",pga,T21 - 2 - 68 - CUT - 1,1.4938874999999991,0.2626498913043471
"Fox, Ryan",EURO,"May 29, 2022",pga,T9 - T8 - T2 - 54 - 2,1.4927704999999996,1.3932251874999995
"Kirk, Chris",PGA,"Jun 12, 2022",no,CUT - T5 - T15 - T53 - T7,1.4549309999999995,0.6280541111111106
"Kuchar, Matt",PGA,"Jun 5, 2022",no,T3 - T49 - T12 - T34 - T45,1.433433500000001,0.732022130136987
"Morikawa, Collin",PGA,"Jun 5, 2022",pga,T26 - T29 - T55 - T40 - CUT,1.4251584999999998,0.16561176086956597
"Varner III, Harold",PGA,"Jun 12, 2022",pga,T3 - T4 - T48 - T27 - T13,1.3882795000000019,0.25621194444444684
"Gooch, Talor",PGA,"Jun 11, 2022",pga,T21 - CUT - T20 - T27 - 9,1.3792404999999992,0.16819049999999947
"Steele, Brendan",PGA,"Jun 5, 2022",no,T48 - T4 - T51 - T9 - T10,1.375838,1.027190394366197
"Harman, Brian",PGA,"Jun 5, 2022",pga,T35 - T9 - T34 - CUT - T18,1.3188664999999997,0.6622574782608692
"Montgomery, Taylor",KFT,"May 29, 2022",pga,T4 - T13 - T4 - 2 - T8,1.2524365000000002,1.3927175126582283
"Munoz, Sebastian",PGA,"Jun 12, 2022",pga,T29 - T3 - T55 - T48 - T25,1.1814020000000007,0.4431388750000007
"Schwartzel, Charl",PGA,"Jun 11, 2022",no,T32 - CUT - 8 - T60 - 1,1.180629999999999,1.3331540540540532
"Power, Seamus",PGA,"Jun 5, 2022",pga,CUT - CUT - T17 - T9 - CUT,1.1736715000000006,-0.09382693749999915
"Na, Kevin",PGA,"Jun 11, 2022",pga,T26 - T42 - T23 - T7 - T33,1.1650950000000004,0.11915537974683654
"Horsfield, Sam",EURO,"Jun 11, 2022",pga,T18 - T21 - 1 - CUT - 5,1.1429484999999997,0.9446857727272725
"Alker, Steven",CHAMP,"Jun 5, 2022",no,T2 - 1 - T3 - 1 - T3,1.1232309999999999,1.3035562439024388
"Lee, Kyounghoon",PGA,"Jun 5, 2022",pga,T25 - 1 - T41 - CUT - T53,1.0930985000000004,0.5775683979591839
"Davis, Cameron",PGA,"Jun 5, 2022",no,T3 - CUT - T48 - T7 - T53,1.0881064999999999,0.6325072317073168
"McCarthy, Denny",PGA,"Jun 5, 2022",pga,CUT - T25 - T48 - T27 - T5,1.0765490000000009,0.4376561287128721
"Todd, Brendon",PGA,"Jun 12, 2022",no,T21 - T64 - CUT - 3 - T13,1.026055,0.5911081764705881
"Perez, Victor",EURO,"Jun 5, 2022",pga,CUT - T21 - T33 - 1 - T3,0.9908610000000003,1.3576992758620692
"Meronk, Adrian",EURO,"Jun 5, 2022",no,T3 - CUT - 6 - 3 - CUT,0.9747959999999999,0.8672122499999998
"Tringale, Cameron",PGA,"Jun 5, 2022",pga,T10 - T33 - T41 - CUT - T48,0.9561584999999994,0.1747994677419349
"Day, Jason",PGA,"Jun 5, 2022",no,T10 - T15 - T51 - T55 - 31,0.9493754999999997,0.3236449827586203
"Griffin, Lanto",PGA,"Jun 5, 2022",pga,T15 - T6 - T51 - T60 - T51,0.9368104999999993,0.34877372916666594
"Watson, Bubba",PGA,"May 22, 2022",no,T26 - T39 - T4 - CUT - T30,0.9329680000000005,-0.05015464150943316
"Rodgers, Patrick",PGA,"Jun 12, 2022",pga,10 - T32 - T35 - CUT - T18,0.9321184999999998,0.5088625540540537
"Mitchell, Keith",PGA,"Jun 12, 2022",no,CUT - T76 - T34 - T18 - T7,0.9252389999999997,0.16028106521739083
"Henley, Russell",PGA,"May 22, 2022",pga,T60 - T30 - CUT - T41 - T60,0.9103999999999995,-0.43167517241379294
"Johnson, Dustin",PGA,"Jun 11, 2022",pga,T12 - CUT - T59 - CUT - 8,0.9062409999999996,-0.4517068947368421
"Lahiri, Anirban",PGA,"Jun 5, 2022",no,T66 - T15 - T6 - CUT - CUT,0.8889365,0.726091965116279
"Hovland, Viktor",PGA,"Jun 5, 2022",pga,T27 - T29 - T41 - T21 - T51,0.8867819999999982,-0.7230302000000022
"Mansell, Richard",EURO,"Jun 5, 2022",pga,T26 - T8 - T23 - 9 - T3,0.8576575,1.1362081153846155
"Long, Adam",PGA,"Jun 12, 2022",no,T15 - CUT - T35 - CUT - T21,0.8575425000000001,0.5349758695652174
"Lipsky, David",PGA,"Jun 12, 2022",no,CUT - T25 - T48 - T37 - CUT,0.8570609999999999,0.7380452857142855
"Perez, Pat",PGA,"Jun 5, 2022",no,T51 - 66 - T38 - T12 - T26,0.8519324999999995,0.2000237790697672
"Kokrak, Jason",PGA,"May 29, 2022",pga,T14 - T35 - T17 - T60 - 67,0.8470240000000004,0.11937282352941236
"Garcia, Sergio",PGA,"Jun 11, 2022",pga,T23 - CUT - T21 - CUT - T22,0.8290120000000007,-0.32353590123456666
"Rose, Justin",PGA,"Jun 12, 2022",pga,CUT - T14 - T13 - CUT - T4,0.8099329999999998,0.04666919718309803
"Howell III, Charles",PGA,"Jun 5, 2022",no,T4 - CUT - T33 - CUT - T18,0.8060749999999999,0.23043446428571435
"Schneider, Marcel",EURO,"Jun 5, 2022",pga,T13 - CUT - T7 - 4 - T5,0.8054340000000002,1.6520008055555555
"Pan, C.T.",PGA,"Jun 5, 2022",no,T42 - T29 - T15 - T52 - T53,0.7888199999999997,0.36855376470588197
"Poston, J.T.",PGA,"Jun 12, 2022",no,CUT - T9 - CUT - T37 - CUT,0.7797015000000002,0.8543240316455698
"Kim, Si Woo",PGA,"Jun 5, 2022",pga,T42 - T37 - CUT - T60 - T13,0.7687499999999989,0.1948987499999988
"Merritt, Troy",PGA,"Jun 5, 2022",pga,CUT - T35 - T41 - T57 - T53,0.7424399999999999,0.1840040816326527
"Bekker, Oliver",EURO,"Jun 11, 2022",no,T27 - T4 - CUT - CUT - T6,0.729278000000001,0.9868093725490205
"Koepka, Brooks",PGA,"May 22, 2022",pga,CUT - T12 - T5 - CUT - T55,0.7129575000000001,-0.14948211038961023
"Reed, Patrick",PGA,"Jun 5, 2022",pga,T42 - CUT - T34 - T7 - T53,0.6914834999999994,0.22179004205607417
"Du Plessis, Hennie",EURO,"Jun 11, 2022",no,T6 - CUT - T15 - T56 - 2,0.6823849999999991,1.1594700877192974
"Schenk, Adam",PGA,"Jun 5, 2022",pga,T9 - T79 - T41 - CUT - T26,0.6743054999999998,0.5836774047619047
"Hadwin, Adam",PGA,"Jun 12, 2022",pga,CUT - CUT - T71 - T18 - T35,0.6526904999999995,0.06710643406593331
"NeSmith, Matthew",PGA,"Jun 5, 2022",pga,T4 - T31 - T51 - T57 - T37,0.6340614999999996,0.48466171276595704
"Hatton, Tyrrell",PGA,"Jun 12, 2022",pga,T26 - T21 - T37 - T13 - CUT,0.6306930000000005,-0.4553365555555545
"Ancer, Abraham",PGA,"Jun 5, 2022",pga,T42 - T56 - T9 - CUT - T32,0.6222434999999997,-0.3524594702970295
"Harding, Justin",AFR,"Jun 11, 2022",no,7 - T16 - T71 - 4 - T10,0.6065015000000002,0.5989324345794395
"Hoge, Tom",PGA,"Jun 5, 2022",pga,CUT - T17 - T9 - CUT - CUT,0.5967544999999991,-0.13405246078431432
"Clark, Wyndham",PGA,"Jun 12, 2022",pga,T67 - CUT - CUT - T37 - T7,0.5878539999999998,0.8154448536585364
"Huh, John",PGA,"Jun 12, 2022",no,T42 - CUT - CUT - T12 - T25,0.5836400000000005,0.6854883720930236
"Oosthuizen, Louis",PGA,"Jun 11, 2022",pga,T62 - T35 - WD - T60 - T10,0.5806065000000009,-0.726470007936507
"Grillo, Emiliano",PGA,"Jun 12, 2022",no,T33 - T46 - T63 - T32 - T28,0.5764130000000003,0.7309286470588239
"Simpson, Webb",PGA,"May 29, 2022",pga,T35 - T59 - CUT - T20 - T27,0.5690880000000014,-0.18361679452054658
"Rai, Aaron",PGA,"Jun 12, 2022",no,CUT - T46 - 68 - T26 - T13,0.5680745000000001,0.12761181092436974
"Kitayama, Kurt",PGA,"Jun 5, 2022",pga,T2 - T15 - CUT - T40 - CUT,0.5669325000000003,1.1819562333333336
"Stenson, Henrik",PGA,"Jun 12, 2022",no,T14 - CUT - CUT - T34 - T2,0.5528789999999997,0.4600826363636361
"Spaun, J.J.",PGA,"Jun 12, 2022",no,CUT - T38 - CUT - WD - CUT,0.5519005000000001,0.35760629439252356
"Arnaus, Adri",EURO,"Jun 5, 2022",pga,CUT - 1 - T48 - T30 - T16,0.5437174999999992,0.5812018956043948
"Noren, Alex",PGA,"Jun 12, 2022",pga,CUT - T12 - CUT - CUT - T15,0.5400179999999989,-0.3937648888888895
"Champ, Cameron",PGA,"Jun 12, 2022",no,T6 - T38 - CUT - CUT - CUT,0.5088899999999998,0.3955081818181817
"Smith, Jordan",EURO,"Jun 5, 2022",no,CUT - T18 - T21 - T24 - T10,0.4826609999999997,0.36068777419354814
"Theegala, Sahith",PGA,"Jun 12, 2022",no,T24 - T79 - T57 - T5 - T53,0.47641299999999986,0.3086052222222221
"Sabbatini, Rory",PGA,"Jun 12, 2022",no,WD - T41 - T25 - T52 - CUT,0.46469249999999995,0.4373084999999999
"Dantorp, Jens",CHA,"Jun 12, 2022",no,7 - T23 - 1 - T5 - 3,0.45601699999999995,1.3495504313725486
"Grace, Branden",PGA,"Jun 11, 2022",pga,T4 - CUT - T38 - CUT - T3,0.45307400000000025,0.4172856470588237
"Glover, Lucas",PGA,"Jun 5, 2022",no,CUT - CUT - T23 - T40 - T60,0.4473794999999998,0.36522747872340405
"McNealy, Maverick",PGA,"May 29, 2022",no,T26 - CUT - T32 - T75 - CUT,0.44489750000000045,-0.6085816666666661
"Straka, Sepp",PGA,"Jun 5, 2022",pga,CUT - CUT - T73 - 78 - T45,0.4414910000000014,0.18461650000000152
"Dahmen, Joel",PGA,"Jun 5, 2022",pga,T29 - T51 - CUT - T63 - T32,0.44040649999999976,-0.09108295054945087
"Cink, Stewart",PGA,"Jun 5, 2022",pga,68 - T9 - T23 - CUT - CUT,0.4304259999999999,0.424642075949367
"Leishman, Marc",PGA,"Jun 5, 2022",pga,T21 - CUT - T51 - T34 - CUT,0.4135814999999992,-0.36079456741573074
"Herbert, Lucas",PGA,"Jun 5, 2022",pga,CUT - CUT - T13 - T48 - T48,0.3834280000000004,-0.13916984090909063
"Canter, Laurie",EURO,"Jun 11, 2022",no,T30 - T3 - CUT - T48 - T17,0.37889700000000026,0.5338990000000002
"Hoshino, Rikuya",JPN,"Jun 5, 2022",pga,2 - T7 - T6 - T60 - T7,0.3657280000000008,0.7116565000000006
"List, Luke",PGA,"Jun 5, 2022",pga,CUT - T31 - CUT - T41 - T26,0.33925700000000025,-0.27057005882352947
"Duncan, Tyler",PGA,"Jun 12, 2022",no,CUT - CUT - T59 - T15 - CUT,0.3295885000000004,0.3905371206896556
"Korhonen, Mikko",EURO,"Jun 5, 2022",no,T15 - T33 - T8 - T14 - T40,0.3168044999999997,0.5379884189189186
"Berger, Daniel",PGA,"Jun 5, 2022",pga,T50 - T21 - CUT - T23 - T5,0.31282400000000055,-1.1270410704225342
"Smotherman, Austin",PGA,"Jun 12, 2022",no,T67 - T25 - T25 - T63 - T44,0.30658549999999984,0.5764012291666665
"Paul, Jeremy",KFT,"Jun 5, 2022",web,T5 - T16 - T7 - T32 - T19,0.3043019999999999,0.8621797108433733
"Woodland, Gary",PGA,"Jun 5, 2022",pga,T24 - CUT - T34 - CUT - CUT,0.29908850000000065,-0.28740896666666615
"Molinari, Edoardo",EURO,"Jun 12, 2022",no,T36 - T9 - T37 - T5 - T25,0.2972910000000002,0.5192239213483149
"Scrivener, Jason",EURO,"Jun 12, 2022",no,T18 - T45 - CUT - T25 - T4,0.29523449999999984,0.8699587105263158
"Piercy, Scott",PGA,"Jun 12, 2022",no,T33 - T37 - CUT - CUT - T21,0.2950935000000001,0.3716751304347827
"Biondi, Fred",AM,"May 30, 2022",pga,T7 - T1 - T25 - T2 - T20,0.28351200000000054,1.921235061224491
"Kisner, Kevin",PGA,"May 29, 2022",pga,CUT - 35 - CUT - CUT - CUT,0.28332349999999973,-0.021814406976744416
"Aberg, Ludvig",AM,"May 30, 2022",no,2 - 6 - 1 - T6 - T11,0.27789100000000005,0.7658368181818181
"Hall, Harry",KFT,"Jun 12, 2022",pga,T48 - T38 - 1 - 5 - T31,0.2646479999999999,0.7366215227272725
"Ghim, Doug",PGA,"Jun 12, 2022",no,T33 - CUT - CUT - T60 - T18,0.2592205000000002,0.016701522727272905
"Walters, Justin",EURO,"Jun 12, 2022",no,T42 - T3 - CUT - T16 - T20,0.25544749999999994,0.9269927525252527
"Pieters, Thomas",PGA,"May 29, 2022",pga,T26 - CUT - T9 - T71 - T10,0.2502629999999993,-0.3400503707865176
"Shelton, Robby",KFT,"Jun 12, 2022",web,T8 - T16 - CUT - T37 - 1,0.2497730000000013,1.1766704390243918
"Daffue, MJ",KFT,"Jun 12, 2022",pga,T32 - 3 - 3 - T37 - CUT,0.24914549999999958,0.39667063888888854
"Stallings, Scott",PGA,"Jun 5, 2022",pga,CUT - T25 - CUT - T4 - CUT,0.2454384999999995,-0.042489349462366044
"Lopez-Chacarra, Eugenio",AM,"May 30, 2022",no,T40 - T6 - CUT - 1 - T2,0.241921,0.4778630833333333
"Vegas, Jhonattan",PGA,"Jun 12, 2022",no,T15 - T59 - CUT - T37 - T53,0.23807449999999966,-0.6095070151515157
"Smalley, Alex",PGA,"Jun 12, 2022",no,T6 - CUT - T27 - CUT - T21,0.2334130000000001,-0.0859419056603773
"Lashley, Nate",PGA,"Jun 5, 2022",no,T11 - WD - T17 - CUT - CUT,0.19971699999999995,0.29272110256410255
"Fowler, Rickie",PGA,"Jun 5, 2022",no,CUT - T21 - T23 - T57 - T64,0.1942069999999998,0.1198187391304346
"Hossler, Beau",PGA,"Jun 5, 2022",pga,CUT - T17 - T69 - T21 - T32,0.1892359999999998,0.04873995604395587
"Hahn, James",PGA,"May 29, 2022",no,T29 - CUT - T9 - T9 - CUT,0.1725100000000003,0.3397286567164183
"Gotterup, Chris",AM,"Jun 12, 2022",pga,T4 - 2 - T9 - T5 - CUT,0.16856749999999984,0.2663191981132074
"Bezuidenhout, Christiaan",PGA,"May 29, 2022",no,T44 - T32 - T12 - CUT - T15,0.15408550000000037,-0.40560809223300937
"Malnati, Peter",PGA,"Jun 12, 2022",no,T51 - T9 - CUT - CUT - CUT,0.13658399999999998,0.3310580594059407
"Paul, Yannik",EURO,"Jun 5, 2022",pga,T52 - T16 - T2 - CUT - T18,0.12979050000000014,0.7549733846153848
"Meissner, Mitchell",SAM,"Jun 12, 2022",no,8 - T3 - T2 - 2 - T10,0.12613849999999988,0.8241468928571425
"Willett, Danny",PGA,"Jun 12, 2022",no,T21 - T16 - CUT - CUT - T28,0.1228025000000001,0.35405988095238106
"Poulter, Ian",PGA,"Jun 11, 2022",no,13 - T59 - CUT - T40 - T20,0.10220499999999919,-0.5005383333333341
"Palmer, Ryan",PGA,"Jun 5, 2022",no,T18 - T5 - CUT - T40 - CUT,0.09918800000000023,0.05216180281690162
"Molinari, Francesco",PGA,"Jun 5, 2022",pga,CUT - CUT - T17 - T55 - T26,0.09872150000000014,-0.003955642857142741
"Haley II, Paul",KFT,"Jun 12, 2022",web,CUT - T31 - T11 - 6 - T7,0.08982299999999957,0.4595199047619042
"Besseling, Wil",EURO,"Jun 5, 2022",pga,T9 - CUT - T23 - CUT - 2,0.0845749999999994,0.5574466842105257
"Jaeger, Stephan",PGA,"Jun 12, 2022",no,T15 - T6 - T38 - CUT - CUT,0.08300150000000024,0.2392850051546393
"Griffin, Ben",KFT,"Jun 12, 2022",no,T16 - CUT - T13 - T37 - 2,0.0791444999999998,0.12059985714285701
"Taylor, Nick",PGA,"Jun 12, 2022",pga,CUT - T15 - CUT - T48 - T28,0.06716650000000021,-0.00018818085106356297
"Lower, Justin",PGA,"Jun 12, 2022",no,T64 - T31 - T46 - CUT - T35,0.06181799999999926,0.37652891836734614
"Bjork, Alexander",EURO,"Jun 12, 2022",no,CUT - T23 - T7 - T25 - CUT,0.0598515000000001,0.15846210975609767
"Hardy, Nick",PGA,"Jun 12, 2022",pga,CUT - CUT - T21 - 2 - T35,0.04730900000000042,0.43368340000000044
"Svensson, Adam",PGA,"Jun 12, 2022",no,CUT - T69 - T40 - T45 - T21,0.04519750000000013,0.03838675233644869
"Hubbard, Mark",PGA,"Jun 12, 2022",no,CUT - T32 - T52 - T29 - T44,0.027678999999999766,-0.3108473888888892
"Grant, Brent",KFT,"Jun 12, 2022",web,1 - T67 - T12 - T37 - T22,0.02155200000000068,0.8954050263157906
"Wiesberger, Bernd",EURO,"Jun 11, 2022",no,8 - T37 - T30 - T24 - T43,0.012416500000000559,-0.30807832758620657
"Larrazabal, Pablo",EURO,"Jun 11, 2022",no,1 - T13 - CUT - CUT - T13,0.006341000000000851,-0.010785282051281228
"Norrman, Vincent",KFT,"Jun 12, 2022",web,T3 - T67 - CUT - T2 - T15,-0.010289499999999929,0.662102691780822
"Jones, Matt",PGA,"Jun 11, 2022",no,CUT - CUT - T12 - CUT - T25,-0.018820499999999307,-0.11541832608695583
"Van Rooyen, Erik",PGA,"Jun 5, 2022",pga,CUT - T10 - CUT - CUT - CUT,-0.023259500000001508,-0.7106304195402309
"Wallace, Matt",PGA,"Jun 12, 2022",no,CUT - CUT - T5 - T18 - T35,-0.03161550000000188,0.7595769050632895
"Strydom, Tristen",AFR,"Jun 12, 2022",no,T3 - 1 - T11 - T15 - T20,-0.03353849999999965,0.4827340000000005
"Thompson, Davis",KFT,"Jun 12, 2022",no,CUT - T60 - T5 - 1 - CUT,-0.03599449999999993,0.4483621666666667
"Armour, Ryan",PGA,"Jun 12, 2022",no,T36 - CUT - T25 - CUT - T35,-0.036969499999999614,-0.07731612162162124
"Long, Hurly",EURO,"Jun 5, 2022",no,T42 - T6 - T58 - T10 - T47,-0.042342500000000546,0.5472926351351349
"Otaegui, Adrian",EURO,"Jun 11, 2022",no,T27 - T15 - 65 - T18 - T6,-0.044302000000000084,0.037110574257425664
"Macintyre, Robert",PGA,"Jun 5, 2022",no,T23 - CUT - T36 - 77 - CUT,-0.050892500000000174,0.07471020588235278
"Johnson, Zach",PGA,"May 29, 2022",no,T13 - CUT - CUT - CUT - T23,-0.058528000000000024,-0.13794596875000004
"Olesen, Thorbjorn",EURO,"Jun 5, 2022",pga,T23 - T33 - 1 - CUT - T51,-0.060578999999999494,0.5174499855072466
"Kim, Joohyung",ASA,"Jun 5, 2022",pga,T4 - T5 - T17 - CUT - 5,-0.06705900000000027,0.2030630238095234
"Lee, Danny",PGA,"Jun 12, 2022",pga,CUT - CUT - T23 - CUT - T10,-0.07303649999999973,-0.16707870588235263
"Donald, Luke",PGA,"Jun 12, 2022",no,T25 - CUT - T40 - CUT - CUT,-0.08956149999999996,0.26974751234567906
"Novak, Andrew",PGA,"Jun 12, 2022",pga,CUT - T15 - CUT - T46 - T64,-0.1015284999999994,0.2818610789473691
"Wu, Brandon",PGA,"Jun 5, 2022",no,T2 - CUT - T51 - CUT - 69,-0.1078195000000001,0.5461048478260867
"McDowell, Graeme",PGA,"Jun 11, 2022",no,T21 - CUT - T33 - T15 - T10,-0.11957499999999995,0.18424106060606066
