player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Nienaber, Wilco",-0.127,282,-0.273,388,-0.575,346,0.263,66,-0.712,273,26.747,1,-0.098,413
"DeChambeau, Bryson",0.262,47,-0.167,314,-0.230,229,0.326,57,0.192,112,26.541,2,-0.084,396
"McIlroy, Rory",0.291,39,0.326,4,0.809,3,0.870,2,2.297,1,22.960,3,-0.012,222
"Champ, Cameron",-0.169,316,-0.269,387,0.063,122,0.676,9,0.301,95,21.402,4,-0.021,245
"Hojgaard, Nicolai",-0.257,361,-0.204,348,-0.178,209,0.159,104,-0.480,220,21.396,5,-0.101,416
"Wolff, Matthew",0.211,65,-0.049,207,-0.318,269,-0.290,279,-0.445,207,20.521,6,-0.090,405
"Moller, Niklas Norgaard",0.335,26,-0.193,340,-0.376,294,-0.055,192,-0.289,183,20.008,7,-0.113,419
"Burmester, Dean",-0.124,276,0.046,131,-0.095,185,0.306,59,0.134,120,19.220,8,-0.084,397
"Young, Cameron",0.060,147,0.130,71,0.293,57,0.852,3,1.336,17,18.843,9,0.013,145
"Pendrith, Taylor",-0.017,205,0.006,160,0.051,124,0.497,25,0.538,66,18.831,10,-0.032,290
"Rahm, Jon",0.278,44,0.094,98,0.690,10,1.023,1,2.086,4,18.348,11,0.034,86
"Gordon, Will",-0.255,360,-0.228,360,-0.212,224,0.144,111,-0.550,238,18.273,12,-0.065,365
"Lee, Min Woo",-0.013,202,0.088,102,-0.231,231,0.356,49,0.200,111,17.956,13,-0.044,324
"Fox, Ryan",0.035,162,-0.011,182,0.455,31,0.074,141,0.554,64,17.859,14,-0.120,424
"Clark, Wyndham",0.349,22,0.140,68,-0.233,232,-0.038,186,0.219,106,17.647,15,-0.075,383
"Hagy, Brandon",-0.045,218,-0.167,316,-0.454,316,0.014,165,-0.652,259,17.491,16,-0.122,426
"Schmid, Matthias",-0.223,344,-0.447,427,-0.126,190,0.362,44,-0.434,206,17.239,17,-0.041,312
"Vegas, Jhonattan",-0.154,303,-0.079,241,0.513,28,0.418,32,0.697,50,16.998,18,-0.038,302
"Bramlett, Joseph",-0.412,405,-0.070,230,0.172,86,0.224,77,-0.086,155,16.632,19,-0.057,352
