datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,22991915,11300,28.945,1:25 pm,0,56.2,7.1,0,63.3,0.36,100,17.5038993463846,
"Thomas, Justin","Justin Thomas",150,22991916,10900,28.767,1:14 pm,0,56.4,7.3,0,63.8,0.53,100,16.985379673981,
"Rahm, Jon","Jon Rahm",150,22991917,10800,29.201,7:18 am,1,54.9,6.7,0,61.6,0.42,100,17.81033756264,
"McIlroy, Rory","Rory McIlroy",150,22991918,10500,30.021,7:40 am,1,58.4,8.1,0,66.5,0.85,100,19.0064183723147,
"Smith, Cameron","Cameron Smith",150,22991919,10200,27.843,1:25 pm,0,48.7,4.7,0,53.3,0.09,100,12.0760317588617,
"Morikawa, Collin","Collin Morikawa",150,22991920,10000,27.104,7:18 am,1,46.3,4,0,50.2,-0.03,100,13.4968655491706,
"Hovland, Viktor","Viktor Hovland",150,22991921,9700,26.509,1:14 pm,0,46,3.8,0,49.9,0.03,100,9.35523543494753,
"Schauffele, Xander","Xander Schauffele",150,22991922,9600,27.379,7:40 am,1,49,4.9,0,53.9,0.33,100,16.3408784738121,
"Spieth, Jordan","Jordan Spieth",150,22991923,9500,27.565,7:29 am,1,47.6,4.3,0,51.9,0.23,100,13.6414130510677,
"Johnson, Dustin","Dustin Johnson",150,22991924,9400,27.066,1:36 pm,0,46.2,3.9,0,50.1,0.15,100,10.0690026248335,
"Zalatoris, Will","Will Zalatoris",150,22991925,9300,27.892,8:02 am,1,50.8,5.4,0,56.2,0.58,100,15.7256355470564,
"Cantlay, Patrick","Patrick Cantlay",150,22991926,9200,28.164,7:40 am,1,51.4,5.5,0,56.9,0.67,100,15.7272101414352,
"Matsuyama, Hideki","Hideki Matsuyama",150,22991927,9100,27.325,7:40 am,1,48.6,4.5,0,53.1,0.45,100,11.6858571969387,
"Lowry, Shane","Shane Lowry",150,22991928,9000,27.858,1:47 pm,0,50.6,5.3,0,55.9,0.67,100,14.5143530408608,
"Niemann, Joaquin","Joaquin Niemann",150,22991929,8900,27.258,8:02 am,1,48.4,4.7,0,53.1,0.52,100,12.5050083954444,
"Young, Cameron","Cameron Young",150,22991930,8800,26.940,8:02 am,1,46.5,4,0,50.5,0.38,100,9.6236241691554,
"Koepka, Brooks","Brooks Koepka",150,22991931,8700,26.178,1:25 pm,0,43.4,3.2,0,46.6,0.17,100,7.51608481983553,
"Horschel, Billy","Billy Horschel",150,22991932,8600,26.185,7:40 am,1,43.4,3.3,0,46.7,0.2,100,8.48799686830053,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,22991933,8500,27.168,1:36 pm,0,50.1,5.2,0,55.3,0.81,100,15.2306697741876,
"Berger, Daniel","Daniel Berger",150,22991934,8400,25.721,7:40 am,1,42.9,3.2,0,46.1,0.24,100,10.9125574096887,
"Burns, Sam","Sam Burns",150,22991935,8300,27.840,1:14 pm,0,49.4,4.7,0,54,0.79,100,17.0697783140536,
"Finau, Tony","Tony Finau",150,22991936,8200,27.033,1:14 pm,0,47.6,4.4,0,51.9,0.69,100,12.0349116565485,
"Homa, Max","Max Homa",150,22991937,8100,26.507,7:29 am,1,44.2,3.4,0,47.6,0.44,100,13.1016998807883,
"Hatton, Tyrrell","Tyrrell Hatton",150,22991938,8000,25.638,1:03 pm,0,41.6,2.7,0,44.4,0.26,100,5.7364228099368,
"Conners, Corey","Corey Conners",150,22991940,7900,26.796,1:36 pm,0,46.6,4.1,0,50.7,0.71,100,10.6788863999567,
"DeChambeau, Bryson","Bryson DeChambeau",150,22991939,7900,23.082,1:47 pm,0,35.3,1.6,0,37,-0.14,100,3.67654318688369,
"Wise, Aaron","Aaron Wise",150,22991942,7800,26.409,8:02 am,1,45.3,3.6,0,48.9,0.63,100,9.1864137667458,
"Pereira, Mito","Mito Pereira",150,22991941,7800,26.203,1:03 pm,0,45,3.6,0,48.5,0.6,100,8.57285329000516,
"Fleetwood, Tommy","Tommy Fleetwood",150,22991944,7700,25.585,1:58 pm,0,43.7,3.3,0,47,0.54,100,8.46082957345004,
"Oosthuizen, Louis","Louis Oosthuizen",150,22991945,7600,26.301,1:47 pm,0,43.7,3.3,0,47,0.57,100,7.91975097049739,
"Im, Sungjae","Sungjae Im",150,22991947,7600,27.776,1:03 pm,0,48.9,4.7,0,53.6,1,100,18.2199942511183,
"Ancer, Abraham","Abraham Ancer",150,22991946,7600,24.208,1:14 pm,0,39.3,2.3,0,41.6,0.22,100,5.34413187586,
"Bradley, Keegan","Keegan Bradley",150,22991949,7500,26.302,8:02 am,1,44.1,3.4,0,47.5,0.64,100,8.57350543229064,
"Power, Seamus","Seamus Power",150,22991948,7500,26.252,1:25 pm,0,44.2,3.4,0,47.6,0.65,100,7.63115363319846,
"Gooch, Talor","Talor Gooch",150,22991950,7500,26.071,12:52 pm,0,43.8,3.3,0,47.1,0.61,100,6.18961017758298,
"Munoz, Sebastian","Sebastian Munoz",150,22991953,7400,25.427,7:51 am,1,40.8,2.6,0,43.4,0.41,100,6.26459640009796,
"Simpson, Webb","Webb Simpson",150,22991951,7400,24.582,1:36 pm,0,39.4,2.4,0,41.8,0.3,100,5.60620126072231,
"English, Harris","Harris English",150,22991952,7400,22.357,2:09 pm,0,34,1.4,0,35.4,-0.09,100,1.47568246748107,
"Henley, Russell","Russell Henley",150,22991957,7300,25.562,7:51 am,1,42.1,3,0,45.1,0.55,100,6.73783656436501,
"Riley, Davis","Davis Riley",150,22991955,7300,24.826,7:29 am,1,40.2,2.5,0,42.7,0.39,100,8.94934154685952,
"Garcia, Sergio","Sergio Garcia",150,22991956,7300,24.841,1:03 pm,0,40.1,2.6,0,42.6,0.39,100,4.93976604438105,
"Varner III, Harold","Harold Varner III",150,22991958,7300,26.301,7:51 am,1,44.6,3.5,0,48.1,0.74,100,9.21519656185697,
"Hoge, Tom","Tom Hoge",150,22991954,7300,24.151,12:52 pm,0,38.6,2.2,0,40.8,0.27,100,3.32463504782173,
"Reed, Patrick","Patrick Reed",150,22991959,7200,23.812,1:58 pm,0,37.8,2,0,39.9,0.24,100,4.74084754150432,
"Scott, Adam","Adam Scott",150,22991963,7200,23.896,7:29 am,1,38.1,2.1,0,40.2,0.26,100,4.26970905578332,
"Leishman, Marc","Marc Leishman",150,22991964,7200,24.157,8:02 am,1,38.2,2.2,0,40.3,0.27,100,3.33345208781373,
"Straka, Sepp","Sepp Straka",150,22991961,7200,23.775,7:18 am,1,37.6,2,0,39.6,0.22,100,2.75517721980928,
"Kokrak, Jason","Jason Kokrak",150,22991960,7200,24.879,2:09 pm,0,40.5,2.5,0,43,0.45,100,4.36948797469526,
"Tringale, Cameron","Cameron Tringale",150,22991962,7200,24.018,12:52 pm,0,38.4,2.2,0,40.5,0.29,100,3.26126337011671,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,22991968,7100,24.284,1:58 pm,0,38.1,2.1,0,40.3,0.3,100,2.87885390080433,
"Merritt, Troy","Troy Merritt",150,22991966,7100,23.121,7:07 am,1,35.7,1.7,0,37.4,0.12,100,1.97363936520942,
