player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1496,,,G,Scottie Scheffler,63.38,12.5,89.34,81,27,0,0,11300,,35127,1496
2024,,,G,Max Homa,53.21,15.2,77.87,73.5,23,0,0,8100,,36137,2024
762740,,,G,James Piot,22.97,0.11,9.42,28.5,14,0,0,6500,,3384211,762740
1870,,,G,Daniel Berger,57.38,8.9,77.52,76,24.5,0,0,8400,,34742,1870
1760,,,G,Tom Hoge,45.51,2.8,55.22,67.5,21,0,0,7300,,34888,1760
300102,,,G,Collin Morikawa,53.77,8.9,77.89,74,23.5,0,0,10000,,36083,300102
2102,,,G,Ben Silverman,34.61,0.08,14.85,58,18.5,0,0,6300,,37921,2102
670550,,,G,Charles Reiter,30.89,0.05,9.98,54,17,0,0,6000,,58513,670550
1860,,,G,Corey Conners,56.24,15,77.42,75.5,24,0,0,7900,,37123,1860
1135,,,G,Phil Mickelson,34.16,0.41,31.36,58.5,18,0,0,6900,,34795,1135
2125,,,G,Tony Finau,58.35,17.1,80.99,77.5,24.5,0,0,8200,,34873,2125
571331,,,G,Brandon Matthews,29.47,0.26,32.18,52.5,16.5,0,0,6100,,1708994,571331
700009,,,G,Joohyung Kim,31.88,0.22,24.43,56,17.5,0,0,6400,,2087790,700009
696522,,,G,Michael Thorbjornsen,20.85,0.05,9.98,45.86,11.46,0,0,6200,,1071511,696522
1883,,,G,Danny Lee,37.79,1.4,38.62,62,19,0,0,6700,,34784,1883
1356,,,G,Tyrrell Hatton,53.4,5.1,68.71,74,23,0,0,8000,,35279,1356
720888,,,G,Sam Stevens,21.13,0.38,16.55,46.49,11.62,0,0,6200,,3371777,720888
765449,,,G,Ben Lorenz,20.97,0.02,9.98,46.13,11.53,0,0,6000,,3561714,765449
1048,,,G,Ryan Fox,48.53,2.3,57.77,70.35,22,0,0,6700,,36650,1048
1961,,,G,Scott Stallings,41.58,0.95,47.87,65.5,20,0,0,6800,,34999,1961
1411,,,G,Nick Hardy,40.15,0.67,41.06,63.5,19.5,0,0,6200,,35104,1411
1323,,,G,Martin Kaymer,,0,,,,0,0,6600,,34774,1323
1005,,,G,Stewart Cink,43.16,1.1,51.72,66,20.5,0,0,6700,,34863,1005
1049,,,G,Kevin Na,45.56,4.4,58.74,67.5,21.5,0,0,7000,,34798,1049
100830,,,G,Yannik Paul,37.41,0.37,15.31,61,19,0,0,6500,,3561724,100830
703905,,,G,Chris Gotterup,21.12,0.56,45,46.46,11.62,0,0,6600,,3549709,703905
670432,,,G,Adri Arnaus,44.12,1.4,58.71,67.5,20.5,0,0,6800,,658702,670432
670465,,,G,Kalle Samooja,39.92,0.24,30.76,64,20,0,0,6500,,2879284,670465
761831,,,G,Matthew McCarty,21.05,0.14,9.98,46.32,11.58,0,0,6400,,3561720,761831
760665,,,G,Tomoyasu Sugiyama,21.68,0.04,9.98,47.7,11.92,0,0,6400,,3146455,760665
320038,,,G,Sebastian Munoz,48.32,7.4,61.98,69.5,22,0,0,7400,,36138,320038
1654,,,G,Russell Henley,52.23,10.6,71.18,72.5,22.5,0,0,7300,,34884,1654
1457,,,G,Fran Quinn,20.86,0.03,9.98,45.88,11.47,0,0,6300,,3561725,1457
1149,,,G,Dustin Johnson,55.59,2.9,73.14,75.5,23.5,0,0,9400,,34771,1149
670620,,,G,Sungjae Im,57.73,22.4,76.81,76.5,24.5,0,0,7600,,382250,670620
494279,,,G,Chan Kim,35.49,0.28,22.86,60,18,0,0,6000,,37130,494279
1941,,,G,Matthew NeSmith,43.69,1.8,51.21,66.5,21,0,0,6900,,35080,1941
1600,,,G,Harris English,39.47,0.58,47.59,63.35,19.5,0,0,7400,,34758,1600
697889,,,G,Taylor Montgomery,32.47,0.55,40.21,56.5,17.5,0,0,6400,,2927750,697889
696569,,,G,Cameron Young,55.4,12.3,77.28,75,23.5,0,0,8800,,1074862,696569
1622,,,G,Joel Dahmen,40.85,1.5,45.86,64,20,0,0,6600,,36136,1622
1579,,,G,Will Zalatoris,57.14,17.2,85.15,76.5,24,0,0,9300,,35055,1579
1018,,,G,Denny McCarthy,40.14,2.2,53.82,63,19.5,0,0,6700,,35117,1018
1931,,,G,Hideki Matsuyama,53.29,9.9,78.7,73.5,23,0,0,9100,,34791,1931
671028,,,G,Mito Pereira,55.21,16.8,75.37,75.5,23.5,0,0,7800,,278841,671028
1799,,,G,Adam Hadwin,47.31,3,58.74,69,21.5,0,0,7000,,34880,1799
1689,,,G,Beau Hossler,36.8,0.88,42.08,60.5,19,0,0,6400,,36293,1689
1107,,,G,Brian Stuard,37.97,0.3,35.23,62.5,19,0,0,6600,,35002,1107
1701,,,G,Justin Thomas,69.03,12.9,92.35,85.5,52.5,0,0,10900,,34818,1701
1888,,,G,Roger Sloan,37.71,0.11,28.87,61.85,19,0,0,6400,,466730,1888
670403,,,G,Andrew Novak,39.82,0.26,38.95,63.5,19.5,0,0,6600,,37983,670403
690049,,,G,Viktor Hovland,53.82,7.3,84.47,74.5,23.5,0,0,9700,,658704,690049
1713,,,G,Chase Seiffert,40.97,0.6,32.29,64,20,0,0,6000,,37223,1713
190,,,G,Harold Varner III,51.15,10.2,68.4,72.5,22.5,0,0,7300,,34947,190
1625,,,G,Davis Riley,49.09,14.9,66.01,70.5,22,0,0,7300,,1000174,1625
1427,,,G,Satoshi Kodaira,37.4,0.32,30.45,61.5,19,0,0,6600,,35290,1427
1449,,,G,Cameron Tringale,47.73,0.8,58.63,69.5,21.5,0,0,7200,,35004,1449
721938,,,G,Caleb Manuel,21.21,0.01,9.58,46.66,11.66,0,0,6000,,3561710,721938
681998,,,G,Rikuya Hoshino,31.57,0.29,35.76,55.5,17.5,0,0,6500,,382247,681998
692426,,,G,Hayden Buckley,36.75,0.17,28.31,61,19,0,0,6000,,1694130,692426
1901,,,G,Jim Furyk,35.44,0.65,27.92,59.5,18.5,0,0,6300,,35039,1901
1813,,,G,Francesco Molinari,41.8,5.3,49.15,65,20,0,0,6900,,34915,1813
1725,,,G,Billy Horschel,50.86,5.4,70.53,71.5,22.5,0,0,8600,,34768,1725
1417,,,G,Brooks Koepka,52.68,6.7,70.55,73,23,0,0,8700,,34779,1417
185304,,,G,Seamus Power,50.29,5.5,67.29,71.5,22,0,0,7500,,35404,185304
693648,,,G,Min Woo Lee,38.78,1.3,37.48,62.5,19.5,0,0,6400,,2667551,693648
1825,,,G,Grayson Murray,32.44,0.28,32.1,57,17.5,0,0,6600,,36085,1825
670428,,,G,Victor Perez,43.5,1.2,41.06,66,20.5,0,0,6800,,1395203,670428
171,,,G,Jordan Spieth,59.34,13,84.28,78,25,0,0,9500,,34812,171
1859,,,G,Paul Casey,,0,,,,0,0,7700,,34747,1859
1408,,,G,Patrick Cantlay,62.82,13.4,85.17,80.5,27,0,0,9200,,36297,1408
1409,,,G,Troy Merritt,42.29,0.65,51.26,65.5,20,0,0,7100,,34794,1409
680,,,G,Jon Rahm,63.43,15.6,91.96,81.5,27.5,0,0,10800,,35126,680
350,,,G,Thomas Pieters,45.22,2.3,45.62,67,21,0,0,7000,,35299,350
1939,,,G,Sam Horsfield,45.55,1.4,46.56,68.5,21.5,0,0,6600,,35106,1939
780,,,G,Sergio Garcia,51.22,2.2,64.64,72.5,22.5,0,0,7300,,34761,780
762909,,,G,Austin Greaser,29.82,0.02,19.59,53,17,0,0,6100,,3436948,762909
142,,,G,Marc Leishman,48.47,3.1,57.75,70,21.5,0,0,7200,,34785,142
395,,,G,Shane Lowry,60.6,17.5,86.54,78,26,0,0,9000,,34788,395
782,,,G,Patrick Reed,42.57,5.6,57.35,65.5,20.5,0,0,7200,,34803,782
463,,,G,Rory McIlroy,68.45,20.4,94.65,85.5,50,0,0,10500,,34793,463
584,,,G,Louis Oosthuizen,53.84,6.4,69.95,74,23,0,0,7600,,34800,584
