player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"McIlroy, Rory",150,+1177,+1000,-0.138,+1100,-0.060,+1100,-0.060,+1000,-0.138,+1131,-0.036,+1015,-0.127,+800,-0.295,+1100,-0.060,+1100,-0.060,+1000,-0.138,+1000,-0.138,+1100,-0.060,+1000,-0.138,+900,-0.217,+900,-0.217
"Scheffler, Scottie",150,+1506,+1400,-0.066,+1400,-0.066,+1300,-0.129,+1400,-0.066,+1410,-0.060,+1345,-0.100,+1000,-0.315,+1400,-0.066,+1400,-0.066,+1400,-0.066,+1400,-0.066,+1330,-0.110,+1300,-0.129,+1100,-0.253,+1400,-0.066
"Thomas, Justin",150,+1571,+1200,-0.222,+1200,-0.222,+1200,-0.222,+1100,-0.282,+1346,-0.135,+1205,-0.219,+1000,-0.342,+1200,-0.222,+1200,-0.222,+1100,-0.282,+1200,-0.222,+1200,-0.222,+1100,-0.282,+1100,-0.282,+1100,-0.282
"Rahm, Jon",150,+1933,+1400,-0.262,+1600,-0.164,+1700,-0.114,+1200,-0.360,+1403,-0.261,+1415,-0.255,+1200,-0.360,+1600,-0.164,+1400,-0.262,+1200,-0.360,+1600,-0.164,+1500,-0.213,+1400,-0.262,+1200,-0.360,+1400,-0.262
"Cantlay, Patrick",150,+2504,+2500,-0.002,+2800,0.114,+2400,-0.040,+2000,-0.194,+2501,-0.001,+2350,-0.059,+1800,-0.270,+2500,-0.002,+2200,-0.117,+2200,-0.117,+2500,-0.002,+2800,0.114,+2200,-0.117,+2200,-0.117,+2200,-0.117
"Zalatoris, Will",150,+3155,+2800,-0.109,+3000,-0.048,+2800,-0.109,+3000,-0.048,+2808,-0.107,+2850,-0.094,+2000,-0.355,+2800,-0.109,+2500,-0.201,+2200,-0.293,+2200,-0.293,+3000,-0.048,+2500,-0.201,+2200,-0.293,+2800,-0.109
"Lowry, Shane",150,+3228,+2800,-0.129,+2500,-0.219,+3000,-0.068,+3500,0.082,+3484,0.077,+3351,0.037,+2200,-0.309,+3300,0.022,+3300,0.022,+2800,-0.129,+2800,-0.129,+3500,0.082,+2800,-0.129,+2200,-0.309,+3000,-0.068
"Fitzpatrick, Matthew",150,+3354,+2500,-0.247,+2200,-0.334,+2500,-0.247,+3000,-0.103,+3098,-0.074,+2750,-0.175,+1800,-0.450,+2800,-0.160,+2800,-0.160,+2500,-0.247,+2500,-0.247,+2900,-0.131,+2500,-0.247,+2000,-0.392,+2200,-0.334
"Burns, Sam",150,+3600,+2800,-0.216,+2500,-0.297,+2900,-0.189,+3000,-0.162,+3151,-0.121,+2843,-0.205,+2000,-0.432,+2800,-0.216,+2800,-0.216,+2500,-0.297,+2500,-0.297,+3200,-0.108,+2500,-0.297,+2200,-0.378,+2800,-0.216
"Schauffele, Xander",150,+3757,+2200,-0.404,+2500,-0.326,+2100,-0.430,+1600,-0.559,+2466,-0.335,+2050,-0.443,+1600,-0.559,+2200,-0.404,+2200,-0.404,+2000,-0.456,+2200,-0.404,+2350,-0.365,+2200,-0.404,+2000,-0.456,+2000,-0.456
"Im, Sungjae",150,+3998,+4500,0.122,+3300,-0.170,+4100,0.025,+4000,0.000,+5418,0.346,+4050,0.013,+2500,-0.366,+4000,0.000,+4000,0.000,+3300,-0.170,+4000,0.000,+5000,0.244,+4000,0.000,+4000,0.000,+4000,0.000
"Smith, Cameron",150,+4128,+2000,-0.503,+2200,-0.456,+2100,-0.480,+2200,-0.456,+2145,-0.469,+2050,-0.492,+1600,-0.598,+2000,-0.503,+2200,-0.456,+2000,-0.503,+1600,-0.598,+2300,-0.432,+2200,-0.456,+1800,-0.551,+2000,-0.503
"Niemann, Joaquin",150,+4394,+3300,-0.244,+3000,-0.310,+3700,-0.155,+4000,-0.088,+4249,-0.032,+3851,-0.121,+2500,-0.421,+3500,-0.199,+4000,-0.088,+3300,-0.244,+3300,-0.244,+3900,-0.110,+3300,-0.244,+3000,-0.310,+3300,-0.244
"Matsuyama, Hideki",150,+4445,+3500,-0.208,+3500,-0.208,+4100,-0.076,+4000,-0.098,+3851,-0.131,+4450,0.001,+2500,-0.428,+4000,-0.098,+4000,-0.098,+3300,-0.252,+4000,-0.098,+4000,-0.098,+4000,-0.098,+3500,-0.208,+4000,-0.098
"Finau, Tony",150,+4466,+3000,-0.321,+3000,-0.321,+3400,-0.234,+3500,-0.212,+3904,-0.123,+3252,-0.266,+2200,-0.496,+3500,-0.212,+3300,-0.255,+2800,-0.365,+3300,-0.255,+3900,-0.124,+3300,-0.255,+3000,-0.321,+3500,-0.212
"Spieth, Jordan",150,+4656,+2800,-0.390,+2800,-0.390,+2400,-0.474,+2800,-0.390,+2412,-0.472,+2050,-0.548,+1800,-0.601,+2500,-0.453,+2500,-0.453,+2200,-0.516,+2500,-0.453,+2700,-0.411,+2200,-0.516,+2000,-0.558,+2500,-0.453
"Morikawa, Collin",150,+5502,+2500,-0.536,+3000,-0.447,+2900,-0.464,+3000,-0.447,+1864,-0.649,+3050,-0.438,+2000,-0.625,+2800,-0.482,+2800,-0.482,+2200,-0.589,+2800,-0.482,+2900,-0.464,+2500,-0.536,+2000,-0.625,+2800,-0.482
"Young, Cameron",150,+6035,+4500,-0.250,+4000,-0.332,+4400,-0.267,+5000,-0.169,,0.00,+4850,-0.193,+2800,-0.527,+4500,-0.250,+5000,-0.169,+4000,-0.332,+5000,-0.169,+4500,-0.250,+4000,-0.332,+3500,-0.413,+4500,-0.250
"Johnson, Dustin",150,+6111,+4000,-0.340,+4000,-0.340,+4400,-0.275,+2800,-0.533,+1869,-0.683,+3551,-0.412,+4000,-0.340,+3500,-0.420,+4000,-0.340,+3300,-0.453,+4000,-0.340,+3800,-0.372,+4000,-0.340,+3500,-0.420,+4000,-0.340
"Hovland, Viktor",150,+6150,+3000,-0.504,+2500,-0.584,+3100,-0.488,+3500,-0.424,+2917,-0.517,+3851,-0.368,+2200,-0.632,+3300,-0.456,+2800,-0.536,+2500,-0.584,+3300,-0.456,+3600,-0.408,+2800,-0.536,+2200,-0.632,+3300,-0.456
"Conners, Corey",150,+6749,+5500,-0.182,+5000,-0.255,+4800,-0.285,+6000,-0.109,+7190,0.064,+6050,-0.102,+2800,-0.577,+6000,-0.109,+5000,-0.255,+4000,-0.401,+5000,-0.255,+7200,0.066,+5000,-0.255,+5500,-0.182,+4000,-0.401
"Pereira, Mito",150,+6942,+6000,-0.134,+5500,-0.205,+5500,-0.205,+4500,-0.347,+6725,-0.031,+8050,0.157,+3300,-0.517,+7500,0.079,+6600,-0.049,+5000,-0.276,+6600,-0.049,+9500,0.363,+5000,-0.276,+5500,-0.205,+6000,-0.134
"Wise, Aaron",150,+7133,+8000,0.120,+8000,0.120,+7500,0.051,+10000,0.396,,0.00,+7050,-0.012,+4000,-0.433,+8000,0.120,+8000,0.120,+6600,-0.074,+8000,0.120,+10000,0.396,+7000,-0.018,+7000,-0.018,+7000,-0.018
"Varner III, Harold",150,+7461,+9000,0.203,+8000,0.071,+9000,0.203,+6500,-0.127,,0.00,+7050,-0.054,+8000,0.071,+8000,0.071,+8000,0.071,+6600,-0.114,+8000,0.071,+10000,0.336,+8000,0.071,+7000,-0.061,+6600,-0.114
"Homa, Max",150,+8286,+4000,-0.511,+3500,-0.571,+3600,-0.559,+4500,-0.451,+5531,-0.329,+5050,-0.386,+2500,-0.690,+5000,-0.392,+5000,-0.392,+3300,-0.595,+3300,-0.595,+5000,-0.392,+4000,-0.511,+3500,-0.571,+4500,-0.451
"Oosthuizen, Louis",150,+8484,+7500,-0.115,+6600,-0.219,+7500,-0.115,+4000,-0.522,+5247,-0.377,+8850,0.043,+4000,-0.522,+9000,0.060,+6600,-0.219,+6600,-0.219,+10000,0.177,+10500,0.235,+6600,-0.219,+6000,-0.289,+7000,-0.173
"Bradley, Keegan",150,+8889,+8000,-0.099,+8000,-0.099,+9000,0.012,+8000,-0.099,,0.00,+10550,0.185,+8000,-0.099,+9000,0.012,+10000,0.124,+8000,-0.099,+10000,0.124,+11000,0.235,+8000,-0.099,+7500,-0.155,+9000,0.012
"Gooch, Talor",150,+9268,+8000,-0.135,+8000,-0.135,+10000,0.078,+8000,-0.135,,0.00,+10850,0.169,+5000,-0.456,+11000,0.185,+10000,0.078,+8000,-0.135,+10000,0.078,+16000,0.719,+8000,-0.135,+6600,-0.285,+9000,-0.029
"Koepka, Brooks",150,+9424,+4500,-0.517,+3500,-0.622,+4400,-0.527,+4000,-0.569,+2096,-0.769,+4550,-0.512,+2800,-0.696,+4500,-0.517,+4000,-0.569,+3300,-0.643,+4000,-0.569,+3600,-0.611,+4000,-0.569,+3500,-0.622,+4500,-0.517
"Fleetwood, Tommy",150,+9447,+5500,-0.413,+5000,-0.466,+6500,-0.309,+6500,-0.309,+6374,-0.322,+6550,-0.303,+3300,-0.644,+6500,-0.309,+5000,-0.466,+5000,-0.466,+6600,-0.298,+8400,-0.110,+5000,-0.466,+4500,-0.518,+5500,-0.413
"Berger, Daniel",150,+9656,+4500,-0.528,+4500,-0.528,+5000,-0.477,+3500,-0.631,+4694,-0.509,+5550,-0.421,+2800,-0.703,+4500,-0.528,+5000,-0.477,+4000,-0.580,+5000,-0.477,+6500,-0.324,+4000,-0.580,+4500,-0.528,+4000,-0.580
"Power, Seamus",150,+9680,+10000,0.033,+8000,-0.172,+10000,0.033,+8000,-0.172,,0.00,+12550,0.293,+8000,-0.172,+11000,0.135,+10000,0.033,+8000,-0.172,+10000,0.033,+14500,0.493,+10000,0.033,+8000,-0.172,+9000,-0.070
"Horschel, Billy",150,+9752,+5000,-0.482,+4000,-0.584,+3700,-0.614,+5500,-0.432,+6426,-0.338,+6050,-0.376,+2500,-0.736,+5500,-0.432,+5500,-0.432,+4000,-0.584,+5000,-0.482,+6500,-0.330,+4000,-0.584,+4000,-0.584,+5500,-0.432
"Henley, Russell",150,+12479,+12500,0.002,+12500,0.002,+12000,-0.038,+6500,-0.475,+17410,0.392,+14779,0.183,+10000,-0.197,+15000,0.200,+15000,0.200,+12500,0.002,+15000,0.200,+11000,-0.118,+12500,0.002,+10000,-0.197,+10000,-0.197
"Hatton, Tyrrell",150,+12929,+8000,-0.378,+8000,-0.378,+9000,-0.302,+8000,-0.378,+5866,-0.542,+10050,-0.221,+8000,-0.378,+9000,-0.302,+8000,-0.378,+6600,-0.486,+10000,-0.225,+9000,-0.302,+7000,-0.455,+6000,-0.532,+8000,-0.378
"Riley, Davis",150,+14660,+6000,-0.587,+6000,-0.587,+7500,-0.485,+8000,-0.451,,0.00,+8050,-0.448,+4000,-0.722,+7500,-0.485,+6600,-0.546,+6600,-0.546,+6600,-0.546,+8200,-0.438,+6600,-0.546,+6000,-0.587,+8000,-0.451
"Kim, Si Woo",150,+14938,+12500,-0.162,+12500,-0.162,+16000,0.071,+15000,0.004,+16421,0.099,+13050,-0.126,+10000,-0.328,+15000,0.004,+15000,0.004,+12500,-0.162,+15000,0.004,+17000,0.137,+12500,-0.162,+10000,-0.328,+15000,0.004
"Rose, Justin",150,+15167,+6000,-0.600,+5500,-0.633,+7000,-0.535,+6500,-0.568,+8260,-0.452,+8050,-0.466,+3300,-0.777,+6600,-0.561,+6600,-0.561,+5000,-0.666,+6600,-0.561,+7500,-0.502,+6000,-0.600,+5500,-0.633,+6600,-0.561
"Munoz, Sebastian",150,+16361,+12500,-0.235,+12500,-0.235,+16000,-0.022,+13000,-0.204,,0.00,+16050,-0.019,+8000,-0.508,+20000,0.221,+20000,0.221,+12500,-0.235,+15000,-0.083,+17000,0.039,+12500,-0.235,+10000,-0.386,+10000,-0.386
"Kokrak, Jason",150,+16498,+10000,-0.391,+10000,-0.391,+12000,-0.271,+13000,-0.211,+9388,-0.428,+14050,-0.147,+6600,-0.596,+15000,-0.090,+12500,-0.241,+10000,-0.391,+15000,-0.090,+20500,0.241,+10000,-0.391,+8000,-0.512,+12500,-0.241
"Simpson, Webb",150,+17291,+8000,-0.534,+8000,-0.534,+10000,-0.419,+11000,-0.362,+7388,-0.569,+8850,-0.485,+5000,-0.707,+12500,-0.275,+8000,-0.534,+8000,-0.534,+8000,-0.534,+11000,-0.362,+8000,-0.534,+6600,-0.615,+9000,-0.477
