tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Smith, Cameron",15856,8500,0.1232,1,6,0,0,0,80.0,30,116.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Steele, Brendan",11019,6400,0.0038,2,6,0,0,0,87.0,20,113.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"McDowell, Graeme",7548,6800,0.0624,T4,6,0,0,0,78.0,16,100.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Simpson, Webb",11049,11100,0.177,3,0,0,0,0,78.5,18,96.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Griffin, Lanto",15330,7500,0.1475,T7,3,0,0,0,82.0,10,95.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Palmer, Ryan",7820,7500,0.1682,T4,0,0,0,5,70.5,16,91.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Kisner, Kevin",11328,8700,0.1049,T4,0,0,0,5,68.0,16,89.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Norlander, Henrik",11657,6700,0.0119,T9,3,0,0,0,72.5,8,83.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Potter, Jr., Ted",8769,6100,0.0014,T7,0,0,0,0,68.0,10,78.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Snedeker, Brandt",8820,8600,0.1109,T12,3,3,0,0,65.5,6,77.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Conners, Corey",17576,8900,0.114,T12,0,3,0,0,68.0,6,77.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Malnati, Peter",14926,6300,0.004,T12,3,3,0,0,64.0,6,76.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Seiffert, Chase",17509,6300,0.0025,T38,3,0,0,0,70.5,2,75.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Davis, Cameron",17786,6400,0.0006,T9,0,0,0,0,67.0,8,75.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Oppenheim, Rob",8002,6100,0.0023,T21,0,3,0,0,68.0,4,75.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Matsuyama, Hideki",13562,10500,0.1354,T12,0,3,0,0,66.0,6,75.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Hoag, Bo",14081,6200,0.0188,T9,3,0,0,0,64.0,8,75.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Hoge, Tom",15575,6300,0.0053,T12,0,0,0,0,68.0,6,74.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Dahmen, Joel",14509,7100,0.0476,T12,0,3,0,0,64.5,6,73.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Taylor, Vaughn",6930,7400,0.1049,T12,0,0,0,0,67.0,6,73.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Howell III, Charles",6892,9100,0.1344,T12,0,3,0,0,63.5,6,72.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Ancer, Abraham",18238,9000,0.1038,T38,6,0,0,0,64.5,2,72.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Im, Sungjae",17488,9600,0.238,T21,0,0,0,0,68.0,4,72.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Anderson, Mark",12131,6000,0.0011,T21,0,0,0,0,68.0,4,72.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Harman, Brian",8825,8200,0.0901,T32,6,0,0,0,63.0,2,71.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Leishman, Marc",7649,9200,0.0971,T28,0,0,0,0,67.5,3,70.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Gellerman, Michael",19909,6000,0.0005,T38,3,0,0,0,65.5,2,70.5
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Grillo, Emiliano",12808,7600,0.0666,T21,0,0,0,0,66.0,4,70.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Sabbatini, Rory",6283,7600,0.1351,T21,0,0,0,0,66.0,4,70.0
pga,2020,2020,Sony Open in Hawaii,6,draftkings,PGA TOUR $300K Drive the Green [$100K to 1st],"Morikawa, Collin",22085,10300,0.184,T21,0,3,0,0,62.0,4,69.0
