tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Rahm, Jon",19195,11300,0.1555,2,6,3,0,0,90.0,20,119.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Leishman, Marc",7649,8300,0.0928,1,3,0,0,0,82.5,30,115.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Snedeker, Brandt",8820,8400,0.0944,T3,3,0,0,0,83.5,18,104.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"McIlroy, Rory",10091,11600,0.1794,T3,0,0,0,0,85.0,18,103.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Watson, Bubba",7334,7500,0.0647,T6,3,3,0,0,78.0,12,96.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Reed, Patrick",14838,9200,0.0845,T6,3,0,0,0,80.5,12,95.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Champ, Cameron",23542,7800,0.0967,T16,3,0,0,0,82.5,5,90.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Hoffman, Charley",5768,6600,0.0124,T9,0,3,0,0,77.5,8,88.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Finau, Tony",11676,9300,0.2058,T6,0,0,0,0,74.5,12,86.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Hoge, Tom",15575,6900,0.0283,5,0,0,0,0,72.5,14,86.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Rodgers, Patrick",16283,6400,0.0136,T9,0,0,0,0,77.0,8,85.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Hossler, Beau",15470,6800,0.0085,T9,0,3,0,0,72.5,8,83.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Woods, Tiger",5321,10800,0.2035,T9,3,0,0,0,72.5,8,83.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Higgs, Harry",14140,6500,0.009,T9,0,0,0,0,74.5,8,82.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Bradley, Keegan",13872,7300,0.1258,T16,0,3,0,0,74.0,5,82.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Homa, Max",17538,6500,0.0158,T9,0,3,0,0,69.0,8,80.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Kang, Sung",7881,6800,0.0185,T16,0,3,0,0,71.5,5,79.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Holmes, J.B.",7959,6900,0.0233,T16,0,0,0,0,74.5,5,79.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Wolff, Matthew",25919,8200,0.1031,T21,0,3,0,0,72.0,4,79.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Day, Jason",9771,9000,0.0629,T16,3,0,0,0,70.0,5,78.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Anderson, Mark",12131,6000,0.0025,T30,0,3,0,0,71.5,3,77.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"McCumber, Tyler",17584,6100,0.0042,T21,0,3,0,0,70.0,4,77.0
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Davis, Cameron",17786,7000,0.0424,T36,3,0,0,0,71.5,2,76.5
pga,2020,2020,Farmers Insurance Open,4,draftkings,PGA TOUR $500K King of the Pines [$100K to 1st],"Palmer, Ryan",7820,8000,0.2137,T21,0,0,0,0,72.0,4,76.0
