date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jan 26, 2020","Farmers Insurance Open","McIlroy, Rory",0.906725,0.053675,0.83495,0.74625,0.583125,0.420425,0.319625,0.156925,T3
"Jan 26, 2020","Farmers Insurance Open","Rahm, Jon",0.887775,0.0432,0.793075,0.69095,0.513025,0.355325,0.25695,0.1141,2
"Jan 26, 2020","Farmers Insurance Open","Schauffele, Xander",0.8113,0.0282,0.6463,0.525825,0.343925,0.21015,0.1407,0.052275,CUT
"Jan 26, 2020","Farmers Insurance Open","Matsuyama, Hideki",0.81305,0.026625,0.641775,0.5213,0.341375,0.206075,0.1371,0.051825,T45
"Jan 26, 2020","Farmers Insurance Open","Woods, Tiger",0.8016,0.024875,0.624525,0.498825,0.318775,0.1897,0.12575,0.046425,T9
"Jan 26, 2020","Farmers Insurance Open","Reed, Patrick",0.772375,0.0212,0.571575,0.446475,0.2728,0.15405,0.09699999999999999,0.035125,T6
"Jan 26, 2020","Farmers Insurance Open","Woodland, Gary",0.771075,0.02015,0.5666,0.440475,0.269775,0.154375,0.0993,0.0346,CUT
"Jan 26, 2020","Farmers Insurance Open","Fowler, Rickie",0.7595,0.0197,0.546525,0.421675,0.2529,0.143975,0.09175,0.031225,CUT
"Jan 26, 2020","Farmers Insurance Open","Rose, Justin",0.755025,0.01925,0.531375,0.40525,0.242475,0.1351,0.08415,0.02835,CUT
"Jan 26, 2020","Farmers Insurance Open","Finau, Tony",0.71905,0.016375,0.462525,0.344425,0.192775,0.10105,0.06145,0.01955,T6
"Jan 26, 2020","Farmers Insurance Open","Morikawa, Collin",0.700025,0.015425,0.446875,0.32935,0.18205,0.096275,0.05875,0.0194,T21
"Jan 26, 2020","Farmers Insurance Open","Im, Sungjae",0.71855,0.01445,0.464175,0.341225,0.19135,0.0983,0.059775,0.0186,T36
"Jan 26, 2020","Farmers Insurance Open","Scheffler, Scottie",0.696825,0.013475,0.446175,0.32715,0.179975,0.09435,0.056175,0.0186,CUT
"Jan 26, 2020","Farmers Insurance Open","An, Byeong Hun",0.691825,0.01265,0.42985,0.307075,0.166875,0.0844,0.049975,0.0158,T68
"Jan 26, 2020","Farmers Insurance Open","Day, Jason",0.678225,0.01255,0.410275,0.2939,0.1553,0.078975,0.04755,0.014975,T16
"Jan 26, 2020","Farmers Insurance Open","Palmer, Ryan",0.64555,0.0121,0.366325,0.256125,0.13265,0.0648,0.037825,0.010625,T21
"Jan 26, 2020","Farmers Insurance Open","Snedeker, Brandt",0.6459999999999999,0.0109,0.3596,0.249275,0.126875,0.0636,0.0359,0.010225,T3
"Jan 26, 2020","Farmers Insurance Open","Niemann, Joaquin",0.6418,0.010825,0.359775,0.252875,0.129225,0.062175,0.0363,0.009975,T49
"Jan 26, 2020","Farmers Insurance Open","Griffin, Lanto",0.63125,0.011025,0.340375,0.2364,0.1187,0.056875,0.033275,0.0095,CUT
"Jan 26, 2020","Farmers Insurance Open","Horschel, Billy",0.634925,0.0118,0.352875,0.244075,0.12375,0.0597,0.03355,0.009425,T68
"Jan 26, 2020","Farmers Insurance Open","Leishman, Marc",0.6319,0.010575,0.3404,0.233075,0.116825,0.057375,0.0326,0.0093,1
"Jan 26, 2020","Farmers Insurance Open","Kokrak, Jason",0.6427,0.0102,0.35775,0.2461,0.125025,0.061025,0.034975,0.009125,T21
"Jan 26, 2020","Farmers Insurance Open","Smith, Cameron",0.62085,0.010575,0.3333,0.229475,0.11215,0.053125,0.029875,0.009000000000000001,T64
"Jan 26, 2020","Farmers Insurance Open","Munoz, Sebastian",0.620225,0.010525,0.327575,0.22135,0.11105,0.05255,0.02975,0.007975,CUT
"Jan 26, 2020","Farmers Insurance Open","Champ, Cameron",0.5893,0.008725,0.2967,0.197075,0.094575,0.041975,0.024325,0.00745,T16
"Jan 26, 2020","Farmers Insurance Open","Ortiz, Carlos",0.61645,0.008975,0.321825,0.217875,0.10585,0.048925,0.027475,0.0072,CUT
"Jan 26, 2020","Farmers Insurance Open","Hall, Harry",0.584875,0.009675,0.293525,0.198225,0.096825,0.045875,0.02505,0.00715,CUT
"Jan 26, 2020","Farmers Insurance Open","Wolff, Matthew",0.5964,0.0089,0.299625,0.202025,0.0997,0.046775,0.02545,0.007025,T21
"Jan 26, 2020","Farmers Insurance Open","English, Harris",0.617675,0.009225,0.320125,0.21525,0.10515,0.0488,0.02635,0.00695,T71
"Jan 26, 2020","Farmers Insurance Open","Watson, Bubba",0.606425,0.009325,0.3034,0.20475,0.100125,0.04655,0.026675,0.006925,T6
"Jan 26, 2020","Farmers Insurance Open","McCarthy, Denny",0.5884,0.007975,0.280925,0.1867,0.088375,0.039375,0.021775,0.0063,T64
"Jan 26, 2020","Farmers Insurance Open","Glover, Lucas",0.5824,0.008175,0.282025,0.1885,0.09025,0.040775,0.02245,0.0063,T49
"Jan 26, 2020","Farmers Insurance Open","Spieth, Jordan",0.58825,0.008575,0.286825,0.187975,0.08775,0.0394,0.022125,0.006275,T55
"Jan 26, 2020","Farmers Insurance Open","Sabbatini, Rory",0.587075,0.008,0.2828,0.1883,0.090025,0.0415,0.023175,0.006,CUT
"Jan 26, 2020","Farmers Insurance Open","Varner III, Harold",0.577325,0.007625,0.269025,0.173325,0.081075,0.03785,0.020275,0.00565,CUT
"Jan 26, 2020","Farmers Insurance Open","Bradley, Keegan",0.5775,0.00865,0.2715,0.1784,0.084,0.038075,0.02045,0.0056,T16
"Jan 26, 2020","Farmers Insurance Open","Cauley, Bud",0.59035,0.00795,0.2864,0.18985,0.0895,0.0407,0.02155,0.00555,CUT
"Jan 26, 2020","Farmers Insurance Open","Knox, Russell",0.578725,0.007375,0.2645,0.1696,0.07575,0.03315,0.017425,0.005375,T21
"Jan 26, 2020","Farmers Insurance Open","Frittelli, Dylan",0.571375,0.007575,0.261575,0.169375,0.0772,0.033225,0.017875,0.005075,T73
"Jan 26, 2020","Farmers Insurance Open","Vegas, Jhonattan",0.563825,0.007825,0.257375,0.1668,0.0761,0.03375,0.018275,0.00505,T30
"Jan 26, 2020","Farmers Insurance Open","Tringale, Cameron",0.56815,0.008325,0.2623,0.170975,0.07915,0.03525,0.01875,0.005025,T49
"Jan 26, 2020","Farmers Insurance Open","Jones, Matt",0.5632,0.007375,0.256775,0.167375,0.076275,0.03365,0.017875,0.004825,T73
"Jan 26, 2020","Farmers Insurance Open","Grillo, Emiliano",0.57645,0.00785,0.2681,0.174275,0.080875,0.034825,0.018575,0.0044,CUT
"Jan 26, 2020","Farmers Insurance Open","Watney, Nick",0.552625,0.0066,0.24735,0.1596,0.072125,0.0318,0.017775,0.004375,CUT
"Jan 26, 2020","Farmers Insurance Open","Burgoon, Bronson",0.5383,0.006875,0.23055,0.145075,0.0655,0.02885,0.0155,0.003825,CUT
"Jan 26, 2020","Farmers Insurance Open","Lee, Danny",0.526875,0.00665,0.215775,0.13575,0.058475,0.025,0.013475,0.0037,WD
"Jan 26, 2020","Farmers Insurance Open","Kang, Sung",0.5283,0.00725,0.2208,0.140375,0.060875,0.02575,0.0135,0.00365,T16
"Jan 26, 2020","Farmers Insurance Open","Perez, Pat",0.5346,0.007475,0.221625,0.13945,0.061475,0.02635,0.014025,0.003525,T55
"Jan 26, 2020","Farmers Insurance Open","Clark, Wyndham",0.5388,0.006425,0.227125,0.14335,0.06385,0.0276,0.0145,0.0034,CUT
"Jan 26, 2020","Farmers Insurance Open","Steele, Brendan",0.507225,0.00595,0.19635,0.122525,0.051075,0.02175,0.0116,0.0032,CUT
"Jan 26, 2020","Farmers Insurance Open","Tway, Kevin",0.513975,0.004825,0.20345,0.12575,0.053725,0.02305,0.011325,0.0032,T30
