bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+600,2020-01-22 14:49,10091,+669,2020-01-21 11:24,T3,"McIlroy, Rory",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+834,2020-01-22 14:49,19195,+833,2020-01-21 11:24,2,"Rahm, Jon",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+1109,2020-01-22 14:49,5321,+1108,2020-01-21 11:24,T9,"Woods, Tiger",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+1366,2020-01-22 14:49,19895,+1767,2020-01-21 11:24,CUT,"Schauffele, Xander",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+1571,2020-01-22 14:49,6093,+1767,2020-01-21 11:24,CUT,"Rose, Justin",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+1892,2020-01-22 14:49,13562,+1986,2020-01-21 11:24,T45,"Matsuyama, Hideki",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+2534,2020-01-22 14:49,12965,+2425,2020-01-21 11:24,CUT,"Fowler, Rickie",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+2878,2020-01-22 14:49,12577,+2755,2020-01-21 11:24,CUT,"Woodland, Gary",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+3001,2020-01-22 14:49,11676,+3084,2020-01-21 11:24,T6,"Finau, Tony",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+3221,2020-01-22 14:49,14838,+3084,2020-01-21 11:24,T6,"Reed, Patrick",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+3452,2020-01-22 14:49,22085,+3304,2020-01-21 11:24,T21,"Morikawa, Collin",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+4025,2020-01-22 14:49,18417,+3853,2020-01-21 11:24,CUT,"Scheffler, Scottie",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+4292,2020-01-22 14:49,9771,+4109,2020-01-21 11:24,T16,"Day, Jason",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+4598,2020-01-22 14:49,8820,+4402,2020-01-21 11:24,T3,"Snedeker, Brandt",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+4598,2020-01-22 14:49,15856,+4402,2020-01-21 11:24,T64,"Smith, Cameron",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+5442,2020-01-22 14:49,14636,+5211,2020-01-21 11:24,T55,"Spieth, Jordan",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+5744,2020-01-22 14:49,7820,+5500,2020-01-21 11:24,T21,"Palmer, Ryan",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+5744,2020-01-22 14:49,18079,+5500,2020-01-21 11:24,T49,"Niemann, Joaquin",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
1,paid in full,+5744,2020-01-22 14:49,7649,+5500,2020-01-21 11:24,1,"Leishman, Marc",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+6540,2020-01-22 14:49,23542,+7696,2020-01-21 11:24,T16,"Champ, Cameron",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+7218,2020-01-22 14:49,14459,+6912,2020-01-21 11:24,T68,"An, Byeong Hun",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+7576,2020-01-22 14:49,11276,+7256,2020-01-21 11:24,T68,"Horschel, Billy",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+7576,2020-01-22 14:49,7655,+7256,2020-01-21 11:24,CUT,"Molinari, Francesco",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+7576,2020-01-22 14:49,25919,+7256,2020-01-21 11:24,T21,"Wolff, Matthew",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+7800,2020-01-22 14:49,15330,+7470,2020-01-21 11:24,CUT,"Griffin, Lanto",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+8037,2020-01-22 14:49,12808,+7696,2020-01-21 11:24,CUT,"Grillo, Emiliano",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
0,loss,+8570,2020-01-22 14:49,14502,+8208,2020-01-21 11:24,CUT,"Cauley, Bud",pinnacle,2020-01-26,Farmers Insurance Open,win,2020,2020,4
