tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,Farmers Insurance Open,4,"Leishman, Marc",7649,1,1,Torrey Pines GC (North),104,68,,,,,,2.718,,,,,,
pga,2020,2020,Farmers Insurance Open,4,"Leishman, Marc",7649,1,2,Torrey Pines GC (South),4,72,1.364,-0.768,0.521,-0.221,-0.468,0.896,286.1,0.571,0.778,0.667,34.267,36.149
pga,2020,2020,Farmers Insurance Open,4,"Leishman, Marc",7649,1,3,Torrey Pines GC (South),4,68,1.889,-0.566,1.341,1.045,1.82,3.709,298.1,0.714,0.667,0.571,30.383,30.747
pga,2020,2020,Farmers Insurance Open,4,"Leishman, Marc",7649,1,4,Torrey Pines GC (South),4,65,4.778,0.452,2.865,-1.235,2.083,6.861,293.8,0.214,0.778,0.833,43.178,16.967
pga,2020,2020,Farmers Insurance Open,4,"Rahm, Jon",19195,2,1,Torrey Pines GC (North),104,68,,,,,,2.718,,,,,,
pga,2020,2020,Farmers Insurance Open,4,"Rahm, Jon",19195,2,2,Torrey Pines GC (South),4,71,1.869,0.489,-0.829,0.367,0.027,1.896,299.1,0.5,0.667,0.5,80.245,42.705
pga,2020,2020,Farmers Insurance Open,4,"Rahm, Jon",19195,2,3,Torrey Pines GC (South),4,65,1.897,3.142,0.172,1.498,4.812,6.709,298.5,0.857,0.722,1.0,70.628,34.063
pga,2020,2020,Farmers Insurance Open,4,"Rahm, Jon",19195,2,4,Torrey Pines GC (South),4,70,2.133,-1.838,0.921,0.644,-0.272,1.861,298.0,0.643,0.722,0.375,55.443,36.778
pga,2020,2020,Farmers Insurance Open,4,"Snedeker, Brandt",8820,T3,1,Torrey Pines GC (North),104,69,,,,,,1.718,,,,,,
pga,2020,2020,Farmers Insurance Open,4,"Snedeker, Brandt",8820,T3,2,Torrey Pines GC (South),4,67,2.862,1.428,1.542,0.064,3.034,5.896,278.2,0.643,0.722,0.5,39.579,30.175
pga,2020,2020,Farmers Insurance Open,4,"Snedeker, Brandt",8820,T3,3,Torrey Pines GC (South),4,72,1.171,0.564,-1.457,-0.569,-1.462,-0.291,279.3,0.643,0.5,0.667,32.411,36.127
pga,2020,2020,Farmers Insurance Open,4,"Snedeker, Brandt",8820,T3,4,Torrey Pines GC (South),4,68,1.21,-0.367,2.923,0.094,2.651,3.861,280.7,0.786,0.889,0.667,55.784,27.385
pga,2020,2020,Farmers Insurance Open,4,"McIlroy, Rory",10091,T3,1,Torrey Pines GC (North),104,67,,,,,,3.718,,,,,,
pga,2020,2020,Farmers Insurance Open,4,"McIlroy, Rory",10091,T3,2,Torrey Pines GC (South),4,73,0.043,0.846,-0.01,-0.983,-0.147,-0.104,305.3,0.571,0.667,0.571,60.811,31.996
pga,2020,2020,Farmers Insurance Open,4,"McIlroy, Rory",10091,T3,3,Torrey Pines GC (South),4,67,-0.466,1.092,3.332,0.751,5.175,4.709,301.8,0.643,0.889,0.75,26.997,30.418
pga,2020,2020,Farmers Insurance Open,4,"McIlroy, Rory",10091,T3,4,Torrey Pines GC (South),4,69,1.013,0.484,1.856,-0.493,1.848,2.861,306.9,0.5,0.778,0.667,51.393,35.362
pga,2020,2020,Farmers Insurance Open,4,"Hoge, Tom",15575,5,1,Torrey Pines GC (South),4,71,-0.056,0.478,1.814,0.456,2.748,2.692,284.8,0.786,0.833,0.6,26.654,31.397
pga,2020,2020,Farmers Insurance Open,4,"Hoge, Tom",15575,5,2,Torrey Pines GC (North),104,71,,,,,,-0.571,,,,,,
pga,2020,2020,Farmers Insurance Open,4,"Hoge, Tom",15575,5,3,Torrey Pines GC (South),4,67,2.614,0.258,2.361,-0.524,2.095,4.709,283.4,0.643,0.667,0.833,31.691,21.53
pga,2020,2020,Farmers Insurance Open,4,"Hoge, Tom",15575,5,4,Torrey Pines GC (South),4,68,0.728,0.66,2.573,-0.101,3.133,3.861,287.2,0.571,0.778,1.0,42.292,24.008
pga,2020,2020,Farmers Insurance Open,4,"Finau, Tony",11676,T6,1,Torrey Pines GC (South),4,70,1.703,0.735,0.134,1.12,1.989,3.692,295.1,0.714,0.611,0.75,18.466,42.224
pga,2020,2020,Farmers Insurance Open,4,"Finau, Tony",11676,T6,2,Torrey Pines GC (North),104,70,,,,,,0.429,,,,,,
