bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+648,2020-01-29 16:18,19195,+601,2020-01-28 07:29,T9,"Rahm, Jon",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+913,2020-01-29 16:18,14139,+871,2020-01-28 07:29,T3,"Thomas, Justin",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
1,paid in full,+1504,2020-01-29 16:18,11049,+1410,2020-01-28 07:29,1,"Simpson, Webb",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+1717,2020-01-29 16:18,12965,+1561,2020-01-28 07:29,T37,"Fowler, Rickie",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+1717,2020-01-29 16:18,13562,+1561,2020-01-28 07:29,T16,"Matsuyama, Hideki",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+1931,2020-01-29 16:18,19895,+1723,2020-01-28 07:29,T16,"Schauffele, Xander",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3000,2020-01-29 16:18,19841,+3000,2020-01-29 16:18,T52,"DeChambeau, Bryson",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3000,2020-01-29 16:18,6169,+3000,2020-01-29 16:18,T16,"Kuchar, Matt",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3000,2020-01-29 16:18,12577,+3000,2020-01-29 16:18,T40,"Woodland, Gary",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3000,2020-01-29 16:18,7334,+3000,2020-01-29 16:18,T3,"Watson, Bubba",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3104,2020-01-29 16:18,11676,+3104,2020-01-29 16:18,2,"Finau, Tony",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3214,2020-01-29 16:18,17488,+3214,2020-01-29 16:18,T34,"Im, Sungjae",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3535,2020-01-29 16:18,8820,+3535,2020-01-29 16:18,CUT,"Snedeker, Brandt",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+3535,2020-01-29 16:18,22085,+3535,2020-01-29 16:18,T25,"Morikawa, Collin",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+4535,2020-01-29 16:18,11952,+4535,2020-01-29 16:18,T9,"Grace, Branden",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+5352,2020-01-29 16:18,7820,+5352,2020-01-29 16:18,CUT,"Palmer, Ryan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+5352,2020-01-29 16:18,18417,+5352,2020-01-29 16:18,CUT,"Scheffler, Scottie",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+5352,2020-01-29 16:18,18841,+5352,2020-01-29 16:18,CUT,"Hovland, Viktor",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+5352,2020-01-29 16:18,14636,+5352,2020-01-29 16:18,CUT,"Spieth, Jordan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+5607,2020-01-29 16:18,15856,+5607,2020-01-29 16:18,CUT,"Smith, Cameron",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+6143,2020-01-29 16:18,25919,+6143,2020-01-29 16:18,CUT,"Wolff, Matthew",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+6422,2020-01-29 16:18,7489,+6422,2020-01-29 16:18,CUT,"Moore, Ryan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+7063,2020-01-29 16:18,12337,+7063,2020-01-29 16:18,CUT,"Kokrak, Jason",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+7063,2020-01-29 16:18,17576,+7063,2020-01-29 16:18,T45,"Conners, Corey",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+7063,2020-01-29 16:18,17606,+7063,2020-01-29 16:18,T9,"Berger, Daniel",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+7063,2020-01-29 16:18,14459,+7063,2020-01-29 16:18,T9,"An, Byeong Hun",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+7270,2020-01-29 16:18,7961,+7270,2020-01-29 16:18,CUT,"Reavie, Chez",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,13872,+8559,2020-01-29 16:18,T49,"Bradley, Keegan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,8825,+8559,2020-01-29 16:18,T49,"Harman, Brian",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,13831,+8559,2020-01-29 16:18,T16,"Knox, Russell",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,11276,+8559,2020-01-29 16:18,T9,"Horschel, Billy",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,7452,+8559,2020-01-29 16:18,CUT,"Na, Kevin",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+8559,2020-01-29 16:18,14704,+8559,2020-01-29 16:18,CUT,"Putnam, Andrew",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+9628,2020-01-29 16:18,13965,+9628,2020-01-29 16:18,T40,"Hadwin, Adam",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+9628,2020-01-29 16:18,11019,+9628,2020-01-29 16:18,CUT,"Steele, Brendan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+9628,2020-01-29 16:18,14502,+9628,2020-01-29 16:18,T25,"Cauley, Bud",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+9628,2020-01-29 16:18,15575,+9628,2020-01-29 16:18,T25,"Hoge, Tom",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+9628,2020-01-29 16:18,6930,+9628,2020-01-29 16:18,CUT,"Taylor, Vaughn",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+10697,2020-01-29 16:18,15330,+10697,2020-01-29 16:18,CUT,"Griffin, Lanto",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+10697,2020-01-29 16:18,5768,+10697,2020-01-29 16:18,T40,"Hoffman, Charley",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+10697,2020-01-29 16:18,14000,+10697,2020-01-29 16:18,T45,"Landry, Andrew",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+11207,2020-01-29 16:18,17538,+11207,2020-01-29 16:18,T6,"Homa, Max",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+11207,2020-01-29 16:18,12808,+11207,2020-01-29 16:18,CUT,"Grillo, Emiliano",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,7881,+13370,2020-01-29 16:18,T52,"Kang, Sung",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,6283,+13370,2020-01-29 16:18,CUT,"Sabbatini, Rory",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,20770,+13370,2020-01-29 16:18,T47,"Munoz, Sebastian",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,6986,+13370,2020-01-29 16:18,CUT,"Johnson, Zach",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,19870,+13370,2020-01-29 16:18,T59,"McCarthy, Denny",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,15470,+13370,2020-01-29 16:18,66,"Hossler, Beau",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,14577,+13370,2020-01-29 16:18,T16,"English, Harris",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+13370,2020-01-29 16:18,9586,+13370,2020-01-29 16:18,T55,"Laird, Martin",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+14586,2020-01-29 16:18,14509,+14586,2020-01-29 16:18,WD,"Dahmen, Joel",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+16043,2020-01-29 16:18,14578,+16043,2020-01-29 16:18,CUT,"Henley, Russell",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+16043,2020-01-29 16:18,7899,+16043,2020-01-29 16:18,T6,"Piercy, Scott",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+16043,2020-01-29 16:18,11955,+16043,2020-01-29 16:18,T63,"Frittelli, Dylan",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+16043,2020-01-29 16:18,14140,+16043,2020-01-29 16:18,T25,"Higgs, Harry",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+16043,2020-01-29 16:18,22051,+16043,2020-01-29 16:18,CUT,"Wise, Aaron",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
0,loss,+18715,2020-01-29 16:18,16602,+18715,2020-01-29 16:18,CUT,"Varner III, Harold",pinnacle,2020-02-02,Waste Management Phoenix Open,win,2020,2020,3
