tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Taylor, Nick",13126,1,1,Monterey Peninsula CC,769,63,,,,,,7.173,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Taylor, Nick",13126,1,2,Pebble Beach Golf Links,5,66,3.567,-0.373,1.432,0.508,1.568,5.135,267.3,0.857,0.778,0.833,68.168,25.675
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Taylor, Nick",13126,1,3,Spyglass Hill Golf Course,205,69,,,,,,5.059,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Taylor, Nick",13126,1,4,Pebble Beach Golf Links,5,70,2.324,2.045,1.094,-1.036,2.102,4.426,275.5,0.786,0.611,0.5,14.882,34.377
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Streelman, Kevin",8480,2,1,Spyglass Hill Golf Course,205,69,,,,,,2.923,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Streelman, Kevin",8480,2,2,Monterey Peninsula CC,769,67,,,,,,2.019,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Streelman, Kevin",8480,2,3,Pebble Beach Golf Links,5,68,2.088,-0.527,1.436,0.962,1.873,3.961,269.0,0.929,0.833,0.429,6.483,28.147
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Streelman, Kevin",8480,2,4,Pebble Beach Golf Links,5,68,1.554,0.695,2.953,1.225,4.872,6.426,282.3,0.857,0.778,0.4,46.237,28.464
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Mickelson, Phil",1547,3,1,Spyglass Hill Golf Course,205,68,,,,,,3.923,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Mickelson, Phil",1547,3,2,Monterey Peninsula CC,769,64,,,,,,5.019,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Mickelson, Phil",1547,3,3,Pebble Beach Golf Links,5,67,1.335,4.228,-1.518,0.914,3.626,4.961,287.7,0.643,0.5,0.917,49.451,39.947
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Mickelson, Phil",1547,3,4,Pebble Beach Golf Links,5,74,0.447,0.065,-0.552,0.467,-0.021,0.426,275.4,0.786,0.556,0.429,,45.936
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Day, Jason",9771,4,1,Monterey Peninsula CC,769,67,,,,,,3.173,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Day, Jason",9771,4,2,Pebble Beach Golf Links,5,64,3.083,3.312,0.315,0.424,4.052,7.135,281.4,0.643,0.889,1.0,41.005,35.186
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Day, Jason",9771,4,3,Spyglass Hill Golf Course,205,70,,,,,,4.059,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Day, Jason",9771,4,4,Pebble Beach Golf Links,5,75,-2.922,0.913,0.589,0.847,2.348,-0.574,273.5,0.857,0.667,0.667,18.775,37.968
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Berger, Daniel",17606,T5,1,Spyglass Hill Golf Course,205,70,,,,,,1.923,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Berger, Daniel",17606,T5,2,Monterey Peninsula CC,769,69,,,,,,0.019,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Berger, Daniel",17606,T5,3,Pebble Beach Golf Links,5,70,0.314,0.235,0.178,1.232,1.647,1.961,269.2,1.0,0.722,0.833,,34.502
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Berger, Daniel",17606,T5,4,Pebble Beach Golf Links,5,69,1.464,2.04,2.645,-0.722,3.962,5.426,267.0,0.714,0.5,0.875,52.391,23.238
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"McNealy, Maverick",18634,T5,1,Pebble Beach Golf Links,5,72,-2.176,0.595,0.381,1.142,2.118,-0.058,279.0,0.857,0.778,0.5,32.754,31.207
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"McNealy, Maverick",18634,T5,2,Spyglass Hill Golf Course,205,72,,,,,,0.667,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"McNealy, Maverick",18634,T5,3,Monterey Peninsula CC,769,66,,,,,,3.882,,,,,,
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"McNealy, Maverick",18634,T5,4,Pebble Beach Golf Links,5,68,6.054,0.213,1.353,-1.193,0.372,6.426,268.7,0.5,0.667,1.0,55.966,32.524
pga,2020,2020,AT&T Pebble Beach Pro-Am,5,"Jones, Matt",8605,T5,1,Pebble Beach Golf Links,5,68,3.245,-1.163,1.129,0.731,0.697,3.942,275.3,0.786,0.667,0.5,24.314,32.552
