tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Reed, Patrick",14838,8400,0.1267,1,6,0,0,5,91.5,30,132.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"van Rooyen, Erik",17550,6600,0.0683,T3,6,3,0,0,97.0,18,124.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"DeChambeau, Bryson",19841,9000,0.1185,2,6,0,0,0,96.5,20,122.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Rahm, Jon",19195,10600,0.1707,T3,6,0,5,0,93.0,18,122.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Thomas, Justin",14139,10800,0.1354,T6,3,0,0,0,88.0,12,103.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"McIlroy, Rory",10091,11500,0.268,5,0,0,0,5,82.5,14,101.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Hatton, Tyrrell",14796,7400,0.1443,T6,3,0,0,5,79.0,12,99.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Matsuyama, Hideki",13562,10000,0.1412,T6,3,0,0,0,83.5,12,98.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Munoz, Sebastian",20770,6800,0.0841,T14,6,0,0,0,79.0,6,91.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Horschel, Billy",11276,7300,0.0862,T9,0,3,0,0,79.0,8,90.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Casey, Paul",7108,8700,0.1438,11,0,0,0,0,81.5,6,87.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Na, Kevin",7452,7300,0.0223,T9,0,0,0,0,79.5,8,87.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Hebert, Benjamin",12213,6300,0.0117,T18,3,0,0,0,78.5,5,86.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Ancer, Abraham",18238,7900,0.1721,T12,6,0,0,0,74.0,6,86.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Lombard, Zander",16897,6000,0.0066,T26,3,0,0,0,78.5,3,84.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Scheffler, Scottie",18417,7100,0.1923,T26,6,3,0,0,71.5,3,83.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Schauffele, Xander",19895,9400,0.2068,T14,3,3,0,0,69.0,6,81.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Cabrera Bello, Rafa",7457,7600,0.1176,T16,3,3,0,0,69.5,5,80.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Snedeker, Brandt",8820,7700,0.0723,T22,3,0,0,0,73.5,4,80.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Ortiz, Carlos",14735,6600,0.2185,T16,0,0,0,0,74.5,5,79.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Woodland, Gary",12577,8300,0.1538,T12,3,0,0,0,70.5,6,79.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Kuchar, Matt",6169,8800,0.0601,T22,6,0,0,0,68.5,4,78.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Fox, Ryan",11889,6400,0.0453,T29,0,0,0,0,74.5,3,77.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Wiesberger, Bernd",9531,7400,0.025,T37,9,0,0,0,66.5,2,77.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Fleetwood, Tommy",12294,9200,0.2314,T18,3,0,0,0,69.0,5,77.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Smith, Cameron",15856,7700,0.0499,T22,0,0,0,0,72.5,4,76.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Kisner, Kevin",11328,7200,0.118,T18,3,0,0,0,68.0,5,76.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Westwood, Lee",4052,6900,0.0426,T22,6,0,0,0,65.0,4,75.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Reavie, Chez",7961,7300,0.0458,T29,0,0,5,0,65.0,3,73.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"An, Byeong Hun",14459,7400,0.1347,T29,0,0,0,0,68.5,3,71.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Watson, Bubba",7334,8200,0.0775,T18,0,0,0,0,66.0,5,71.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Scott, Adam",6430,9600,0.1171,T26,0,0,0,0,67.0,3,70.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Griffin, Lanto",15330,6700,0.0939,T29,3,0,0,0,63.5,3,69.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Perez, Victor",20730,7600,0.125,T53,3,0,0,0,66.0,0,69.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Harding, Justin",10886,6200,0.0185,T29,0,3,0,0,62.5,3,68.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Garcia, Sergio",5689,8600,0.1603,T37,0,3,0,0,62.5,2,67.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Fitzpatrick, Matthew",17646,8000,0.1021,T37,0,0,0,0,65.0,2,67.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Bezuidenhout, Christiaan",18103,6900,0.0555,T29,0,3,0,0,60.5,3,66.5
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"MacIntyre, Robert",23323,7200,0.0371,T42,0,0,0,0,65.0,1,66.0
pga,2020,2020,World Golf Championships-Mexico Championship,473,draftkings,PGA TOUR $800K Resurgence [$200K to 1st],"Todd, Brendon",12425,6800,0.0355,T37,3,0,0,0,60.5,2,65.5
