tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Reed, Patrick",14838,1,1,Club de Golf Chapultepec,240,69,2.509,0.013,1.299,-0.432,0.88,3.389,299.1,0.571,0.667,0.778,22.806,35.325
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Reed, Patrick",14838,1,2,Club de Golf Chapultepec,240,63,5.437,0.504,1.545,-0.208,1.841,7.278,296.9,0.643,0.667,0.75,32.517,32.076
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Reed, Patrick",14838,1,3,Club de Golf Chapultepec,240,67,0.835,1.326,0.573,0.016,1.915,2.75,301.9,0.643,0.667,0.727,54.45,26.776
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Reed, Patrick",14838,1,4,Club de Golf Chapultepec,240,67,3.043,1.36,-1.418,-0.388,-0.446,2.597,305.2,0.714,0.667,0.9,13.678,42.058
pga,2020,2020,World Golf Championships-Mexico Championship,473,"DeChambeau, Bryson",19841,2,1,Club de Golf Chapultepec,240,68,3.755,-1.42,0.669,1.385,0.634,4.389,322.9,0.5,0.778,0.556,43.924,35.53
pga,2020,2020,World Golf Championships-Mexico Championship,473,"DeChambeau, Bryson",19841,2,2,Club de Golf Chapultepec,240,63,4.563,0.042,1.244,1.429,2.715,7.278,318.5,0.643,0.833,0.8,40.215,28.106
pga,2020,2020,World Golf Championships-Mexico Championship,473,"DeChambeau, Bryson",19841,2,3,Club de Golf Chapultepec,240,71,-1.095,-0.085,-2.076,2.006,-0.155,-1.25,322.8,0.5,0.667,0.625,32.615,27.183
pga,2020,2020,World Golf Championships-Mexico Championship,473,"DeChambeau, Bryson",19841,2,4,Club de Golf Chapultepec,240,65,-0.875,1.808,2.493,1.171,5.472,4.597,312.1,0.714,0.833,0.714,23.04,21.84
pga,2020,2020,World Golf Championships-Mexico Championship,473,"van Rooyen, Erik",17550,T3,1,Club de Golf Chapultepec,240,70,0.245,2.67,0.017,-0.543,2.144,2.389,311.1,0.286,0.722,0.625,38.776,41.72
pga,2020,2020,World Golf Championships-Mexico Championship,473,"van Rooyen, Erik",17550,T3,2,Club de Golf Chapultepec,240,62,3.086,1.773,3.159,0.26,5.192,8.278,312.9,0.5,0.833,1.0,39.811,24.408
pga,2020,2020,World Golf Championships-Mexico Championship,473,"van Rooyen, Erik",17550,T3,3,Club de Golf Chapultepec,240,67,-0.107,1.107,0.993,0.757,2.857,2.75,319.0,0.5,0.778,0.75,27.274,33.767
pga,2020,2020,World Golf Championships-Mexico Championship,473,"van Rooyen, Erik",17550,T3,4,Club de Golf Chapultepec,240,70,0.91,-1.29,-0.219,0.196,-1.313,-0.403,315.4,0.5,0.667,0.692,62.582,21.476
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Rahm, Jon",19195,T3,1,Club de Golf Chapultepec,240,72,0.201,0.303,-0.982,0.867,0.188,0.389,308.6,0.643,0.556,0.583,72.666,42.257
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Rahm, Jon",19195,T3,2,Club de Golf Chapultepec,240,69,0.586,-0.132,0.319,0.505,0.692,1.278,308.6,0.643,0.722,0.5,60.822,28.191
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Rahm, Jon",19195,T3,3,Club de Golf Chapultepec,240,61,2.933,0.153,3.764,1.9,5.817,8.75,318.3,0.786,0.944,0.833,40.449,34.56
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Rahm, Jon",19195,T3,4,Club de Golf Chapultepec,240,67,1.648,-0.068,-0.095,1.112,0.949,2.597,320.0,0.643,0.722,0.714,80.607,26.64
pga,2020,2020,World Golf Championships-Mexico Championship,473,"McIlroy, Rory",10091,5,1,Club de Golf Chapultepec,240,65,3.62,-0.104,1.931,1.942,3.769,7.389,326.3,0.571,0.833,0.7,66.449,30.042
pga,2020,2020,World Golf Championships-Mexico Championship,473,"McIlroy, Rory",10091,5,2,Club de Golf Chapultepec,240,69,-0.275,-0.063,0.238,1.378,1.553,1.278,326.0,0.714,0.833,0.375,56.26,30.008
pga,2020,2020,World Golf Championships-Mexico Championship,473,"McIlroy, Rory",10091,5,3,Club de Golf Chapultepec,240,68,-0.749,-0.124,0.653,1.97,2.499,1.75,326.7,0.643,0.944,0.5,51.634,34.331
pga,2020,2020,World Golf Championships-Mexico Championship,473,"McIlroy, Rory",10091,5,4,Club de Golf Chapultepec,240,68,-0.543,0.467,1.191,0.482,2.14,1.597,324.1,0.571,0.778,0.7,63.89,22.131
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Hatton, Tyrrell",14796,T6,1,Club de Golf Chapultepec,240,69,-1.136,0.297,1.997,2.231,4.525,3.389,307.2,0.786,0.833,0.5,77.643,28.353
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Hatton, Tyrrell",14796,T6,2,Club de Golf Chapultepec,240,68,0.909,2.013,-0.866,0.222,1.369,2.278,296.6,0.643,0.722,0.875,60.027,31.964
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Hatton, Tyrrell",14796,T6,3,Club de Golf Chapultepec,240,66,0.03,1.435,2.471,-0.186,3.72,3.75,295.4,0.571,0.778,0.5,53.984,23.375
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Hatton, Tyrrell",14796,T6,4,Club de Golf Chapultepec,240,68,0.617,-0.858,0.442,1.396,0.98,1.597,308.7,0.929,0.722,0.444,22.663,30.064
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Matsuyama, Hideki",13562,T6,1,Club de Golf Chapultepec,240,69,0.052,-0.841,2.321,1.857,3.337,3.389,301.2,0.786,0.722,0.75,53.6,28.094
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Matsuyama, Hideki",13562,T6,2,Club de Golf Chapultepec,240,64,0.811,0.181,3.929,1.357,5.467,6.278,312.1,0.714,0.889,0.6,51.739,19.619
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Matsuyama, Hideki",13562,T6,3,Club de Golf Chapultepec,240,71,-2.919,0.248,2.656,-1.235,1.669,-1.25,309.9,0.571,0.833,0.286,38.568,28.612
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Matsuyama, Hideki",13562,T6,4,Club de Golf Chapultepec,240,67,2.738,-0.793,0.103,0.549,-0.141,2.597,328.9,0.571,0.611,0.6,36.449,28.383
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Thomas, Justin",14139,T6,1,Club de Golf Chapultepec,240,67,2.061,0.18,0.628,2.52,3.328,5.389,332.2,0.714,0.611,0.833,62.109,28.686
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Thomas, Justin",14139,T6,2,Club de Golf Chapultepec,240,66,1.08,0.544,0.865,1.789,3.198,4.278,338.5,0.643,0.722,0.571,51.537,23.907
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Thomas, Justin",14139,T6,3,Club de Golf Chapultepec,240,65,2.069,0.843,1.499,0.339,2.681,4.75,326.4,0.429,0.833,0.714,40.574,22.267
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Thomas, Justin",14139,T6,4,Club de Golf Chapultepec,240,73,-1.66,-0.882,0.307,-1.168,-1.743,-3.403,327.7,0.429,0.722,0.375,21.235,35.244
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Na, Kevin",7452,T9,1,Club de Golf Chapultepec,240,71,1.302,-1.219,1.015,0.291,0.087,1.389,293.0,0.714,0.611,0.545,26.388,39.347
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Na, Kevin",7452,T9,2,Club de Golf Chapultepec,240,68,0.324,2.607,0.223,-0.876,1.954,2.278,289.9,0.571,0.778,0.7,37.08,38.549
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Na, Kevin",7452,T9,3,Club de Golf Chapultepec,240,65,2.19,0.101,2.357,0.102,2.56,4.75,294.9,0.714,0.889,0.75,44.044,23.772
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Na, Kevin",7452,T9,4,Club de Golf Chapultepec,240,68,2.082,0.814,-0.483,-0.816,-0.485,1.597,295.4,0.643,0.611,0.778,33.572,26.709
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Horschel, Billy",11276,T9,1,Club de Golf Chapultepec,240,68,3.489,-1.423,0.807,1.516,0.9,4.389,309.0,0.857,0.611,0.5,,32.083
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Horschel, Billy",11276,T9,2,Club de Golf Chapultepec,240,71,1.201,0.14,-2.708,0.645,-1.923,-0.722,317.1,0.571,0.611,0.7,23.531,30.682
pga,2020,2020,World Golf Championships-Mexico Championship,473,"Horschel, Billy",11276,T9,3,Club de Golf Chapultepec,240,68,-1.4,-0.302,1.996,1.456,3.15,1.75,314.1,0.714,1.0,0.25,62.196,28.843
