tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,The Honda Classic,10,"Im, Sungjae",17488,1,1,PGA National (Champion),734,72,-2.568,-0.634,2.079,1.109,2.554,-0.014,276.8,0.857,0.944,0.333,50.517,33.074
pga,2020,2020,The Honda Classic,10,"Im, Sungjae",17488,1,2,PGA National (Champion),734,66,1.239,1.958,2.271,0.672,4.901,6.14,277.7,0.714,0.778,0.857,71.186,32.81
pga,2020,2020,The Honda Classic,10,"Im, Sungjae",17488,1,3,PGA National (Champion),734,70,-0.374,1.997,-0.096,0.443,2.345,1.971,283.4,0.643,0.611,0.778,54.046,36.028
pga,2020,2020,The Honda Classic,10,"Im, Sungjae",17488,1,4,PGA National (Champion),734,66,2.686,0.237,1.962,0.289,2.488,5.174,283.6,0.571,0.556,0.778,58.199,27.251
pga,2020,2020,The Honda Classic,10,"Hughes, Mackenzie",15556,2,1,PGA National (Champion),734,71,-0.069,3.112,-0.499,-1.558,1.055,0.986,274.1,0.5,0.444,0.778,47.973,44.198
pga,2020,2020,The Honda Classic,10,"Hughes, Mackenzie",15556,2,2,PGA National (Champion),734,72,-2.472,0.539,2.287,-0.214,2.612,0.14,270.2,0.571,0.556,0.455,64.806,35.961
pga,2020,2020,The Honda Classic,10,"Hughes, Mackenzie",15556,2,3,PGA National (Champion),734,66,3.797,1.228,2.381,-1.436,2.174,5.971,274.0,0.714,0.667,0.667,22.402,31.073
pga,2020,2020,The Honda Classic,10,"Hughes, Mackenzie",15556,2,4,PGA National (Champion),734,66,3.48,1.556,0.253,-0.115,1.694,5.174,273.5,0.643,0.667,0.8,21.216,51.812
pga,2020,2020,The Honda Classic,10,"Fleetwood, Tommy",12294,3,1,PGA National (Champion),734,70,0.187,0.646,-0.032,1.185,1.799,1.986,279.7,0.786,0.611,0.556,52.472,43.89
pga,2020,2020,The Honda Classic,10,"Fleetwood, Tommy",12294,3,2,PGA National (Champion),734,68,-1.887,0.945,3.073,2.009,6.027,4.14,290.2,0.857,0.722,0.6,25.433,32.04
pga,2020,2020,The Honda Classic,10,"Fleetwood, Tommy",12294,3,3,PGA National (Champion),734,67,3.64,-0.484,1.217,0.597,1.331,4.971,283.7,0.714,0.778,0.625,41.482,41.39
pga,2020,2020,The Honda Classic,10,"Fleetwood, Tommy",12294,3,4,PGA National (Champion),734,71,0.302,0.693,-0.29,-0.531,-0.128,0.174,275.9,0.643,0.611,0.8,19.506,29.875
pga,2020,2020,The Honda Classic,10,"Steele, Brendan",11019,T4,1,PGA National (Champion),734,68,0.718,-0.95,3.217,1.001,3.268,3.986,283.5,0.714,0.722,0.6,28.716,25.964
pga,2020,2020,The Honda Classic,10,"Steele, Brendan",11019,T4,2,PGA National (Champion),734,67,2.289,-0.075,1.51,1.416,2.851,5.14,286.7,0.786,0.667,0.571,57.8,32.362
pga,2020,2020,The Honda Classic,10,"Steele, Brendan",11019,T4,3,PGA National (Champion),734,71,-1.408,0.629,0.725,1.024,2.379,0.971,295.4,0.571,0.667,0.833,52.078,27.618
pga,2020,2020,The Honda Classic,10,"Steele, Brendan",11019,T4,4,PGA National (Champion),734,71,-0.273,0.047,-0.626,1.026,0.447,0.174,282.5,0.714,0.722,0.8,25.625,33.568
pga,2020,2020,The Honda Classic,10,"Berger, Daniel",17606,T4,1,PGA National (Champion),734,69,0.608,0.165,0.794,1.419,2.378,2.986,279.1,0.857,0.778,0.8,47.319,30.005
pga,2020,2020,The Honda Classic,10,"Berger, Daniel",17606,T4,2,PGA National (Champion),734,70,-0.069,0.106,3.366,-1.263,2.209,2.14,267.5,0.786,0.611,0.667,12.63,34.226
pga,2020,2020,The Honda Classic,10,"Berger, Daniel",17606,T4,3,PGA National (Champion),734,69,0.287,0.489,1.749,0.445,2.684,2.971,285.2,0.643,0.667,0.571,42.926,32.329
pga,2020,2020,The Honda Classic,10,"Berger, Daniel",17606,T4,4,PGA National (Champion),734,69,2.643,-0.965,0.261,0.235,-0.469,2.174,271.1,0.714,0.5,0.636,49.196,40.298
pga,2020,2020,The Honda Classic,10,"An, Byeong Hun",14459,T4,1,PGA National (Champion),734,76,-2.021,-0.093,-2.234,0.334,-1.993,-4.014,276.3,0.714,0.556,0.5,50.396,46.265
pga,2020,2020,The Honda Classic,10,"An, Byeong Hun",14459,T4,2,PGA National (Champion),734,66,1.035,3.296,0.844,0.965,5.105,6.14,284.5,0.786,0.611,0.875,36.885,32.921
pga,2020,2020,The Honda Classic,10,"An, Byeong Hun",14459,T4,3,PGA National (Champion),734,68,2.147,0.887,-0.247,1.183,1.824,3.971,283.1,0.857,0.556,0.8,56.068,38.504
pga,2020,2020,The Honda Classic,10,"An, Byeong Hun",14459,T4,4,PGA National (Champion),734,67,0.008,1.259,2.99,-0.083,4.166,4.174,276.3,0.643,0.611,0.889,43.023,27.876
pga,2020,2020,The Honda Classic,10,"Westwood, Lee",4052,T4,1,PGA National (Champion),734,67,2.969,-0.034,0.761,1.29,2.017,4.986,279.2,0.857,0.722,0.875,40.489,39.274
pga,2020,2020,The Honda Classic,10,"Westwood, Lee",4052,T4,2,PGA National (Champion),734,69,1.769,0.743,-0.768,1.396,1.371,3.14,280.0,0.857,0.556,0.875,40.445,35.958
pga,2020,2020,The Honda Classic,10,"Westwood, Lee",4052,T4,3,PGA National (Champion),734,71,2.418,-1.412,0.457,-0.493,-1.447,0.971,281.7,0.643,0.556,0.556,40.472,35.847
pga,2020,2020,The Honda Classic,10,"Westwood, Lee",4052,T4,4,PGA National (Champion),734,70,-0.19,0.829,-0.333,0.868,1.364,1.174,284.5,0.714,0.611,0.75,54.453,39.039
pga,2020,2020,The Honda Classic,10,"Henley, Russell",14578,T8,1,PGA National (Champion),734,70,-0.574,0.151,1.717,0.692,2.56,1.986,275.0,0.786,0.667,0.625,26.574,38.778
pga,2020,2020,The Honda Classic,10,"Henley, Russell",14578,T8,2,PGA National (Champion),734,69,0.281,0.305,2.794,-0.24,2.859,3.14,269.2,0.571,0.667,0.625,35.196,35.047
pga,2020,2020,The Honda Classic,10,"Henley, Russell",14578,T8,3,PGA National (Champion),734,70,0.046,0.516,1.35,0.058,1.925,1.971,277.6,0.786,0.778,0.6,13.521,33.768
pga,2020,2020,The Honda Classic,10,"Henley, Russell",14578,T8,4,PGA National (Champion),734,69,0.132,-1.514,4.748,-1.192,2.042,2.174,269.9,0.571,0.722,0.4,24.177,26.312
pga,2020,2020,The Honda Classic,10,"Woodland, Gary",12577,T8,1,PGA National (Champion),734,70,-1.564,2.354,1.348,-0.152,3.55,1.986,282.6,0.571,0.5,0.667,28.758,34.972
pga,2020,2020,The Honda Classic,10,"Woodland, Gary",12577,T8,2,PGA National (Champion),734,67,-0.442,0.54,4.004,1.038,5.582,5.14,288.8,0.643,0.722,0.667,29.902,30.946
pga,2020,2020,The Honda Classic,10,"Woodland, Gary",12577,T8,3,PGA National (Champion),734,74,0.31,-3.579,0.437,0.802,-2.339,-2.029,284.8,0.643,0.722,0.444,69.603,30.939
pga,2020,2020,The Honda Classic,10,"Woodland, Gary",12577,T8,4,PGA National (Champion),734,67,1.954,-0.297,1.804,0.713,2.22,4.174,280.5,0.643,0.778,1.0,50.199,32.585
pga,2020,2020,The Honda Classic,10,"Davis, Cameron",17786,T8,1,PGA National (Champion),734,70,0.788,-0.109,0.916,0.391,1.198,1.986,285.2,0.571,0.667,0.75,49.324,36.418
pga,2020,2020,The Honda Classic,10,"Davis, Cameron",17786,T8,2,PGA National (Champion),734,67,2.826,-0.616,2.912,0.018,2.314,5.14,286.4,0.429,0.722,0.857,46.286,29.788
pga,2020,2020,The Honda Classic,10,"Davis, Cameron",17786,T8,3,PGA National (Champion),734,73,-2.695,0.883,0.806,-0.024,1.666,-1.029,294.1,0.571,0.611,0.571,31.055,33.68
pga,2020,2020,The Honda Classic,10,"Davis, Cameron",17786,T8,4,PGA National (Champion),734,68,-0.89,1.795,1.511,0.758,4.064,3.174,284.2,0.643,0.556,0.7,59.105,31.753
pga,2020,2020,The Honda Classic,10,"Clark, Wyndham",23604,T11,1,PGA National (Champion),734,68,0.42,1.061,2.095,0.41,3.566,3.986,283.8,0.571,0.667,0.833,44.588,28.569
pga,2020,2020,The Honda Classic,10,"Clark, Wyndham",23604,T11,2,PGA National (Champion),734,74,-2.301,-0.287,0.057,0.671,0.441,-1.86,290.3,0.571,0.556,0.455,46.697,42.297
pga,2020,2020,The Honda Classic,10,"Clark, Wyndham",23604,T11,3,PGA National (Champion),734,71,2.873,0.841,-0.967,-1.777,-1.902,0.971,281.8,0.357,0.556,0.875,40.741,40.812
pga,2020,2020,The Honda Classic,10,"Clark, Wyndham",23604,T11,4,PGA National (Champion),734,66,3.614,-0.268,1.776,0.052,1.56,5.174,296.6,0.357,0.667,0.857,30.673,27.1
pga,2020,2020,The Honda Classic,10,"Garnett, Brice",11451,T11,1,PGA National (Champion),734,72,0.386,-0.562,0.377,-0.215,-0.4,-0.014,268.2,0.643,0.556,0.6,56.327,36.506
pga,2020,2020,The Honda Classic,10,"Garnett, Brice",11451,T11,2,PGA National (Champion),734,69,2.229,0.139,0.393,0.379,0.911,3.14,272.4,0.714,0.611,0.625,25.607,35.03
pga,2020,2020,The Honda Classic,10,"Garnett, Brice",11451,T11,3,PGA National (Champion),734,72,-0.364,-0.409,1.977,-1.234,0.335,-0.029,274.9,0.643,0.778,0.4,14.507,35.86
pga,2020,2020,The Honda Classic,10,"Garnett, Brice",11451,T11,4,PGA National (Champion),734,66,2.663,0.809,1.31,0.392,2.511,5.174,274.3,0.714,0.778,0.8,21.799,37.491
pga,2020,2020,The Honda Classic,10,"Shelton, Robby",18635,T11,1,PGA National (Champion),734,70,0.076,0.851,0.573,0.486,1.91,1.986,267.0,0.786,0.722,0.857,50.099,34.578
pga,2020,2020,The Honda Classic,10,"Shelton, Robby",18635,T11,2,PGA National (Champion),734,69,2.939,1.298,-0.5,-0.597,0.201,3.14,270.7,0.5,0.5,0.667,47.738,45.112
pga,2020,2020,The Honda Classic,10,"Shelton, Robby",18635,T11,3,PGA National (Champion),734,70,0.338,-0.46,1.58,0.512,1.633,1.971,276.5,0.786,0.667,0.429,46.403,37.964
pga,2020,2020,The Honda Classic,10,"Shelton, Robby",18635,T11,4,PGA National (Champion),734,70,0.257,0.091,1.766,-0.94,0.917,1.174,272.4,0.643,0.611,0.667,33.452,26.678
pga,2020,2020,The Honda Classic,10,"McNealy, Maverick",18634,T11,1,PGA National (Champion),734,70,-0.319,-1.54,2.617,1.228,2.305,1.986,280.3,0.857,0.778,0.833,42.861,34.071
pga,2020,2020,The Honda Classic,10,"McNealy, Maverick",18634,T11,2,PGA National (Champion),734,69,1.884,-0.61,1.563,0.303,1.256,3.14,273.4,0.714,0.667,0.571,29.143,33.256
pga,2020,2020,The Honda Classic,10,"McNealy, Maverick",18634,T11,3,PGA National (Champion),734,71,-1.686,-0.184,2.427,0.413,2.657,0.971,280.6,0.714,0.722,0.667,55.116,29.747
pga,2020,2020,The Honda Classic,10,"McNealy, Maverick",18634,T11,4,PGA National (Champion),734,69,1.166,1.746,-1.519,0.781,1.008,2.174,281.8,0.714,0.5,0.818,40.688,46.286
pga,2020,2020,The Honda Classic,10,"Donald, Luke",4163,T11,1,PGA National (Champion),734,70,-0.522,1.945,0.312,0.251,2.508,1.986,271.2,0.714,0.556,0.75,15.439,46.807
pga,2020,2020,The Honda Classic,10,"Donald, Luke",4163,T11,2,PGA National (Champion),734,66,3.063,0.16,3.595,-0.678,3.077,6.14,260.8,0.643,0.667,0.667,41.875,23.6
pga,2020,2020,The Honda Classic,10,"Donald, Luke",4163,T11,3,PGA National (Champion),734,71,1.49,-0.771,1.766,-1.515,-0.519,0.971,272.0,0.5,0.722,0.625,44.215,32.251
pga,2020,2020,The Honda Classic,10,"Donald, Luke",4163,T11,4,PGA National (Champion),734,72,-1.232,0.268,1.19,-1.052,0.406,-0.826,266.9,0.643,0.5,0.75,61.89,27.707
pga,2020,2020,The Honda Classic,10,"Hubbard, Mark",16333,T11,1,PGA National (Champion),734,69,2.645,0.145,-0.639,0.835,0.341,2.986,269.2,0.857,0.556,0.8,41.272,35.974
pga,2020,2020,The Honda Classic,10,"Hubbard, Mark",16333,T11,2,PGA National (Champion),734,71,-0.198,1.062,0.493,-0.217,1.338,1.14,264.1,0.643,0.556,0.667,33.755,31.16
pga,2020,2020,The Honda Classic,10,"Hubbard, Mark",16333,T11,3,PGA National (Champion),734,69,0.354,1.18,1.033,0.403,2.617,2.971,267.2,0.857,0.722,0.571,52.135,39.039
pga,2020,2020,The Honda Classic,10,"Hubbard, Mark",16333,T11,4,PGA National (Champion),734,70,-1.379,0.035,3.237,-0.719,2.553,1.174,273.1,0.714,0.611,0.556,41.816,19.6
pga,2020,2020,The Honda Classic,10,"Palmer, Ryan",7820,T17,1,PGA National (Champion),734,70,0.766,1.393,1.228,-1.401,1.22,1.986,275.3,0.5,0.556,0.8,50.983,29.938
pga,2020,2020,The Honda Classic,10,"Palmer, Ryan",7820,T17,2,PGA National (Champion),734,72,-0.326,-0.801,-0.527,1.794,0.466,0.14,288.4,0.786,0.667,0.667,78.406,31.701
pga,2020,2020,The Honda Classic,10,"Palmer, Ryan",7820,T17,3,PGA National (Champion),734,68,0.589,1.064,0.955,1.362,3.382,3.971,291.7,0.714,0.722,0.667,44.7,32.668
pga,2020,2020,The Honda Classic,10,"Palmer, Ryan",7820,T17,4,PGA National (Champion),734,70,-0.635,1.274,-0.005,0.54,1.809,1.174,282.4,0.786,0.5,0.7,62.882,35.629
pga,2020,2020,The Honda Classic,10,"Werenski, Richy",19364,T17,1,PGA National (Champion),734,70,-0.517,0.767,1.253,0.483,2.503,1.986,271.1,0.786,0.667,0.714,78.528,30.099
pga,2020,2020,The Honda Classic,10,"Werenski, Richy",19364,T17,2,PGA National (Champion),734,68,1.641,0.94,0.233,1.326,2.499,4.14,279.2,0.857,0.5,0.636,33.57,39.631
