tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Hatton, Tyrrell",14796,1,1,Bay Hill Club & Lodge,9,68,3.365,0.496,-0.833,1.525,1.189,4.554,286.6,0.857,0.611,0.875,31.281,40.326
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Hatton, Tyrrell",14796,1,2,Bay Hill Club & Lodge,9,69,0.406,1.554,2.817,0.307,4.678,5.084,282.1,0.643,0.667,0.833,26.651,36.82
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Hatton, Tyrrell",14796,1,3,Bay Hill Club & Lodge,9,73,-0.349,0.545,2.257,0.459,3.262,2.913,277.7,0.643,0.556,0.455,41.767,43.778
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Hatton, Tyrrell",14796,1,4,Bay Hill Club & Lodge,9,74,-0.065,-1.116,3.026,-0.787,1.123,1.058,282.8,0.429,0.611,0.5,48.787,36.927
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Leishman, Marc",7649,2,1,Bay Hill Club & Lodge,9,71,0.444,0.591,-0.572,1.09,1.11,1.554,285.8,0.714,0.444,0.846,52.86,38.35
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Leishman, Marc",7649,2,2,Bay Hill Club & Lodge,9,69,3.714,1.705,0.483,-0.818,1.37,5.084,277.5,0.5,0.5,0.9,56.207,35.234
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Leishman, Marc",7649,2,3,Bay Hill Club & Lodge,9,72,2.232,-0.071,1.691,0.06,1.681,3.913,275.3,0.5,0.611,0.778,70.615,31.512
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Leishman, Marc",7649,2,4,Bay Hill Club & Lodge,9,73,-0.307,-0.232,3.014,-0.417,2.365,2.058,279.0,0.571,0.667,0.7,32.024,45.676
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Im, Sungjae",17488,3,1,Bay Hill Club & Lodge,9,70,0.519,1.389,0.649,-0.004,2.035,2.554,283.4,0.5,0.611,0.9,30.582,35.782
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Im, Sungjae",17488,3,2,Bay Hill Club & Lodge,9,69,-1.097,1.923,2.755,1.503,6.181,5.084,283.8,0.857,0.889,1.0,45.899,34.252
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Im, Sungjae",17488,3,3,Bay Hill Club & Lodge,9,74,0.311,1.069,-0.104,0.636,1.602,1.913,278.8,0.643,0.667,0.375,57.992,42.629
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Im, Sungjae",17488,3,4,Bay Hill Club & Lodge,9,73,1.352,0.878,-1.689,1.517,0.706,2.058,281.6,0.857,0.333,0.812,86.234,40.295
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"DeChambeau, Bryson",19841,4,1,Bay Hill Club & Lodge,9,73,-2.12,-1.286,0.555,2.404,1.674,-0.446,299.4,0.857,0.556,0.455,60.416,35.219
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"DeChambeau, Bryson",19841,4,2,Bay Hill Club & Lodge,9,71,2.045,0.29,-1.442,2.191,1.039,3.084,306.6,0.714,0.556,0.7,72.144,42.132
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"DeChambeau, Bryson",19841,4,3,Bay Hill Club & Lodge,9,72,1.223,-1.097,3.338,0.448,2.69,3.913,302.2,0.5,0.556,0.4,25.058,28.793
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"DeChambeau, Bryson",19841,4,4,Bay Hill Club & Lodge,9,71,-0.012,0.873,1.04,2.157,4.07,4.058,299.1,0.643,0.556,0.818,51.209,38.297
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Dahmen, Joel",14509,T5,1,Bay Hill Club & Lodge,9,72,-2.054,0.643,0.725,1.239,2.608,0.554,287.7,0.786,0.611,0.5,7.604,36.695
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Dahmen, Joel",14509,T5,2,Bay Hill Club & Lodge,9,72,-1.334,-0.772,3.519,0.671,3.418,2.084,283.3,0.857,0.611,0.667,47.563,28.255
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Dahmen, Joel",14509,T5,3,Bay Hill Club & Lodge,9,73,-0.292,1.541,2.319,-0.656,3.205,2.913,279.7,0.643,0.556,0.8,76.684,32.05
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Dahmen, Joel",14509,T5,4,Bay Hill Club & Lodge,9,71,2.087,0.18,0.621,1.17,1.971,4.058,284.4,0.643,0.556,0.818,50.383,41.073
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"McIlroy, Rory",10091,T5,1,Bay Hill Club & Lodge,9,66,1.594,0.386,2.256,2.317,4.96,6.554,295.9,0.857,0.722,0.875,32.192,27.628
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"McIlroy, Rory",10091,T5,2,Bay Hill Club & Lodge,9,73,-1.338,1.217,1.367,-0.162,2.422,1.084,297.0,0.571,0.611,0.625,42.738,44.072
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"McIlroy, Rory",10091,T5,3,Bay Hill Club & Lodge,9,73,-0.01,0.594,0.639,1.689,2.923,2.913,292.7,0.643,0.722,0.7,27.39,40.876
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"McIlroy, Rory",10091,T5,4,Bay Hill Club & Lodge,9,76,-0.768,-0.789,2.0,-1.385,-0.174,-0.942,298.6,0.357,0.778,0.571,52.704,33.085
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Mitchell, Keith",17365,T5,1,Bay Hill Club & Lodge,9,68,0.298,1.303,0.833,2.119,4.256,4.554,299.6,0.643,0.722,0.667,116.21,29.941
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Mitchell, Keith",17365,T5,2,Bay Hill Club & Lodge,9,75,2.085,-1.815,-1.364,0.178,-3.001,-0.916,287.5,0.429,0.5,0.583,51.47,44.928
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Mitchell, Keith",17365,T5,3,Bay Hill Club & Lodge,9,74,1.154,-0.565,0.223,1.1,0.759,1.913,290.6,0.571,0.5,0.556,47.012,43.901
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Mitchell, Keith",17365,T5,4,Bay Hill Club & Lodge,9,71,2.779,-1.244,1.515,1.008,1.279,4.058,295.2,0.5,0.556,0.714,66.63,36.229
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Lee, Danny",11826,T5,1,Bay Hill Club & Lodge,9,71,2.008,-1.372,0.374,0.543,-0.454,1.554,282.8,0.714,0.556,0.7,56.201,34.81
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Lee, Danny",11826,T5,2,Bay Hill Club & Lodge,9,67,5.607,-0.655,0.703,1.429,1.477,7.084,289.5,0.714,0.5,0.9,9.518,36.962
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Lee, Danny",11826,T5,3,Bay Hill Club & Lodge,9,75,-1.467,0.788,0.745,0.846,2.38,0.913,288.5,0.714,0.5,0.556,19.718,46.05
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Lee, Danny",11826,T5,4,Bay Hill Club & Lodge,9,75,-1.167,0.138,1.429,-0.342,1.225,0.058,284.2,0.571,0.556,0.75,44.172,41.305
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"English, Harris",14577,T9,1,Bay Hill Club & Lodge,9,69,1.47,0.063,3.624,-1.604,2.084,3.554,273.2,0.429,0.778,0.8,35.203,28.24
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"English, Harris",14577,T9,2,Bay Hill Club & Lodge,9,70,1.94,1.743,-0.186,0.587,2.144,4.084,266.3,0.857,0.5,0.8,51.933,43.638
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"English, Harris",14577,T9,3,Bay Hill Club & Lodge,9,74,1.276,2.232,-0.618,-0.978,0.637,1.913,272.3,0.714,0.444,0.643,70.988,51.585
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"English, Harris",14577,T9,4,Bay Hill Club & Lodge,9,76,-0.724,0.3,-1.426,0.908,-0.218,-0.942,277.3,0.714,0.389,0.583,56.416,45.238
pga,2020,2020,Arnold Palmer Invitational presented by Mastercard,9,"Kang, Sung",7881,T9,1,Bay Hill Club & Lodge,9,69,1.238,-0.409,1.589,1.135,2.316,3.554,286.9,0.643,0.778,0.625,45.974,35.729
