bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+781,2020-03-11 17:46,10091,+767,2020-03-10 08:02,T83,"McIlroy, Rory",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+959,2020-03-11 17:46,19195,+1166,2020-03-10 08:02,T22,"Rahm, Jon",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+1601,2020-03-11 17:46,14139,+1515,2020-03-10 08:02,T63,"Thomas, Justin",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+1970,2020-03-11 17:46,19841,+2131,2020-03-10 08:02,T37,"DeChambeau, Bryson",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
1,paid in full,+2631,2020-03-11 17:46,13562,+2829,2020-03-10 08:02,1,"Matsuyama, Hideki",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+2669,2020-03-11 17:46,15466,+2601,2020-03-10 08:02,T5,"Cantlay, Patrick",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+2669,2020-03-11 17:46,12294,+2511,2020-03-10 08:02,T140,"Fleetwood, Tommy",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+2850,2020-03-11 17:46,19895,+2850,2020-03-11 17:46,T37,"Schauffele, Xander",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+2850,2020-03-11 17:46,12422,+2268,2020-03-10 08:02,T37,"Johnson, Dustin",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+3011,2020-03-11 17:46,11049,+3011,2020-03-11 17:46,T7,"Simpson, Webb",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+3011,2020-03-11 17:46,17488,+2777,2020-03-10 08:02,T22,"Im, Sungjae",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+3416,2020-03-11 17:46,6430,+3416,2020-03-11 17:46,T37,"Scott, Adam",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+3757,2020-03-11 17:46,14838,+3757,2020-03-11 17:46,T98,"Reed, Patrick",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+3757,2020-03-11 17:46,12965,+3757,2020-03-11 17:46,T134,"Fowler, Rickie",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
0,loss,+4551,2020-03-11 17:46,16243,+4551,2020-03-11 17:46,T37,"Koepka, Brooks",pinnacle,2020-03-15,THE PLAYERS Championship,win,2020,2020,11
