tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,THE PLAYERS Championship,11,"Matsuyama, Hideki",13562,1,1,TPC Sawgrass,11,63,4.276,0.345,2.228,1.455,4.029,8.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"English, Harris",14577,T2,1,TPC Sawgrass,11,65,2.652,0.908,2.152,0.592,3.653,6.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Kim, Si Woo",14609,T2,1,TPC Sawgrass,11,65,1.992,0.87,2.7,0.742,4.313,6.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Bezuidenhout, Christiaan",18103,T2,1,TPC Sawgrass,11,65,2.637,2.019,2.324,-0.676,3.668,6.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Cantlay, Patrick",15466,T5,1,TPC Sawgrass,11,67,0.653,0.07,1.948,1.633,3.652,4.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Leishman, Marc",7649,T5,1,TPC Sawgrass,11,67,1.817,0.616,0.611,1.26,2.488,4.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Simpson, Webb",11049,T7,1,TPC Sawgrass,11,68,1.467,0.471,1.827,-0.461,1.838,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Conners, Corey",17576,T7,1,TPC Sawgrass,11,68,0.55,0.142,1.831,0.781,2.755,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Sabbatini, Rory",6283,T7,1,TPC Sawgrass,11,68,2.21,1.172,0.209,-0.287,1.095,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Herman, Jim",12846,T7,1,TPC Sawgrass,11,68,-0.179,-0.744,3.11,1.117,3.484,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Dufner, Jason",7301,T7,1,TPC Sawgrass,11,68,1.335,0.367,0.179,1.423,1.97,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Berger, Daniel",17606,T7,1,TPC Sawgrass,11,68,-0.667,1.55,0.43,1.991,3.972,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Morikawa, Collin",22085,T7,1,TPC Sawgrass,11,68,2.944,-1.892,0.654,1.598,0.361,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Lashley, Nate",10943,T7,1,TPC Sawgrass,11,68,1.206,1.716,-0.053,0.435,2.099,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Mitchell, Keith",17365,T7,1,TPC Sawgrass,11,68,0.214,1.219,1.011,0.86,3.091,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Hovland, Viktor",18841,T7,1,TPC Sawgrass,11,68,0.186,-0.017,2.163,0.972,3.119,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Cabrera Bello, Rafa",7457,T7,1,TPC Sawgrass,11,68,0.401,-0.103,2.188,0.818,2.904,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Champ, Cameron",23542,T7,1,TPC Sawgrass,11,68,-0.309,0.258,4.522,-1.167,3.614,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Thompson, Michael",12946,T7,1,TPC Sawgrass,11,68,1.44,1.714,-1.186,1.336,1.865,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"Scheffler, Scottie",18417,T7,1,TPC Sawgrass,11,68,1.072,0.469,0.755,1.008,2.233,3.301,,,,,,
pga,2020,2020,THE PLAYERS Championship,11,"McDowell, Graeme",7548,T7,1,TPC Sawgrass,11,68,0.487,0.115,2.69,0.012,2.818,3.301,,,,,,
