date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Mar 15, 2020","THE PLAYERS Championship","McIlroy, Rory",0.82675,0.03165,0.658725,0.5537,0.388075,0.25675,0.184075,0.081825,T83
"Mar 15, 2020","THE PLAYERS Championship","Rahm, Jon",0.815275,0.027125,0.63095,0.5238,0.354025,0.227475,0.158,0.065825,T22
"Mar 15, 2020","THE PLAYERS Championship","Thomas, Justin",0.764025,0.020625,0.5429,0.430325,0.275275,0.16625,0.1115,0.045175,T63
"Mar 15, 2020","THE PLAYERS Championship","Matsuyama, Hideki",0.740175,0.019125,0.4997,0.384625,0.2356,0.135275,0.088075,0.03445,1
"Mar 15, 2020","THE PLAYERS Championship","Fleetwood, Tommy",0.7169,0.0168,0.45815,0.3465,0.203125,0.11625,0.074425,0.0286,T140
"Mar 15, 2020","THE PLAYERS Championship","Simpson, Webb",0.721775,0.0167,0.4635,0.35025,0.20565,0.1152,0.07495,0.02775,T7
"Mar 15, 2020","THE PLAYERS Championship","Schauffele, Xander",0.71135,0.01635,0.448175,0.338675,0.1984,0.1107,0.0722,0.026175,T37
"Mar 15, 2020","THE PLAYERS Championship","Im, Sungjae",0.70815,0.01545,0.445275,0.33495,0.1942,0.10905,0.0692,0.024,T22
"Mar 15, 2020","THE PLAYERS Championship","DeChambeau, Bryson",0.701175,0.014725,0.43535,0.32425,0.186575,0.105325,0.067325,0.023825,T37
"Mar 15, 2020","THE PLAYERS Championship","Scott, Adam",0.693675,0.01555,0.42485,0.3165,0.18335,0.1026,0.065,0.02315,T37
"Mar 15, 2020","THE PLAYERS Championship","Cantlay, Patrick",0.6939,0.01485,0.421175,0.311775,0.1792,0.0994,0.062175,0.02255,T5
"Mar 15, 2020","THE PLAYERS Championship","Morikawa, Collin",0.67985,0.014925,0.40215,0.29845,0.169725,0.092475,0.057875,0.0198,T7
"Mar 15, 2020","THE PLAYERS Championship","Reed, Patrick",0.678925,0.014075,0.402575,0.29605,0.16805,0.090425,0.056125,0.01885,T98
"Mar 15, 2020","THE PLAYERS Championship","Ancer, Abraham",0.661025,0.01265,0.375575,0.2711,0.148275,0.078475,0.0478,0.0166,T113
"Mar 15, 2020","THE PLAYERS Championship","Fowler, Rickie",0.645075,0.01135,0.358025,0.2556,0.13735,0.072075,0.043575,0.01505,T134
"Mar 15, 2020","THE PLAYERS Championship","Hatton, Tyrrell",0.647825,0.010875,0.35575,0.255275,0.1365,0.07125,0.04255,0.0144,T22
"Mar 15, 2020","THE PLAYERS Championship","Woodland, Gary",0.64915,0.0122,0.360025,0.25665,0.137375,0.071625,0.0431,0.014325,T113
"Mar 15, 2020","THE PLAYERS Championship","Fitzpatrick, Matthew",0.647325,0.011225,0.3526,0.24725,0.133675,0.06775,0.0409,0.0141,T83
"Mar 15, 2020","THE PLAYERS Championship","Casey, Paul",0.635025,0.01135,0.337725,0.237175,0.12495,0.0648,0.0394,0.013525,T113
"Mar 15, 2020","THE PLAYERS Championship","Johnson, Dustin",0.631825,0.011125,0.34,0.2399,0.126925,0.06505,0.039175,0.013525,T37
"Mar 15, 2020","THE PLAYERS Championship","Kuchar, Matt",0.63555,0.00995,0.34285,0.241625,0.126125,0.06435,0.03805,0.012925,T37
"Mar 15, 2020","THE PLAYERS Championship","Horschel, Billy",0.63895,0.0127,0.346825,0.243725,0.131075,0.068425,0.040725,0.01285,T63
"Mar 15, 2020","THE PLAYERS Championship","Scheffler, Scottie",0.617375,0.00915,0.310725,0.215575,0.112375,0.0549,0.033175,0.0114,T7
"Mar 15, 2020","THE PLAYERS Championship","Stenson, Henrik",0.618125,0.010025,0.31525,0.220075,0.114975,0.058575,0.035775,0.011075,T113
"Mar 15, 2020","THE PLAYERS Championship","Koepka, Brooks",0.594925,0.01035,0.28815,0.19665,0.100175,0.0501,0.02985,0.010075,T37
"Mar 15, 2020","THE PLAYERS Championship","Berger, Daniel",0.6026,0.0094,0.297175,0.203125,0.101125,0.048425,0.02885,0.009175,T7
"Mar 15, 2020","THE PLAYERS Championship","An, Byeong Hun",0.602875,0.0096,0.299775,0.20645,0.10445,0.050075,0.030025,0.009075,T37
"Mar 15, 2020","THE PLAYERS Championship","Lowry, Shane",0.578725,0.00925,0.273575,0.185525,0.092575,0.044925,0.026575,0.009075,T98
"Mar 15, 2020","THE PLAYERS Championship","Day, Jason",0.590775,0.007975,0.28300000000000003,0.19215,0.094825,0.04695,0.027675,0.00875,T134
"Mar 15, 2020","THE PLAYERS Championship","Garcia, Sergio",0.591475,0.0095,0.289975,0.1972,0.099175,0.049175,0.02865,0.0087,T63
"Mar 15, 2020","THE PLAYERS Championship","Moore, Ryan",0.5797,0.008925,0.2752,0.186625,0.09285,0.04515,0.02675,0.008425,T37
"Mar 15, 2020","THE PLAYERS Championship","Finau, Tony",0.5886,0.009475,0.28085,0.189875,0.095725,0.046475,0.027325,0.008125,T125
"Mar 15, 2020","THE PLAYERS Championship","Furyk, Jim",0.582925,0.0084,0.27215,0.1826,0.08995,0.04315,0.025325,0.00805,T63
"Mar 15, 2020","THE PLAYERS Championship","Dahmen, Joel",0.582425,0.007775,0.27815,0.186975,0.0923,0.044825,0.02605,0.00805,T37
"Mar 15, 2020","THE PLAYERS Championship","Leishman, Marc",0.58505,0.0081,0.279225,0.18845,0.093325,0.044875,0.026125,0.007875,T5
"Mar 15, 2020","THE PLAYERS Championship","Snedeker, Brandt",0.581175,0.008825,0.27415,0.18385,0.091375,0.043675,0.0258,0.007625,T113
"Mar 15, 2020","THE PLAYERS Championship","Rose, Justin",0.56805,0.00785,0.259225,0.172525,0.084475,0.0414,0.02345,0.007125,T125
"Mar 15, 2020","THE PLAYERS Championship","Hovland, Viktor",0.5705,0.007825,0.2649,0.1789,0.089075,0.041525,0.023625,0.00705,T7
"Mar 15, 2020","THE PLAYERS Championship","Harman, Brian",0.542,0.006675,0.231125,0.151625,0.0724,0.033925,0.0195,0.006475,T63
"Mar 15, 2020","THE PLAYERS Championship","Todd, Brendon",0.536075,0.00765,0.226775,0.14725,0.071275,0.033275,0.018775,0.0064,T22
"Mar 15, 2020","THE PLAYERS Championship","Reavie, Chez",0.56635,0.00865,0.25375,0.16495,0.077625,0.0384,0.0213,0.0062,T63
"Mar 15, 2020","THE PLAYERS Championship","Sabbatini, Rory",0.5479,0.0072,0.234775,0.1569,0.07545,0.03535,0.020125,0.00615,T7
"Mar 15, 2020","THE PLAYERS Championship","Kisner, Kevin",0.550325,0.00745,0.2406,0.156875,0.07445,0.035575,0.020425,0.006025,T63
"Mar 15, 2020","THE PLAYERS Championship","Hadwin, Adam",0.5556,0.008125,0.243975,0.160025,0.074825,0.0354,0.0205,0.005925,T22
"Mar 15, 2020","THE PLAYERS Championship","English, Harris",0.562375,0.007325,0.24785,0.163125,0.07645,0.03675,0.021025,0.005925,T2
"Mar 15, 2020","THE PLAYERS Championship","Taylor, Vaughn",0.553325,0.0079,0.23995,0.158725,0.073375,0.034225,0.01985,0.0059,T63
"Mar 15, 2020","THE PLAYERS Championship","Na, Kevin",0.5456,0.006625,0.235225,0.154625,0.0728,0.034075,0.0203,0.00575,T98
"Mar 15, 2020","THE PLAYERS Championship","Taylor, Nick",0.55785,0.007375,0.2415,0.158825,0.075325,0.03485,0.01995,0.005675,T98
