date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jun 14, 2020","Charles Schwab Challenge","Rahm, Jon",0.823525,0.032725,0.651975,0.54935,0.382325,0.251725,0.180325,0.08045,CUT
"Jun 14, 2020","Charles Schwab Challenge","McIlroy, Rory",0.81605,0.03365,0.64405,0.541925,0.380425,0.25125,0.1789,0.07805,T32
"Jun 14, 2020","Charles Schwab Challenge","Thomas, Justin",0.803675,0.0295,0.61365,0.506425,0.343075,0.219875,0.15365,0.066375,T10
"Jun 14, 2020","Charles Schwab Challenge","Simpson, Webb",0.758375,0.0213,0.520025,0.411875,0.259325,0.15305,0.101525,0.038475,CUT
"Jun 14, 2020","Charles Schwab Challenge","Schauffele, Xander",0.738275,0.0207,0.496275,0.3854,0.237775,0.13745,0.0912,0.033775,T3
"Jun 14, 2020","Charles Schwab Challenge","Reed, Patrick",0.720225,0.017325,0.4653,0.352375,0.21085,0.120075,0.077625,0.029025,T7
"Jun 14, 2020","Charles Schwab Challenge","Im, Sungjae",0.720825,0.016975,0.467975,0.356425,0.21255,0.120425,0.0771,0.028125,T10
"Jun 14, 2020","Charles Schwab Challenge","DeChambeau, Bryson",0.709925,0.017175,0.4558,0.34505,0.20245,0.1162,0.075075,0.026025,T3
"Jun 14, 2020","Charles Schwab Challenge","Morikawa, Collin",0.709575,0.014175,0.443125,0.3306,0.190525,0.105375,0.066275,0.023325,2
"Jun 14, 2020","Charles Schwab Challenge","Johnson, Dustin",0.68835,0.014975,0.415975,0.312425,0.17805,0.095725,0.05995,0.02125,CUT
"Jun 14, 2020","Charles Schwab Challenge","Scheffler, Scottie",0.696425,0.015575,0.424025,0.3166,0.181175,0.100025,0.061075,0.021225,T55
"Jun 14, 2020","Charles Schwab Challenge","Fowler, Rickie",0.678525,0.01365,0.397025,0.290475,0.1613,0.0874,0.05305,0.018775,CUT
"Jun 14, 2020","Charles Schwab Challenge","Fitzpatrick, Matthew",0.6707,0.0129,0.38535,0.2778,0.156,0.082975,0.05185,0.017125,T32
"Jun 14, 2020","Charles Schwab Challenge","Kuchar, Matt",0.6737,0.01345,0.392425,0.284325,0.15685,0.08185,0.049575,0.01675,CUT
"Jun 14, 2020","Charles Schwab Challenge","Leishman, Marc",0.66235,0.012625,0.3786,0.2741,0.151875,0.078825,0.0488,0.016075,CUT
"Jun 14, 2020","Charles Schwab Challenge","Koepka, Brooks",0.64925,0.014375,0.36005,0.26055,0.14375,0.076475,0.04625,0.0152,T32
"Jun 14, 2020","Charles Schwab Challenge","Ancer, Abraham",0.631925,0.0116,0.3373,0.235875,0.12535,0.06435,0.038575,0.012925,T14
"Jun 14, 2020","Charles Schwab Challenge","Hovland, Viktor",0.6402,0.01035,0.348125,0.2464,0.129625,0.0674,0.03985,0.012725,T23
"Jun 14, 2020","Charles Schwab Challenge","Day, Jason",0.63735,0.011475,0.3422,0.239725,0.12575,0.06275,0.037275,0.012125,CUT
"Jun 14, 2020","Charles Schwab Challenge","English, Harris",0.630175,0.0115,0.3292,0.22915,0.11985,0.060675,0.03595,0.01205,CUT
"Jun 14, 2020","Charles Schwab Challenge","Finau, Tony",0.634675,0.01135,0.3372,0.235475,0.1232,0.06195,0.0379,0.0118,T23
"Jun 14, 2020","Charles Schwab Challenge","Horschel, Billy",0.632025,0.0109,0.333175,0.2335,0.12335,0.062725,0.03635,0.011625,T38
"Jun 14, 2020","Charles Schwab Challenge","An, Byeong Hun",0.62305,0.010475,0.322975,0.2256,0.117025,0.060075,0.03525,0.011075,T60
"Jun 14, 2020","Charles Schwab Challenge","Oosthuizen, Louis",0.627575,0.011175,0.325525,0.225225,0.1165,0.059175,0.0345,0.01085,T55
"Jun 14, 2020","Charles Schwab Challenge","Woodland, Gary",0.6229,0.01065,0.324875,0.2265,0.1161,0.05735,0.03365,0.010525,9
"Jun 14, 2020","Charles Schwab Challenge","Na, Kevin",0.606375,0.0107,0.30345,0.210075,0.10855,0.054125,0.032425,0.009825,CUT
"Jun 14, 2020","Charles Schwab Challenge","Berger, Daniel",0.6051,0.008975,0.3001,0.20375,0.101875,0.049275,0.027775,0.00845,1
"Jun 14, 2020","Charles Schwab Challenge","Hadwin, Adam",0.590175,0.0091,0.27575,0.1858,0.090875,0.043325,0.0254,0.008125,T43
"Jun 14, 2020","Charles Schwab Challenge","Bezuidenhout, Christiaan",0.578475,0.0083,0.2693,0.1816,0.0891,0.043375,0.02575,0.00805,CUT
"Jun 14, 2020","Charles Schwab Challenge","Harman, Brian",0.591025,0.0103,0.28145,0.191425,0.0954,0.04405,0.02585,0.008025,T23
"Jun 14, 2020","Charles Schwab Challenge","Lowry, Shane",0.59685,0.0089,0.289975,0.200025,0.09795,0.046575,0.026275,0.00795,CUT
"Jun 14, 2020","Charles Schwab Challenge","Moore, Ryan",0.583825,0.008925,0.2759,0.186225,0.089725,0.042,0.02425,0.0077,CUT
"Jun 14, 2020","Charles Schwab Challenge","Rose, Justin",0.59615,0.008925,0.29055,0.195625,0.0968,0.04655,0.02685,0.0076,T3
"Jun 14, 2020","Charles Schwab Challenge","Sabbatini, Rory",0.58355,0.0087,0.266525,0.17915,0.08845,0.04385,0.0257,0.007375,T14
"Jun 14, 2020","Charles Schwab Challenge","Dahmen, Joel",0.5753,0.008025,0.26015,0.172825,0.0839,0.039225,0.022375,0.007175,T19
"Jun 14, 2020","Charles Schwab Challenge","Palmer, Ryan",0.559325,0.00925,0.2461,0.162575,0.078475,0.03635,0.0211,0.006825,CUT
"Jun 14, 2020","Charles Schwab Challenge","Reavie, Chez",0.5745,0.00855,0.255975,0.16975,0.082925,0.039025,0.022675,0.006725,CUT
"Jun 14, 2020","Charles Schwab Challenge","Kisner, Kevin",0.5781,0.008525,0.267125,0.177825,0.087175,0.040075,0.0221,0.006675,T29
"Jun 14, 2020","Charles Schwab Challenge","Garcia, Sergio",0.58375,0.007925,0.269275,0.1802,0.08765,0.0419,0.0239,0.0066,CUT
"Jun 14, 2020","Charles Schwab Challenge","Furyk, Jim",0.588225,0.0083,0.273575,0.1819,0.087375,0.040725,0.02305,0.0064,T49
"Jun 14, 2020","Charles Schwab Challenge","Spieth, Jordan",0.547375,0.00725,0.238075,0.156425,0.074775,0.03455,0.020475,0.0061,T10
"Jun 14, 2020","Charles Schwab Challenge","Conners, Corey",0.58235,0.00795,0.271575,0.18175,0.089575,0.0416,0.023,0.006,T19
"Jun 14, 2020","Charles Schwab Challenge","Lee, Danny",0.543425,0.007425,0.234475,0.1517,0.07345,0.032725,0.018975,0.005825,CUT
"Jun 14, 2020","Charles Schwab Challenge","Cauley, Bud",0.566975,0.006825,0.249675,0.16345,0.076925,0.0349,0.019,0.0056,T29
"Jun 14, 2020","Charles Schwab Challenge","Taylor, Vaughn",0.54915,0.00665,0.2338,0.1514,0.06905,0.0316,0.0183,0.0055,CUT
"Jun 14, 2020","Charles Schwab Challenge","Hoge, Tom",0.549825,0.0066,0.231975,0.1504,0.07015,0.03255,0.01755,0.0055,CUT
"Jun 14, 2020","Charles Schwab Challenge","Todd, Brendon",0.5456,0.00725,0.22875,0.1491,0.071025,0.03415,0.018725,0.005475,CUT
"Jun 14, 2020","Charles Schwab Challenge","Poston, J.T.",0.54285,0.00645,0.225375,0.1496,0.06835,0.0318,0.01775,0.00535,T10
"Jun 14, 2020","Charles Schwab Challenge","Knox, Russell",0.54935,0.006075,0.2375,0.154575,0.07045,0.032325,0.0181,0.00535,CUT
"Jun 14, 2020","Charles Schwab Challenge","Munoz, Sebastian",0.54835,0.007175,0.2319,0.15045,0.0707,0.03245,0.018125,0.005175,CUT
"Jun 14, 2020","Charles Schwab Challenge","Cabrera Bello, Rafa",0.54375,0.007575,0.229225,0.149,0.0684,0.030625,0.01745,0.005025,T23
"Jun 14, 2020","Charles Schwab Challenge","Willett, Danny",0.528925,0.0069,0.2149,0.1382,0.064525,0.028925,0.016775,0.005,CUT
"Jun 14, 2020","Charles Schwab Challenge","Stricker, Steve",0.545575,0.00735,0.23035,0.147925,0.07,0.032675,0.01805,0.004925,CUT
"Jun 14, 2020","Charles Schwab Challenge","Kokrak, Jason",0.541025,0.007425,0.225875,0.144075,0.06685,0.0295,0.0165,0.004775,T3
"Jun 14, 2020","Charles Schwab Challenge","Niemann, Joaquin",0.54555,0.006525,0.22735,0.1467,0.06675,0.030275,0.01675,0.00475,T32
