bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1231,2020-06-17 12:24,10091,+1199,2020-06-16 21:58,T41,"McIlroy, Rory",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+1382,2020-06-17 12:24,19841,+1524,2020-06-16 21:58,T8,"DeChambeau, Bryson",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+1499,2020-06-17 12:24,19195,+1710,2020-06-16 21:58,T33,"Rahm, Jon",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+1563,2020-06-17 12:24,14139,+1524,2020-06-16 21:58,T8,"Thomas, Justin",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+2228,2020-06-17 12:24,19895,+2174,2020-06-16 21:58,T64,"Schauffele, Xander",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+2475,2020-06-17 12:24,22085,+2715,2020-06-16 21:58,T64,"Morikawa, Collin",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+2496,2020-06-17 12:24,13562,+3144,2020-06-16 21:58,CUT,"Matsuyama, Hideki",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
1,paid in full,+2583,2020-06-17 12:24,11049,+2520,2020-06-16 21:58,1,"Simpson, Webb",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3114,2020-06-17 12:24,14838,+3040,2020-06-16 21:58,CUT,"Reed, Patrick",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3114,2020-06-17 12:24,17488,+3040,2020-06-16 21:58,CUT,"Im, Sungjae",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3221,2020-06-17 12:24,6093,+3144,2020-06-16 21:58,T14,"Rose, Justin",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3494,2020-06-17 12:24,14636,+3411,2020-06-16 21:58,T68,"Spieth, Jordan",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3777,2020-06-17 12:24,17606,+3687,2020-06-16 21:58,T3,"Berger, Daniel",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3777,2020-06-17 12:24,12577,+3687,2020-06-16 21:58,T62,"Woodland, Gary",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3889,2020-06-17 12:24,16243,+3797,2020-06-16 21:58,7,"Koepka, Brooks",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+3889,2020-06-17 12:24,6169,+3797,2020-06-16 21:58,T41,"Kuchar, Matt",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+4020,2020-06-17 12:24,12422,+3925,2020-06-16 21:58,T17,"Johnson, Dustin",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+4938,2020-06-17 12:24,14796,+4822,2020-06-16 21:58,T3,"Hatton, Tyrrell",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+5261,2020-06-17 12:24,11676,+5137,2020-06-16 21:58,T33,"Finau, Tony",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+5554,2020-06-17 12:24,11952,+5422,2020-06-16 21:58,61,"Grace, Branden",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+5554,2020-06-17 12:24,11328,+5422,2020-06-16 21:58,CUT,"Kisner, Kevin",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+5554,2020-06-17 12:24,12965,+5422,2020-06-16 21:58,CUT,"Fowler, Rickie",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+6107,2020-06-17 12:24,17646,+5963,2020-06-16 21:58,T14,"Fitzpatrick, Matthew",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+6372,2020-06-17 12:24,18238,+6223,2020-06-16 21:58,2,"Ancer, Abraham",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7326,2020-06-17 12:24,1435,+7155,2020-06-16 21:58,T14,"Poulter, Ian",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7326,2020-06-17 12:24,21554,+7155,2020-06-16 21:58,T8,"Poston, J.T.",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7326,2020-06-17 12:24,12337,+7155,2020-06-16 21:58,CUT,"Kokrak, Jason",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7326,2020-06-17 12:24,18841,+7155,2020-06-16 21:58,T21,"Hovland, Viktor",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7326,2020-06-17 12:24,7334,+7155,2020-06-16 21:58,T52,"Watson, Bubba",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7771,2020-06-17 12:24,9771,+7588,2020-06-16 21:58,CUT,"Day, Jason",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+7771,2020-06-17 12:24,13900,+7588,2020-06-16 21:58,CUT,"Lowry, Shane",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+8287,2020-06-17 12:24,14509,+8093,2020-06-16 21:58,T48,"Dahmen, Joel",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
0,loss,+8287,2020-06-17 12:24,11276,+8093,2020-06-16 21:58,CUT,"Horschel, Billy",pinnacle,2020-06-21,RBC Heritage,win,2020,2020,12
