bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1157,2020-06-24 15:52,10091,+1249,2020-06-23 12:41,T11,"McIlroy, Rory",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+1194,2020-06-24 15:52,19841,+1311,2020-06-23 12:41,T6,"DeChambeau, Bryson",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+1319,2020-06-24 15:52,14139,+1254,2020-06-23 12:41,CUT,"Thomas, Justin",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+1694,2020-06-24 15:52,19195,+1684,2020-06-23 12:41,T37,"Rahm, Jon",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
1,paid in full,+2259,2020-06-24 15:52,12422,+2720,2020-06-23 12:41,1,"Johnson, Dustin",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+2676,2020-06-24 15:52,19895,+2720,2020-06-23 12:41,T20,"Schauffele, Xander",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+2720,2020-06-24 15:52,18238,+3418,2020-06-23 12:41,T11,"Ancer, Abraham",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+2860,2020-06-24 15:52,6093,+2720,2020-06-23 12:41,CUT,"Rose, Justin",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+2863,2020-06-24 15:52,15466,+2723,2020-06-23 12:41,T11,"Cantlay, Patrick",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3022,2020-06-24 15:52,17488,+3588,2020-06-23 12:41,T58,"Im, Sungjae",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3159,2020-06-24 15:52,18841,+5042,2020-06-23 12:41,T11,"Hovland, Viktor",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3181,2020-06-24 15:52,22085,+3026,2020-06-23 12:41,CUT,"Morikawa, Collin",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3181,2020-06-24 15:52,14838,+3026,2020-06-23 12:41,T24,"Reed, Patrick",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3249,2020-06-24 15:52,7334,+3631,2020-06-23 12:41,CUT,"Watson, Bubba",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+3429,2020-06-24 15:52,7108,+3263,2020-06-23 12:41,T32,"Casey, Paul",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+4239,2020-06-24 15:52,5689,+4034,2020-06-23 12:41,T32,"Garcia, Sergio",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+4267,2020-06-24 15:52,18079,+4059,2020-06-23 12:41,63,"Niemann, Joaquin",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+5137,2020-06-24 15:52,14636,+4890,2020-06-23 12:41,T54,"Spieth, Jordan",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+5137,2020-06-24 15:52,12577,+4890,2020-06-23 12:41,CUT,"Woodland, Gary",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+5407,2020-06-24 15:52,17646,+5148,2020-06-23 12:41,CUT,"Fitzpatrick, Matthew",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+5407,2020-06-24 15:52,11676,+5148,2020-06-23 12:41,CUT,"Finau, Tony",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+6355,2020-06-24 15:52,7649,+6051,2020-06-23 12:41,T58,"Leishman, Marc",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
0,loss,+7530,2020-06-24 15:52,18417,+7169,2020-06-23 12:41,CUT,"Scheffler, Scottie",pinnacle,2020-06-28,Travelers Championship,win,2020,2020,34
