tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,Travelers Championship,34,"Johnson, Dustin",12422,1,1,TPC River Highlands,503,69,0.357,0.077,0.209,-1.111,-0.825,-0.468,300.0,0.571,0.722,0.6,31.874,26.096
pga,2020,2020,Travelers Championship,34,"Johnson, Dustin",12422,1,2,TPC River Highlands,503,64,1.182,0.747,1.793,1.161,3.701,4.883,295.6,0.714,0.833,0.5,39.785,19.125
pga,2020,2020,Travelers Championship,34,"Johnson, Dustin",12422,1,3,TPC River Highlands,503,61,2.263,0.891,3.142,1.249,5.281,7.544,290.5,0.857,0.889,1.0,15.665,25.151
pga,2020,2020,Travelers Championship,34,"Johnson, Dustin",12422,1,4,TPC River Highlands,503,67,2.19,-0.378,0.868,-1.342,-0.852,1.338,292.6,0.571,0.667,0.5,24.351,28.84
pga,2020,2020,Travelers Championship,34,"Streelman, Kevin",8480,2,1,TPC River Highlands,503,66,0.829,0.348,1.892,-0.537,1.703,2.532,285.1,0.714,0.833,0.5,27.62,22.631
pga,2020,2020,Travelers Championship,34,"Streelman, Kevin",8480,2,2,TPC River Highlands,503,66,-0.025,-0.927,2.582,1.253,2.908,2.883,292.6,0.929,0.889,0.6,15.438,22.292
pga,2020,2020,Travelers Championship,34,"Streelman, Kevin",8480,2,3,TPC River Highlands,503,63,3.528,1.009,0.353,0.655,2.016,5.544,296.2,0.714,0.889,0.8,29.466,25.942
pga,2020,2020,Travelers Championship,34,"Streelman, Kevin",8480,2,4,TPC River Highlands,503,67,0.683,0.827,-0.391,0.219,0.655,1.338,284.7,0.643,0.889,0.75,41.124,33.059
pga,2020,2020,Travelers Championship,34,"Hughes, Mackenzie",15556,T3,1,TPC River Highlands,503,60,5.012,2.011,0.469,1.04,3.52,8.532,290.1,0.857,0.889,0.833,35.54,34.979
pga,2020,2020,Travelers Championship,34,"Hughes, Mackenzie",15556,T3,2,TPC River Highlands,503,68,-0.163,1.334,-1.408,1.12,1.046,0.883,290.9,0.786,0.722,0.714,40.772,26.933
pga,2020,2020,Travelers Championship,34,"Hughes, Mackenzie",15556,T3,3,TPC River Highlands,503,68,-0.242,1.188,-1.25,0.849,0.786,0.544,287.6,0.857,0.722,0.714,55.304,35.028
pga,2020,2020,Travelers Championship,34,"Hughes, Mackenzie",15556,T3,4,TPC River Highlands,503,67,0.015,2.763,-0.845,-0.595,1.323,1.338,283.5,0.643,0.667,1.0,33.041,23.476
pga,2020,2020,Travelers Championship,34,"Gordon, Will",26660,T3,1,TPC River Highlands,503,66,2.148,1.016,-1.0,0.368,0.384,2.532,299.4,0.571,0.722,0.5,55.741,27.427
pga,2020,2020,Travelers Championship,34,"Gordon, Will",26660,T3,2,TPC River Highlands,503,62,4.059,0.477,1.174,1.173,2.824,6.883,305.5,0.643,0.944,0.333,33.277,26.47
pga,2020,2020,Travelers Championship,34,"Gordon, Will",26660,T3,3,TPC River Highlands,503,71,-0.331,0.023,0.351,-2.498,-2.125,-2.456,296.2,0.429,0.722,0.5,39.425,24.731
pga,2020,2020,Travelers Championship,34,"Gordon, Will",26660,T3,4,TPC River Highlands,503,64,-1.141,1.237,2.257,1.985,5.479,4.338,306.0,0.929,0.889,0.667,28.512,20.913
pga,2020,2020,Travelers Championship,34,"Na, Kevin",7452,5,1,TPC River Highlands,503,66,0.84,0.428,1.361,-0.097,1.692,2.532,276.0,0.786,0.889,0.5,29.895,26.715
pga,2020,2020,Travelers Championship,34,"Na, Kevin",7452,5,2,TPC River Highlands,503,66,2.193,0.611,0.04,0.039,0.69,2.883,284.2,0.714,0.833,0.6,35.281,26.388
pga,2020,2020,Travelers Championship,34,"Na, Kevin",7452,5,3,TPC River Highlands,503,65,2.791,-0.672,0.339,1.087,0.753,3.544,289.5,0.929,0.778,0.714,,29.97
pga,2020,2020,Travelers Championship,34,"Na, Kevin",7452,5,4,TPC River Highlands,503,67,-0.195,0.254,0.509,0.77,1.533,1.338,278.7,0.857,0.833,0.6,22.731,25.631
pga,2020,2020,Travelers Championship,34,"Steele, Brendan",11019,T6,1,TPC River Highlands,503,69,1.156,-0.029,-1.134,-0.461,-1.624,-0.468,292.5,0.714,0.667,0.714,55.934,26.726
pga,2020,2020,Travelers Championship,34,"Steele, Brendan",11019,T6,2,TPC River Highlands,503,62,3.453,0.791,3.196,-0.557,3.43,6.883,284.7,0.643,0.889,0.8,30.982,22.972
pga,2020,2020,Travelers Championship,34,"Steele, Brendan",11019,T6,3,TPC River Highlands,503,68,3.115,-0.836,-0.024,-1.71,-2.571,0.544,296.5,0.643,0.611,0.571,9.06,28.158
