date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jun 28, 2020","Travelers Championship","McIlroy, Rory",0.836175,0.042,0.689375,0.5916,0.423525,0.2845,0.205575,0.092575,T11
"Jun 28, 2020","Travelers Championship","Rahm, Jon",0.834175,0.0339,0.6837,0.582925,0.41275,0.274025,0.194075,0.084225,T37
"Jun 28, 2020","Travelers Championship","Thomas, Justin",0.81435,0.029975,0.64515,0.538075,0.366975,0.23425,0.16155,0.066425,CUT
"Jun 28, 2020","Travelers Championship","DeChambeau, Bryson",0.7988,0.030125,0.61975,0.511275,0.346375,0.21825,0.149525,0.0611,T6
"Jun 28, 2020","Travelers Championship","Schauffele, Xander",0.7616,0.022325,0.54775,0.436125,0.274525,0.161375,0.106475,0.0421,T20
"Jun 28, 2020","Travelers Championship","Cantlay, Patrick",0.754125,0.0211,0.5348,0.41985,0.25935,0.150575,0.098925,0.037175,T11
"Jun 28, 2020","Travelers Championship","Im, Sungjae",0.7545,0.0212,0.531325,0.41455,0.25725,0.14995,0.095175,0.03475,T58
"Jun 28, 2020","Travelers Championship","Morikawa, Collin",0.741775,0.0185,0.509525,0.3939,0.234475,0.12935,0.08125,0.02775,CUT
"Jun 28, 2020","Travelers Championship","Ancer, Abraham",0.723825,0.0208,0.485975,0.3743,0.22225,0.125625,0.079075,0.027375,T11
"Jun 28, 2020","Travelers Championship","Johnson, Dustin",0.72295,0.018425,0.4881,0.37115,0.220025,0.123125,0.077825,0.02645,1
"Jun 28, 2020","Travelers Championship","Reed, Patrick",0.71845,0.017475,0.47585,0.360875,0.2112,0.11665,0.073075,0.025175,T24
"Jun 28, 2020","Travelers Championship","Scheffler, Scottie",0.70375,0.016575,0.451825,0.338225,0.19455,0.104475,0.06375,0.021175,CUT
"Jun 28, 2020","Travelers Championship","Fitzpatrick, Matthew",0.704325,0.0162,0.450075,0.338425,0.19305,0.103475,0.06365,0.020275,CUT
"Jun 28, 2020","Travelers Championship","Hovland, Viktor",0.693325,0.014425,0.434625,0.32115,0.17965,0.094275,0.0575,0.0194,T11
"Jun 28, 2020","Travelers Championship","Rose, Justin",0.686875,0.016275,0.42565,0.314725,0.179,0.094925,0.0582,0.019075,CUT
"Jun 28, 2020","Travelers Championship","Casey, Paul",0.686175,0.014375,0.423325,0.310325,0.17405,0.0924,0.0559,0.018425,T32
"Jun 28, 2020","Travelers Championship","Leishman, Marc",0.671775,0.01375,0.3968,0.285275,0.156,0.080775,0.04965,0.016575,T58
"Jun 28, 2020","Travelers Championship","Horschel, Billy",0.655,0.013775,0.377325,0.26775,0.142075,0.0728,0.043175,0.014325,CUT
"Jun 28, 2020","Travelers Championship","Finau, Tony",0.661075,0.0125,0.3832,0.274875,0.146875,0.07355,0.043825,0.01425,CUT
"Jun 28, 2020","Travelers Championship","Woodland, Gary",0.641375,0.013675,0.36435,0.257625,0.1338,0.06635,0.0395,0.012875,CUT
"Jun 28, 2020","Travelers Championship","Moore, Ryan",0.6459999999999999,0.01165,0.362375,0.2551,0.1324,0.0659,0.039375,0.011375,CUT
"Jun 28, 2020","Travelers Championship","Garcia, Sergio",0.637525,0.0113,0.3525,0.246225,0.1293,0.063125,0.0363,0.011125,T32
