tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"DeChambeau, Bryson",19841,11700,0.2761,1,3,3,0,5,105.0,30,146.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Wolff, Matthew",25919,6800,0.0892,2,6,0,0,0,106.5,20,132.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Kisner, Kevin",11328,7700,0.0656,3,3,6,0,0,92.5,18,119.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Hadwin, Adam",13965,8200,0.1816,T4,3,3,0,5,86.0,16,113.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Hatton, Tyrrell",14796,10700,0.1765,T4,3,3,0,5,85.0,16,112.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Armour, Ryan",8469,6900,0.0255,T4,0,0,5,0,89.5,16,110.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Straka, Sepp",17511,6700,0.016,T8,3,6,0,0,85.0,9,103.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Willett, Danny",12920,6600,0.0137,T4,0,3,0,0,83.5,16,102.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Merritt, Troy",13367,6400,0.0125,T8,3,9,0,0,81.0,9,102.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Champ, Cameron",23542,0,0.0,T12,3,0,0,0,89.0,6,98.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Kirk, Chris",12423,7200,0.0096,T21,6,0,0,0,86.0,4,96.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Hubbard, Mark",16333,7200,0.1437,T12,3,3,0,0,83.5,6,95.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"McNealy, Maverick",18634,7600,0.0988,T8,3,0,0,0,83.0,9,95.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Hovland, Viktor",18841,10000,0.2045,T12,6,6,0,0,77.0,6,95.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Simpson, Webb",11049,11000,0.1621,T8,0,3,0,0,82.5,9,94.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Werenski, Richy",19364,6500,0.0147,T21,6,0,0,0,83.5,4,93.5
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Fowler, Rickie",12965,9500,0.1137,T12,3,0,0,0,83.0,6,92.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Lewis, Tom",15164,6800,0.0032,T12,3,0,0,0,83.0,6,92.0
pga,2020,2020,Rocket Mortgage Classic,524,draftkings,PGA TOUR $2.5M Millionaire [$1M to 1st],"Byrd, Jonathan",6931,6100,0.0003,T12,3,0,0,0,82.5,6,91.5
