bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1164,2020-07-08 09:54,14139,+1106,2020-07-07 09:20,2,"Thomas, Justin",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+1394,2020-07-08 09:54,15466,+1326,2020-07-07 09:20,T7,"Cantlay, Patrick",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+1527,2020-07-08 09:54,19195,+1545,2020-07-07 09:20,T27,"Rahm, Jon",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+1623,2020-07-08 09:54,16243,+1545,2020-07-07 09:20,CUT,"Koepka, Brooks",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+1661,2020-07-08 09:54,13562,+1764,2020-07-07 09:20,T22,"Matsuyama, Hideki",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+1836,2020-07-08 09:54,19895,+1984,2020-07-07 09:20,T14,"Schauffele, Xander",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+2293,2020-07-08 09:54,6093,+2184,2020-07-07 09:20,CUT,"Rose, Justin",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+2516,2020-07-08 09:54,18841,+2577,2020-07-07 09:20,3,"Hovland, Viktor",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
1,paid in full,+2825,2020-07-08 09:54,22085,+3629,2020-07-07 09:20,1,"Morikawa, Collin",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+3047,2020-07-08 09:54,12965,+2906,2020-07-07 09:20,T22,"Fowler, Rickie",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+3393,2020-07-08 09:54,17488,+4396,2020-07-07 09:20,63,"Im, Sungjae",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
0,loss,+3456,2020-07-08 09:54,14838,+3629,2020-07-07 09:20,T39,"Reed, Patrick",pinnacle,2020-07-12,Workday Charity Open,win,2020,2020,533
