date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 12, 2020","Workday Charity Open","Rahm, Jon",0.80825,0.0311,0.640175,0.53685,0.37255,0.244275,0.17135,0.073025,T27
"Jul 12, 2020","Workday Charity Open","Thomas, Justin",0.79815,0.028875,0.622625,0.51755,0.3542,0.224675,0.1573,0.065725,2
"Jul 12, 2020","Workday Charity Open","Matsuyama, Hideki",0.78515,0.02855,0.596425,0.49265,0.331075,0.2118,0.1482,0.063025,T22
"Jul 12, 2020","Workday Charity Open","Cantlay, Patrick",0.76775,0.0267,0.568675,0.4599,0.300225,0.18395,0.1242,0.050825,T7
"Jul 12, 2020","Workday Charity Open","Schauffele, Xander",0.760375,0.024875,0.5494,0.440725,0.280875,0.170425,0.115425,0.04645,T14
"Jul 12, 2020","Workday Charity Open","Rose, Justin",0.705175,0.017075,0.460925,0.350225,0.20905,0.1174,0.076,0.027999999999999997,CUT
"Jul 12, 2020","Workday Charity Open","Im, Sungjae",0.712525,0.018475,0.470375,0.35965,0.2134,0.118275,0.074625,0.027975,63
"Jul 12, 2020","Workday Charity Open","Morikawa, Collin",0.718575,0.017025,0.48375,0.36885,0.2183,0.12155,0.076025,0.026725,1
"Jul 12, 2020","Workday Charity Open","Hovland, Viktor",0.7136,0.0159,0.472475,0.36205,0.213925,0.120175,0.07505,0.02645,3
"Jul 12, 2020","Workday Charity Open","Kuchar, Matt",0.703725,0.018125,0.456025,0.34555,0.20565,0.11415,0.072825,0.02615,T39
"Jul 12, 2020","Workday Charity Open","Reed, Patrick",0.708225,0.0179,0.468125,0.356275,0.210175,0.11525,0.072325,0.02545,T39
"Jul 12, 2020","Workday Charity Open","Fowler, Rickie",0.69405,0.016425,0.444325,0.33475,0.19445,0.10815,0.067225,0.0239,T22
"Jul 12, 2020","Workday Charity Open","Koepka, Brooks",0.683275,0.0162,0.427275,0.322925,0.1852,0.10325,0.0657,0.023625,CUT
"Jul 12, 2020","Workday Charity Open","Fitzpatrick, Matthew",0.6889,0.0162,0.435075,0.324275,0.184775,0.1017,0.065075,0.0221,T27
"Jul 12, 2020","Workday Charity Open","Leishman, Marc",0.6693,0.015225,0.4082,0.300175,0.1689,0.091575,0.057125,0.019925,CUT
"Jul 12, 2020","Workday Charity Open","Scheffler, Scottie",0.67035,0.0145,0.40685,0.298975,0.169375,0.09055,0.056225,0.018425,CUT
"Jul 12, 2020","Workday Charity Open","Horschel, Billy",0.659125,0.01455,0.3982,0.292025,0.162,0.0857,0.05315,0.017775,T7
"Jul 12, 2020","Workday Charity Open","Woodland, Gary",0.642425,0.012975,0.368475,0.2647,0.144925,0.075425,0.0455,0.01515,T5
"Jul 12, 2020","Workday Charity Open","Dahmen, Joel",0.62575,0.011975,0.3477,0.2446,0.13085,0.06665,0.04,0.0137,CUT
"Jul 12, 2020","Workday Charity Open","Furyk, Jim",0.61935,0.010675,0.335375,0.235125,0.121975,0.0613,0.03695,0.01195,CUT
