tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Rahm, Jon",19195,1,1,Muirfield Village Golf Club,23,69,1.193,0.66,1.189,1.882,3.73,4.923,307.8,0.786,0.722,0.75,38.09,37.914
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Rahm, Jon",19195,1,2,Muirfield Village Golf Club,23,67,-0.002,1.428,3.547,1.168,6.143,6.141,295.0,0.786,0.778,0.6,60.493,25.521
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Rahm, Jon",19195,1,3,Muirfield Village Golf Club,23,68,1.128,1.271,1.267,2.036,4.575,5.703,306.5,0.857,0.722,0.857,26.927,33.659
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Rahm, Jon",19195,1,4,Muirfield Village Golf Club,23,75,-0.055,2.903,-0.999,-0.89,1.014,0.959,298.9,0.643,0.556,0.7,59.653,38.314
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Palmer, Ryan",7820,2,1,Muirfield Village Golf Club,23,67,0.994,2.695,2.911,0.324,5.929,6.923,300.3,0.786,0.667,1.0,36.105,26.163
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Palmer, Ryan",7820,2,2,Muirfield Village Golf Club,23,68,2.605,0.835,2.108,-0.407,2.536,5.141,288.3,0.643,0.778,1.0,13.283,26.236
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Palmer, Ryan",7820,2,3,Muirfield Village Golf Club,23,73,-3.103,-0.202,3.456,0.551,3.806,0.703,295.1,0.571,0.722,0.167,35.954,28.71
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Palmer, Ryan",7820,2,4,Muirfield Village Golf Club,23,74,1.085,-0.222,1.743,-0.647,0.874,1.959,285.8,0.714,0.444,0.692,45.914,40.886
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Fitzpatrick, Matthew",17646,3,1,Muirfield Village Golf Club,23,75,-1.728,0.387,-0.252,0.517,0.651,-1.077,296.6,0.571,0.667,0.6,56.193,24.87
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Fitzpatrick, Matthew",17646,3,2,Muirfield Village Golf Club,23,66,3.856,-0.26,3.065,0.48,3.285,7.141,294.7,0.643,0.722,0.833,18.866,24.957
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Fitzpatrick, Matthew",17646,3,3,Muirfield Village Golf Club,23,74,2.1,-1.316,-2.522,1.44,-2.397,-0.297,296.8,0.857,0.556,0.571,55.916,45.477
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Fitzpatrick, Matthew",17646,3,4,Muirfield Village Golf Club,23,68,3.891,0.729,2.619,0.72,4.068,7.959,290.4,0.786,0.778,0.714,35.587,32.504
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Day, Jason",9771,T4,1,Muirfield Village Golf Club,23,73,1.926,0.239,-1.726,0.485,-1.003,0.923,297.2,0.714,0.5,0.7,64.46,28.367
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Day, Jason",9771,T4,2,Muirfield Village Golf Club,23,66,4.39,0.513,1.958,0.28,2.751,7.141,292.7,0.786,0.778,0.75,28.799,29.127
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Day, Jason",9771,T4,3,Muirfield Village Golf Club,23,72,-0.466,1.382,2.047,-1.261,2.169,1.703,290.4,0.571,0.722,0.6,19.642,29.232
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Day, Jason",9771,T4,4,Muirfield Village Golf Club,23,73,0.677,1.624,0.221,0.437,2.282,2.959,288.8,0.714,0.556,0.615,80.05,37.282
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Wallace, Matt",20706,T4,1,Muirfield Village Golf Club,23,72,-1.088,2.942,-0.578,0.648,3.011,1.923,292.2,0.714,0.556,0.727,51.924,39.538
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Wallace, Matt",20706,T4,2,Muirfield Village Golf Club,23,70,2.601,1.515,-1.425,0.45,0.54,3.141,289.6,0.643,0.667,0.8,60.221,37.037
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Wallace, Matt",20706,T4,3,Muirfield Village Golf Club,23,70,3.957,-0.156,-0.726,0.627,-0.254,3.703,293.2,0.643,0.722,0.429,49.819,28.36
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Wallace, Matt",20706,T4,4,Muirfield Village Golf Club,23,72,0.29,0.937,1.996,0.736,3.669,3.959,302.8,0.786,0.722,0.2,29.587,31.818
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Hughes, Mackenzie",15556,T6,1,Muirfield Village Golf Club,23,74,1.317,-0.084,-1.439,0.13,-1.394,-0.077,303.2,0.643,0.667,0.75,60.556,30.59
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Hughes, Mackenzie",15556,T6,2,Muirfield Village Golf Club,23,66,4.381,2.826,-1.17,1.104,2.76,7.141,299.3,0.714,0.611,0.909,58.864,38.237
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Hughes, Mackenzie",15556,T6,3,Muirfield Village Golf Club,23,73,1.624,-1.301,0.961,-0.582,-0.921,0.703,293.0,0.714,0.722,0.375,38.166,37.15
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Hughes, Mackenzie",15556,T6,4,Muirfield Village Golf Club,23,72,1.775,0.714,0.576,0.894,2.184,3.959,292.1,0.786,0.667,0.625,43.755,39.423
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Norlander, Henrik",11657,T6,1,Muirfield Village Golf Club,23,74,1.74,-0.218,-0.877,-0.721,-1.817,-0.077,280.6,0.571,0.556,0.667,54.63,32.325
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Norlander, Henrik",11657,T6,2,Muirfield Village Golf Club,23,66,1.532,0.788,4.373,0.448,5.609,7.141,284.1,0.714,0.833,0.75,35.671,26.532
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Norlander, Henrik",11657,T6,3,Muirfield Village Golf Club,23,71,2.242,-0.436,0.849,0.047,0.461,2.703,281.1,0.714,0.611,0.75,27.305,36.358
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Norlander, Henrik",11657,T6,4,Muirfield Village Golf Club,23,74,2.914,1.302,-0.272,-1.985,-0.955,1.959,270.2,0.714,0.5,0.727,22.239,51.502
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Finau, Tony",11676,8,1,Muirfield Village Golf Club,23,66,4.416,0.005,1.392,2.111,3.507,7.923,322.9,0.571,0.722,0.7,29.852,38.433
pga,2020,2020,the Memorial Tournament presented by Nationwide,23,"Finau, Tony",11676,8,2,Muirfield Village Golf Club,23,69,-0.611,1.689,2.454,0.609,4.752,4.141,312.3,0.571,0.667,0.778,34.188,22.474
