date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","McIlroy, Rory",0.8361,0.03315,0.635725,0.526225,0.35515,0.22925,0.158525,0.066425,T32
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Thomas, Justin",0.840975,0.030575,0.64745,0.536675,0.36355,0.23199999999999998,0.1606,0.066025,T18
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Rahm, Jon",0.8188,0.024425,0.598475,0.477425,0.305725,0.185075,0.12505,0.050775,1
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Matsuyama, Hideki",0.8042,0.027175,0.576825,0.46045,0.292725,0.1782,0.11875,0.0483,CUT
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","DeChambeau, Bryson",0.80515,0.0264,0.572375,0.45625,0.29035,0.1754,0.117825,0.046925,CUT
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Cantlay, Patrick",0.7889,0.021725,0.545525,0.426375,0.267275,0.155375,0.101425,0.0392,T32
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Simpson, Webb",0.7905,0.0214,0.54205,0.41995,0.257625,0.152175,0.0986,0.03625,CUT
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Morikawa, Collin",0.788025,0.0181,0.52535,0.40445,0.244425,0.13865,0.08835,0.0316,T48
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Schauffele, Xander",0.76655,0.01975,0.5057,0.383725,0.229225,0.13025,0.084175,0.030025,T13
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Hovland, Viktor",0.770475,0.019775,0.505625,0.38445,0.2256,0.12835,0.081575,0.029425,T48
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Johnson, Dustin",0.756675,0.01825,0.480825,0.360075,0.21055,0.1171,0.074025,0.02575,CUT
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Ancer, Abraham",0.737225,0.014875,0.447375,0.328025,0.182975,0.099475,0.061175,0.021525,T58
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Woods, Tiger",0.73235,0.01625,0.433575,0.31695,0.17485,0.093225,0.0564,0.0199,T40
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Fowler, Rickie",0.726075,0.016525,0.42885,0.312575,0.1731,0.0913,0.055325,0.018825,CUT
"Jul 19, 2020","the Memorial Tournament presented by Nationwide","Casey, Paul",0.7154,0.014375,0.410125,0.296775,0.1623,0.0844,0.05155,0.017075,CUT
