date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 26, 2020","3M Open","Johnson, Dustin",0.77695,0.025825,0.5755,0.4697,0.30915,0.1913,0.1327,0.0563,WD
"Jul 26, 2020","3M Open","Fleetwood, Tommy",0.780125,0.0273,0.5801,0.47225,0.31395,0.197525,0.13675,0.056125,CUT
"Jul 26, 2020","3M Open","Casey, Paul",0.761275,0.02405,0.546975,0.439375,0.28075,0.1724,0.11805,0.04915,CUT
"Jul 26, 2020","3M Open","Koepka, Brooks",0.745425,0.02445,0.523375,0.413475,0.266525,0.1651,0.110625,0.045075,CUT
"Jul 26, 2020","3M Open","Finau, Tony",0.751925,0.021475,0.5309,0.41855,0.265175,0.158175,0.1065,0.04295,T3
"Jul 26, 2020","3M Open","English, Harris",0.732625,0.0202,0.50055,0.39285,0.2443,0.142625,0.0948,0.037325,T18
"Jul 26, 2020","3M Open","Glover, Lucas",0.693825,0.015,0.434975,0.327975,0.192075,0.10655,0.0694,0.0254,CUT
"Jul 26, 2020","3M Open","Moore, Ryan",0.682375,0.015475,0.41915,0.311625,0.179575,0.099875,0.062625,0.022275,T12
"Jul 26, 2020","3M Open","Van Rooyen, Erik",0.67705,0.0155,0.406675,0.30065,0.170925,0.094675,0.060025,0.021125,CUT
"Jul 26, 2020","3M Open","Wolff, Matthew",0.67825,0.014225,0.410825,0.30245,0.169375,0.09395,0.06055,0.020925,T12
"Jul 26, 2020","3M Open","Harman, Brian",0.658225,0.0143,0.38095,0.277225,0.156175,0.0831,0.05155,0.018325,T41
"Jul 26, 2020","3M Open","Vegas, Jhonattan",0.64705,0.014425,0.36875,0.2671,0.1479,0.078925,0.04945,0.01765,CUT
"Jul 26, 2020","3M Open","Homa, Max",0.650825,0.013725,0.3793,0.27405,0.154025,0.082225,0.05185,0.0175,T3
"Jul 26, 2020","3M Open","Henley, Russell",0.652425,0.01275,0.37655,0.2734,0.15175,0.080375,0.049825,0.01675,CUT
"Jul 26, 2020","3M Open","Schwab, Matthias",0.6548,0.0118,0.37665,0.2724,0.1462,0.07755,0.0472,0.0155,T32
"Jul 26, 2020","3M Open","Watson, Bubba",0.648075,0.012875,0.368275,0.262325,0.143025,0.07535,0.04595,0.0149,CUT
"Jul 26, 2020","3M Open","Rodgers, Patrick",0.626,0.011625,0.33799999999999997,0.24015,0.1282,0.0654,0.04,0.013875,T32
"Jul 26, 2020","3M Open","Wise, Aaron",0.628675,0.011325,0.341075,0.2394,0.1262,0.06505,0.039175,0.0126,CUT
"Jul 26, 2020","3M Open","Schenk, Adam",0.633625,0.0102,0.3402,0.236625,0.123575,0.063075,0.0375,0.012275,T41
"Jul 26, 2020","3M Open","Cabrera Bello, Rafa",0.6259,0.01065,0.3331,0.233775,0.12205,0.061925,0.0375,0.01205,T32
"Jul 26, 2020","3M Open","Garnett, Brice",0.613425,0.011275,0.3199,0.22475,0.1171,0.05815,0.035175,0.011275,T26
"Jul 26, 2020","3M Open","Taylor, Vaughn",0.61215,0.01,0.318325,0.22035,0.116175,0.05905,0.03555,0.011125,CUT
"Jul 26, 2020","3M Open","Redman, Doc",0.6173,0.010525,0.320125,0.220275,0.11355,0.057575,0.033525,0.011075,CUT
"Jul 26, 2020","3M Open","List, Luke",0.61135,0.011125,0.3176,0.21795,0.11285,0.058525,0.0349,0.01095,T32
"Jul 26, 2020","3M Open","Frittelli, Dylan",0.616,0.010125,0.320125,0.223125,0.11235,0.056025,0.033075,0.0108,T18
"Jul 26, 2020","3M Open","Gooch, Talor",0.59835,0.009775,0.30325,0.207675,0.10695,0.05315,0.03065,0.0102,T18
"Jul 26, 2020","3M Open","Stanley, Kyle",0.60225,0.01125,0.308075,0.210525,0.1076,0.0543,0.032125,0.00995,T32
"Jul 26, 2020","3M Open","Howell III, Charles",0.607325,0.00985,0.313775,0.2154,0.108425,0.05335,0.03205,0.00995,T3
"Jul 26, 2020","3M Open","Wiesberger, Bernd",0.5925,0.009325,0.293775,0.1999,0.102075,0.0508,0.030575,0.009925,T26
"Jul 26, 2020","3M Open","Burns, Sam",0.584475,0.0105,0.290275,0.20045,0.10215,0.05085,0.029725,0.00975,T32
"Jul 26, 2020","3M Open","Norlander, Henrik",0.6115,0.009625,0.3161,0.21735,0.111725,0.056325,0.0323,0.009625,T23
"Jul 26, 2020","3M Open","Grillo, Emiliano",0.60545,0.010425,0.30505,0.2083,0.1063,0.0511,0.029875,0.009475,T3
"Jul 26, 2020","3M Open","Hoge, Tom",0.5891,0.00865,0.28915,0.19415,0.0983,0.04915,0.029475,0.0092,T46
