tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,3M Open,525,"Thompson, Michael",12946,1,1,TPC Twin Cities,883,64,2.38,0.155,2.951,0.94,4.046,6.426,282.7,0.786,1.0,1.0,28.425,29.89
pga,2020,2020,3M Open,525,"Thompson, Michael",12946,1,2,TPC Twin Cities,883,66,2.132,0.004,2.703,-0.108,2.598,4.73,281.5,0.571,0.778,0.571,33.71,24.602
pga,2020,2020,3M Open,525,"Thompson, Michael",12946,1,3,TPC Twin Cities,883,68,0.723,-0.854,1.73,-0.894,-0.017,0.706,288.3,0.714,0.667,0.714,63.022,29.115
pga,2020,2020,3M Open,525,"Thompson, Michael",12946,1,4,TPC Twin Cities,883,67,2.04,-0.344,0.044,-0.387,-0.687,1.353,282.2,0.714,0.889,0.75,33.721,32.972
pga,2020,2020,3M Open,525,"Long, Adam",15473,2,1,TPC Twin Cities,883,68,-0.49,0.005,1.407,1.504,2.916,2.426,288.8,0.857,0.778,0.667,47.206,29.135
pga,2020,2020,3M Open,525,"Long, Adam",15473,2,2,TPC Twin Cities,883,72,1.084,-0.022,-3.381,1.05,-2.354,-1.27,289.3,0.714,0.5,0.636,57.945,40.183
pga,2020,2020,3M Open,525,"Long, Adam",15473,2,3,TPC Twin Cities,883,63,1.908,0.693,2.462,0.642,3.798,5.706,295.9,0.714,0.889,1.0,20.257,26.937
pga,2020,2020,3M Open,525,"Long, Adam",15473,2,4,TPC Twin Cities,883,64,0.46,-0.083,3.966,0.01,3.893,4.353,287.0,0.643,0.944,1.0,27.942,23.26
pga,2020,2020,3M Open,525,"Werenski, Richy",19364,T3,1,TPC Twin Cities,883,63,4.375,-0.175,2.834,0.392,3.051,7.426,291.1,0.714,0.833,1.0,35.69,25.045
pga,2020,2020,3M Open,525,"Werenski, Richy",19364,T3,2,TPC Twin Cities,883,67,2.548,0.613,-0.651,1.221,1.182,3.73,287.7,0.786,0.667,0.75,73.107,27.331
pga,2020,2020,3M Open,525,"Werenski, Richy",19364,T3,3,TPC Twin Cities,883,68,-0.483,-0.399,1.252,0.335,1.189,0.706,290.3,0.714,0.778,0.571,90.112,28.595
pga,2020,2020,3M Open,525,"Werenski, Richy",19364,T3,4,TPC Twin Cities,883,70,0.555,-0.428,0.352,-2.126,-2.202,-1.647,286.7,0.643,0.667,0.333,26.913,25.666
pga,2020,2020,3M Open,525,"Finau, Tony",11676,T3,1,TPC Twin Cities,883,65,0.296,-0.7,3.966,1.864,5.13,5.426,305.9,0.643,0.944,0.667,24.74,18.145
pga,2020,2020,3M Open,525,"Finau, Tony",11676,T3,2,TPC Twin Cities,883,66,-0.59,0.535,4.043,0.743,5.32,4.73,303.2,0.571,0.833,0.667,19.919,25.074
pga,2020,2020,3M Open,525,"Finau, Tony",11676,T3,3,TPC Twin Cities,883,69,0.476,-0.614,1.173,-1.33,-0.77,-0.294,296.2,0.5,0.722,0.5,68.083,22.135
pga,2020,2020,3M Open,525,"Finau, Tony",11676,T3,4,TPC Twin Cities,883,68,0.544,-0.844,0.525,0.128,-0.191,0.353,293.2,0.643,0.833,0.4,34.825,26.863
pga,2020,2020,3M Open,525,"Homa, Max",17538,T3,1,TPC Twin Cities,883,65,1.287,0.83,1.733,1.576,4.139,5.426,303.7,0.857,0.889,0.75,13.925,28.261
pga,2020,2020,3M Open,525,"Homa, Max",17538,T3,2,TPC Twin Cities,883,72,0.808,-0.211,-0.625,-1.241,-2.078,-1.27,298.6,0.571,0.667,0.556,42.025,34.944
pga,2020,2020,3M Open,525,"Homa, Max",17538,T3,3,TPC Twin Cities,883,64,1.74,1.033,1.187,0.745,2.966,4.706,300.5,0.714,0.833,0.8,56.209,25.349
pga,2020,2020,3M Open,525,"Homa, Max",17538,T3,4,TPC Twin Cities,883,67,-2.307,0.92,2.918,-0.178,3.66,1.353,301.8,0.643,0.944,0.75,47.205,20.662
pga,2020,2020,3M Open,525,"Shelton, Robby",18635,T3,1,TPC Twin Cities,883,68,0.915,0.449,0.217,0.845,1.511,2.426,286.6,0.714,0.722,0.714,47.501,40.944
