tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Thomas, Justin",14139,10700,0.2269,1,3,0,0,0,77.5,30,110.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Lewis, Tom",15164,6200,0.025,T2,6,0,0,0,83.0,20,109.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Koepka, Brooks",16243,9200,0.0925,T2,6,0,0,0,80.5,20,106.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Mickelson, Phil",1547,6600,0.0645,T2,0,3,0,0,76.0,20,99.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Day, Jason",9771,8200,0.0795,T6,0,0,0,5,79.5,12,96.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Johnson, Dustin",12422,9300,0.0511,T12,3,0,0,5,81.0,6,95.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Fitzpatrick, Matthew",17646,9000,0.0943,T6,3,0,0,0,77.0,12,92.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Berger, Daniel",17606,9600,0.1517,T2,0,0,0,0,71.5,20,91.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Simpson, Webb",11049,9900,0.1674,T12,3,0,0,5,77.0,6,91.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"An, Byeong Hun",14459,6500,0.0517,T12,6,0,0,0,77.5,6,89.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Lowry, Shane",13900,6600,0.039,T6,0,3,0,5,69.5,12,89.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Oosthuizen, Louis",7672,6800,0.0812,T6,0,3,0,5,69.0,12,89.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Schauffele, Xander",19895,9800,0.1944,T6,0,6,0,0,68.5,12,86.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"DeChambeau, Bryson",19841,11000,0.1134,T30,3,0,0,0,77.5,3,83.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Ancer, Abraham",18238,8400,0.1632,T15,3,3,0,0,70.0,6,82.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Todd, Brendon",12425,6600,0.0756,T15,3,3,0,0,68.5,6,80.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Na, Kevin",7452,7500,0.0578,T35,6,3,0,0,69.0,2,80.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Scheffler, Scottie",18417,7300,0.0804,T15,0,0,0,5,68.5,6,79.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Reavie, Chez",7961,6700,0.1267,T6,0,3,0,0,64.5,12,79.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Dahmen, Joel",14509,6200,0.0801,T20,3,0,0,0,71.5,5,79.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Fowler, Rickie",12965,8300,0.0771,T15,3,0,0,0,69.5,6,78.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Watson, Bubba",7334,7100,0.0557,T25,6,0,0,0,68.0,4,78.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Bezuidenhout, Christiaan",18103,6800,0.0403,T20,3,0,0,0,69.5,5,77.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Spieth, Jordan",14636,8100,0.1078,T30,3,0,0,0,70.0,3,76.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Horschel, Billy",11276,8500,0.1024,T25,0,0,0,0,71.5,4,75.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Kisner, Kevin",11328,7000,0.0622,T25,3,0,0,0,68.5,4,75.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Matsuyama, Hideki",13562,8900,0.092,T20,0,0,0,0,70.0,5,75.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"van Rooyen, Erik",17550,6800,0.0314,T20,0,0,0,0,70.0,5,75.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Champ, Cameron",23542,6200,0.0675,T25,3,0,0,0,67.0,4,74.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Palmer, Ryan",7820,6700,0.0958,T15,0,3,0,0,64.5,6,73.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Poston, J.T.",21554,6500,0.0348,T30,0,0,0,0,69.0,3,72.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Kokrak, Jason",12337,6300,0.0114,T44,6,0,0,0,65.0,1,72.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Garcia, Sergio",5689,8000,0.0917,T35,6,0,0,0,63.0,2,71.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Kuchar, Matt",6169,7600,0.0708,T25,0,0,0,0,67.0,4,71.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Conners, Corey",17576,7300,0.0522,T30,3,3,0,0,61.0,3,70.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Cantlay, Patrick",15466,10100,0.1206,T35,0,3,0,0,64.5,2,69.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Morikawa, Collin",22085,9500,0.1368,T20,0,0,0,0,64.5,5,69.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Niemann, Joaquin",18079,7400,0.0759,T52,6,0,0,0,63.0,0,69.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Streelman, Kevin",8480,6900,0.055,T35,0,3,0,0,63.5,2,68.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Im, Sungjae",17488,7500,0.1368,T35,0,0,0,0,65.5,2,67.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Wolff, Matthew",25919,7900,0.1069,T49,3,0,0,0,63.0,1,67.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Landry, Andrew",14000,6200,0.0035,T30,0,0,0,0,61.5,3,64.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Kang, Sung",7881,6100,0.0089,T44,0,0,0,0,62.5,1,63.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Fleetwood, Tommy",12294,8700,0.1032,T35,0,0,0,0,61.5,2,63.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Rahm, Jon",19195,11400,0.0959,T52,0,0,0,0,62.0,0,62.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Hughes, Mackenzie",15556,6400,0.0709,T44,0,0,0,0,61.0,1,62.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Reed, Patrick",14838,8800,0.169,T47,0,0,0,0,60.5,1,61.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"MacIntyre, Robert",23323,6400,0.0224,T59,6,0,0,0,55.5,0,61.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"McDowell, Graeme",7548,6100,0.0102,T35,3,0,0,0,56.0,2,61.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"McIlroy, Rory",10091,11200,0.2044,T47,3,3,0,0,53.5,1,60.5
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Hatton, Tyrrell",14796,9700,0.173,T69,3,0,0,0,57.0,0,60.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Herbert, Lucas",17064,6000,0.0251,T49,3,0,0,0,55.0,1,59.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Taylor, Nick",13126,6100,0.0498,T35,0,0,0,0,57.0,2,59.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Jones, Matt",8605,6300,0.0215,T59,3,0,0,0,55.0,0,58.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Perez, Victor",20730,6000,0.0107,T65,0,0,0,0,58.0,0,58.0
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1.75M Southwind Special [$500K to 1st],"Stenson, Henrik",5994,7600,0.0335,T35,0,3,0,0,52.0,2,57.0
