tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Thomas, Justin",14139,1,1,TPC Southwind,513,66,0.471,0.312,3.21,-0.288,3.234,3.705,294.0,0.714,0.889,1.0,21.272,24.244
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Thomas, Justin",14139,1,2,TPC Southwind,513,70,-3.353,1.182,2.14,0.044,3.366,0.013,285.5,0.786,0.722,0.714,39.958,26.282
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Thomas, Justin",14139,1,3,TPC Southwind,513,66,1.381,0.088,0.686,1.307,2.081,3.462,292.0,0.786,0.833,0.889,39.422,24.431
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Thomas, Justin",14139,1,4,TPC Southwind,513,65,-0.38,1.545,1.634,1.24,4.418,4.038,311.2,0.714,0.778,0.857,44.541,21.54
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Mickelson, Phil",1547,T2,1,TPC Southwind,513,67,2.428,-0.374,0.114,0.537,0.277,2.705,292.7,0.643,0.611,0.667,60.29,22.954
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Mickelson, Phil",1547,T2,2,TPC Southwind,513,70,-0.865,-0.163,1.196,-0.155,0.878,0.013,290.6,0.643,0.667,0.667,64.077,22.973
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Mickelson, Phil",1547,T2,3,TPC Southwind,513,66,1.009,-0.069,1.539,0.983,2.453,3.462,288.4,0.714,0.778,0.667,36.486,27.048
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Mickelson, Phil",1547,T2,4,TPC Southwind,513,67,1.356,0.674,-1.044,1.053,0.682,2.038,295.3,0.857,0.722,1.0,51.916,27.874
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Lewis, Tom",15164,T2,1,TPC Southwind,513,73,-2.133,-1.651,0.13,0.359,-1.162,-3.295,298.8,0.5,0.667,0.75,64.677,29.591
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Lewis, Tom",15164,T2,2,TPC Southwind,513,70,-0.943,-0.875,0.877,0.954,0.956,0.013,290.8,0.786,0.667,0.5,40.482,26.789
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Lewis, Tom",15164,T2,3,TPC Southwind,513,61,3.965,1.044,2.935,0.518,4.497,8.462,296.9,0.714,0.889,1.0,27.558,23.335
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Lewis, Tom",15164,T2,4,TPC Southwind,513,66,1.492,-0.269,1.295,0.521,1.546,3.038,299.8,0.571,0.889,0.333,26.172,22.355
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Koepka, Brooks",16243,T2,1,TPC Southwind,513,62,3.066,0.868,3.316,0.455,4.639,7.705,298.1,0.643,0.833,0.75,38.681,22.884
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Koepka, Brooks",16243,T2,2,TPC Southwind,513,71,-4.64,-0.002,3.009,0.646,3.653,-0.987,294.8,0.643,0.833,0.0,52.659,19.645
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Koepka, Brooks",16243,T2,3,TPC Southwind,513,68,-0.03,1.018,1.014,-0.54,1.492,1.462,292.9,0.5,0.722,0.714,56.19,17.069
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Koepka, Brooks",16243,T2,4,TPC Southwind,513,69,-1.127,-0.201,1.097,0.27,1.165,0.038,297.4,0.786,0.833,0.4,26.849,21.76
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Berger, Daniel",17606,T2,1,TPC Southwind,513,71,0.666,-0.456,-1.242,-0.263,-1.961,-1.295,285.9,0.571,0.556,0.8,44.128,33.644
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Berger, Daniel",17606,T2,2,TPC Southwind,513,67,1.245,0.335,1.466,-0.033,1.768,3.013,284.9,0.571,0.722,0.833,20.942,31.721
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Berger, Daniel",17606,T2,3,TPC Southwind,513,67,-0.539,0.309,2.654,0.038,3.001,2.462,275.9,0.714,0.778,0.8,35.213,26.633
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Berger, Daniel",17606,T2,4,TPC Southwind,513,65,0.221,1.211,2.181,0.426,3.817,4.038,291.6,0.857,0.889,0.8,119.533,21.1
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Reavie, Chez",7961,T6,1,TPC Southwind,513,66,0.916,-1.22,3.026,0.983,2.789,3.705,282.1,0.929,0.889,0.75,32.113,22.845
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Reavie, Chez",7961,T6,2,TPC Southwind,513,67,-2.503,2.866,1.675,0.975,5.516,3.013,287.1,0.857,0.667,1.0,47.804,24.296
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Reavie, Chez",7961,T6,3,TPC Southwind,513,70,-0.872,0.4,0.121,-0.187,0.334,-0.538,274.6,0.786,0.667,1.0,17.922,30.782
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Reavie, Chez",7961,T6,4,TPC Southwind,513,68,-2.414,0.824,2.408,0.221,3.452,1.038,281.8,0.786,0.722,0.778,44.913,23.006
pga,2020,2020,World Golf Championships-FedEx St. Jude Invitational,476,"Fitzpatrick, Matthew",17646,T6,1,TPC Southwind,513,70,4.076,-0.43,-2.895,-1.046,-4.371,-0.295,287.3,0.714,0.611,0.889,23.733,33.44
