tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,Wyndham Championship,13,"Herman, Jim",12846,1,1,Sedgefield Country Club,752,66,1.079,-1.065,1.904,1.409,2.248,3.327,294.3,0.786,0.889,0.5,45.065,25.884
pga,2020,2020,Wyndham Championship,13,"Herman, Jim",12846,1,2,Sedgefield Country Club,752,69,-1.02,-0.857,1.273,0.307,0.724,-0.296,270.7,0.857,0.833,0.0,39.895,30.962
pga,2020,2020,Wyndham Championship,13,"Herman, Jim",12846,1,3,Sedgefield Country Club,752,61,3.585,1.632,0.575,1.012,3.22,6.805,274.6,1.0,1.0,1.0,,29.119
pga,2020,2020,Wyndham Championship,13,"Herman, Jim",12846,1,4,Sedgefield Country Club,752,63,2.589,-0.451,2.097,1.557,3.203,5.792,281.2,1.0,0.833,0.667,,31.222
pga,2020,2020,Wyndham Championship,13,"Horschel, Billy",11276,2,1,Sedgefield Country Club,752,66,3.747,0.104,-0.04,-0.484,-0.42,3.327,297.6,0.714,0.722,0.667,37.63,23.562
pga,2020,2020,Wyndham Championship,13,"Horschel, Billy",11276,2,2,Sedgefield Country Club,752,64,0.385,0.308,2.276,1.734,4.319,4.704,289.7,0.929,0.944,0.5,77.486,20.099
pga,2020,2020,Wyndham Championship,13,"Horschel, Billy",11276,2,3,Sedgefield Country Club,752,65,1.078,-0.589,0.651,1.664,1.727,2.805,286.9,1.0,0.833,0.5,,26.201
pga,2020,2020,Wyndham Championship,13,"Horschel, Billy",11276,2,4,Sedgefield Country Club,752,65,1.728,-0.137,1.375,0.826,2.064,3.792,278.9,0.786,0.778,0.5,52.833,24.727
pga,2020,2020,Wyndham Championship,13,"Simpson, Webb",11049,T3,1,Sedgefield Country Club,752,66,1.703,1.7,1.254,-1.33,1.624,3.327,288.2,0.643,0.889,1.0,45.81,26.545
pga,2020,2020,Wyndham Championship,13,"Simpson, Webb",11049,T3,2,Sedgefield Country Club,752,66,0.288,-0.34,1.67,1.085,2.416,2.704,281.6,0.857,0.944,0.667,37.941,25.971
pga,2020,2020,Wyndham Championship,13,"Simpson, Webb",11049,T3,3,Sedgefield Country Club,752,65,2.182,-0.827,1.034,0.415,0.623,2.805,280.6,0.714,0.778,0.667,55.818,23.618
