date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Aug 16, 2020","Wyndham Championship","Simpson, Webb",0.824725,0.033925,0.65955,0.558325,0.3953,0.263825,0.192,0.086675,T3
"Aug 16, 2020","Wyndham Championship","Reed, Patrick",0.7581,0.0225,0.54305,0.4313,0.2763,0.167475,0.112175,0.043975,T9
"Aug 16, 2020","Wyndham Championship","Horschel, Billy",0.739075,0.02115,0.509425,0.397875,0.247175,0.146375,0.09675,0.0365,2
"Aug 16, 2020","Wyndham Championship","Im, Sungjae",0.73675,0.01935,0.500925,0.3901,0.2402,0.141275,0.092225,0.03595,T9
"Aug 16, 2020","Wyndham Championship","Casey, Paul",0.732775,0.018925,0.497725,0.3884,0.239275,0.13745,0.090425,0.034875,T31
"Aug 16, 2020","Wyndham Championship","Fleetwood, Tommy",0.72265,0.01975,0.48395,0.37125,0.227925,0.132575,0.08655,0.03235,T59
"Aug 16, 2020","Wyndham Championship","English, Harris",0.722725,0.01775,0.48265,0.372325,0.22475,0.128875,0.082775,0.031125,T23
"Aug 16, 2020","Wyndham Championship","Moore, Ryan",0.719175,0.018875,0.475375,0.366275,0.22155,0.126675,0.082125,0.030975,CUT
"Aug 16, 2020","Wyndham Championship","Koepka, Brooks",0.7090000000000001,0.017275,0.464675,0.356025,0.210525,0.12045,0.07795,0.02775,CUT
"Aug 16, 2020","Wyndham Championship","Garcia, Sergio",0.697675,0.016425,0.44145,0.332775,0.1937,0.106275,0.066625,0.024275,T66
"Aug 16, 2020","Wyndham Championship","Todd, Brendon",0.67665,0.0171,0.4165,0.31025,0.18045,0.102475,0.064725,0.022225,CUT
"Aug 16, 2020","Wyndham Championship","Rose, Justin",0.6803,0.015875,0.419375,0.312275,0.178275,0.0975,0.06275,0.021625,CUT
"Aug 16, 2020","Wyndham Championship","Conners, Corey",0.681975,0.015325,0.418725,0.3115,0.175875,0.0959,0.0598,0.0209,CUT
"Aug 16, 2020","Wyndham Championship","Kisner, Kevin",0.675475,0.01365,0.407725,0.296725,0.165875,0.088725,0.05455,0.018875,T3
"Aug 16, 2020","Wyndham Championship","Furyk, Jim",0.67125,0.014425,0.401725,0.29545,0.16615,0.0901,0.0564,0.018725,CUT
"Aug 16, 2020","Wyndham Championship","Reavie, Chez",0.669925,0.014775,0.400325,0.291325,0.163175,0.08625,0.05455,0.01845,CUT
"Aug 16, 2020","Wyndham Championship","Poston, J.T.",0.641625,0.012625,0.363475,0.25915,0.14255,0.075925,0.046175,0.01515,CUT
"Aug 16, 2020","Wyndham Championship","Lowry, Shane",0.63985,0.01215,0.3584,0.25775,0.13825,0.07285,0.04325,0.014425,T23
"Aug 16, 2020","Wyndham Championship","Snedeker, Brandt",0.634125,0.010775,0.347675,0.2429,0.126625,0.066975,0.040325,0.0137,T42
"Aug 16, 2020","Wyndham Championship","Glover, Lucas",0.634975,0.011075,0.347175,0.24525,0.1292,0.065225,0.03985,0.012425,CUT
"Aug 16, 2020","Wyndham Championship","Cauley, Bud",0.62735,0.009025,0.3358,0.2354,0.119675,0.05885,0.035925,0.01205,T15
"Aug 16, 2020","Wyndham Championship","Schwab, Matthias",0.6118,0.01005,0.324925,0.2276,0.12055,0.061375,0.0359,0.011925,T42
"Aug 16, 2020","Wyndham Championship","Varner III, Harold",0.620225,0.010275,0.32485,0.22615,0.118475,0.058925,0.034725,0.011775,T7
"Aug 16, 2020","Wyndham Championship","Stanley, Kyle",0.619525,0.009475,0.3259,0.227125,0.11605,0.05925,0.0353,0.011675,CUT
"Aug 16, 2020","Wyndham Championship","Harman, Brian",0.6149,0.01135,0.321125,0.2245,0.117675,0.06055,0.035775,0.01145,T27
"Aug 16, 2020","Wyndham Championship","Henley, Russell",0.60675,0.01105,0.315825,0.2187,0.112325,0.0567,0.0344,0.01125,T9
"Aug 16, 2020","Wyndham Championship","Niemann, Joaquin",0.611975,0.0101,0.321825,0.223975,0.117475,0.060725,0.03575,0.01095,T42
"Aug 16, 2020","Wyndham Championship","Bezuidenhout, Christiaan",0.5933,0.010325,0.29945,0.20675,0.10475,0.05225,0.0316,0.0101,T37
"Aug 16, 2020","Wyndham Championship","Sabbatini, Rory",0.616975,0.011225,0.325,0.225725,0.115775,0.0578,0.0326,0.00975,CUT
"Aug 16, 2020","Wyndham Championship","Spieth, Jordan",0.587125,0.009675,0.291875,0.20215,0.103425,0.051225,0.0304,0.0094,T72
"Aug 16, 2020","Wyndham Championship","Garnett, Brice",0.606775,0.009575,0.30675,0.207625,0.1048,0.049875,0.02935,0.00865,CUT
"Aug 16, 2020","Wyndham Championship","Norlander, Henrik",0.59715,0.00875,0.298675,0.204325,0.102225,0.0506,0.02895,0.0085,T59
"Aug 16, 2020","Wyndham Championship","Howell III, Charles",0.58745,0.008725,0.2892,0.1974,0.098125,0.04725,0.027025,0.008425,CUT
"Aug 16, 2020","Wyndham Championship","Munoz, Sebastian",0.582125,0.008325,0.282575,0.19185,0.095,0.045925,0.027125,0.008375,T74
