tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Schauffele, Xander",19895,8900,0.3349,T2,3,0,0,5,83.0,20,111.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Johnson, Dustin",12422,15200,0.1941,1,0,0,0,0,77.0,30,107.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Thomas, Justin",14139,11900,0.2656,T2,0,0,0,0,81.0,20,101.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Scheffler, Scottie",18417,7900,0.2226,5,6,3,0,0,73.5,14,96.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Rahm, Jon",19195,12700,0.2653,4,0,3,0,0,75.5,16,94.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Morikawa, Collin",22085,10400,0.1879,6,0,0,0,0,76.0,12,88.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Hatton, Tyrrell",14796,7000,0.2648,7,0,0,0,0,77.0,10,87.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Munoz, Sebastian",20770,5900,0.1469,T8,6,0,0,0,71.5,9,86.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"McIlroy, Rory",10091,9700,0.2846,T8,3,0,0,0,71.0,9,83.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Hughes, Mackenzie",15556,5200,0.1603,14,0,0,0,0,74.0,6,80.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Ancer, Abraham",18238,6100,0.1957,T18,3,3,0,0,68.0,5,79.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Reed, Patrick",14838,8500,0.1297,T8,0,6,0,0,63.5,9,78.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Im, Sungjae",17488,7300,0.1291,11,0,0,0,0,71.0,6,77.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"English, Harris",14577,8700,0.1291,T12,0,0,0,0,68.0,6,74.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Berger, Daniel",17606,9100,0.2754,T15,3,0,0,0,63.5,6,72.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Finau, Tony",11676,8200,0.2991,17,0,0,0,0,67.5,5,72.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Griffin, Lanto",15330,5600,0.15,T18,3,0,0,0,63.0,5,71.0
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Simpson, Webb",11049,11000,0.2858,T12,0,0,0,0,63.5,6,69.5
pga,2020,2020,TOUR Championship,60,draftkings,PGA TOUR $1.55M East Lake Ending [$500K to 1st],"Palmer, Ryan",7820,5400,0.2224,T24,0,0,0,0,64.5,4,68.5
