tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2020,TOUR Championship,60,"Johnson, Dustin",12422,1,1,East Lake Golf Club,688,67,0.398,0.133,0.427,0.742,1.302,1.7,314.3,0.429,0.667,0.625,43.95,26.569
pga,2020,2020,TOUR Championship,60,"Johnson, Dustin",12422,1,2,East Lake Golf Club,688,70,-0.718,1.348,-0.934,-0.396,0.018,-0.7,308.8,0.286,0.611,0.571,47.088,37.031
pga,2020,2020,TOUR Championship,60,"Johnson, Dustin",12422,1,3,East Lake Golf Club,688,64,1.263,1.256,0.4,1.681,3.337,4.6,308.8,0.786,0.722,0.714,50.771,30.64
pga,2020,2020,TOUR Championship,60,"Johnson, Dustin",12422,1,4,East Lake Golf Club,688,68,0.002,-0.172,1.355,-0.118,1.065,1.067,308.9,0.571,0.833,0.8,34.272,25.46
pga,2020,2020,TOUR Championship,60,"Schauffele, Xander",19895,T2,1,East Lake Golf Club,688,67,1.712,-0.872,0.061,0.799,-0.012,1.7,300.3,0.714,0.667,0.778,67.747,27.504
pga,2020,2020,TOUR Championship,60,"Schauffele, Xander",19895,T2,2,East Lake Golf Club,688,65,2.794,0.29,0.588,0.628,1.506,4.3,304.4,0.571,0.722,0.8,56.142,23.582
pga,2020,2020,TOUR Championship,60,"Schauffele, Xander",19895,T2,3,East Lake Golf Club,688,67,2.577,0.474,-2.052,0.601,-0.977,1.6,301.3,0.714,0.667,0.857,55.341,39.67
pga,2020,2020,TOUR Championship,60,"Schauffele, Xander",19895,T2,4,East Lake Golf Club,688,66,1.418,0.439,1.057,0.153,1.649,3.067,303.3,0.5,0.778,0.75,47.737,18.319
pga,2020,2020,TOUR Championship,60,"Thomas, Justin",14139,T2,1,East Lake Golf Club,688,66,-1.15,0.927,1.429,1.494,3.85,2.7,307.9,0.786,0.833,0.667,43.508,21.485
pga,2020,2020,TOUR Championship,60,"Thomas, Justin",14139,T2,2,East Lake Golf Club,688,71,-3.482,1.085,0.532,0.165,1.782,-1.7,303.1,0.643,0.611,0.625,36.708,24.359
pga,2020,2020,TOUR Championship,60,"Thomas, Justin",14139,T2,3,East Lake Golf Club,688,66,1.423,0.43,0.75,-0.003,1.177,2.6,296.8,0.643,0.778,0.714,45.235,30.668
pga,2020,2020,TOUR Championship,60,"Thomas, Justin",14139,T2,4,East Lake Golf Club,688,66,1.599,0.156,0.818,0.494,1.468,3.067,300.0,0.643,0.778,0.4,29.679,32.625
pga,2020,2020,TOUR Championship,60,"Rahm, Jon",19195,4,1,East Lake Golf Club,688,65,2.607,0.1,1.278,-0.285,1.093,3.7,308.1,0.357,0.778,0.8,25.485,22.442
pga,2020,2020,TOUR Championship,60,"Rahm, Jon",19195,4,2,East Lake Golf Club,688,74,-2.207,-0.568,-2.806,0.881,-2.493,-4.7,311.6,0.714,0.778,0.5,52.841,37.704
pga,2020,2020,TOUR Championship,60,"Rahm, Jon",19195,4,3,East Lake Golf Club,688,66,-0.609,1.388,1.266,0.555,3.209,2.6,314.8,0.429,0.667,1.0,36.338,20.848
pga,2020,2020,TOUR Championship,60,"Rahm, Jon",19195,4,4,East Lake Golf Club,688,66,-0.287,1.64,1.218,0.496,3.354,3.067,312.3,0.643,0.611,0.889,62.96,24.409
pga,2020,2020,TOUR Championship,60,"Scheffler, Scottie",18417,5,1,East Lake Golf Club,688,71,-1.926,0.114,0.081,-0.569,-0.374,-2.3,311.8,0.571,0.611,0.75,44.653,28.627
pga,2020,2020,TOUR Championship,60,"Scheffler, Scottie",18417,5,2,East Lake Golf Club,688,66,0.528,0.718,1.675,0.379,2.772,3.3,300.3,0.571,0.778,0.833,36.667,21.921
pga,2020,2020,TOUR Championship,60,"Scheffler, Scottie",18417,5,3,East Lake Golf Club,688,66,-0.719,-0.299,3.271,0.347,3.319,2.6,299.4,0.643,0.778,0.75,24.645,34.76
pga,2020,2020,TOUR Championship,60,"Scheffler, Scottie",18417,5,4,East Lake Golf Club,688,65,-0.524,1.331,2.282,0.978,4.591,4.067,304.6,0.714,0.833,1.0,31.386,21.706
pga,2020,2020,TOUR Championship,60,"Morikawa, Collin",22085,6,1,East Lake Golf Club,688,71,-2.369,-1.275,0.603,0.741,0.069,-2.3,301.8,0.714,0.778,0.286,55.922,27.199
pga,2020,2020,TOUR Championship,60,"Morikawa, Collin",22085,6,2,East Lake Golf Club,688,65,2.017,-0.396,1.861,0.818,2.283,4.3,292.9,0.786,0.667,0.8,43.746,27.423
pga,2020,2020,TOUR Championship,60,"Morikawa, Collin",22085,6,3,East Lake Golf Club,688,67,-0.313,1.634,0.648,-0.369,1.913,1.6,289.8,0.571,0.667,0.5,53.678,22.141
pga,2020,2020,TOUR Championship,60,"Morikawa, Collin",22085,6,4,East Lake Golf Club,688,69,0.603,-0.215,-0.686,0.365,-0.536,0.067,294.4,0.714,0.722,0.6,31.978,33.401
pga,2020,2020,TOUR Championship,60,"Hatton, Tyrrell",14796,7,1,East Lake Golf Club,688,67,0.764,0.254,0.505,0.177,0.936,1.7,303.0,0.5,0.556,0.667,53.004,26.73
pga,2020,2020,TOUR Championship,60,"Hatton, Tyrrell",14796,7,2,East Lake Golf Club,688,66,2.479,-0.18,-0.204,1.205,0.821,3.3,302.6,0.714,0.611,0.889,67.422,28.018
pga,2020,2020,TOUR Championship,60,"Hatton, Tyrrell",14796,7,3,East Lake Golf Club,688,71,-0.842,-1.089,0.191,-0.66,-1.558,-2.4,305.3,0.5,0.778,0.4,56.583,26.744
pga,2020,2020,TOUR Championship,60,"Hatton, Tyrrell",14796,7,4,East Lake Golf Club,688,66,-0.197,-0.226,2.434,1.056,3.264,3.067,300.9,0.786,0.833,0.75,60.987,24.58
pga,2020,2020,TOUR Championship,60,"Reed, Patrick",14838,T8,1,East Lake Golf Club,688,71,-1.638,0.001,-0.792,0.129,-0.662,-2.3,297.5,0.643,0.667,0.625,61.956,27.119
pga,2020,2020,TOUR Championship,60,"Reed, Patrick",14838,T8,2,East Lake Golf Club,688,66,2.163,0.976,-0.873,1.034,1.137,3.3,295.1,0.857,0.722,0.833,33.222,28.92
pga,2020,2020,TOUR Championship,60,"Reed, Patrick",14838,T8,3,East Lake Golf Club,688,70,-2.793,0.337,-0.168,1.224,1.393,-1.4,299.4,0.857,0.722,0.8,40.229,30.474
pga,2020,2020,TOUR Championship,60,"Reed, Patrick",14838,T8,4,East Lake Golf Club,688,65,3.486,0.634,-0.593,0.54,0.581,4.067,298.7,0.714,0.667,0.875,42.318,33.74
pga,2020,2020,TOUR Championship,60,"McIlroy, Rory",10091,T8,1,East Lake Golf Club,688,64,2.219,0.171,1.533,0.777,2.481,4.7,319.3,0.429,0.778,0.6,56.85,18.047
pga,2020,2020,TOUR Championship,60,"McIlroy, Rory",10091,T8,2,East Lake Golf Club,688,71,-0.122,0.278,-2.053,0.197,-1.578,-1.7,311.2,0.5,0.611,0.714,47.351,37.021
pga,2020,2020,TOUR Championship,60,"McIlroy, Rory",10091,T8,3,East Lake Golf Club,688,70,-0.651,0.037,-0.734,-0.052,-0.749,-1.4,302.2,0.5,0.611,0.8,52.392,26.802
pga,2020,2020,TOUR Championship,60,"McIlroy, Rory",10091,T8,4,East Lake Golf Club,688,67,-0.47,1.252,-0.047,1.332,2.537,2.067,308.0,0.714,0.611,0.75,64.371,20.564
pga,2020,2020,TOUR Championship,60,"Munoz, Sebastian",20770,T8,1,East Lake Golf Club,688,71,-1.793,-0.561,0.354,-0.3,-0.507,-2.3,296.7,0.714,0.722,0.667,117.796,24.089
pga,2020,2020,TOUR Championship,60,"Munoz, Sebastian",20770,T8,2,East Lake Golf Club,688,65,4.625,0.316,-0.578,-0.063,-0.325,4.3,289.8,0.643,0.833,0.8,78.139,30.033
pga,2020,2020,TOUR Championship,60,"Munoz, Sebastian",20770,T8,3,East Lake Golf Club,688,70,-1.325,-0.415,0.064,0.276,-0.075,-1.4,300.0,0.643,0.667,0.778,57.276,27.678
pga,2020,2020,TOUR Championship,60,"Munoz, Sebastian",20770,T8,4,East Lake Golf Club,688,66,-0.212,-0.909,3.069,1.119,3.279,3.067,292.4,0.929,0.722,0.571,43.077,24.775
pga,2020,2020,TOUR Championship,60,"Im, Sungjae",17488,11,1,East Lake Golf Club,688,68,0.295,0.089,1.341,-1.025,0.405,0.7,301.2,0.429,0.833,1.0,38.465,21.907
pga,2020,2020,TOUR Championship,60,"Im, Sungjae",17488,11,2,East Lake Golf Club,688,64,0.97,-0.269,4.308,0.291,4.33,5.3,291.0,0.786,0.889,0.5,44.411,20.764
pga,2020,2020,TOUR Championship,60,"Im, Sungjae",17488,11,3,East Lake Golf Club,688,72,-1.994,-0.675,-1.157,0.426,-1.406,-3.4,298.1,0.714,0.556,0.625,41.154,30.704
pga,2020,2020,TOUR Championship,60,"Im, Sungjae",17488,11,4,East Lake Golf Club,688,70,-1.143,0.603,-1.015,0.622,0.21,-0.933,296.8,0.929,0.667,0.6,,29.207
pga,2020,2020,TOUR Championship,60,"English, Harris",14577,T12,1,East Lake Golf Club,688,70,-1.332,1.699,0.398,-2.065,0.032,-1.3,292.0,0.571,0.722,0.833,50.858,28.408
pga,2020,2020,TOUR Championship,60,"English, Harris",14577,T12,2,East Lake Golf Club,688,69,-0.823,1.061,0.695,-0.633,1.123,0.3,297.5,0.571,0.667,0.7,53.866,28.494
pga,2020,2020,TOUR Championship,60,"English, Harris",14577,T12,3,East Lake Golf Club,688,69,-0.202,0.681,-0.086,-0.793,-0.198,-0.4,285.3,0.714,0.611,0.714,44.436,25.16
pga,2020,2020,TOUR Championship,60,"English, Harris",14577,T12,4,East Lake Golf Club,688,67,1.738,-0.504,1.707,-0.874,0.329,2.067,284.6,0.643,0.667,0.833,56.62,18.096
pga,2020,2020,TOUR Championship,60,"Simpson, Webb",11049,T12,1,East Lake Golf Club,688,70,-2.015,-1.043,1.875,-0.117,0.715,-1.3,293.9,0.571,0.667,0.429,53.468,19.307
pga,2020,2020,TOUR Championship,60,"Simpson, Webb",11049,T12,2,East Lake Golf Club,688,71,-0.389,-0.177,-0.83,-0.304,-1.311,-1.7,297.1,0.714,0.5,0.556,55.615,29.125
pga,2020,2020,TOUR Championship,60,"Simpson, Webb",11049,T12,3,East Lake Golf Club,688,68,-0.242,-0.036,0.229,0.649,0.842,0.6,291.0,0.857,0.667,0.75,57.722,31.248
pga,2020,2020,TOUR Championship,60,"Simpson, Webb",11049,T12,4,East Lake Golf Club,688,68,2.103,-0.346,-1.479,0.789,-1.036,1.067,297.2,0.786,0.611,0.625,65.317,26.1
pga,2020,2020,TOUR Championship,60,"Hughes, Mackenzie",15556,14,1,East Lake Golf Club,688,70,1.457,-0.646,-1.431,-0.68,-2.757,-1.3,299.1,0.357,0.611,0.571,60.791,27.759
