date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Sep 7, 2020","TOUR Championship","Rahm, Jon",1,0.256275,1,0.98965,0.904825,0.735775,0.5798,0.275775,4
"Sep 7, 2020","TOUR Championship","Johnson, Dustin",1,0.5224,1,0.98605,0.890625,0.70905,0.555425,0.2615,1
"Sep 7, 2020","TOUR Championship","Thomas, Justin",1,0.111525,1,0.97195,0.806475,0.560625,0.38175,0.133125,T2
"Sep 7, 2020","TOUR Championship","Simpson, Webb",1,0.04715,1,0.951175,0.7169,0.437975,0.266875,0.077075,T12
"Sep 7, 2020","TOUR Championship","Morikawa, Collin",1,0.01885,1,0.898125,0.57675,0.29105,0.158025,0.038675,6
"Sep 7, 2020","TOUR Championship","McIlroy, Rory",1,0.0042,1,0.876525,0.529225,0.2538,0.13375,0.032725,T8
"Sep 7, 2020","TOUR Championship","DeChambeau, Bryson",1,0.006875,1,0.882625,0.5336,0.253025,0.13175,0.029925,22
"Sep 7, 2020","TOUR Championship","Schauffele, Xander",1,0.00315,1,0.87845,0.530075,0.247725,0.12725,0.028025,T2
"Sep 7, 2020","TOUR Championship","Berger, Daniel",1,0.0075,1,0.8734,0.51695,0.23605,0.1194,0.027999999999999997,T15
"Sep 7, 2020","TOUR Championship","Matsuyama, Hideki",1,0.007275,1,0.8562,0.48345,0.219875,0.1136,0.026025,T15
"Sep 7, 2020","TOUR Championship","Im, Sungjae",1,0.00365,1,0.793825,0.3775,0.13985,0.0615,0.01095,11
"Sep 7, 2020","TOUR Championship","English, Harris",1,0.00495,1,0.784575,0.36705,0.136475,0.0613,0.01025,T12
"Sep 7, 2020","TOUR Championship","Reed, Patrick",1,0.001675,1,0.765575,0.3411,0.122425,0.054175,0.00995,T8
"Sep 7, 2020","TOUR Championship","Scheffler, Scottie",1,0.00065,1,0.7597,0.336775,0.1214,0.052375,0.008925,5
"Sep 7, 2020","TOUR Championship","Hatton, Tyrrell",1,0.00045,1,0.65825,0.237325,0.070525,0.0286,0.0052,7
"Sep 7, 2020","TOUR Championship","Finau, Tony",1,0.000375,1,0.6669,0.2362,0.071725,0.028975,0.004975,17
"Sep 7, 2020","TOUR Championship","Todd, Brendon",1,0.0013,1,0.650175,0.230975,0.069425,0.02835,0.00465,T20
"Sep 7, 2020","TOUR Championship","Horschel, Billy",1,0.00005,1,0.565925,0.1626,0.0414,0.015425,0.002175,30
"Sep 7, 2020","TOUR Championship","Ancer, Abraham",1,0.0001,1,0.596175,0.18065,0.0491,0.019625,0.00215,T18
"Sep 7, 2020","TOUR Championship","Kisner, Kevin",1,0.000075,1,0.57045,0.158925,0.039825,0.014625,0.00205,23
"Sep 7, 2020","TOUR Championship","Munoz, Sebastian",1,0.00105,1,0.56935,0.164475,0.042725,0.016025,0.002,T8
"Sep 7, 2020","TOUR Championship","Niemann, Joaquin",1,0.0001,1,0.541425,0.14665,0.036625,0.01315,0.001925,T27
"Sep 7, 2020","TOUR Championship","Hovland, Viktor",1,0.000025,1,0.5022,0.1255,0.027675,0.0098,0.001275,T20
"Sep 7, 2020","TOUR Championship","Na, Kevin",1,0.00005,1,0.448225,0.100475,0.02225,0.007675,0.00075,T27
"Sep 7, 2020","TOUR Championship","Griffin, Lanto",1,0.000225,1,0.426225,0.0882,0.017725,0.00605,0.00065,T18
"Sep 7, 2020","TOUR Championship","Palmer, Ryan",1,0.00005,1,0.408025,0.0877,0.0191,0.006275,0.000525,T24
"Sep 7, 2020","TOUR Championship","Leishman, Marc",1,0,1,0.302925,0.0464,0.00775,0.002925,0.0003,29
"Sep 7, 2020","TOUR Championship","Champ, Cameron",1,0,1,0.30625,0.047175,0.007275,0.0023,0.000225,T24
"Sep 7, 2020","TOUR Championship","Smith, Cameron",1,0,1,0.286525,0.043775,0.006925,0.001925,0.000175,T24
"Sep 7, 2020","TOUR Championship","Hughes, Mackenzie",1,0.000025,1,0.23315,0.031675,0.00485,0.0013,0.00005,14
