tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Cink, Stewart",5665,6300,0.0167,1,3,6,0,0,91.5,30,130.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Higgs, Harry",14140,7200,0.0548,2,6,3,0,0,98.5,20,127.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Reavie, Chez",7961,9600,0.1179,T3,6,3,0,0,88.5,18,115.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Stuard, Brian",13022,6600,0.0161,T3,6,3,0,0,88.5,18,115.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Redman, Doc",24481,9200,0.1686,T3,3,3,0,0,91.0,18,115.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Streelman, Kevin",8480,9000,0.1164,T3,3,0,0,0,94.0,18,115.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Burns, Sam",19483,8700,0.0972,T7,6,0,0,0,95.0,10,111.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Ventura, Kristoffer",15651,7000,0.0426,T7,0,3,0,0,94.5,10,107.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Knox, Russell",13831,6700,0.008,T9,3,9,0,0,84.5,8,104.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Perez, Pat",6762,7000,0.0281,T9,0,3,0,5,87.5,8,103.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hadley, Chesson",14967,7000,0.0416,T14,6,0,0,0,91.0,6,103.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Straka, Sepp",17511,7100,0.0415,T14,0,0,0,0,94.0,6,100.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Bhatia, Akshay",26096,6300,0.001,T9,3,0,0,0,89.0,8,100.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Percy, Cameron",5874,6600,0.0038,T23,3,3,0,0,89.5,4,99.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Cauley, Bud",14502,8600,0.101,T14,6,0,0,5,82.5,6,99.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Trahan, D.J.",7236,6000,0.0012,T14,3,3,0,0,85.5,6,97.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hahn, James",11374,6000,0.0038,T9,0,3,0,0,85.0,8,96.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Zhang, Xinjun",13026,7000,0.0407,T14,3,3,0,0,83.5,6,95.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hearn, David",7340,6200,0.0005,T14,3,0,0,5,81.0,6,95.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Theegala, Sahith",23014,6100,0.0074,T14,3,3,0,0,83.0,6,95.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Gligic, Michael",13404,6100,0.0028,T14,0,3,0,0,85.5,6,94.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hossler, Beau",15470,6600,0.0083,T23,3,3,0,0,83.5,4,93.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Barnes, Ricky",6846,6100,0.0004,T23,6,0,0,0,81.5,4,91.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Spaun, J.J.",17536,6400,0.0016,T9,0,3,0,0,80.5,8,91.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Ledesma, Nelson",15239,6000,0.0001,T23,0,0,0,0,87.0,4,91.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Harrington, Scott",8479,6200,0.0047,T36,0,0,0,0,88.5,2,90.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Varner III, Harold",16602,9100,0.339,T29,3,0,0,0,84.5,3,90.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Whaley, Vincent",25908,6200,0.0016,T23,0,0,0,0,86.5,4,90.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Dufner, Jason",7301,6900,0.0209,T29,6,0,0,0,81.0,3,90.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Davis, Cameron",17786,8900,0.236,T36,6,3,0,0,79.0,2,90.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Grace, Branden",11952,7600,0.0322,T29,3,0,0,0,83.0,3,89.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hoag, Bo",14081,6500,0.0052,T29,3,3,0,0,79.5,3,88.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Lahiri, Anirban",12669,6200,0.0006,T36,0,6,0,0,80.0,2,88.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Wilkinson, Tim",7097,6100,0.0021,T36,3,3,0,0,80.0,2,88.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Schwartzel, Charl",7398,7800,0.0364,T23,0,3,0,0,80.0,4,87.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Ghim, Doug",24550,6300,0.0045,T14,0,0,0,0,81.0,6,87.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Steele, Brendan",11019,10000,0.2457,T29,0,6,0,0,75.0,3,84.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Taylor, Ben",19948,6000,0.0001,T36,3,0,0,0,79.0,2,84.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Kim, Si Woo",14609,10800,0.1004,T44,0,6,0,0,77.0,1,84.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Mickelson, Phil",1547,10600,0.1095,T44,6,6,0,0,70.5,1,83.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Grillo, Emiliano",12808,9700,0.0715,T29,3,0,0,0,77.5,3,83.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Putnam, Andrew",14704,6600,0.0025,T36,0,0,0,0,80.5,2,82.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Ortiz, Carlos",14735,7400,0.0716,T46,6,0,0,0,75.0,1,82.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Hoge, Tom",15575,6900,0.0316,T29,0,0,0,0,79.0,3,82.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Stanley, Kyle",12069,7300,0.0467,T46,3,0,0,0,77.0,1,81.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Watney, Nick",7955,6800,0.0088,T46,0,6,0,0,73.5,1,80.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Anderson, Mark",12131,6000,0.0009,T36,0,12,0,0,66.0,2,80.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Oppenheim, Rob",8002,6400,0.0078,T36,0,3,0,0,75.0,2,80.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Daffue, MJ",17068,6200,0.0029,72,6,0,0,0,73.5,0,79.5
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Lovemark, Jamie",11382,6300,0.0021,T56,3,0,0,0,76.0,0,79.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Swafford, Hudson",14706,6500,0.0046,T56,0,0,0,0,76.0,0,76.0
pga,2020,2021,Safeway Open,464,draftkings,PGA TOUR $750K Fresh Start [$200K to 1st],"Vegas, Jhonattan",13508,7000,0.0959,T52,3,3,0,0,70.0,0,76.0
