tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2021,Safeway Open,464,"Cink, Stewart",5665,1,1,Silverado Resort and Spa North,552,67,1.407,0.642,3.194,-1.622,2.215,3.622,296.1,0.286,0.944,1.0,32.556,25.296
pga,2020,2021,Safeway Open,464,"Cink, Stewart",5665,1,2,Silverado Resort and Spa North,552,70,-0.21,-0.154,0.004,0.431,0.281,0.071,297.8,0.571,0.889,0.667,39.296,24.968
pga,2020,2021,Safeway Open,464,"Cink, Stewart",5665,1,3,Silverado Resort and Spa North,552,65,3.215,-0.257,0.172,1.486,1.401,4.616,299.0,0.786,0.889,0.5,42.656,31.028
pga,2020,2021,Safeway Open,464,"Cink, Stewart",5665,1,4,Silverado Resort and Spa North,552,65,-0.082,1.743,1.793,1.779,5.315,5.233,302.9,0.786,0.833,1.0,45.077,26.229
pga,2020,2021,Safeway Open,464,"Higgs, Harry",14140,2,1,Silverado Resort and Spa North,552,69,0.508,0.314,0.794,0.005,1.114,1.622,296.5,0.5,0.778,0.9,30.744,33.713
pga,2020,2021,Safeway Open,464,"Higgs, Harry",14140,2,2,Silverado Resort and Spa North,552,62,1.877,0.278,5.094,0.822,6.194,8.071,286.2,0.643,0.778,0.8,43.597,14.496
pga,2020,2021,Safeway Open,464,"Higgs, Harry",14140,2,3,Silverado Resort and Spa North,552,70,1.247,-0.937,-1.102,0.408,-1.631,-0.384,296.4,0.5,0.722,0.714,32.819,33.268
pga,2020,2021,Safeway Open,464,"Higgs, Harry",14140,2,4,Silverado Resort and Spa North,552,68,0.268,0.105,0.603,1.257,1.965,2.233,292.2,0.714,0.722,0.75,29.076,25.243
pga,2020,2021,Safeway Open,464,"Stuard, Brian",13022,T3,1,Silverado Resort and Spa North,552,67,1.12,0.906,1.616,-0.021,2.502,3.622,272.9,0.643,0.778,1.0,35.064,19.016
pga,2020,2021,Safeway Open,464,"Stuard, Brian",13022,T3,2,Silverado Resort and Spa North,552,67,2.187,0.311,0.274,0.299,0.884,3.071,273.1,0.714,0.833,0.667,24.005,40.523
pga,2020,2021,Safeway Open,464,"Stuard, Brian",13022,T3,3,Silverado Resort and Spa North,552,66,1.78,-0.198,1.146,0.888,1.836,3.616,282.9,0.857,0.889,0.714,15.569,29.06
pga,2020,2021,Safeway Open,464,"Stuard, Brian",13022,T3,4,Silverado Resort and Spa North,552,70,-0.955,1.047,-0.028,0.169,1.188,0.233,277.6,0.643,0.833,0.6,33.165,34.269
pga,2020,2021,Safeway Open,464,"Streelman, Kevin",8480,T3,1,Silverado Resort and Spa North,552,72,-0.452,-0.275,-1.349,0.697,-0.926,-1.378,284.8,0.643,0.778,0.571,56.03,29.418
pga,2020,2021,Safeway Open,464,"Streelman, Kevin",8480,T3,2,Silverado Resort and Spa North,552,66,1.705,0.201,1.385,0.78,2.366,4.071,286.9,0.714,0.833,0.667,49.858,25.442
pga,2020,2021,Safeway Open,464,"Streelman, Kevin",8480,T3,3,Silverado Resort and Spa North,552,65,2.135,0.107,2.224,0.15,2.481,4.616,287.3,0.714,0.944,0.5,26.544,21.527
pga,2020,2021,Safeway Open,464,"Streelman, Kevin",8480,T3,4,Silverado Resort and Spa North,552,67,1.253,1.045,-0.195,1.13,1.98,3.233,295.8,0.643,0.889,0.75,33.04,31.915
pga,2020,2021,Safeway Open,464,"Reavie, Chez",7961,T3,1,Silverado Resort and Spa North,552,67,0.864,-0.353,2.103,1.007,2.758,3.622,278.2,0.786,0.833,0.8,,20.08
pga,2020,2021,Safeway Open,464,"Reavie, Chez",7961,T3,2,Silverado Resort and Spa North,552,71,-1.762,1.148,-0.289,-0.026,0.833,-0.929,271.6,0.643,0.667,0.571,42.119,25.476
pga,2020,2021,Safeway Open,464,"Reavie, Chez",7961,T3,3,Silverado Resort and Spa North,552,66,0.783,0.101,2.509,0.223,2.833,3.616,283.8,0.857,0.944,0.5,17.081,27.243
pga,2020,2021,Safeway Open,464,"Reavie, Chez",7961,T3,4,Silverado Resort and Spa North,552,66,0.851,0.042,3.03,0.31,3.382,4.233,276.6,0.714,0.889,0.5,46.739,16.214
pga,2020,2021,Safeway Open,464,"Redman, Doc",24481,T3,1,Silverado Resort and Spa North,552,70,0.185,-0.502,0.235,0.703,0.437,0.622,275.7,0.786,0.889,0.5,89.804,31.527
pga,2020,2021,Safeway Open,464,"Redman, Doc",24481,T3,2,Silverado Resort and Spa North,552,69,0.655,-1.925,1.5,0.841,0.416,1.071,282.3,0.714,0.722,0.6,43.823,24.751
pga,2020,2021,Safeway Open,464,"Redman, Doc",24481,T3,3,Silverado Resort and Spa North,552,69,0.053,-0.431,0.757,0.237,0.563,0.616,278.0,0.786,0.667,0.667,60.141,29.703
pga,2020,2021,Safeway Open,464,"Redman, Doc",24481,T3,4,Silverado Resort and Spa North,552,62,1.883,0.44,5.23,0.68,6.35,8.233,286.5,0.643,1.0,1.0,7.408,17.622
pga,2020,2021,Safeway Open,464,"Ventura, Kristoffer",15651,T7,1,Silverado Resort and Spa North,552,69,0.859,2.95,-1.949,-0.239,0.763,1.622,280.5,0.5,0.444,0.833,41.596,37.578
pga,2020,2021,Safeway Open,464,"Ventura, Kristoffer",15651,T7,2,Silverado Resort and Spa North,552,66,3.259,0.81,-0.667,0.669,0.812,4.071,284.6,0.643,0.778,0.833,33.875,31.942
pga,2020,2021,Safeway Open,464,"Ventura, Kristoffer",15651,T7,3,Silverado Resort and Spa North,552,66,2.578,0.363,-0.801,1.476,1.038,3.616,298.8,0.786,0.889,0.333,58.544,30.394
pga,2020,2021,Safeway Open,464,"Ventura, Kristoffer",15651,T7,4,Silverado Resort and Spa North,552,70,-1.457,0.799,0.074,0.817,1.69,0.233,289.2,0.643,0.944,0.75,41.1,21.928
pga,2020,2021,Safeway Open,464,"Burns, Sam",19483,T7,1,Silverado Resort and Spa North,552,64,1.599,2.238,1.317,1.467,5.023,6.622,302.0,0.643,0.833,1.0,41.13,25.135
pga,2020,2021,Safeway Open,464,"Burns, Sam",19483,T7,2,Silverado Resort and Spa North,552,65,2.451,0.555,1.036,1.029,2.62,5.071,291.9,0.643,0.889,0.833,19.541,31.031
pga,2020,2021,Safeway Open,464,"Burns, Sam",19483,T7,3,Silverado Resort and Spa North,552,72,-1.232,-1.515,-0.237,0.6,-1.152,-2.384,308.2,0.571,0.722,0.375,45.44,22.316
pga,2020,2021,Safeway Open,464,"Burns, Sam",19483,T7,4,Silverado Resort and Spa North,552,70,-0.775,-0.389,0.942,0.455,1.008,0.233,295.7,0.5,0.778,0.4,40.406,16.774
pga,2020,2021,Safeway Open,464,"Perez, Pat",6762,T9,1,Silverado Resort and Spa North,552,65,3.063,-0.291,1.776,1.073,2.559,5.622,289.4,0.643,0.833,1.0,34.3,19.128
pga,2020,2021,Safeway Open,464,"Perez, Pat",6762,T9,2,Silverado Resort and Spa North,552,69,0.576,-0.132,-0.392,1.019,0.495,1.071,285.7,0.714,0.667,0.556,37.368,31.635
pga,2020,2021,Safeway Open,464,"Perez, Pat",6762,T9,3,Silverado Resort and Spa North,552,69,0.532,1.71,0.07,-1.696,0.084,0.616,284.2,0.429,0.778,1.0,51.281,25.322
pga,2020,2021,Safeway Open,464,"Perez, Pat",6762,T9,4,Silverado Resort and Spa North,552,69,3.115,-0.493,-1.576,0.187,-1.882,1.233,284.3,0.5,0.722,0.667,38.486,30.475
pga,2020,2021,Safeway Open,464,"Bhatia, Akshay",26096,T9,1,Silverado Resort and Spa North,552,66,2.361,-0.534,1.446,1.348,2.261,4.622,289.0,0.786,0.889,0.833,25.723,27.228
pga,2020,2021,Safeway Open,464,"Bhatia, Akshay",26096,T9,2,Silverado Resort and Spa North,552,72,-1.348,-0.243,0.11,-0.448,-0.581,-1.929,289.8,0.429,0.778,0.667,43.198,30.208
pga,2020,2021,Safeway Open,464,"Bhatia, Akshay",26096,T9,3,Silverado Resort and Spa North,552,66,2.028,3.176,-1.835,0.247,1.588,3.616,282.8,0.643,0.722,0.857,36.639,32.434
pga,2020,2021,Safeway Open,464,"Bhatia, Akshay",26096,T9,4,Silverado Resort and Spa North,552,68,-0.088,0.499,1.591,0.231,2.321,2.233,282.3,0.571,0.778,0.714,31.635,25.111
pga,2020,2021,Safeway Open,464,"Knox, Russell",13831,T9,1,Silverado Resort and Spa North,552,63,3.416,1.648,1.428,1.129,4.206,7.622,284.0,0.857,0.833,1.0,65.357,26.692
pga,2020,2021,Safeway Open,464,"Knox, Russell",13831,T9,2,Silverado Resort and Spa North,552,69,-0.132,0.598,-0.205,0.81,1.203,1.071,282.0,0.714,0.889,0.75,40.416,21.447
pga,2020,2021,Safeway Open,464,"Knox, Russell",13831,T9,3,Silverado Resort and Spa North,552,70,-1.24,0.295,-0.111,0.672,0.856,-0.384,288.7,0.714,0.944,0.5,65.773,25.699
pga,2020,2021,Safeway Open,464,"Knox, Russell",13831,T9,4,Silverado Resort and Spa North,552,70,-1.454,0.25,1.923,-0.486,1.687,0.233,284.9,0.429,0.722,0.5,30.503,19.806
pga,2020,2021,Safeway Open,464,"Spaun, J.J.",17536,T9,1,Silverado Resort and Spa North,552,70,-0.516,-1.001,1.184,0.954,1.138,0.622,283.9,0.786,0.833,0.5,25.186,29.442
pga,2020,2021,Safeway Open,464,"Spaun, J.J.",17536,T9,2,Silverado Resort and Spa North,552,68,-0.645,1.049,1.081,0.586,2.716,2.071,279.0,0.714,0.722,0.875,58.805,26.244
pga,2020,2021,Safeway Open,464,"Spaun, J.J.",17536,T9,3,Silverado Resort and Spa North,552,66,1.368,-0.088,2.276,0.06,2.248,3.616,287.6,0.786,0.778,0.714,53.492,24.693
pga,2020,2021,Safeway Open,464,"Spaun, J.J.",17536,T9,4,Silverado Resort and Spa North,552,68,0.233,0.489,0.582,0.929,2.0,2.233,288.0,0.714,0.944,1.0,46.327,22.43
pga,2020,2021,Safeway Open,464,"Hahn, James",11374,T9,1,Silverado Resort and Spa North,552,68,-0.149,-0.439,2.507,0.702,2.771,2.622,287.6,0.786,0.833,0.5,33.011,19.233
pga,2020,2021,Safeway Open,464,"Hahn, James",11374,T9,2,Silverado Resort and Spa North,552,65,4.666,0.021,-0.564,0.948,0.405,5.071,281.9,0.786,0.889,0.75,68.1,28.044
pga,2020,2021,Safeway Open,464,"Hahn, James",11374,T9,3,Silverado Resort and Spa North,552,67,0.548,0.324,1.923,-0.179,2.068,2.616,287.0,0.643,0.889,0.5,24.315,30.598
pga,2020,2021,Safeway Open,464,"Hahn, James",11374,T9,4,Silverado Resort and Spa North,552,72,-0.405,0.617,-1.86,-0.119,-1.362,-1.767,285.0,0.5,0.611,0.75,58.181,27.734
pga,2020,2021,Safeway Open,464,"Hadley, Chesson",14967,T14,1,Silverado Resort and Spa North,552,70,1.777,1.16,-2.192,-0.124,-1.155,0.622,280.3,0.643,0.611,0.75,42.279,32.589
pga,2020,2021,Safeway Open,464,"Hadley, Chesson",14967,T14,2,Silverado Resort and Spa North,552,67,1.113,-1.585,3.147,0.396,1.958,3.071,284.8,0.714,0.722,0.571,35.061,22.676
pga,2020,2021,Safeway Open,464,"Hadley, Chesson",14967,T14,3,Silverado Resort and Spa North,552,69,-0.769,0.685,0.701,-0.001,1.385,0.616,289.9,0.643,0.889,0.6,52.889,23.72
pga,2020,2021,Safeway Open,464,"Hadley, Chesson",14967,T14,4,Silverado Resort and Spa North,552,67,3.517,-0.634,0.037,0.313,-0.284,3.233,288.2,0.714,0.833,0.6,35.446,27.168
pga,2020,2021,Safeway Open,464,"Straka, Sepp",17511,T14,1,Silverado Resort and Spa North,552,70,2.027,1.507,-1.667,-1.246,-1.405,0.622,285.9,0.5,0.611,0.667,63.161,28.839
pga,2020,2021,Safeway Open,464,"Straka, Sepp",17511,T14,2,Silverado Resort and Spa North,552,66,0.225,-0.111,2.589,1.368,3.846,4.071,296.8,0.643,0.833,0.571,47.633,20.32
pga,2020,2021,Safeway Open,464,"Straka, Sepp",17511,T14,3,Silverado Resort and Spa North,552,68,2.231,0.97,-1.645,0.06,-0.615,1.616,290.2,0.5,0.778,0.8,42.974,25.502
pga,2020,2021,Safeway Open,464,"Straka, Sepp",17511,T14,4,Silverado Resort and Spa North,552,69,-1.143,0.523,0.578,1.275,2.376,1.233,301.6,0.643,0.778,0.429,86.691,19.682
